"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1988","AkademikerIn","Städtischer Raum","1700.54","1583","465","716","1098","2199","2556","4602","1619.66","1781.42","0","6647","1531","1738"
"1988","Hauptschule","Ländlicher Raum","819.86","842","772","211","437","1125","1432","2014","787.57","852.15","0","3579","818","869"
"1988","Hauptschule","Städtischer Raum","953.15","939.5","2582","275","652","1176","1508","2556","934.47","971.83","0","6647","920","946"
"1988","Realschule","Ländlicher Raum","911.89","868.5","257","239","429","1227","1534","2556","844.07","979.71","0","3323","745","920"
"1988","Realschule","Städtischer Raum","974.7","917","856","271","562","1244","1713","3097","932.96","1016.44","0","5113","818","920"
"1989","(Fach-)Abitur","Ländlicher Raum","1040.12","960.5","45","286","511","1278","2250","2352","857.25","1222.99","155","2352","818","1176"
"1989","(Fach-)Abitur","Städtischer Raum","971.44","912","383","230","529","1227","1810","2812","912.91","1029.97","0","5113","869","1023"
"1989","(noch) kein Abschluss","Ländlicher Raum","786.81","823","56","230","377","1058","1227","1534","661.95","911.67","121","3066","767","977"
"1989","(noch) kein Abschluss","Städtischer Raum","821.11","851","343","220","598","1023","1278","1687","780.93","861.29","0","3017","818","920"
"1989","AkademikerIn","Ländlicher Raum","1732.41","1738.5","84","943","1284","1994","2603","4090","1563.51","1901.31","123","4145","1534","1841"
"1989","AkademikerIn","Städtischer Raum","1786.73","1650.5","470","767","1159","2262","2812","5113","1695.53","1877.93","0","10226","1534","1749"
"1989","Hauptschule","Ländlicher Raum","876.29","884","733","243","511","1150","1483","2076","842.52","910.06","0","3579","864","920"
"1989","Hauptschule","Städtischer Raum","971.4","969.5","2527","266","639","1242","1534","2526","952.27","990.53","0","5113","921","971"
"1989","Realschule","Ländlicher Raum","976.66","915","253","286","563","1253","1738","2454","908.48","1044.84","135","3835","818","951"
"1989","Realschule","Städtischer Raum","1013.57","915","851","297","614","1278","1764","3170","970.34","1056.8","0","5113","860","920"
"1990","(Fach-)Abitur","Ländlicher Raum","852.66","754.5","97","283","383","1098","1687","2587","740.41","964.91","51","2796","537","767"
"1990","(Fach-)Abitur","Städtischer Raum","969.62","919","406","307","537","1278","1738","2812","915.91","1023.33","56","3068","854","971"
"1990","(noch) kein Abschluss","Ländlicher Raum","713.53","769.5","59","298","346","1028","1125","1534","621.46","805.6","51","1790","772","971"
"1990","(noch) kein Abschluss","Städtischer Raum","886.45","907.5","330","256","665","1125","1329","1738","845.1","927.8","0","2556","920","971"
"1990","AkademikerIn","Ländlicher Raum","949.1","632.5","574","393","511","1278","2096","3068","902.96","995.24","77","5113","578","614"
"1990","AkademikerIn","Städtischer Raum","1547.9","1374.5","809","493","716","2147","2743","5113","1478.41","1617.39","0","8948","903","1125"
"1990","Hauptschule","Ländlicher Raum","751.71","613","1491","240","386","1074","1350","2147","729.62","773.8","0","3323","511","546"
"1990","Hauptschule","Städtischer Raum","987.87","995.5","2757","281","546","1278","1606","2624","965.83","1009.91","0","10226","920","971"
"1990","Realschule","Ländlicher Raum","663.72","510","1170","218","358","869","1354","2556","641.77","685.67","0","3636","450","475"
"1990","Realschule","Städtischer Raum","949.5","864","1281","293","470","1227","1738","3323","916.37","982.63","0","5113","608","705"
"1991","(Fach-)Abitur","Ländlicher Raum","872.3","700","103","245","399","1157","1752","3068","758.56","986.04","125","3068","558","818"
"1991","(Fach-)Abitur","Städtischer Raum","1041.49","983","432","256","564","1380","1796","2863","986.83","1096.15","0","4090","920","1048"
"1991","(noch) kein Abschluss","Ländlicher Raum","683.23","677.5","70","138","228","1074","1227","1943","561.87","804.59","77","2556","665","936"
"1991","(noch) kein Abschluss","Städtischer Raum","888.34","910","337","240","588","1176","1483","1738","842.88","933.8","28","3068","885","982"
"1991","AkademikerIn","Ländlicher Raum","1142.56","772","514","500","601","1534","2301","3835","1085.75","1199.37","102","5113","665","730"
"1991","AkademikerIn","Städtischer Raum","1619.08","1469.5","791","533","789","2234","2812","5113","1547.59","1690.57","0","8896","1074","1278"
"1991","Hauptschule","Ländlicher Raum","822.89","711","1294","256","445","1125","1501","2147","797.28","848.5","0","3835","614","665"
"1991","Hauptschule","Städtischer Raum","1038.87","1022.5","2673","286","571","1346","1687","2864","1017.82","1059.92","0","5624","971","1023"
"1991","Realschule","Ländlicher Raum","754.09","612.5","1059","281","435","987","1432","2347","729.95","778.23","56","2812","554","585"
"1991","Realschule","Städtischer Raum","1013.87","916","1212","332","535","1278","1841","3170","976.59","1051.15","0","8181","745","818"
"1992","(Fach-)Abitur","Ländlicher Raum","919.09","792.5","100","256","404","1232","1866","2659","805.19","1032.99","112","2914","716","920"
"1992","(Fach-)Abitur","Städtischer Raum","1153.82","1121.5","425","307","665","1483","1994","3579","1095.12","1212.52","77","3671","1023","1125"
"1992","(noch) kein Abschluss","Ländlicher Raum","691.78","700","74","153","245","1074","1278","1790","573.81","809.75","39","2556","690","997"
"1992","(noch) kein Abschluss","Städtischer Raum","1010.73","1017.5","290","441","716","1271","1616","2139","960.77","1060.69","0","2556","920","1023"
"1992","AkademikerIn","Ländlicher Raum","1309.77","1021","472","562","767","1738","2403","4085","1250.49","1369.05","0","5113","869","933"
"1992","AkademikerIn","Städtischer Raum","1734.99","1529","758","665","966","2352","3068","5113","1664.65","1805.33","50","8692","1227","1406"
"1992","Hauptschule","Ländlicher Raum","935.12","882.5","1115","312","562","1241","1585","2301","907.81","962.43","0","3068","792","869"
"1992","Hauptschule","Städtischer Raum","1092.65","1087","2518","322","665","1432","1790","2812","1071.36","1113.94","0","5113","1023","1074"
"1992","Realschule","Ländlicher Raum","896.93","763","952","327","559","1125","1636","3068","869.03","924.83","51","3323","716","752"
"1992","Realschule","Städtischer Raum","1089.61","1022","1177","359","634","1381","1892","3203","1053.76","1125.46","0","5113","844","929"
"1993","(Fach-)Abitur","Ländlicher Raum","1024.95","910","117","265","528","1278","1790","3456","909.45","1140.45","77","3456","767","1017"
"1993","(Fach-)Abitur","Städtischer Raum","1201.06","1138.5","414","409","716","1565","2045","3068","1143.1","1259.02","46","3323","1031","1207"
"1993","(noch) kein Abschluss","Ländlicher Raum","855.75","911.5","65","245","427","1165","1432","2045","734.95","976.55","117","2556","844","1023"
"1993","(noch) kein Abschluss","Städtischer Raum","952.48","1022.5","281","256","665","1227","1467","1943","902.13","1002.83","51","2301","971","1074"
"1993","AkademikerIn","Ländlicher Raum","1521.72","1268","459","716","920","1943","2608","4346","1447.49","1595.95","140","10226","1125","1181"
"1993","AkademikerIn","Städtischer Raum","1899.79","1728.5","778","760","1145","2556","3068","5113","1826.92","1972.66","0","11351","1432","1534"
"1993","Hauptschule","Ländlicher Raum","1003.55","965.5","1028","324","614","1278","1687","2556","972.24","1034.86","0","4090","920","971"
"1993","Hauptschule","Städtischer Raum","1158.54","1149.5","2406","334","734","1483","1878","3170","1134.97","1182.11","0","5113","1099","1125"
"1993","Realschule","Ländlicher Raum","988.6","911","964","360","614","1227","1687","3382","950.18","1027.02","0","12578","803","869"
"1993","Realschule","Städtischer Raum","1226.1","1106.5","1203","418","720","1534","2045","4090","1174.77","1277.43","0","20452","971","1023"
"1994","(Fach-)Abitur","Ländlicher Raum","1009.27","975","136","267","511","1229","1841","3221","896.43","1122.11","51","3236","767","1023"
"1994","(Fach-)Abitur","Städtischer Raum","1146.53","1106.5","404","389","614","1507","2045","2838","1088.13","1204.93","0","3323","1023","1169"
"1994","(noch) kein Abschluss","Ländlicher Raum","815.55","856.5","66","288","409","1125","1283","1994","699.36","931.74","158","2045","700","1025"
"1994","(noch) kein Abschluss","Städtischer Raum","993.54","1017.5","246","402","665","1278","1470","2045","935.28","1051.8","0","3068","992","1125"
"1994","AkademikerIn","Ländlicher Raum","1588.3","1374.5","459","767","1023","1937","2659","4417","1510.67","1665.93","0","10226","1212","1304"
"1994","AkademikerIn","Städtischer Raum","1915.32","1732","797","767","1217","2525","3119","5113","1839.61","1991.03","0","12271","1476","1626"
"1994","Hauptschule","Ländlicher Raum","1035.22","1020","938","307","665","1329","1636","2505","1002.73","1067.71","0","5000","971","1023"
"1994","Hauptschule","Städtischer Raum","1189.69","1173.5","2190","389","767","1534","1933","3040","1164.88","1214.5","0","5624","1125","1176"
"1994","Realschule","Ländlicher Raum","1039.68","970","947","357","665","1278","1738","3190","1006.55","1072.81","0","5113","920","971"
"1994","Realschule","Städtischer Raum","1251.73","1121.5","1176","409","767","1534","2132","4193","1210.03","1293.43","0","9715","1023","1074"
"1995","(Fach-)Abitur","Ländlicher Raum","1058.95","1013","155","307","511","1380","1892","3323","954.83","1163.07","0","3323","792","1033"
"1995","(Fach-)Abitur","Städtischer Raum","1152.3","1055.5","466","286","568","1534","2147","3108","1092.25","1212.35","0","3835","1023","1125"
"1995","(noch) kein Abschluss","Ländlicher Raum","902.11","919.5","51","281","448","1329","1534","1790","762.82","1041.4","0","2045","818","1227"
"1995","(noch) kein Abschluss","Städtischer Raum","971.57","1066.5","234","256","562","1329","1498","2045","911.09","1032.05","0","2556","1023","1176"
"1995","AkademikerIn","Ländlicher Raum","1637.87","1377","490","767","1028","2045","2761","4596","1532.73","1743.01","0","20452","1253","1333"
"1995","AkademikerIn","Städtischer Raum","1923.61","1683.5","854","716","1125","2505","3193","5113","1837.71","2009.51","0","20452","1483","1585"
"1995","Hauptschule","Ländlicher Raum","1054.39","1022","969","348","665","1380","1713","2556","1020.26","1088.52","0","5113","984","1037"
"1995","Hauptschule","Städtischer Raum","1193.52","1174.5","2191","358","741","1534","1943","3068","1160.43","1226.61","0","25565","1125","1176"
"1995","Realschule","Ländlicher Raum","1062.75","998","1029","331","639","1329","1790","3068","1029.44","1096.06","0","4090","920","979"
"1995","Realschule","Städtischer Raum","1272.31","1171","1202","419","804","1534","2147","4197","1230.09","1314.53","0","9715","1052","1124"
"1996","(Fach-)Abitur","Ländlicher Raum","1102.82","1029","154","302","562","1432","1983","2863","1007.48","1198.16","83","3418","920","1074"
"1996","(Fach-)Abitur","Städtischer Raum","1227.22","1069.5","466","332","614","1585","2301","3286","1157.18","1297.26","51","8692","1023","1176"
"1996","(noch) kein Abschluss","Ländlicher Raum","903.9","1048.5","46","286","460","1278","1432","1534","776.62","1031.18","81","1687","665","1232"
"1996","(noch) kein Abschluss","Städtischer Raum","976.89","1064.5","214","266","537","1332","1534","2147","909.47","1044.31","106","2863","1023","1176"
"1996","AkademikerIn","Ländlicher Raum","1670.91","1431","478","767","1074","2045","2996","5028","1598.48","1743.34","209","5113","1278","1406"
"1996","AkademikerIn","Städtischer Raum","2001.87","1789.5","847","869","1278","2557","3426","5113","1931.53","2072.21","61","8543","1534","1682"
"1996","Hauptschule","Ländlicher Raum","1095.39","1051.5","950","322","716","1426","1784","2812","1055.88","1134.9","51","10226","1023","1074"
"1996","Hauptschule","Städtischer Raum","1216.5","1226.5","2075","350","767","1534","1944","3170","1189.82","1243.18","36","6862","1150","1227"
"1996","Realschule","Ländlicher Raum","1098.5","1022.5","979","374","665","1380","1791","3528","1063.84","1133.16","102","4602","933","1023"
"1996","Realschule","Städtischer Raum","1292.29","1172","1207","409","818","1585","2147","4090","1246.47","1338.11","20","14316","1074","1125"
"1997","(Fach-)Abitur","Ländlicher Raum","1163.45","1057.5","145","433","767","1492","2096","3196","1070.11","1256.79","153","3196","971","1125"
"1997","(Fach-)Abitur","Städtischer Raum","1243.2","1072.5","480","316","573","1662","2454","3579","1174.6","1311.8","25","7506","1023","1125"
"1997","(noch) kein Abschluss","Ländlicher Raum","966.17","985.5","47","460","614","1278","1488","1557","849.25","1083.09","19","1636","736","1181"
"1997","(noch) kein Abschluss","Städtischer Raum","1017.36","1085.5","190","312","665","1329","1534","1994","947.24","1087.48","82","3076","1023","1182"
"1997","AkademikerIn","Ländlicher Raum","1649.14","1376.5","492","761","1023","1994","2710","4908","1547.99","1750.29","197","15339","1278","1391"
"1997","AkademikerIn","Städtischer Raum","2006.57","1789.5","855","841","1278","2556","3375","5522","1938.17","2074.97","61","8692","1534","1636"
"1997","Hauptschule","Ländlicher Raum","1102.6","1066","883","312","736","1432","1790","3068","1065.02","1140.18","51","6135","1023","1074"
"1997","Hauptschule","Städtischer Raum","1216.91","1225.5","1943","358","767","1575","1943","3323","1189.72","1244.1","44","5369","1176","1227"
"1997","Realschule","Ländlicher Raum","1113.81","1022.5","965","312","716","1421","1892","3428","1078.94","1148.68","46","4602","971","1023"
"1997","Realschule","Städtischer Raum","1276.4","1175.5","1181","402","767","1585","2199","3681","1236.31","1316.49","23","5266","1074","1125"
"1998","(Fach-)Abitur","Ländlicher Raum","1178.05","1068.5","157","256","537","1475","2562","3477","1072.94","1283.16","128","3477","971","1125"
"1998","(Fach-)Abitur","Städtischer Raum","1208.07","1110.5","549","317","614","1585","2301","3365","1148.32","1267.82","0","6135","1074","1196"
"1998","(noch) kein Abschluss","Ländlicher Raum","1054.09","971.5","46","256","511","1329","1539","4013","862.95","1245.23","92","4013","755","1278"
"1998","(noch) kein Abschluss","Städtischer Raum","941.67","997","182","205","511","1278","1534","2045","867.73","1015.61","61","2556","971","1176"
"1998","AkademikerIn","Ländlicher Raum","1689.29","1454.5","517","614","1074","2096","2812","5113","1611.32","1767.26","87","7158","1278","1432"
"1998","AkademikerIn","Städtischer Raum","1970.64","1789.5","946","767","1252","2572","3410","5113","1905.61","2035.67","0","6340","1544","1687"
"1998","Hauptschule","Ländlicher Raum","1082.11","1021","932","312","669","1394","1790","2710","1045.31","1118.91","0","5113","985","1046"
"1998","Hauptschule","Städtischer Raum","1227.85","1222","2031","317","746","1585","2045","3375","1199.28","1256.42","0","7669","1176","1227"
"1998","Realschule","Ländlicher Raum","1126.93","1022.5","1048","327","675","1432","1892","3826","1091.76","1162.1","0","4602","971","1023"
"1998","Realschule","Städtischer Raum","1275.01","1174","1318","429","818","1585","2147","3579","1237.28","1312.74","0","6037","1074","1125"
"1999","(Fach-)Abitur","Ländlicher Raum","1179.29","1073.5","166","322","767","1483","2045","3503","1077.22","1281.36","0","3681","971","1164"
"1999","(Fach-)Abitur","Städtischer Raum","1192.87","1124.5","562","322","511","1623","2175","3579","1131.24","1254.5","0","6135","1023","1150"
"1999","(noch) kein Abschluss","Ländlicher Raum","945.53","997","49","156","322","1329","1534","2939","779.57","1111.49","41","2939","614","1125"
"1999","(noch) kein Abschluss","Städtischer Raum","885.66","864","196","143","317","1278","1534","1943","805.68","965.64","41","3579","869","1125"
"1999","AkademikerIn","Ländlicher Raum","1741.37","1450.5","522","720","1038","2124","2863","7669","1656.65","1826.09","0","10226","1329","1474"
"1999","AkademikerIn","Städtischer Raum","2022.01","1789.5","969","818","1278","2641","3426","5429","1955.38","2088.64","0","10397","1585","1687"
"1999","Hauptschule","Ländlicher Raum","1078.08","1022.5","940","314","665","1432","1820","2749","1041.17","1114.99","0","3768","971","1074"
"1999","Hauptschule","Städtischer Raum","1261.73","1226.5","2002","322","767","1636","2045","3579","1231.49","1291.97","0","10226","1176","1227"
"1999","Realschule","Ländlicher Raum","1105.01","1022.5","1085","317","665","1430","1875","3426","1070.77","1139.25","0","4897","971","1023"
"1999","Realschule","Städtischer Raum","1278.18","1173","1333","342","767","1585","2199","4346","1238.51","1317.85","0","6135","1074","1150"
"2000","(Fach-)Abitur","Ländlicher Raum","1256.84","1112","330","322","665","1585","2173","4090","1171.24","1342.44","0","6647","1023","1125"
"2000","(Fach-)Abitur","Städtischer Raum","1233.71","1171.5","1106","307","569","1613","2231","3579","1186.42","1281","0","5624","1125","1227"
"2000","(noch) kein Abschluss","Ländlicher Raum","763.88","493.5","50","102","256","1202","1746","2326","583.47","944.29","15","2326","256","767"
"2000","(noch) kein Abschluss","Städtischer Raum","912.71","912.5","151","153","322","1278","1636","2812","812.07","1013.35","20","2863","741","1063"
"2000","AkademikerIn","Ländlicher Raum","1798.55","1532.5","870","634","1074","2301","3068","5590","1728.79","1868.31","61","12782","1483","1585"
"2000","AkademikerIn","Städtischer Raum","2080.63","1829","1928","751","1278","2710","3579","6135","2024.9","2136.36","0","10226","1738","1841"
"2000","Hauptschule","Ländlicher Raum","1118.54","1100.5","1596","322","614","1520","1841","3323","1083.81","1153.27","0","10226","1048","1125"
"2000","Hauptschule","Städtischer Raum","1224.23","1223","3326","322","697","1636","2045","3375","1200.05","1248.41","0","8278","1205","1278"
"2000","Realschule","Ländlicher Raum","1086.28","1022.5","1938","322","665","1380","1813","3256","1059.01","1113.55","0","6135","971","1023"
"2000","Realschule","Städtischer Raum","1262.77","1174.5","2471","358","759","1636","2147","3579","1233.45","1292.09","0","6647","1125","1176"
"2001","(Fach-)Abitur","Ländlicher Raum","1180.31","1154","311","319","511","1585","2045","3630","1093.27","1267.35","41","4602","988","1176"
"2001","(Fach-)Abitur","Städtischer Raum","1287.78","1193.5","1054","322","583","1687","2301","4090","1235.83","1339.73","0","6228","1125","1253"
"2001","(noch) kein Abschluss","Ländlicher Raum","631.39","486","42","46","153","913","1432","1859","477.82","784.96","0","1859","181","767"
"2001","(noch) kein Abschluss","Städtischer Raum","794.68","562.5","155","123","266","1278","1738","2812","689.95","899.41","0","2812","322","792"
"2001","AkademikerIn","Ländlicher Raum","1797.92","1532.5","797","724","1125","2301","3068","5113","1727.17","1868.67","0","10226","1524","1621"
"2001","AkademikerIn","Städtischer Raum","2108.52","1891.5","1782","767","1304","2684","3579","6391","2050.52","2166.52","0","12782","1790","1930"
"2001","Hauptschule","Ländlicher Raum","1138.35","1113.5","1385","322","614","1534","1892","2812","1100.33","1176.37","0","10226","1074","1125"
"2001","Hauptschule","Städtischer Raum","1235.42","1276","2931","322","716","1636","2045","3272","1209.8","1261.04","0","5880","1227","1278"
"2001","Realschule","Ländlicher Raum","1140.35","1072.5","1752","373","716","1432","1859","3774","1110.82","1169.88","0","7669","1019","1048"
"2001","Realschule","Städtischer Raum","1277.5","1226","2310","358","716","1636","2226","3528","1247.74","1307.26","0","5113","1156","1227"
"2002","(Fach-)Abitur","Ländlicher Raum","1229.9","1145","348","325","550","1580","2200","4100","1118.53","1341.27","0","8500","1030","1200"
"2002","(Fach-)Abitur","Städtischer Raum","1305.77","1191.5","1172","300","550","1780","2340","4500","1241.14","1370.4","0","12000","1170","1300"
"2002","(noch) kein Abschluss","Ländlicher Raum","792.09","317.5","35","180","200","899","2574","3507","543.85","1040.33","32","3507","200","800"
"2002","(noch) kein Abschluss","Städtischer Raum","814.04","687","142","200","300","1230","1700","2700","702.85","925.23","0","4000","325","800"
"2002","AkademikerIn","Ländlicher Raum","1871.55","1601","974","680","1115","2400","3262","6500","1785.06","1958.04","0","15000","1740","1900"
"2002","AkademikerIn","Städtischer Raum","2270.78","1999.5","2460","800","1300","2710","3800","9000","2164.99","2376.57","0","80000","2100","2300"
"2002","Hauptschule","Ländlicher Raum","1152.8","1099.5","1302","319","550","1596","2000","3000","1106.05","1199.55","0","15000","1073","1170"
"2002","Hauptschule","Städtischer Raum","1263.63","1248.5","2741","320","650","1700","2079","3500","1230.4","1296.86","0","12000","1204","1300"
"2002","Realschule","Ländlicher Raum","1170.9","1099.5","1731","325","700","1500","2000","3539","1134.24","1207.56","0","8500","1030","1100"
"2002","Realschule","Städtischer Raum","1319.52","1226","2445","325","705","1700","2310","4000","1278.99","1360.05","0","10000","1200","1266"
"2003","(Fach-)Abitur","Ländlicher Raum","1181.83","1116","346","300","457","1500","2140","4000","1030.8","1332.86","0","20000","1031","1200"
"2003","(Fach-)Abitur","Städtischer Raum","1304.07","1189","1155","313","555","1702","2390","4800","1242.19","1365.95","0","11500","1110","1250"
"2003","(noch) kein Abschluss","Ländlicher Raum","576.63","332.5","35","62","150","836","1464","1700","412.24","741.02","0","1700","160","349"
"2003","(noch) kein Abschluss","Städtischer Raum","836.15","754.5","119","100","220","1300","1800","2900","706.71","965.59","0","3000","325","850"
"2003","AkademikerIn","Ländlicher Raum","1868.62","1669.5","916","573","1150","2400","3264","6000","1786.82","1950.42","0","9400","1748","1900"
"2003","AkademikerIn","Städtischer Raum","2297.52","1996","2280","747","1350","2800","4000","9000","2206.94","2388.1","0","59000","2100","2200"
"2003","Hauptschule","Ländlicher Raum","1147.73","1086.5","1209","314","549","1570","2000","3100","1102.49","1192.97","0","8000","1017","1153"
"2003","Hauptschule","Städtischer Raum","1279.23","1274","2554","324","700","1700","2100","3760","1246.02","1312.44","0","7500","1250","1320"
"2003","Realschule","Ländlicher Raum","1203.84","1099","1657","350","700","1505","2002","3610","1167.34","1240.34","0","7500","1060","1114"
"2003","Realschule","Städtischer Raum","1354.16","1279.5","2331","325","751","1760","2321","4102","1312.69","1395.63","0","10000","1200","1300"
"2004","(Fach-)Abitur","Ländlicher Raum","1239.17","1188","341","310","467","1700","2200","3800","1141.62","1336.72","0","5500","1000","1176"
"2004","(Fach-)Abitur","Städtischer Raum","1295.19","1193.5","1161","322","572","1761","2300","4878","1231.73","1358.65","0","11000","1105","1250"
"2004","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2004","(noch) kein Abschluss","Städtischer Raum","839.29","695","109","135","300","1200","1600","2941","708.92","969.66","60","2941","400","970"
"2004","AkademikerIn","Ländlicher Raum","1889.74","1698","897","570","1050","2450","3337","6066","1804.1","1975.38","0","10000","1800","1968"
"2004","AkademikerIn","Städtischer Raum","2323.63","1994","2255","744","1339","2961","4000","9000","2239.02","2408.24","0","30214","2100","2300"
"2004","Hauptschule","Ländlicher Raum","1165.49","1095","1148","305","540","1567","2000","3450","1097.58","1233.4","0","30000","1000","1160"
"2004","Hauptschule","Städtischer Raum","1297.28","1279","2390","337","680","1740","2200","4000","1262.31","1332.25","0","8900","1250","1320"
"2004","Realschule","Ländlicher Raum","1205.68","1121","1610","398","750","1540","2009","3325","1169.19","1242.17","0","9100","1090","1123"
"2004","Realschule","Städtischer Raum","1378.28","1299.5","2252","398","766","1800","2427","4000","1336.69","1419.87","0","14800","1211","1300"
"2005","(Fach-)Abitur","Ländlicher Raum","1205.01","1110","323","267","454","1603","2400","3478","1105.38","1304.64","0","5000","1000","1200"
"2005","(Fach-)Abitur","Städtischer Raum","1338.86","1239","1113","340","600","1808","2411","4500","1272.58","1405.14","0","12400","1190","1300"
"2005","(noch) kein Abschluss","Ländlicher Raum","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","Städtischer Raum","723.74","410","108","100","187","1100","1800","2323","593.7","853.78","10","3000","312","800"
"2005","AkademikerIn","Ländlicher Raum","1923.65","1695","872","527","1070","2500","3331","6469","1829.88","2017.42","0","15000","1705","1922"
"2005","AkademikerIn","Städtischer Raum","2315.3","1999.5","2128","781","1400","3000","4000","8100","2237.19","2393.41","0","20000","2100","2300"
"2005","Hauptschule","Ländlicher Raum","1222.28","1167.5","1039","298","570","1700","2100","3563","1161.08","1283.48","0","20000","1080","1200"
"2005","Hauptschule","Städtischer Raum","1281.35","1277.5","2206","315","614","1800","2200","3800","1244.71","1317.99","0","10944","1250","1340"
"2005","Realschule","Ländlicher Raum","1228.15","1129","1541","393","701","1600","2050","3994","1186.61","1269.69","0","13000","1070","1135"
