year,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,West,"Yes, Regularly",0.07228,652,8129,0.06665,0.07791
2008,West,"Yes, Occasionally",0.04460,342,8129,0.04011,0.04909
2008,West,No,0.88312,7135,8129,0.87613,0.89010
2008,East,"Yes, Regularly",0.01965,53,2642,0.01436,0.02495
2008,East,"Yes, Occasionally",0.01585,43,2642,0.01108,0.02061
2008,East,No,0.96450,2546,2642,0.95744,0.97156
2009,West,"Yes, Regularly",0.08240,651,7511,0.07619,0.08862
2009,West,"Yes, Occasionally",0.03814,290,7511,0.03381,0.04247
2009,West,No,0.87945,6570,7511,0.87209,0.88682
2009,East,"Yes, Regularly",0.02482,67,2526,0.01875,0.03089
2009,East,"Yes, Occasionally",0.01253,33,2526,0.00819,0.01686
2009,East,No,0.96265,2426,2526,0.95526,0.97005
2010,West,"Yes, Regularly",0.06950,685,10601,0.06466,0.07434
2010,West,"Yes, Occasionally",0.03333,275,10601,0.02991,0.03674
2010,West,No,0.89717,9641,10601,0.89139,0.90295
2010,East,"Yes, Regularly",0.02325,75,3126,0.01797,0.02854
2010,East,No,0.96692,3051,3126,0.96065,0.97319
2011,West,"Yes, Regularly",0.07388,923,12834,0.06935,0.07841
2011,West,"Yes, Occasionally",0.03054,327,12834,0.02756,0.03352
2011,West,No,0.89558,11584,12834,0.89029,0.90087
2011,East,"Yes, Regularly",0.02581,106,3741,0.02072,0.03089
2011,East,"Yes, Occasionally",0.01067,37,3741,0.00738,0.01396
2011,East,No,0.96352,3598,3741,0.95752,0.96953
2012,West,"Yes, Regularly",0.06997,863,12563,0.06551,0.07444
2012,West,"Yes, Occasionally",0.02821,305,12563,0.02531,0.03110
2012,West,No,0.90182,11395,12563,0.89661,0.90702
2012,East,"Yes, Regularly",0.02345,92,3705,0.01857,0.02832
2012,East,"Yes, Occasionally",0.01072,39,3705,0.00740,0.01403
2012,East,No,0.96583,3574,3705,0.95998,0.97169
2013,West,"Yes, Regularly",0.07854,946,14174,0.07411,0.08297
2013,West,"Yes, Occasionally",0.02880,313,14174,0.02605,0.03155
2013,West,No,0.89266,12915,14174,0.88756,0.89775
2013,East,"Yes, Regularly",0.03128,114,3651,0.02563,0.03692
2013,East,"Yes, Occasionally",0.01079,38,3651,0.00744,0.01414
2013,East,No,0.95793,3499,3651,0.95142,0.96445
2014,West,"Yes, Regularly",0.07661,887,12423,0.07193,0.08128
2014,West,"Yes, Occasionally",0.02783,276,12423,0.02494,0.03072
2014,West,No,0.89556,11260,12423,0.89018,0.90094
2014,East,"Yes, Regularly",0.03051,106,3372,0.02470,0.03631
2014,East,"Yes, Occasionally",0.00921,33,3372,0.00598,0.01243
2014,East,No,0.96029,3233,3372,0.95370,0.96688
2015,West,"Yes, Regularly",0.08097,877,12465,0.07618,0.08576
2015,West,"Yes, Occasionally",0.02600,235,12465,0.02321,0.02880
2015,West,No,0.89303,11353,12465,0.88760,0.89846
2015,East,"Yes, Regularly",0.02694,87,3273,0.02139,0.03249
2015,East,"Yes, Occasionally",0.01354,32,3273,0.00958,0.01750
2015,East,No,0.95952,3154,3273,0.95277,0.96627
2016,West,"Yes, Regularly",0.07483,777,11213,0.06996,0.07970
2016,West,"Yes, Occasionally",0.02139,202,11213,0.01871,0.02407
2016,West,No,0.90378,10234,11213,0.89832,0.90924
2016,East,"Yes, Regularly",0.03219,95,3036,0.02591,0.03847
2016,East,No,0.95871,2941,3036,0.95164,0.96579
2017,West,"Yes, Regularly",0.07320,814,12241,0.06858,0.07781
2017,West,"Yes, Occasionally",0.02417,227,12241,0.02145,0.02689
2017,West,No,0.90263,11200,12241,0.89738,0.90789
2017,East,"Yes, Regularly",0.03057,104,3413,0.02479,0.03634
2017,East,"Yes, Occasionally",0.01254,33,3413,0.00881,0.01628
2017,East,No,0.95689,3276,3413,0.95007,0.96370
2018,West,"Yes, Regularly",0.08291,858,12004,0.07798,0.08785
2018,West,"Yes, Occasionally",0.02180,219,12004,0.01919,0.02441
2018,West,No,0.89528,10927,12004,0.88981,0.90076
2018,East,"Yes, Regularly",0.04014,107,3421,0.03356,0.04671
2018,East,"Yes, Occasionally",0.01217,36,3421,0.00850,0.01585
2018,East,No,0.94769,3278,3421,0.94023,0.95515
2019,Does not apply,No,0.94630,59,59,0.88829,1.00432
2019,West,"Yes, Regularly",0.08649,1177,12455,0.08155,0.09142
2019,West,"Yes, Occasionally",0.02431,324,12455,0.02160,0.02701
2019,West,No,0.88920,10954,12455,0.88369,0.89472
2019,East,"Yes, Regularly",0.03761,198,3576,0.03138,0.04385
2019,East,"Yes, Occasionally",0.01181,42,3576,0.00827,0.01535
2019,East,No,0.95058,3336,3576,0.94348,0.95769
2020,West,"Yes, Regularly",0.07952,969,12803,0.07483,0.08420
2020,West,"Yes, Occasionally",0.02321,267,12803,0.02060,0.02581
2020,West,No,0.89728,11567,12803,0.89202,0.90253
2020,East,"Yes, Regularly",0.04729,168,3428,0.04018,0.05440
2020,East,"Yes, Occasionally",0.00926,47,3428,0.00606,0.01247
2020,East,No,0.94345,3213,3428,0.93571,0.95118
2021,West,"Yes, Regularly",0.08512,714,8684,0.07925,0.09099
2021,West,"Yes, Occasionally",0.02808,223,8684,0.02461,0.03156
2021,West,No,0.88679,7747,8684,0.88013,0.89346
2021,East,"Yes, Regularly",0.05995,137,2392,0.05044,0.06947
2021,East,"Yes, Occasionally",0.01007,32,2392,0.00607,0.01408
2021,East,No,0.92997,2223,2392,0.91975,0.94020
2022,West,"Yes, Regularly",0.07331,953,15024,0.06914,0.07748
2022,West,"Yes, Occasionally",0.02965,368,15024,0.02693,0.03236
2022,West,No,0.89704,13703,15024,0.89218,0.90190
2022,East,"Yes, Regularly",0.04623,187,4206,0.03989,0.05258
2022,East,"Yes, Occasionally",0.01780,83,4206,0.01380,0.02180
2022,East,No,0.93597,3936,4206,0.92857,0.94337
