,Unnamed: 0,year,quintil_oecd_hh,rentown,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
52,52,2006,4th Quintile,Tenant,No,0.96204,956,12228,0.9189,1.00853
53,53,2006,5th Quintile,Owner,Yes,0.0416,88,12228,0.03344,0.04847
54,54,2006,5th Quintile,Owner,No,0.9584,2067,12228,0.91821,0.99535
55,55,2006,5th Quintile,Tenant,Yes,0.02336,31,12228,0.01665,0.0315
56,56,2006,5th Quintile,Tenant,No,0.97664,868,12228,0.92959,1.0235
57,57,2011,1st Quintile,Owner,No,1.0,338,12043,0.92928,1.08875
58,58,2011,1st Quintile,Tenant,Yes,0.04148,100,12043,0.0341,0.04921
59,59,2011,1st Quintile,Tenant,No,0.95852,1777,12043,0.92124,0.99187
60,60,2011,2nd Quintile,Owner,Yes,0.04452,41,12043,0.03279,0.05896
61,61,2011,2nd Quintile,Owner,No,0.95548,834,12043,0.90426,1.01378
62,62,2011,2nd Quintile,Tenant,Yes,0.03676,65,12043,0.02937,0.04551
63,63,2011,2nd Quintile,Tenant,No,0.96324,1323,12043,0.91424,1.01087
64,64,2011,3rd Quintile,Owner,Yes,0.04688,52,12043,0.0362,0.06105
65,65,2011,3rd Quintile,Owner,No,0.95312,1182,12043,0.9019,0.99858
66,66,2011,3rd Quintile,Tenant,Yes,0.04017,50,12043,0.03025,0.05072
67,67,2011,3rd Quintile,Tenant,No,0.95983,1095,12043,0.91506,1.00937
68,68,2011,4th Quintile,Owner,Yes,0.04114,62,12043,0.02976,0.05383
69,69,2011,4th Quintile,Owner,No,0.95886,1402,12043,0.91183,0.99981
70,70,2011,4th Quintile,Tenant,Yes,0.04016,31,12043,0.02982,0.05242
71,71,2011,4th Quintile,Tenant,No,0.95984,919,12043,0.90601,1.01242
72,72,2011,5th Quintile,Owner,Yes,0.02626,50,12043,0.02051,0.03365
73,73,2011,5th Quintile,Owner,No,0.97374,1960,12043,0.92861,1.01377
74,74,2011,5th Quintile,Tenant,No,1.0,762,12043,0.92827,1.05772
75,75,2016,1st Quintile,Owner,No,1.0,362,14245,0.89115,1.10732
76,76,2016,1st Quintile,Tenant,Yes,0.03655,101,14245,0.02892,0.04623
77,77,2016,1st Quintile,Tenant,No,0.96345,2581,14245,0.92084,1.01846
78,78,2016,2nd Quintile,Owner,Yes,0.04576,57,14245,0.03424,0.06111
79,79,2016,2nd Quintile,Owner,No,0.95424,975,14245,0.88983,1.02611
80,80,2016,2nd Quintile,Tenant,Yes,0.03106,60,14245,0.0243,0.03804
81,81,2016,2nd Quintile,Tenant,No,0.96894,2010,14245,0.9212,1.01821
82,82,2016,3rd Quintile,Owner,Yes,0.02701,51,14245,0.01953,0.03592
83,83,2016,3rd Quintile,Owner,No,0.97299,1335,14245,0.91736,1.02606
84,84,2016,3rd Quintile,Tenant,Yes,0.02549,41,14245,0.01814,0.03512
85,85,2016,3rd Quintile,Tenant,No,0.97451,1324,14245,0.92744,1.03286
86,86,2016,4th Quintile,Owner,Yes,0.02879,50,14245,0.02095,0.03711
87,87,2016,4th Quintile,Owner,No,0.97121,1510,14245,0.91933,1.02625
88,88,2016,4th Quintile,Tenant,No,1.0,1076,14245,0.93978,1.07152
89,89,2016,5th Quintile,Owner,Yes,0.01066,35,14245,0.00787,0.01329
90,90,2016,5th Quintile,Owner,No,0.98934,1907,14245,0.93597,1.03732
91,91,2016,5th Quintile,Tenant,No,1.0,770,14245,0.93385,1.0781
92,92,2021,1st Quintile,Owner,No,1.0,248,10927,0.86841,1.12593
93,93,2021,1st Quintile,Tenant,Yes,0.02389,48,10927,0.01718,0.03104
94,94,2021,1st Quintile,Tenant,No,0.97611,1757,10927,0.92766,1.03524
95,95,2021,2nd Quintile,Owner,Yes,0.03031,32,10927,0.01866,0.04621
96,96,2021,2nd Quintile,Owner,No,0.96969,668,10927,0.88292,1.06379
97,97,2021,2nd Quintile,Tenant,Yes,0.01819,32,10927,0.01245,0.02327
98,98,2021,2nd Quintile,Tenant,No,0.98181,1469,10927,0.92813,1.03969
99,99,2021,3rd Quintile,Owner,Yes,0.03247,41,10927,0.0202,0.04742
100,100,2021,3rd Quintile,Owner,No,0.96753,884,10927,0.90014,1.03875
101,101,2021,3rd Quintile,Tenant,No,1.0,1075,10927,0.92378,1.08784
102,102,2021,4th Quintile,Owner,No,1.0,1182,10927,0.92336,1.06488
103,103,2021,4th Quintile,Tenant,No,1.0,857,10927,0.91809,1.09061
104,104,2021,5th Quintile,Owner,No,1.0,1949,10927,0.93573,1.06911
105,105,2021,5th Quintile,Tenant,No,1.0,685,10927,0.90673,1.10967
