year,bula_h,rentown,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Brandenburg,Owner,No,0.89626,178,178,0.85134,0.94118
2001,Brandenburg,Tenant,No,0.90914,271,271,0.87485,0.94342
2001,Mecklenburg-Western Pomerania,Owner,No,0.88703,88,88,0.82051,0.95355
2001,Mecklenburg-Western Pomerania,Tenant,No,0.92200,168,168,0.88133,0.96267
2001,Saxony,Owner,Yes,0.09180,32,309,0.05955,0.12405
2001,Saxony,Owner,No,0.90820,277,309,0.87595,0.94045
2001,Saxony,Tenant,Yes,0.10081,61,540,0.07539,0.12623
2001,Saxony,Tenant,No,0.89919,479,540,0.87377,0.92461
2001,Saxony-Anhalt,Owner,No,0.93194,214,214,0.89811,0.96576
2001,Saxony-Anhalt,Tenant,Yes,0.12415,39,272,0.08489,0.16341
2001,Saxony-Anhalt,Tenant,No,0.87585,233,272,0.83659,0.91511
2001,Thuringa,Owner,No,0.89406,217,217,0.85301,0.93510
2001,Thuringa,Tenant,No,0.91868,227,227,0.88304,0.95431
2006,Schleswig-Holstein,Owner,No,0.95010,205,205,0.92022,0.97998
2006,Schleswig-Holstein,Tenant,No,0.98788,170,170,0.97139,1.00438
2006,Hamburg,Tenant,No,0.96414,141,141,0.93333,0.99494
2006,Lower Saxony,Owner,Yes,0.08266,44,639,0.06129,0.10403
2006,Lower Saxony,Owner,No,0.91734,595,639,0.89597,0.93871
2006,Lower Saxony,Tenant,No,0.94694,413,413,0.92530,0.96859
2006,Bremen,Owner,No,0.89551,34,34,0.79115,0.99988
2006,Bremen,Tenant,No,0.89722,50,50,0.81220,0.98225
2006,North Rhine-Westphalia,Owner,Yes,0.04296,59,1204,0.03151,0.05442
2006,North Rhine-Westphalia,Owner,No,0.95704,1145,1204,0.94558,0.96849
2006,North Rhine-Westphalia,Tenant,Yes,0.03966,60,1334,0.02918,0.05013
2006,North Rhine-Westphalia,Tenant,No,0.96034,1274,1334,0.94987,0.97082
2006,Hesse,Owner,No,0.96080,404,404,0.94185,0.97974
2006,Hesse,Tenant,No,0.96252,403,403,0.94396,0.98109
2006,"Rhineland-Palatinate, Saarland",Owner,No,0.93542,381,381,0.91070,0.96013
2006,"Rhineland-Palatinate, Saarland",Tenant,No,0.94918,304,304,0.92445,0.97391
2006,Baden-Wuerttemberg,Owner,Yes,0.05006,36,786,0.03481,0.06532
2006,Baden-Wuerttemberg,Owner,No,0.94994,750,786,0.93468,0.96519
2006,Baden-Wuerttemberg,Tenant,Yes,0.05458,38,687,0.03758,0.07158
2006,Baden-Wuerttemberg,Tenant,No,0.94542,649,687,0.92842,0.96242
2006,Bavaria,Owner,Yes,0.04672,41,971,0.03344,0.06000
2006,Bavaria,Owner,No,0.95328,930,971,0.94000,0.96656
2006,Bavaria,Tenant,No,0.97820,736,736,0.96765,0.98876
2006,Berlin,Owner,No,0.91333,79,79,0.85089,0.97577
2006,Berlin,Tenant,No,0.95016,379,379,0.92822,0.97210
2006,Brandenburg,Owner,No,0.90532,198,198,0.86443,0.94620
2006,Brandenburg,Tenant,No,0.93462,295,295,0.90636,0.96288
2006,Mecklenburg-Western Pomerania,Owner,No,0.92513,126,126,0.87899,0.97127
2006,Mecklenburg-Western Pomerania,Tenant,No,0.92034,155,155,0.87758,0.96311
2006,Saxony,Owner,Yes,0.09287,34,343,0.06211,0.12363
2006,Saxony,Owner,No,0.90713,309,343,0.87637,0.93789
2006,Saxony,Tenant,Yes,0.05501,36,534,0.03565,0.07437
2006,Saxony,Tenant,No,0.94499,498,534,0.92563,0.96435
2006,Saxony-Anhalt,Owner,No,0.88925,204,204,0.84607,0.93242
2006,Saxony-Anhalt,Tenant,No,0.89967,242,242,0.86174,0.93761
2006,Thuringa,Owner,No,0.94464,246,246,0.91600,0.97328
2006,Thuringa,Tenant,No,0.93342,228,228,0.90099,0.96585
2011,Schleswig-Holstein,Owner,No,0.90103,192,192,0.85868,0.94338
2011,Schleswig-Holstein,Tenant,No,0.89706,206,206,0.85546,0.93866
2011,Hamburg,Owner,No,0.95344,49,49,0.89383,1.01305
2011,Hamburg,Tenant,No,0.91603,145,145,0.87073,0.96133
2011,Lower Saxony,Owner,No,0.88828,629,629,0.86364,0.91291
2011,Lower Saxony,Tenant,No,0.83506,404,404,0.79883,0.87130
2011,Bremen,Tenant,No,0.85599,52,52,0.75962,0.95235
2011,North Rhine-Westphalia,Owner,Yes,0.03756,45,1136,0.02650,0.04862
2011,North Rhine-Westphalia,Owner,No,0.90620,1091,1136,0.88924,0.92317
2011,North Rhine-Westphalia,Tenant,Yes,0.03581,55,1217,0.02536,0.04625
2011,North Rhine-Westphalia,Tenant,No,0.87155,1162,1217,0.85274,0.89036
2011,Hesse,Owner,No,0.91551,420,420,0.88888,0.94214
2011,Hesse,Tenant,No,0.86830,385,385,0.83447,0.90212
2011,"Rhineland-Palatinate, Saarland",Owner,No,0.90136,390,390,0.87173,0.93099
2011,"Rhineland-Palatinate, Saarland",Tenant,No,0.89702,293,293,0.86215,0.93188
2011,Baden-Wuerttemberg,Owner,No,0.90799,777,777,0.88765,0.92833
2011,Baden-Wuerttemberg,Tenant,No,0.86684,575,575,0.83904,0.89463
2011,Bavaria,Owner,Yes,0.02660,31,1016,0.01670,0.03650
2011,Bavaria,Owner,No,0.90816,985,1016,0.89039,0.92593
2011,Bavaria,Tenant,No,0.88928,798,798,0.86750,0.91107
2011,Berlin,Owner,No,0.87543,95,95,0.80867,0.94219
2011,Berlin,Tenant,No,0.90178,401,401,0.87261,0.93094
2011,Brandenburg,Owner,No,0.89696,223,223,0.85696,0.93695
2011,Brandenburg,Tenant,No,0.87701,271,271,0.83784,0.91619
2011,Mecklenburg-Western Pomerania,Owner,No,0.90222,119,119,0.84862,0.95581
2011,Mecklenburg-Western Pomerania,Tenant,No,0.86324,178,178,0.81262,0.91386
2011,Saxony,Owner,No,0.88890,281,281,0.85210,0.92571
2011,Saxony,Tenant,No,0.88492,481,481,0.85637,0.91347
2011,Saxony-Anhalt,Owner,No,0.85673,213,213,0.80957,0.90390
2011,Saxony-Anhalt,Tenant,No,0.86660,263,263,0.82542,0.90777
2011,Thuringa,Owner,No,0.89381,225,225,0.85346,0.93416
2011,Thuringa,Tenant,No,0.87552,265,265,0.83570,0.91535
2016,Schleswig-Holstein,Owner,No,0.99698,230,230,0.98988,1.00409
2016,Schleswig-Holstein,Tenant,No,0.97060,258,258,0.94994,0.99125
2016,Hamburg,Owner,No,0.98540,71,71,0.95730,1.01350
2016,Hamburg,Tenant,No,0.96403,185,185,0.93713,0.99094
2016,Lower Saxony,Owner,No,0.96599,667,667,0.95222,0.97976
2016,Lower Saxony,Tenant,No,0.97077,635,635,0.95766,0.98388
2016,Bremen,Owner,No,0.99014,33,33,0.95590,1.02438
2016,Bremen,Tenant,No,0.95924,69,69,0.91224,1.00624
2016,North Rhine-Westphalia,Owner,Yes,0.02128,33,1216,0.01317,0.02940
2016,North Rhine-Westphalia,Owner,No,0.97872,1183,1216,0.97060,0.98683
2016,North Rhine-Westphalia,Tenant,Yes,0.03494,52,1691,0.02618,0.04369
2016,North Rhine-Westphalia,Tenant,No,0.96506,1639,1691,0.95631,0.97382
2016,Hesse,Owner,No,0.96442,415,415,0.94658,0.98227
2016,Hesse,Tenant,No,0.97679,537,537,0.96404,0.98954
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.96472,420,420,0.94706,0.98239
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.95943,389,389,0.93980,0.97906
2016,Baden-Wuerttemberg,Owner,No,0.98533,834,834,0.97716,0.99349
2016,Baden-Wuerttemberg,Tenant,No,0.98434,760,760,0.97550,0.99317
2016,Bavaria,Owner,No,0.98820,1077,1077,0.98175,0.99466
2016,Bavaria,Tenant,No,0.98507,1177,1177,0.97814,0.99200
2016,Berlin,Owner,No,0.98842,108,108,0.96814,1.00869
2016,Berlin,Tenant,No,0.97818,492,492,0.96526,0.99110
2016,Brandenburg,Owner,No,0.96089,242,242,0.93641,0.98536
2016,Brandenburg,Tenant,No,0.97382,297,297,0.95562,0.99201
2016,Mecklenburg-Western Pomerania,Owner,No,0.94178,100,100,0.89565,0.98791
2016,Mecklenburg-Western Pomerania,Tenant,No,0.95890,213,213,0.93217,0.98562
2016,Saxony,Owner,No,0.94910,286,286,0.92358,0.97462
2016,Saxony,Tenant,No,0.96047,543,543,0.94407,0.97687
2016,Saxony-Anhalt,Owner,No,0.94418,200,200,0.91229,0.97608
2016,Saxony-Anhalt,Tenant,No,0.94540,286,286,0.91902,0.97178
2016,Thuringa,Owner,No,0.94173,223,223,0.91092,0.97255
2016,Thuringa,Tenant,No,0.94272,286,286,0.91575,0.96970
2021,Schleswig-Holstein,Owner,No,0.98779,235,235,0.97373,1.00186
2021,Schleswig-Holstein,Tenant,No,0.92752,177,177,0.88921,0.96583
2021,Hamburg,Owner,No,0.99447,76,76,0.97769,1.01125
2021,Hamburg,Tenant,No,0.96006,189,189,0.93207,0.98805
2021,Lower Saxony,Owner,No,0.96911,548,548,0.95461,0.98361
2021,Lower Saxony,Tenant,No,0.96297,487,487,0.94618,0.97976
2021,Bremen,Tenant,No,0.98025,56,56,0.94347,1.01702
2021,North Rhine-Westphalia,Owner,No,0.98455,984,984,0.97684,0.99226
2021,North Rhine-Westphalia,Tenant,No,0.95624,1243,1243,0.94486,0.96762
2021,Hesse,Owner,No,0.97950,321,321,0.96397,0.99502
2021,Hesse,Tenant,No,0.95925,363,363,0.93888,0.97962
2021,"Rhineland-Palatinate, Saarland",Owner,No,0.96607,286,286,0.94505,0.98709
2021,"Rhineland-Palatinate, Saarland",Tenant,No,0.95122,236,236,0.92368,0.97876
2021,Baden-Wuerttemberg,Owner,No,0.97354,636,636,0.96106,0.98603
2021,Baden-Wuerttemberg,Tenant,No,0.97430,555,555,0.96112,0.98748
2021,Bavaria,Owner,No,0.98255,842,842,0.97370,0.99140
2021,Bavaria,Tenant,No,0.97190,871,871,0.96092,0.98288
2021,Berlin,Owner,No,0.97194,107,107,0.94051,1.00338
2021,Berlin,Tenant,No,0.95683,436,436,0.93773,0.97593
2021,Brandenburg,Owner,No,0.98949,220,220,0.97598,1.00300
2021,Brandenburg,Tenant,No,0.95438,211,211,0.92616,0.98260
2021,Mecklenburg-Western Pomerania,Owner,No,0.94633,94,94,0.90053,0.99213
2021,Mecklenburg-Western Pomerania,Tenant,No,0.96854,154,154,0.94088,0.99620
2021,Saxony,Owner,No,0.97808,258,258,0.96018,0.99598
2021,Saxony,Tenant,No,0.96864,459,459,0.95267,0.98460
2021,Saxony-Anhalt,Owner,No,0.93580,148,148,0.89617,0.97542
2021,Saxony-Anhalt,Tenant,No,0.96488,209,209,0.93986,0.98990
2021,Thuringa,Owner,No,0.90853,158,158,0.86343,0.95362
2021,Thuringa,Tenant,No,0.97059,209,209,0.94762,0.99355
