,Unnamed: 0,year,bula_h,regtyp,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
93,93,2006,Bavaria,Rural regions,Yes,0.03283,34,12024,0.02505,0.04166
94,94,2006,Bavaria,Rural regions,No,0.96717,851,12024,0.91842,1.01456
95,95,2006,Berlin,Urban regions,No,1.0,459,12024,0.93775,1.06377
96,96,2006,Brandenburg,Urban regions,No,1.0,45,12024,0.82406,1.20045
97,97,2006,Brandenburg,Rural regions,Yes,0.08088,38,12024,0.06908,0.09698
98,98,2006,Brandenburg,Rural regions,No,0.91912,448,12024,0.85551,0.99028
99,99,2006,Mecklenburg-Western Pomerania,Urban regions,No,1.0,39,12024,0.78728,1.30493
100,100,2006,Mecklenburg-Western Pomerania,Rural regions,No,1.0,242,12024,0.89912,1.08074
101,101,2006,Saxony,Urban regions,Yes,0.05001,35,12024,0.04016,0.05987
102,102,2006,Saxony,Urban regions,No,0.94999,420,12024,0.88143,1.02355
103,103,2006,Saxony,Rural regions,Yes,0.08334,35,12024,0.06384,0.10599
104,104,2006,Saxony,Rural regions,No,0.91666,387,12024,0.8365,0.99102
105,105,2006,Saxony-Anhalt,Urban regions,No,1.0,87,12024,0.81848,1.14132
106,106,2006,Saxony-Anhalt,Rural regions,Yes,0.11456,37,12024,0.08556,0.14855
107,107,2006,Saxony-Anhalt,Rural regions,No,0.88544,359,12024,0.82154,0.96408
108,108,2006,Thuringa,Urban regions,No,1.0,137,12024,0.86232,1.14433
109,109,2006,Thuringa,Rural regions,Yes,0.06048,31,12024,0.0496,0.07346
110,110,2006,Thuringa,Rural regions,No,0.93952,337,12024,0.85255,1.03551
111,111,2011,Schleswig-Holstein,Urban regions,No,1.0,117,11774,0.8486,1.19024
112,112,2011,Schleswig-Holstein,Rural regions,No,1.0,281,11774,0.90207,1.10869
113,113,2011,Hamburg,Urban regions,No,1.0,194,11774,0.87469,1.10733
114,114,2011,Lower Saxony,Urban regions,No,1.0,495,11774,0.91846,1.07196
115,115,2011,Lower Saxony,Rural regions,Yes,0.07468,36,11774,0.05247,0.10012
116,116,2011,Lower Saxony,Rural regions,No,0.92532,538,11774,0.86938,0.98092
117,117,2011,Bremen,Urban regions,No,1.0,79,11774,0.83427,1.21109
118,118,2011,North Rhine-Westphalia,Urban regions,Yes,0.0392,95,11774,0.03272,0.04591
119,119,2011,North Rhine-Westphalia,Urban regions,No,0.9608,2192,11774,0.92543,0.99062
120,120,2011,North Rhine-Westphalia,Rural regions,No,1.0,61,11774,0.79326,1.18565
121,121,2011,Hesse,Urban regions,No,1.0,657,11774,0.93678,1.05791
122,122,2011,Hesse,Rural regions,No,1.0,148,11774,0.86403,1.14419
