year,bula_h,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,North Rhine-Westphalia,Yes,0.03961,100,2353,0.03173,0.04750
2011,North Rhine-Westphalia,No,0.96039,2253,2353,0.95250,0.96827
2011,Hesse,No,0.96939,805,805,0.95748,0.98130
2011,"Rhineland-Palatinate, Saarland",No,0.97149,683,683,0.95900,0.98398
2011,Baden-Wuerttemberg,Yes,0.03254,49,1401,0.02324,0.04183
2011,Baden-Wuerttemberg,No,0.96746,1352,1401,0.95817,0.97676
2011,Bavaria,Yes,0.02509,56,1839,0.01794,0.03224
2011,Bavaria,No,0.97491,1783,1839,0.96776,0.98206
2011,Berlin,No,0.96289,496,496,0.94624,0.97954
2011,Brandenburg,No,0.95715,494,494,0.93927,0.97503
2011,Mecklenburg-Western Pomerania,No,0.95172,297,297,0.92730,0.97614
2011,Saxony,Yes,0.05313,46,808,0.03766,0.06861
2011,Saxony,No,0.94687,762,808,0.93139,0.96234
2011,Saxony-Anhalt,Yes,0.07120,33,509,0.04883,0.09356
2011,Saxony-Anhalt,No,0.92880,476,509,0.90644,0.95117
2011,Thuringa,No,0.95580,490,490,0.93759,0.97402
2016,Schleswig-Holstein,No,0.98437,488,488,0.97335,0.99539
2016,Hamburg,No,0.97056,256,256,0.94981,0.99131
2016,Lower Saxony,Yes,0.03183,46,1348,0.02245,0.04120
2016,Lower Saxony,No,0.96817,1302,1348,0.95880,0.97755
2016,Bremen,No,0.97035,102,102,0.93727,1.00343
2016,North Rhine-Westphalia,Yes,0.02896,85,2907,0.02287,0.03506
2016,North Rhine-Westphalia,No,0.97104,2822,2907,0.96494,0.97713
2016,Hesse,No,0.97096,952,952,0.96029,0.98163
2016,"Rhineland-Palatinate, Saarland",Yes,0.03780,39,848,0.02496,0.05065
2016,"Rhineland-Palatinate, Saarland",No,0.96220,809,848,0.94935,0.97504
2016,Baden-Wuerttemberg,Yes,0.01511,33,1627,0.00918,0.02104
2016,Baden-Wuerttemberg,No,0.98489,1594,1627,0.97896,0.99082
2016,Bavaria,Yes,0.01330,45,2300,0.00862,0.01799
2016,Bavaria,No,0.98670,2255,2300,0.98201,0.99138
2016,Berlin,No,0.98014,600,600,0.96897,0.99131
2016,Brandenburg,No,0.96775,539,539,0.95282,0.98268
2016,Mecklenburg-Western Pomerania,No,0.95310,313,313,0.92964,0.97656
2016,Saxony,Yes,0.04346,36,865,0.02986,0.05705
2016,Saxony,No,0.95654,829,865,0.94295,0.97014
2016,Saxony-Anhalt,No,0.94491,486,486,0.92461,0.96522
2016,Thuringa,Yes,0.05769,35,544,0.03808,0.07730
2016,Thuringa,No,0.94231,509,544,0.92270,0.96192
2021,Schleswig-Holstein,No,0.97522,412,412,0.96020,0.99025
2021,Hamburg,No,0.98050,265,265,0.96382,0.99718
2021,Lower Saxony,No,0.97505,1035,1035,0.96554,0.98456
2021,North Rhine-Westphalia,Yes,0.01890,54,2283,0.01332,0.02449
2021,North Rhine-Westphalia,No,0.98110,2229,2283,0.97551,0.98668
2021,Hesse,No,0.99291,685,685,0.98663,0.99920
2021,"Rhineland-Palatinate, Saarland",No,0.97285,522,522,0.95890,0.98681
2021,Baden-Wuerttemberg,No,0.98307,1192,1192,0.97574,0.99040
2021,Bavaria,Yes,0.01614,34,1747,0.01023,0.02206
2021,Bavaria,No,0.98386,1713,1747,0.97794,0.98977
2021,Berlin,No,0.97698,543,543,0.96435,0.98960
2021,Brandenburg,No,0.97645,431,431,0.96212,0.99078
2021,Mecklenburg-Western Pomerania,No,0.96800,248,248,0.94605,0.98995
2021,Saxony,No,0.97832,717,717,0.96765,0.98898
2021,Saxony-Anhalt,No,0.96114,357,357,0.94106,0.98121
2021,Thuringa,No,0.95621,367,367,0.93525,0.97718
