year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1999,3rd Quintile,1682,9.29725,8.86729,9.72721,2.00000,6.00000,14.00000,0.00000,32.00000,6.00000,6.00000,7.00000
1999,4th Quintile,1909,10.94457,10.49724,11.39190,3.00000,8.00000,16.00000,0.00000,35.50000,8.00000,7.00000,9.00000
1999,5th Quintile,1886,12.82965,12.33839,13.32091,4.00000,9.00000,20.00000,0.00000,44.00000,9.00000,8.00000,10.00000
2000,1st Quintile,968,5.38783,4.94405,5.83160,1.00000,2.00000,7.00000,0.00000,16.00000,2.00000,2.00000,3.00000
2000,2nd Quintile,1456,7.42606,7.02186,7.83027,2.00000,4.00000,10.00000,0.00000,22.00000,4.00000,4.00000,5.00000
2000,3rd Quintile,1644,9.35840,8.92257,9.79424,2.00000,6.41518,14.00000,0.00000,32.00000,6.00000,6.00000,7.00000
2000,4th Quintile,1855,10.36686,9.93717,10.79655,3.00000,8.00000,15.00000,0.00000,33.00000,8.00000,7.00000,8.00000
2000,5th Quintile,1823,12.92116,12.42309,13.41923,4.00000,10.00000,20.00000,0.00000,44.00000,10.00000,9.00000,10.00000
2001,1st Quintile,1460,4.66267,4.32035,5.00499,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,2.00000
2001,2nd Quintile,2235,7.44478,7.10996,7.77960,2.00000,4.00000,11.00000,0.00000,24.50000,4.00000,4.00000,5.00000
2001,3rd Quintile,2659,9.63297,9.27635,9.98959,2.00000,6.00000,14.00000,0.00000,32.00000,6.00000,6.00000,7.00000
2001,4th Quintile,3019,11.06577,10.71646,11.41508,3.00000,9.00000,16.00000,0.00000,35.50000,9.00000,8.00000,10.00000
2001,5th Quintile,3178,13.31136,12.92932,13.69340,4.00000,10.00000,21.00000,0.00000,46.50000,10.00000,10.00000,11.00000
2002,1st Quintile,1207,5.02936,4.65724,5.40147,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,3.00000
2002,2nd Quintile,1859,7.35693,6.98740,7.72647,2.00000,4.00000,10.00000,0.00000,22.00000,4.00000,4.00000,5.00000
2002,3rd Quintile,2276,9.76080,9.38330,10.13830,2.00000,7.00000,14.00000,0.00000,32.00000,7.00000,6.00000,7.00000
2002,4th Quintile,2821,10.78275,10.42499,11.14051,3.00000,8.00000,16.00000,0.00000,35.50000,8.00000,7.00000,9.00000
2002,5th Quintile,3560,13.54624,13.17845,13.91403,4.00000,11.00000,22.00000,0.00000,49.00000,11.00000,10.00000,11.00000
2003,1st Quintile,1141,5.34659,4.95242,5.74077,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
2003,2nd Quintile,1814,7.59747,7.23614,7.95879,2.00000,5.00000,11.00000,0.00000,24.50000,5.00000,4.00000,5.00000
2003,3rd Quintile,2321,9.88478,9.50453,10.26503,2.00000,7.00000,15.00000,0.00000,34.50000,7.00000,6.00000,7.00000
2003,4th Quintile,2882,10.99513,10.64511,11.34516,3.00000,8.00000,16.00000,0.00000,35.50000,8.00000,8.00000,9.00000
2003,5th Quintile,4445,14.00067,13.66282,14.33852,4.00000,11.00000,22.00000,0.00000,49.00000,11.00000,11.00000,12.00000
2004,1st Quintile,1140,5.44586,5.04479,5.84693,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
2004,2nd Quintile,1776,8.11937,7.72823,8.51052,2.00000,5.00000,12.00000,0.00000,27.00000,5.00000,4.00000,5.00000
2004,3rd Quintile,2152,10.02540,9.62788,10.42291,3.00000,7.00000,14.00000,0.00000,30.50000,7.00000,6.00000,7.00000
2004,4th Quintile,2754,11.51119,11.14298,11.87939,3.00000,9.00000,17.00000,0.00000,38.00000,9.00000,8.00000,10.00000
2004,5th Quintile,4378,13.82046,13.48986,14.15105,4.00000,11.56283,21.00000,0.00000,46.50000,12.00000,11.00000,12.00000
2005,1st Quintile,1050,5.07284,4.67891,5.46676,1.00000,3.00000,6.00000,0.00000,13.50000,3.00000,2.00000,3.00000
2005,2nd Quintile,1623,8.16788,7.76522,8.57054,2.00000,5.00000,12.00000,0.00000,27.00000,5.00000,5.00000,6.00000
2005,3rd Quintile,2098,9.89405,9.51421,10.27389,3.00000,7.00000,15.00000,0.00000,33.00000,7.00000,7.00000,8.00000
2005,4th Quintile,2673,11.36955,10.99655,11.74255,3.00000,9.00000,17.00000,0.00000,38.00000,9.00000,8.00000,9.00000
