year,bula_h,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,Hamburg,2nd Quintile,,,,,,,,,,,,
1987,Hamburg,3rd Quintile,,,,,,,,,,,,
1987,Hamburg,4th Quintile,,,,,,,,,,,,
1987,Hamburg,5th Quintile,,,,,,,,,,,,
1987,Lower Saxony,1st Quintile,67,1.7102786360938513,1.327920607282345,2.0926366649053576,0.014368749401570973,1.0,1.0,0.0,2.4784468758976437,1.0,1.0,1.0
1987,Lower Saxony,2nd Quintile,38,4.862878243076003,3.520745749892538,6.205010736259468,1.0,1.0,5.867506373978918,0.0,13.168765934947295,1.0,1.0,1.0
1987,Lower Saxony,3rd Quintile,,,,,,,,,,,,
1987,Lower Saxony,4th Quintile,,,,,,,,,,,,
1987,Lower Saxony,5th Quintile,,,,,,,,,,,,
1987,Bremen,1st Quintile,,,,,,,,,,,,
1987,Bremen,2nd Quintile,,,,,,,,,,,,
1987,Bremen,3rd Quintile,,,,,,,,,,,,
1987,Bremen,5th Quintile,,,,,,,,,,,,
1987,North Rhine-Westphalia,1st Quintile,142,1.9590282203594238,1.6806361272554207,2.237420313463427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1987,North Rhine-Westphalia,2nd Quintile,98,2.6602721317348133,2.2550844774690644,3.065459786000562,1.0,1.0,2.0777362757864313,0.0,3.6943406894660784,1.0,1.0,1.0
1987,North Rhine-Westphalia,3rd Quintile,35,2.50368398290836,1.8729223246160043,3.134445641200716,0.08616331052222043,1.0,2.5446289155685857,0.0,6.232327323138134,1.0,1.0,1.0
1987,North Rhine-Westphalia,4th Quintile,,,,,,,,,,,,
1987,North Rhine-Westphalia,5th Quintile,,,,,,,,,,,,
1987,Hesse,1st Quintile,68,3.0619639186815553,2.2688591753282044,3.855068662034906,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
