year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1994,4th Quintile,East,409,9.20855,8.18962,10.22748,2.00000,4.00000,15.00000,0.00000,34.50000,4.00000,3.00000,4.00000
1994,5th Quintile,West,1564,12.41622,11.90196,12.93047,4.00000,9.00000,20.00000,0.00000,44.00000,9.00000,8.00000,10.00000
1994,5th Quintile,East,235,8.71658,7.35273,10.08043,2.00000,3.73707,11.11525,0.00000,24.78812,3.00000,3.00000,4.00000
1995,1st Quintile,West,645,5.64454,5.08974,6.19935,1.00000,3.00000,6.66935,0.00000,15.17337,3.00000,2.00000,3.00000
1995,1st Quintile,East,325,4.21178,3.52850,4.89507,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,1.00000,2.00000
1995,2nd Quintile,West,946,8.50139,7.96782,9.03496,2.00000,5.00000,14.00000,0.00000,32.00000,5.00000,4.00000,6.00000
1995,2nd Quintile,East,533,6.64649,5.94478,7.34821,1.00000,3.00000,8.00000,0.00000,18.50000,3.00000,3.00000,4.00000
1995,3rd Quintile,West,1151,9.80655,9.24871,10.36440,2.00000,6.00000,15.00000,0.00000,34.50000,6.00000,5.00000,7.00000
1995,3rd Quintile,East,570,7.37615,6.63139,8.12090,2.00000,4.00000,8.00000,0.00000,17.00000,4.00000,4.00000,4.00000
1995,4th Quintile,West,1342,11.23685,10.69248,11.78122,3.00000,7.08482,17.00000,0.00000,38.00000,7.00000,7.00000,8.00000
1995,4th Quintile,East,514,8.38584,7.53748,9.23420,2.00000,4.00000,11.00000,0.00000,24.50000,4.00000,4.00000,4.00000
1995,5th Quintile,West,1530,12.55309,12.02991,13.07628,4.00000,9.00000,19.00000,0.00000,41.50000,9.00000,8.00000,10.00000
1995,5th Quintile,East,259,8.83729,7.58732,10.08726,3.00000,4.00000,10.00000,0.00000,20.50000,4.00000,4.00000,5.00000
1996,1st Quintile,West,690,5.98387,5.44121,6.52653,1.00000,3.00000,8.00000,0.00000,18.50000,3.00000,2.00000,3.00000
1996,1st Quintile,East,321,3.90589,3.31374,4.49803,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,1.00000,2.00000
1996,2nd Quintile,West,883,8.52609,7.94520,9.10698,2.00000,5.00000,14.00000,0.00000,32.00000,5.00000,5.00000,6.00000
1996,2nd Quintile,East,497,6.04622,5.44348,6.64897,2.00000,4.00000,6.00000,0.00000,12.00000,4.00000,3.00000,4.00000
1996,3rd Quintile,West,1087,9.64354,9.09933,10.18775,2.00000,6.00000,15.00000,0.00000,34.50000,6.00000,6.00000,7.00000
1996,3rd Quintile,East,555,7.81670,7.09362,8.53978,2.00000,5.00000,9.00000,0.00000,19.50000,5.00000,4.00000,5.00000
1996,4th Quintile,West,1332,10.94149,10.42187,11.46111,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,7.00000,8.00000
1996,4th Quintile,East,491,8.58836,7.76564,9.41109,3.00000,5.00000,11.00000,0.00000,23.00000,5.00000,4.00000,5.00000
1996,5th Quintile,West,1502,12.76752,12.22977,13.30528,4.00000,9.00000,21.00000,0.00000,46.50000,9.00000,9.00000,10.00000
1996,5th Quintile,East,271,9.83133,8.49812,11.16454,3.00000,5.00000,8.00000,0.00000,15.50000,5.00000,5.00000,6.00000
1997,1st Quintile,West,592,6.48368,5.82079,7.14657,1.00000,3.00000,9.00000,0.00000,21.00000,3.00000,2.00000,3.00000
1997,1st Quintile,East,273,4.75160,3.99169,5.51151,1.00000,2.00000,5.00000,0.00000,11.00000,2.00000,2.00000,2.02500
1997,2nd Quintile,West,900,8.24481,7.72137,8.76826,2.00000,5.00000,12.00000,0.00000,27.00000,5.00000,5.00000,6.00000
1997,2nd Quintile,East,489,5.65173,5.05070,6.25277,1.00000,4.00000,6.00000,0.00000,13.50000,4.00000,3.00000,4.00000
1997,3rd Quintile,West,1031,8.97570,8.44032,9.51108,2.00000,6.00000,13.11221,0.00000,29.78052,6.00000,5.00000,7.00000
1997,3rd Quintile,East,521,8.64103,7.82005,9.46201,3.00000,5.00000,11.00000,0.00000,23.00000,5.00000,5.00000,6.00000
1997,4th Quintile,West,1324,11.35350,10.82643,11.88056,3.00000,8.00000,18.00000,0.00000,40.50000,8.00000,7.97500,9.00000
1997,4th Quintile,East,503,8.75523,7.93989,9.57057,3.00000,6.00000,10.00000,0.00000,20.50000,6.00000,5.00000,6.00000
1997,5th Quintile,West,1454,13.07793,12.52727,13.62859,4.00000,10.00000,20.00000,0.00000,44.00000,10.00000,9.00000,11.00000
1997,5th Quintile,East,278,8.96644,7.83363,10.09924,3.00000,6.00000,9.00000,0.00000,18.00000,6.00000,5.00000,6.00000
1998,1st Quintile,West,651,5.55500,5.00544,6.10455,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
1998,1st Quintile,East,225,4.68900,3.96010,5.41789,1.00000,3.00000,5.09345,0.00000,11.23363,3.00000,2.00000,4.00000
1998,2nd Quintile,West,856,8.82022,8.23786,9.40258,2.00000,5.12039,15.00000,0.00000,34.50000,5.00000,5.00000,6.00000
1998,2nd Quintile,East,432,5.91364,5.27318,6.55410,2.00000,4.00000,7.00000,0.00000,14.50000,4.00000,3.00000,4.00000
1998,3rd Quintile,West,967,9.86300,9.27453,10.45148,2.00000,7.00000,15.00000,0.00000,34.50000,7.00000,6.00000,8.00000
1998,3rd Quintile,East,535,7.59254,6.90961,8.27547,2.00000,5.00000,8.00000,0.00000,17.00000,5.00000,5.00000,6.00000
1998,4th Quintile,West,1275,11.15122,10.61182,11.69062,3.00000,8.00000,18.00000,0.00000,40.50000,8.00000,8.00000,9.00000
1998,4th Quintile,East,483,8.94786,8.15525,9.74047,3.00000,6.00000,9.26822,0.00000,18.67055,6.00000,6.00000,7.00000
1998,5th Quintile,West,1344,13.27920,12.69981,13.85858,4.00000,10.00000,21.00000,0.00000,46.50000,10.00000,9.00000,11.00000
1998,5th Quintile,East,309,9.30754,8.23948,10.37560,3.00000,7.00000,9.79012,0.00000,19.97531,7.00000,6.00000,7.00000
1999,1st Quintile,West,732,5.49433,4.98150,6.00716,1.00000,2.00000,7.00000,0.00000,16.00000,2.00000,2.00000,3.00000
1999,1st Quintile,East,327,4.93258,4.25150,5.61367,1.00000,3.00000,6.00000,0.00000,13.50000,3.00000,2.00000,3.00000
1999,2nd Quintile,West,968,7.72742,7.22098,8.23386,2.00000,4.14882,12.00000,0.00000,27.00000,4.00000,4.00000,6.00000
1999,2nd Quintile,East,545,6.24092,5.62352,6.85832,1.00000,4.00000,8.00000,0.00000,18.50000,4.00000,3.00000,5.00000
