"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1993","AkademikerIn","9.91","5.5","1232","9.37","10.45"
"1993","Hauptschule","11.56","7.5","3410","11.23","11.89"
"1993","Realschule","8.25","3.5","2160","7.91","8.59"
"1994","(Fach-)Abitur","6.68","3.5","537","6.01","7.35"
"1994","(noch) kein Abschluss","9.73","5.5","311","8.73","10.73"
"1994","AkademikerIn","10.03","5.5","1255","9.49","10.57"
"1994","Hauptschule","11.9","8.5","3120","11.55","12.25"
"1994","Realschule","8.73","4.5","2120","8.39","9.07"
"1995","(Fach-)Abitur","6.22","2.5","618","5.65","6.79"
"1995","(noch) kein Abschluss","8.96","4.5","284","7.91","10.01"
"1995","AkademikerIn","9.66","4.5","1340","9.15","10.17"
"1995","Hauptschule","11.63","7.5","3146","11.28","11.98"
"1995","Realschule","8.66","4.5","2220","8.33","8.99"
"1996","(Fach-)Abitur","5.93","3.5","621","5.4","6.46"
"1996","(noch) kein Abschluss","9.35","4.5","261","8.19","10.51"
"1996","AkademikerIn","9.96","5.5","1327","9.46","10.46"
"1996","Hauptschule","11.31","7.5","3019","10.96","11.66"
"1996","Realschule","9.21","5.5","2186","8.87","9.55"
"1997","(Fach-)Abitur","6.25","3.5","619","5.69","6.81"
"1997","(noch) kein Abschluss","9.86","6.5","236","8.67","11.05"
"1997","AkademikerIn","10.3","5.5","1343","9.8","10.8"
"1997","Hauptschule","11.6","7.5","2814","11.23","11.97"
"1997","Realschule","9.12","5.5","2138","8.78","9.46"
"1998","(Fach-)Abitur","6.56","3.5","702","6.02","7.1"
"1998","(noch) kein Abschluss","9.69","6.5","227","8.48","10.9"
"1998","AkademikerIn","10.51","6.5","1459","10.03","10.99"
"1998","Hauptschule","11.64","7.5","2949","11.28","12"
"1998","Realschule","9.21","5.5","2358","8.88","9.54"
"1999","(Fach-)Abitur","6.76","4.5","726","6.23","7.29"
"1999","(noch) kein Abschluss","8.7","3.5","244","7.51","9.89"
"1999","AkademikerIn","10.5","6.5","1488","10.03","10.97"
"1999","Hauptschule","11.23","7.5","2935","10.87","11.59"
"1999","Realschule","9.12","5.5","2415","8.79","9.45"
"2000","(Fach-)Abitur","6.88","3.5","1429","6.48","7.28"
"2000","(noch) kein Abschluss","8.51","3.5","198","7.18","9.84"
"2000","AkademikerIn","10.47","7.5","2779","10.11","10.83"
"2000","Hauptschule","11.38","7.5","4881","11.09","11.67"
"2000","Realschule","9.02","5.5","4387","8.76","9.28"
"2001","(Fach-)Abitur","6.91","3.5","1364","6.5","7.32"
"2001","(noch) kein Abschluss","7.87","1.5","197","6.55","9.19"
"2001","AkademikerIn","10.61","7.5","2575","10.23","10.99"
"2001","Hauptschule","11.38","7.5","4303","11.07","11.69"
"2001","Realschule","9.3","5.5","4058","9.03","9.57"
"2002","(Fach-)Abitur","6.92","3.5","1513","6.5","7.34"
"2002","(noch) kein Abschluss","8.46","2.5","174","7.05","9.87"
"2002","AkademikerIn","10.81","7.5","3398","10.47","11.15"
"2002","Hauptschule","11.65","8.5","3991","11.32","11.98"
"2002","Realschule","9.56","5.5","4156","9.28","9.84"
"2003","(Fach-)Abitur","6.98","3.5","1493","6.57","7.39"
"2003","(noch) kein Abschluss","9.16","3.5","149","7.53","10.79"
"2003","AkademikerIn","11.05","7.5","3170","10.69","11.41"
"2003","Hauptschule","12.11","8.5","3671","11.77","12.45"
"2003","Realschule","9.76","6.5","3972","9.47","10.05"
"2004","(Fach-)Abitur","7.31","3.5","1487","6.89","7.73"
"2004","(noch) kein Abschluss","8.91","3.5","133","7.21","10.61"
"2004","AkademikerIn","11.23","7.5","3117","10.86","11.6"
"2004","Hauptschule","12.22","8.5","3455","11.87","12.57"
"2004","Realschule","10.1","6.5","3836","9.8","10.4"
"2005","(Fach-)Abitur","7.61","4.5","1425","7.18","8.04"
"2005","(noch) kein Abschluss","8.15","2.5","125","6.38","9.92"
"2005","AkademikerIn","10.88","6.5","2959","10.5","11.26"
"2005","Hauptschule","12","8.5","3173","11.63","12.37"
"2005","Realschule","10.37","6.5","3676","10.07","10.67"
"2006","(Fach-)Abitur","7.71","4.5","1487","7.28","8.14"
"2006","(noch) kein Abschluss","9.49","2.5","111","7.33","11.65"
"2006","AkademikerIn","11.01","7.5","3176","10.65","11.37"
"2006","Hauptschule","12.14","8.5","3302","11.77","12.51"
"2006","Realschule","10.58","6.5","3867","10.27","10.89"
"2007","(Fach-)Abitur","7.77","4.5","1466","7.33","8.21"
"2007","(noch) kein Abschluss","9.11","2.5","95","6.63","11.59"
"2007","AkademikerIn","10.8","7.5","3052","10.43","11.17"
"2007","Hauptschule","12.33","8.5","3054","11.94","12.72"
"2007","Realschule","10.77","7.5","3679","10.45","11.09"
"2008","(Fach-)Abitur","7.7","4.5","1394","7.24","8.16"
"2008","(noch) kein Abschluss","7.67","2.5","99","5.46","9.88"
"2008","AkademikerIn","10.95","7.5","2890","10.57","11.33"
"2008","Hauptschule","12.52","8.5","2859","12.11","12.93"
"2008","Realschule","10.87","7.5","3533","10.54","11.2"
"2009","(Fach-)Abitur","7.82","3.5","1289","7.33","8.31"
"2009","(noch) kein Abschluss","6.59","2.5","94","4.58","8.6"
"2009","AkademikerIn","10.71","7.5","2767","10.31","11.11"
"2009","Hauptschule","13.04","9.5","2546","12.6","13.48"
"2009","Realschule","11.19","7.5","3328","10.84","11.54"
"2010","(Fach-)Abitur","8.24","4.5","1916","7.86","8.62"
"2010","(noch) kein Abschluss","8.79","3.5","159","7.47","10.11"
"2010","AkademikerIn","10.79","7.5","3697","10.47","11.11"
"2010","Hauptschule","13.29","10.5","3340","12.93","13.65"
"2010","Realschule","11.39","7.5","4570","11.11","11.67"
"2011","(Fach-)Abitur","8.58","4.5","2307","8.22","8.94"
"2011","(noch) kein Abschluss","6.52","2.5","216","5.41","7.63"
"2011","AkademikerIn","10.88","7.5","4401","10.58","11.18"
"2011","Hauptschule","13","9.5","3933","12.66","13.34"
"2011","Realschule","11.35","7.5","5488","11.08","11.62"
"2012","(Fach-)Abitur","8.37","4.5","2390","8.01","8.73"
"2012","(noch) kein Abschluss","7.17","2.5","245","6.11","8.23"
"2012","AkademikerIn","10.8","7.5","4319","10.5","11.1"
"2012","Hauptschule","12.94","9.5","3902","12.59","13.29"
"2012","Realschule","11.59","7.5","5391","11.32","11.86"
"2013","(Fach-)Abitur","8.09","4.5","3051","7.79","8.39"
"2013","(noch) kein Abschluss","6.67","1.5","391","5.88","7.46"
"2013","AkademikerIn","10.89","6.5","4935","10.62","11.16"
"2013","Hauptschule","12.71","8.5","4618","12.41","13.01"
"2013","Realschule","11.43","7.5","5492","11.16","11.7"
"2014","(Fach-)Abitur","7.96","3.5","2761","7.64","8.28"
"2014","(noch) kein Abschluss","7.25","2.5","272","6.28","8.22"
"2014","AkademikerIn","10.82","7.5","4387","10.53","11.11"
"2014","Hauptschule","13.21","9.5","3937","12.87","13.55"
"2014","Realschule","11.84","7.5","4832","11.55","12.13"
"2015","(Fach-)Abitur","8.12","4.5","2856","7.8","8.44"
"2015","(noch) kein Abschluss","7.37","2.5","297","6.45","8.29"
"2015","AkademikerIn","10.76","6.5","4506","10.47","11.05"
"2015","Hauptschule","12.55","7.5","3700","12.2","12.9"
"2015","Realschule","11.92","7.5","4575","11.61","12.23"
"2016","(Fach-)Abitur","8.16","3.5","2700","7.83","8.49"
"2016","(noch) kein Abschluss","7.22","2.5","358","6.46","7.98"
"2016","AkademikerIn","10.59","6.5","4203","10.29","10.89"
"2016","Hauptschule","12.62","7.5","3432","12.26","12.98"
"2016","Realschule","12.2","8.5","4196","11.88","12.52"
"2017","(Fach-)Abitur","8.43","4.5","3068","8.1","8.76"
"2017","(noch) kein Abschluss","7.61","2.5","469","6.94","8.28"
"2017","AkademikerIn","10.64","6.5","4806","10.35","10.93"
"2017","Hauptschule","12.63","8.5","3695","12.27","12.99"
"2017","Realschule","12.03","8.5","4910","11.72","12.34"
"2018","(Fach-)Abitur","8.61","4.5","3053","8.28","8.94"
"2018","(noch) kein Abschluss","6.18","2.5","521","5.68","6.68"
"2018","AkademikerIn","10.5","6.5","4728","10.21","10.79"
"2018","Hauptschule","12.37","6.5","3515","12","12.74"
"2018","Realschule","12.27","7.5","4671","11.95","12.59"
"2019","(Fach-)Abitur","8.84","4.5","3245","8.49","9.19"
"2019","(noch) kein Abschluss","5.25","1.5","607","4.76","5.74"
"2019","AkademikerIn","10.64","6.5","5414","10.36","10.92"
"2019","Hauptschule","12.64","7.5","3280","12.24","13.04"
"2019","Realschule","12.63","8.5","4791","12.3","12.96"
"2020","(Fach-)Abitur","9.21","4.5","3532","8.89","9.53"
"2020","(noch) kein Abschluss","5.08","1.5","760","4.74","5.42"
"2020","AkademikerIn","10.46","6.5","5629","10.19","10.73"
"2020","Hauptschule","12.39","7.5","3227","12.01","12.77"
"2020","Realschule","12.79","8.5","4334","12.44","13.14"
