year,quintil_oecd_hh,rentown,hlc0180,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2017,,Owner,No,0.9741935483870968,18279,0.9718949313248432,0.9764921654493505
2017,,Owner,Yes,0.025806451612903226,18279,0.023507834550649535,0.028105068675156917
2017,,Tenant,No,0.9865030674846625,18279,0.9848302574957053,0.9881758774736198
2017,,Tenant,Yes,0.013496932515337423,18279,0.011824122526380158,0.01516974250429469
2017,,Owner,No,0.978494623655914,18279,0.9763916559652518,0.9805975913465762
2017,,Owner,Yes,0.021505376344086023,18279,0.019402408653423773,0.023608344034748274
2017,,Tenant,No,0.9807794981313401,18279,0.9787890635605883,0.982769932702092
2017,,Tenant,Yes,0.019220501868659905,18279,0.01723006729790806,0.02121093643941175
2017,,Owner,No,0.9758478931140802,18279,0.9736222863613894,0.978073499866771
2017,,Owner,Yes,0.024152106885919837,18279,0.021926500133229006,0.02637771363861067
2017,,Tenant,No,0.9757665677546983,18279,0.9735373099986344,0.9779958255107621
2017,,Tenant,Yes,0.02423343224530168,18279,0.022004174489237867,0.026462690001365495
2017,,Owner,No,0.9665871121718377,18279,0.9639818144397955,0.9691924099038799
2017,,Owner,Yes,0.03341288782816229,18279,0.030807590096120115,0.03601818556020447
2017,,Tenant,No,0.9541234298197706,18279,0.9510903935331237,0.9571564661064175
2017,,Tenant,Yes,0.045876570180229385,18279,0.0428435338935825,0.04890960646687627
2018,,Owner,No,0.989247311827957,17878,0.9877354657764731,0.9907591578794409
2018,,Owner,Yes,0.010752688172043012,17878,0.009240842120559074,0.01226453422352695
2018,,Tenant,No,0.9858934169278997,17878,0.9841647054974769,0.9876221283583224
2018,,Tenant,Yes,0.014106583072100314,17878,0.012377871641677543,0.015835294502523085
2018,,Owner,No,0.9890909090909091,17878,0.9875682278742851,0.9906135903075332
2018,,Owner,Yes,0.01090909090909091,17878,0.00938640969246688,0.012431772125714939
2018,,Tenant,No,0.9823343848580441,17878,0.9804033475688237,0.9842654221472645
2018,,Tenant,Yes,0.017665615141955835,17878,0.01573457785273546,0.01959665243117621
2018,,Owner,No,0.9865689865689866,17878,0.9848815994632755,0.9882563736746978
2018,,Owner,Yes,0.013431013431013432,17878,0.01174362632530224,0.015118400536724624
2018,,Tenant,No,0.9801214798453893,17878,0.9780753717028984,0.9821675879878803
2018,,Tenant,Yes,0.019878520154610713,17878,0.01783241201211974,0.021924628297101685
2018,,Owner,No,0.9763866007688083,17878,0.9741607975547518,0.9786124039828649
2018,,Owner,Yes,0.023613399231191653,17878,0.02138759601713508,0.025839202445248226
2018,,Tenant,No,0.9706567303213787,17878,0.9681828214811959,0.9731306391615614
2018,,Tenant,Yes,0.02934326967862133,17878,0.02686936083843863,0.03181717851880403
2018,,Owner,No,0.9663011500401176,17878,0.9636559385952258,0.9689463614850095
2018,,Owner,Yes,0.03369884995988232,17878,0.031053638514990448,0.0363440614047742
2018,,Tenant,No,0.9586909871244635,17878,0.9557738399820916,0.9616081342668354
2018,,Tenant,Yes,0.04130901287553648,17878,0.038391865733164575,0.04422616001790839
