year,bula_h,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Hesse,No,0.95965,970,1005,0.94748,0.97183
2018,"Rhineland-Palatinate, Saarland",No,0.97097,869,869,0.95980,0.98214
2018,Baden-Wuerttemberg,Yes,0.01873,50,1624,0.01213,0.02532
2018,Baden-Wuerttemberg,No,0.97338,1574,1624,0.96555,0.98121
2018,Bavaria,Yes,0.02092,75,2407,0.01520,0.02664
2018,Bavaria,No,0.97427,2332,2407,0.96794,0.98059
2018,Berlin,Yes,0.02796,33,692,0.01567,0.04026
2018,Berlin,No,0.96467,659,692,0.95091,0.97844
2018,Brandenburg,No,0.96684,630,630,0.95285,0.98084
2018,Mecklenburg-Western Pomerania,No,0.98547,371,371,0.97328,0.99767
2018,Saxony,No,0.97148,957,957,0.96092,0.98203
2018,Saxony-Anhalt,No,0.97872,564,564,0.96680,0.99064
2018,Thuringa,No,0.97766,564,564,0.96545,0.98986
2019,Schleswig-Holstein,No,0.96805,572,572,0.95363,0.98248
2019,Hamburg,No,0.95344,347,347,0.93124,0.97564
2019,Lower Saxony,Yes,0.02344,37,1493,0.01576,0.03111
2019,Lower Saxony,No,0.96607,1456,1493,0.95689,0.97526
2019,Bremen,No,0.97370,125,125,0.94554,1.00187
2019,North Rhine-Westphalia,Yes,0.01746,91,3276,0.01297,0.02195
2019,North Rhine-Westphalia,No,0.97167,3185,3276,0.96599,0.97735
2019,Hesse,Yes,0.02462,40,1090,0.01542,0.03383
2019,Hesse,No,0.96580,1050,1090,0.95501,0.97660
2019,"Rhineland-Palatinate, Saarland",No,0.97207,893,893,0.96125,0.98288
2019,Baden-Wuerttemberg,Yes,0.02574,65,1694,0.01820,0.03328
2019,Baden-Wuerttemberg,No,0.96732,1629,1694,0.95885,0.97579
2019,Bavaria,Yes,0.02274,79,2526,0.01692,0.02855
2019,Bavaria,No,0.97012,2447,2526,0.96348,0.97676
2019,Berlin,Yes,0.03039,44,740,0.01802,0.04277
2019,Berlin,No,0.95574,696,740,0.94091,0.97056
2019,Brandenburg,No,0.97865,705,705,0.96798,0.98933
2019,Mecklenburg-Western Pomerania,No,0.97902,394,394,0.96485,0.99319
2019,Saxony,No,0.97623,1012,1012,0.96684,0.98562
2019,Saxony-Anhalt,No,0.97698,557,557,0.96452,0.98945
2019,Thuringa,No,0.96944,567,567,0.95527,0.98362
2020,Schleswig-Holstein,No,0.94567,530,530,0.92635,0.96498
2020,Hamburg,No,0.92148,346,346,0.89310,0.94987
2020,Lower Saxony,Yes,0.01478,31,1484,0.00864,0.02092
2020,Lower Saxony,No,0.97372,1453,1484,0.96558,0.98186
2020,Bremen,No,0.96217,135,135,0.92986,0.99447
2020,North Rhine-Westphalia,Yes,0.01994,84,3395,0.01524,0.02465
2020,North Rhine-Westphalia,No,0.96147,3311,3395,0.95499,0.96795
2020,Hesse,Yes,0.03284,44,1113,0.02236,0.04331
2020,Hesse,No,0.95070,1069,1113,0.93797,0.96342
2020,"Rhineland-Palatinate, Saarland",No,0.97144,847,847,0.96021,0.98266
2020,Baden-Wuerttemberg,Yes,0.02770,55,1741,0.01999,0.03541
2020,Baden-Wuerttemberg,No,0.95931,1686,1741,0.95003,0.96859
2020,Bavaria,Yes,0.02513,95,2631,0.01915,0.03111
2020,Bavaria,No,0.96131,2536,2631,0.95394,0.96868
2020,Berlin,Yes,0.02903,40,861,0.01781,0.04025
2020,Berlin,No,0.95879,821,861,0.94550,0.97207
2020,Brandenburg,No,0.95826,664,664,0.94304,0.97349
2020,Mecklenburg-Western Pomerania,No,0.98093,329,329,0.96613,0.99573
2020,Saxony,No,0.97601,964,964,0.96635,0.98567
2020,Saxony-Anhalt,No,0.97837,555,555,0.96626,0.99048
2020,Thuringa,No,0.95911,549,549,0.94253,0.97569
2021,Schleswig-Holstein,No,0.95796,415,415,0.93863,0.97729
2021,Hamburg,No,0.96091,256,256,0.93713,0.98470
2021,Lower Saxony,Yes,0.01965,32,1063,0.01130,0.02800
2021,Lower Saxony,No,0.97130,1031,1063,0.96126,0.98134
2021,Bremen,No,0.97754,77,77,0.94422,1.01085
2021,North Rhine-Westphalia,Yes,0.02051,73,2276,0.01469,0.02634
2021,North Rhine-Westphalia,No,0.96214,2203,2276,0.95430,0.96998
2021,Hesse,No,0.96155,679,679,0.94708,0.97603
2021,"Rhineland-Palatinate, Saarland",No,0.93280,519,519,0.91124,0.95436
2021,Baden-Wuerttemberg,Yes,0.02298,44,1219,0.01457,0.03140
2021,Baden-Wuerttemberg,No,0.96814,1175,1219,0.95828,0.97801
2021,Bavaria,Yes,0.02520,70,1752,0.01786,0.03255
2021,Bavaria,No,0.96374,1682,1752,0.95498,0.97250
2021,Berlin,No,0.93732,529,529,0.91665,0.95800
2021,Brandenburg,No,0.97997,436,436,0.96680,0.99313
2021,Mecklenburg-Western Pomerania,No,0.95896,254,254,0.93452,0.98341
2021,Saxony,No,0.96086,712,712,0.94661,0.97512
2021,Saxony-Anhalt,No,0.95733,359,359,0.93639,0.97827
2021,Thuringa,No,0.96899,371,371,0.95132,0.98665
2022,Schleswig-Holstein,No,0.96896,630,630,0.95541,0.98252
2022,Hamburg,No,0.94419,420,420,0.92221,0.96617
2022,Lower Saxony,Yes,0.02481,49,1627,0.01725,0.03237
2022,Lower Saxony,No,0.96152,1578,1627,0.95218,0.97087
2022,Bremen,No,0.95143,137,137,0.91530,0.98756
2022,North Rhine-Westphalia,Yes,0.02462,116,3919,0.01977,0.02947
2022,North Rhine-Westphalia,No,0.95488,3803,3919,0.94838,0.96138
2022,Hesse,Yes,0.03889,50,1248,0.02816,0.04963
2022,Hesse,No,0.94661,1198,1248,0.93413,0.95908
2022,"Rhineland-Palatinate, Saarland",No,0.95367,864,864,0.93964,0.96769
2022,Baden-Wuerttemberg,Yes,0.02507,75,2278,0.01865,0.03150
2022,Baden-Wuerttemberg,No,0.96462,2203,2278,0.95703,0.97220
2022,Bavaria,Yes,0.03084,129,3120,0.02478,0.03691
2022,Bavaria,No,0.95847,2991,3120,0.95147,0.96547
2022,Berlin,Yes,0.02857,53,1146,0.01892,0.03822
2022,Berlin,No,0.95445,1093,1146,0.94237,0.96652
2022,Brandenburg,No,0.98510,726,726,0.97628,0.99392
2022,Mecklenburg-Western Pomerania,No,0.95771,410,410,0.93821,0.97721
2022,Saxony,Yes,0.01356,31,1286,0.00724,0.01989
2022,Saxony,No,0.96374,1255,1286,0.95352,0.97396
2022,Saxony-Anhalt,No,0.95692,665,665,0.94147,0.97236
2022,Thuringa,No,0.97438,562,562,0.96130,0.98745
