year,quintil_oecd_hh,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,5th Quintile,East,No,0.96174,361,361,0.94193,0.98156
2018,1st Quintile,West,No,0.95368,2336,2336,0.94516,0.96221
2018,1st Quintile,East,No,0.97132,934,934,0.96061,0.98203
2018,2nd Quintile,West,Yes,0.01543,34,2349,0.01044,0.02041
2018,2nd Quintile,West,No,0.97991,2315,2349,0.97423,0.98558
2018,2nd Quintile,East,No,0.98471,927,927,0.97681,0.99261
2018,3rd Quintile,West,Yes,0.02340,55,2260,0.01717,0.02963
2018,3rd Quintile,West,No,0.97415,2205,2260,0.96761,0.98070
2018,3rd Quintile,East,No,0.99031,670,670,0.98289,0.99773
2018,4th Quintile,West,Yes,0.02791,70,2381,0.02129,0.03453
2018,4th Quintile,West,No,0.97118,2311,2381,0.96446,0.97790
2018,4th Quintile,East,No,0.98427,490,490,0.97324,0.99530
2018,5th Quintile,West,Yes,0.03837,103,2647,0.03105,0.04569
2018,5th Quintile,West,No,0.96095,2544,2647,0.95357,0.96833
2018,5th Quintile,East,No,0.96272,348,348,0.94279,0.98266
2019,1st Quintile,West,No,0.94775,2074,2074,0.93817,0.95733
2019,1st Quintile,East,No,0.97101,820,820,0.95952,0.98250
2019,2nd Quintile,West,Yes,0.01759,32,2189,0.01208,0.02310
2019,2nd Quintile,West,No,0.97786,2157,2189,0.97169,0.98402
2019,2nd Quintile,East,No,0.99036,816,816,0.98365,0.99707
2019,3rd Quintile,West,Yes,0.02029,62,2175,0.01436,0.02622
2019,3rd Quintile,West,No,0.97915,2113,2175,0.97314,0.98515
2019,3rd Quintile,East,No,0.97869,674,674,0.96778,0.98960
2019,4th Quintile,West,Yes,0.03444,76,2369,0.02709,0.04178
2019,4th Quintile,West,No,0.96547,2293,2369,0.95812,0.97282
2019,4th Quintile,East,No,0.97801,531,531,0.96553,0.99050
2019,5th Quintile,West,Yes,0.03271,147,3636,0.02692,0.03849
2019,5th Quintile,West,No,0.96509,3489,3636,0.95912,0.97106
2019,5th Quintile,East,No,0.97894,677,677,0.96812,0.98977
2020,1st Quintile,West,Yes,0.01642,34,2618,0.01155,0.02129
2020,1st Quintile,West,No,0.93122,2584,2618,0.92153,0.94092
2020,1st Quintile,East,No,0.96473,814,814,0.95205,0.97741
2020,2nd Quintile,West,No,0.97692,2445,2445,0.97097,0.98288
2020,2nd Quintile,East,No,0.98206,847,847,0.97311,0.99100
2020,3rd Quintile,West,Yes,0.02344,55,2219,0.01714,0.02974
2020,3rd Quintile,West,No,0.97362,2164,2219,0.96695,0.98029
2020,3rd Quintile,East,No,0.96935,642,642,0.95601,0.98269
2020,4th Quintile,West,Yes,0.02753,61,2343,0.02090,0.03415
2020,4th Quintile,West,No,0.97009,2282,2343,0.96319,0.97699
2020,4th Quintile,East,No,0.94932,500,500,0.93007,0.96856
2020,5th Quintile,West,Yes,0.04476,147,3156,0.03754,0.05197
2020,5th Quintile,West,No,0.95135,3009,3156,0.94385,0.95886
2020,5th Quintile,East,No,0.97158,557,557,0.95776,0.98539
2021,1st Quintile,West,No,0.92447,1481,1481,0.91100,0.93793
2021,1st Quintile,East,No,0.95943,523,523,0.94250,0.97635
2021,2nd Quintile,West,No,0.96867,1583,1583,0.96008,0.97725
2021,2nd Quintile,East,No,0.98450,557,557,0.97423,0.99477
2021,3rd Quintile,West,Yes,0.01759,45,1556,0.01106,0.02412
2021,3rd Quintile,West,No,0.98020,1511,1556,0.97327,0.98712
2021,3rd Quintile,East,No,0.97150,468,468,0.95640,0.98659
2021,4th Quintile,West,Yes,0.02340,59,1692,0.01619,0.03060
2021,4th Quintile,West,No,0.97561,1633,1692,0.96826,0.98296
2021,4th Quintile,East,No,0.97118,380,380,0.95434,0.98802
2021,5th Quintile,West,Yes,0.04040,110,2293,0.03234,0.04847
2021,5th Quintile,West,No,0.95829,2183,2293,0.95011,0.96648
2021,5th Quintile,East,No,0.95827,403,403,0.93873,0.97782
2022,1st Quintile,West,Yes,0.02584,92,3358,0.02048,0.03121
2022,1st Quintile,West,No,0.93266,3266,3358,0.92418,0.94114
2022,1st Quintile,East,No,0.95009,1082,1082,0.93711,0.96307
2022,2nd Quintile,West,Yes,0.01707,50,2872,0.01233,0.02181
2022,2nd Quintile,West,No,0.96342,2822,2872,0.95655,0.97029
2022,2nd Quintile,East,No,0.96850,980,980,0.95756,0.97944
2022,3rd Quintile,West,Yes,0.02448,78,2573,0.01851,0.03045
2022,3rd Quintile,West,No,0.97034,2495,2573,0.96379,0.97690
2022,3rd Quintile,East,No,0.97692,795,795,0.96647,0.98736
2022,4th Quintile,West,Yes,0.03494,110,2772,0.02810,0.04178
2022,4th Quintile,West,No,0.95963,2662,2772,0.95230,0.96696
2022,4th Quintile,East,No,0.97259,626,626,0.95979,0.98539
2022,5th Quintile,West,Yes,0.04183,146,3243,0.03494,0.04873
2022,5th Quintile,West,No,0.95509,3097,3243,0.94796,0.96222
2022,5th Quintile,East,No,0.96354,558,558,0.94798,0.97911
