year,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2017,East,No,0.06261164279268511,1166,18279,0.06253708149671242,0.0626862040886578
2018,West,Yes,0.5408916308372806,7714,17878,0.5407386065796648,0.5410446550948965
2018,West,No,0.28165090970284845,4206,17878,0.28151278514596934,0.28178903425972757
2018,East,Yes,0.11397840843772275,2210,17878,0.11388082390375719,0.11407599297168831
2018,East,No,0.06347905102214815,1204,17878,0.06340417866487116,0.06355392337942514
2019,West,Yes,0.5698526679266864,8693,18365,0.5697003465551103,0.5700049892982626
2019,West,No,0.2520341224255671,3637,18365,0.25190054240798554,0.2521677024431487
2019,East,Yes,0.11979327447455816,2540,18365,0.11969337125339272,0.11989317769572361
2019,East,No,0.05831993517318827,1029,18365,0.05824783585853837,0.058392034487838175
2020,West,Yes,0.5561766862098767,8331,19329,0.5560226406942126,0.5563307317255408
2020,West,No,0.2644020315309961,4318,19329,0.2642652932018466,0.26453876986014563
2020,East,Yes,0.12054077947548815,2320,19329,0.12043982804776932,0.12064173090320698
2020,East,No,0.058880502783639044,1088,19329,0.05880751574304329,0.058953489824234796
2021,West,Yes,0.6346974831989473,6690,12568,0.6345482834742979,0.6348466829235966
2021,West,No,0.19066778770272294,2949,12568,0.1905460681414829,0.190789507263963
2021,East,Yes,0.13466243713896028,1843,12568,0.1345566642626273,0.13476821001529327
2021,East,No,0.039972291959369674,685,12568,0.03991159321452314,0.04003299070421621
