year,regtyp,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Rural regions,East,Yes,0.58124,989,10052,0.58080,0.58169
2009,Rural regions,East,No,0.41876,651,10052,0.41831,0.41920
2010,Urban regions,West,Yes,0.58509,4431,13695,0.58490,0.58529
2010,Urban regions,West,No,0.41491,3447,13695,0.41471,0.41510
2010,Urban regions,East,Yes,0.59897,665,13695,0.59838,0.59955
2010,Urban regions,East,No,0.40103,449,13695,0.40045,0.40162
2010,Rural regions,West,Yes,0.59376,1559,13695,0.59341,0.59410
2010,Rural regions,West,No,0.40624,1119,13695,0.40590,0.40659
2010,Rural regions,East,Yes,0.58191,1118,13695,0.58146,0.58236
2010,Rural regions,East,No,0.41809,907,13695,0.41764,0.41854
2011,Urban regions,West,Yes,0.61877,5533,16402,0.61857,0.61896
2011,Urban regions,West,No,0.38123,3728,16402,0.38104,0.38143
2011,Urban regions,East,Yes,0.60638,784,16402,0.60579,0.60697
2011,Urban regions,East,No,0.39362,544,16402,0.39303,0.39421
2011,Rural regions,West,Yes,0.61399,2015,16402,0.61365,0.61434
2011,Rural regions,West,No,0.38601,1407,16402,0.38566,0.38635
2011,Rural regions,East,Yes,0.60227,1346,16402,0.60182,0.60272
2011,Rural regions,East,No,0.39773,1045,16402,0.39728,0.39818
2012,Urban regions,West,Yes,0.61860,5419,16158,0.61841,0.61880
2012,Urban regions,West,No,0.38140,3624,16158,0.38120,0.38159
2012,Urban regions,East,Yes,0.61889,786,16158,0.61830,0.61948
2012,Urban regions,East,No,0.38111,511,16158,0.38052,0.38170
2012,Rural regions,West,Yes,0.62888,2086,16158,0.62854,0.62922
2012,Rural regions,West,No,0.37112,1338,16158,0.37078,0.37146
2012,Rural regions,East,Yes,0.60456,1359,16158,0.60411,0.60501
2012,Rural regions,East,No,0.39544,1035,16158,0.39499,0.39589
2013,Urban regions,West,Yes,0.61375,5956,17698,0.61356,0.61395
2013,Urban regions,West,No,0.38625,4447,17698,0.38605,0.38644
2013,Urban regions,East,Yes,0.62228,805,17698,0.62168,0.62288
2013,Urban regions,East,No,0.37772,507,17698,0.37712,0.37832
2013,Rural regions,West,Yes,0.63635,2225,17698,0.63602,0.63669
2013,Rural regions,West,No,0.36365,1435,17698,0.36331,0.36398
2013,Rural regions,East,Yes,0.61490,1352,17698,0.61446,0.61534
2013,Rural regions,East,No,0.38510,971,17698,0.38466,0.38554
2014,Urban regions,West,Yes,0.61407,5352,15723,0.61388,0.61427
2014,Urban regions,West,No,0.38593,3750,15723,0.38573,0.38612
2014,Urban regions,East,Yes,0.63923,760,15723,0.63865,0.63981
2014,Urban regions,East,No,0.36077,454,15723,0.36019,0.36135
2014,Rural regions,West,Yes,0.63624,1994,15723,0.63591,0.63657
2014,Rural regions,West,No,0.36376,1259,15723,0.36343,0.36409
2014,Rural regions,East,Yes,0.62645,1309,15723,0.62601,0.62689
2014,Rural regions,East,No,0.37355,845,15723,0.37311,0.37399
