year,quintil_oecd_hh,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1996,2nd Quintile,Yes,0.61045,871,6537,0,0.57941,0,0.64114
1996,2nd Quintile,No,0.38955,556,6537,0,0.35785,0,0.41589
1996,3rd Quintile,Yes,0.70720,979,6537,0,0.67203,0,0.73852
1996,3rd Quintile,No,0.29280,395,6537,0,0.26716,0,0.31545
1996,4th Quintile,Yes,0.77637,1003,6537,0,0.74181,0,0.80802
1996,4th Quintile,No,0.22363,289,6537,0,0.20328,0,0.23984
1996,5th Quintile,Yes,0.82326,891,6537,0,0.78369,0,0.85799
1996,5th Quintile,No,0.17674,197,6537,0,0.15961,0,0.19263
1997,1st Quintile,Yes,0.37993,469,6483,0,0.35130,0,0.41084
1997,1st Quintile,No,0.62007,838,6483,0,0.58450,0,0.65807
1997,2nd Quintile,Yes,0.58665,847,6483,0,0.55793,0,0.62352
1997,2nd Quintile,No,0.41335,582,6483,0,0.38636,0,0.44713
1997,3rd Quintile,Yes,0.69260,937,6483,0,0.66018,0,0.72270
1997,3rd Quintile,No,0.30740,410,6483,0,0.28032,0,0.33204
1997,4th Quintile,Yes,0.77123,1007,6483,0,0.73307,0,0.80537
1997,4th Quintile,No,0.22877,284,6483,0,0.20761,0,0.24978
1997,5th Quintile,Yes,0.82183,899,6483,0,0.79159,0,0.86568
1997,5th Quintile,No,0.17817,210,6483,0,0.15753,0,0.19502
1998,1st Quintile,Yes,0.33389,478,7310,0,0.31214,0,0.35581
1998,1st Quintile,No,0.66611,997,7310,0,0.63411,0,0.69606
1998,2nd Quintile,Yes,0.57615,924,7310,0,0.54683,0,0.60245
1998,2nd Quintile,No,0.42385,654,7310,0,0.40120,0,0.44609
1998,3rd Quintile,Yes,0.69552,1042,7310,0,0.66345,0,0.72792
1998,3rd Quintile,No,0.30448,464,7310,0,0.28536,0,0.32624
1998,4th Quintile,Yes,0.75723,1116,7310,0,0.72714,0,0.79041
1998,4th Quintile,No,0.24277,343,7310,0,0.22312,0,0.26296
1998,5th Quintile,Yes,0.82637,1059,7310,0,0.79074,0,0.86107
1998,5th Quintile,No,0.17363,233,7310,0,0.15940,0,0.18675
1999,1st Quintile,Yes,0.34631,484,7049,0,0.32428,0,0.36463
1999,1st Quintile,No,0.65369,970,7049,0,0.62471,0,0.69005
1999,2nd Quintile,Yes,0.54500,870,7049,0,0.51945,0,0.56970
1999,2nd Quintile,No,0.45500,649,7049,0,0.42807,0,0.48147
1999,3rd Quintile,Yes,0.69957,1047,7049,0,0.66838,0,0.73586
1999,3rd Quintile,No,0.30043,442,7049,0,0.27956,0,0.32105
1999,4th Quintile,Yes,0.77436,1067,7049,0,0.74389,0,0.81334
1999,4th Quintile,No,0.22564,303,7049,0,0.20826,0,0.24575
1999,5th Quintile,Yes,0.83498,998,7049,0,0.79999,0,0.86987
1999,5th Quintile,No,0.16502,219,7049,0,0.14917,0,0.17906
2000,1st Quintile,Yes,0.34745,851,12740,0,0.33390,0,0.36018
2000,1st Quintile,No,0.65255,1654,12740,0,0.63558,0,0.66915
2000,2nd Quintile,Yes,0.58568,1574,12740,0,0.56843,0,0.60230
2000,2nd Quintile,No,0.41432,1100,12740,0,0.39579,0,0.42988
2000,3rd Quintile,Yes,0.68589,1828,12740,0,0.66945,0,0.70496
2000,3rd Quintile,No,0.31411,819,12740,0,0.30122,0,0.32579
2000,4th Quintile,Yes,0.75818,1947,12740,0,0.73798,0,0.77903
2000,4th Quintile,No,0.24182,586,12740,0,0.23056,0,0.25318
2000,5th Quintile,Yes,0.83283,1971,12740,0,0.81160,0,0.84926
2000,5th Quintile,No,0.16717,410,12740,0,0.15863,0,0.17509
2001,1st Quintile,Yes,0.35335,739,11496,0,0.33912,0,0.36933
2001,1st Quintile,No,0.64665,1443,11496,0,0.62402,0,0.66576
2001,2nd Quintile,Yes,0.60452,1462,11496,0,0.58483,0,0.62246
2001,2nd Quintile,No,0.39548,970,11496,0,0.37837,0,0.41047
2001,3rd Quintile,Yes,0.70597,1721,11496,0,0.68459,0,0.72453
2001,3rd Quintile,No,0.29403,711,11496,0,0.28046,0,0.30864
2001,4th Quintile,Yes,0.77158,1823,11496,0,0.74908,0,0.79312
2001,4th Quintile,No,0.22842,504,11496,0,0.21533,0,0.24284
2001,5th Quintile,Yes,0.85060,1796,11496,0,0.82783,0,0.87455
2001,5th Quintile,No,0.14940,327,11496,0,0.13958,0,0.15956
2002,1st Quintile,Yes,0.30482,610,11996,0,0.28821,0,0.31843
2002,1st Quintile,No,0.69518,1455,11996,0,0.67181,0,0.71766
2002,2nd Quintile,Yes,0.55090,1239,11996,0,0.53079,0,0.57244
2002,2nd Quintile,No,0.44910,968,11996,0,0.42804,0,0.46879
2002,3rd Quintile,Yes,0.63509,1434,11996,0,0.61358,0,0.65539
2002,3rd Quintile,No,0.36491,799,11996,0,0.34670,0,0.37686
2002,4th Quintile,Yes,0.75469,1752,11996,0,0.72925,0,0.77617
2002,4th Quintile,No,0.24531,565,11996,0,0.23075,0,0.26149
2002,5th Quintile,Yes,0.80810,2605,11996,0,0.78064,0,0.83598
2002,5th Quintile,No,0.19190,569,11996,0,0.17773,0,0.20573
2003,1st Quintile,Yes,0.28637,559,11640,0,0.27400,0,0.30172
2003,1st Quintile,No,0.71363,1431,11640,0,0.68919,0,0.73755
2003,2nd Quintile,Yes,0.54532,1191,11640,0,0.52612,0,0.56816
2003,2nd Quintile,No,0.45468,1000,11640,0,0.43536,0,0.47396
2003,3rd Quintile,Yes,0.66300,1478,11640,0,0.63620,0,0.68373
2003,3rd Quintile,No,0.33700,759,11640,0,0.32093,0,0.34902
2003,4th Quintile,Yes,0.74113,1675,11640,0,0.71532,0,0.76871
2003,4th Quintile,No,0.25887,568,11640,0,0.24383,0,0.27146
2003,5th Quintile,Yes,0.81250,2458,11640,0,0.78400,0,0.84552
2003,5th Quintile,No,0.18750,521,11640,0,0.16794,0,0.20259
2004,1st Quintile,Yes,0.26220,508,11371,0,0.24761,0,0.27758
2004,1st Quintile,No,0.73780,1414,11371,0,0.71163,0,0.76596
2004,2nd Quintile,Yes,0.53337,1131,11371,0,0.51290,0,0.54907
2004,2nd Quintile,No,0.46663,1024,11371,0,0.44621,0,0.48632
2004,3rd Quintile,Yes,0.64537,1382,11371,0,0.62343,0,0.66673
2004,3rd Quintile,No,0.35463,778,11371,0,0.33739,0,0.37309
2004,4th Quintile,Yes,0.72881,1632,11371,0,0.70209,0,0.75510
2004,4th Quintile,No,0.27119,583,11371,0,0.25422,0,0.28811
2004,5th Quintile,Yes,0.78818,2363,11371,0,0.75685,0,0.81660
2004,5th Quintile,No,0.21182,556,11371,0,0.19666,0,0.22684
2005,1st Quintile,Yes,0.26687,531,11046,0,0.25266,0,0.28216
2005,1st Quintile,No,0.73313,1399,11046,0,0.70639,0,0.75905
2005,2nd Quintile,Yes,0.53909,1122,11046,0,0.51811,0,0.56114
2005,2nd Quintile,No,0.46091,939,11046,0,0.43795,0,0.48388
2005,3rd Quintile,Yes,0.64974,1355,11046,0,0.62754,0,0.67724
2005,3rd Quintile,No,0.35026,708,11046,0,0.32937,0,0.36986
2005,4th Quintile,Yes,0.75533,1656,11046,0,0.72906,0,0.78377
2005,4th Quintile,No,0.24467,540,11046,0,0.22817,0,0.26002
2005,5th Quintile,Yes,0.83569,2359,11046,0,0.80072,0,0.86821
2005,5th Quintile,No,0.16431,437,11046,0,0.15035,0,0.18018
2006,1st Quintile,Yes,0.22120,473,12118,0,0.20849,0,0.23449
2006,1st Quintile,No,0.77880,1586,12118,0,0.75208,0,0.80306
2006,2nd Quintile,Yes,0.50347,1134,12118,0,0.48609,0,0.52328
2006,2nd Quintile,No,0.49653,1074,12118,0,0.47905,0,0.51870
2006,3rd Quintile,Yes,0.61585,1502,12118,0,0.59466,0,0.63771
2006,3rd Quintile,No,0.38415,872,12118,0,0.36594,0,0.40372
2006,4th Quintile,Yes,0.70953,1779,12118,0,0.68359,0,0.73963
2006,4th Quintile,No,0.29047,678,12118,0,0.27533,0,0.30812
2006,5th Quintile,Yes,0.83385,2540,12118,0,0.80210,0,0.86816
2006,5th Quintile,No,0.16615,480,12118,0,0.15488,0,0.17761
2007,1st Quintile,Yes,0.23349,476,11325,0,0.21830,0,0.24929
2007,1st Quintile,No,0.76651,1445,11325,0,0.74374,0,0.79411
2007,2nd Quintile,Yes,0.51187,1096,11325,0,0.49026,0,0.53183
2007,2nd Quintile,No,0.48813,1024,11325,0,0.46758,0,0.50815
2007,3rd Quintile,Yes,0.63980,1434,11325,0,0.61640,0,0.66221
2007,3rd Quintile,No,0.36020,741,11325,0,0.34091,0,0.37924
2007,4th Quintile,Yes,0.75421,1765,11325,0,0.72619,0,0.77725
2007,4th Quintile,No,0.24579,534,11325,0,0.22688,0,0.26210
2007,5th Quintile,Yes,0.83740,2362,11325,0,0.80764,0,0.86892
2007,5th Quintile,No,0.16260,448,11325,0,0.14957,0,0.17627
2008,1st Quintile,Yes,0.25460,473,10651,0,0.23956,0,0.27309
2008,1st Quintile,No,0.74540,1358,10651,0,0.71908,0,0.77228
2008,2nd Quintile,Yes,0.51664,1043,10651,0,0.49467,0,0.53971
2008,2nd Quintile,No,0.48336,911,10651,0,0.46204,0,0.51012
2008,3rd Quintile,Yes,0.64383,1394,10651,0,0.61847,0,0.67164
2008,3rd Quintile,No,0.35617,732,10651,0,0.33648,0,0.37927
2008,4th Quintile,Yes,0.73849,1572,10651,0,0.71051,0,0.77076
2008,4th Quintile,No,0.26151,523,10651,0,0.24410,0,0.27658
2008,5th Quintile,Yes,0.83170,2244,10651,0,0.79521,0,0.86193
2008,5th Quintile,No,0.16830,401,10651,0,0.15496,0,0.18631
2009,1st Quintile,Yes,0.24612,468,10048,0,0.22961,0,0.26171
2009,1st Quintile,No,0.75388,1300,10048,0,0.72586,0,0.78445
2009,2nd Quintile,Yes,0.53204,980,10048,0,0.50511,0,0.56156
2009,2nd Quintile,No,0.46796,899,10048,0,0.44649,0,0.49125
2009,3rd Quintile,Yes,0.65652,1304,10048,0,0.63140,0,0.68808
2009,3rd Quintile,No,0.34348,637,10048,0,0.32184,0,0.36518
2009,4th Quintile,Yes,0.74592,1525,10048,0,0.71274,0,0.78317
2009,4th Quintile,No,0.25408,485,10048,0,0.23587,0,0.27538
2009,5th Quintile,Yes,0.82390,2053,10048,0,0.78729,0,0.86450
2009,5th Quintile,No,0.17610,397,10048,0,0.16020,0,0.19450
2010,1st Quintile,Yes,0.27107,803,13691,0,0.24839,0,0.29235
2010,1st Quintile,No,0.72893,2339,13691,0,0.69243,0,0.76953
2010,2nd Quintile,Yes,0.48269,1334,13691,0,0.45394,0,0.50928
2010,2nd Quintile,No,0.51731,1531,13691,0,0.48595,0,0.54406
2010,3rd Quintile,Yes,0.64027,1630,13691,0,0.60713,0,0.67210
2010,3rd Quintile,No,0.35973,930,13691,0,0.33451,0,0.38453
2010,4th Quintile,Yes,0.72802,1778,13691,0,0.69347,0,0.76567
2010,4th Quintile,No,0.27198,651,13691,0,0.25136,0,0.29155
2010,5th Quintile,Yes,0.81652,2226,13691,0,0.78262,0,0.85479
2010,5th Quintile,No,0.18348,469,13691,0,0.16405,0,0.20040
2011,1st Quintile,Yes,0.26276,916,16399,0,0.24316,0,0.28076
2011,1st Quintile,No,0.73724,2738,16399,0,0.70003,0,0.76319
2011,2nd Quintile,Yes,0.53032,1706,16399,0,0.50524,0,0.56078
2011,2nd Quintile,No,0.46968,1710,16399,0,0.44721,0,0.49573
2011,3rd Quintile,Yes,0.65943,2072,16399,0,0.63497,0,0.68717
2011,3rd Quintile,No,0.34057,1108,16399,0,0.31876,0,0.36449
2011,4th Quintile,Yes,0.79516,2311,16399,0,0.75913,0,0.82691
2011,4th Quintile,No,0.20484,668,16399,0,0.18901,0,0.22193
2011,5th Quintile,Yes,0.83462,2673,16399,0,0.80401,0,0.87491
2011,5th Quintile,No,0.16538,497,16399,0,0.15076,0,0.18258
2012,1st Quintile,Yes,0.26132,922,16153,0,0.24264,0,0.28008
2012,1st Quintile,No,0.73868,2685,16153,0,0.71217,0,0.77192
2012,2nd Quintile,Yes,0.53354,1684,16153,0,0.51221,0,0.55998
2012,2nd Quintile,No,0.46646,1548,16153,0,0.44444,0,0.49112
2012,3rd Quintile,Yes,0.66896,2105,16153,0,0.63765,0,0.69807
2012,3rd Quintile,No,0.33104,1103,16153,0,0.30931,0,0.35018
2012,4th Quintile,Yes,0.78684,2282,16153,0,0.75536,0,0.82478
2012,4th Quintile,No,0.21316,701,16153,0,0.19825,0,0.22800
2012,5th Quintile,Yes,0.84679,2657,16153,0,0.81407,0,0.88028
2012,5th Quintile,No,0.15321,466,16153,0,0.13848,0,0.16625
2013,1st Quintile,Yes,0.26485,1013,17690,0,0.24798,0,0.28422
2013,1st Quintile,No,0.73515,3160,17690,0,0.70561,0,0.77054
2013,2nd Quintile,Yes,0.54164,1945,17690,0,0.51880,0,0.56617
2013,2nd Quintile,No,0.45836,1885,17690,0,0.43464,0,0.48154
2013,3rd Quintile,Yes,0.65800,2227,17690,0,0.62926,0,0.68632
2013,3rd Quintile,No,0.34200,1150,17690,0,0.31880,0,0.36845
2013,4th Quintile,Yes,0.78728,2405,17690,0,0.75505,0,0.82497
2013,4th Quintile,No,0.21272,697,17690,0,0.19416,0,0.22993
2013,5th Quintile,Yes,0.84557,2745,17690,0,0.81327,0,0.87762
2013,5th Quintile,No,0.15443,463,17690,0,0.13889,0,0.16934
2014,1st Quintile,Yes,0.27056,859,15718,0,0.25182,0,0.28830
2014,1st Quintile,No,0.72944,2569,15718,0,0.69673,0,0.75864
2014,2nd Quintile,Yes,0.51702,1631,15718,0,0.48948,0,0.54494
2014,2nd Quintile,No,0.48298,1670,15718,0,0.45714,0,0.50878
2014,3rd Quintile,Yes,0.69200,2073,15718,0,0.65765,0,0.72730
2014,3rd Quintile,No,0.30800,1001,15718,0,0.28691,0,0.32823
2014,4th Quintile,Yes,0.77381,2291,15718,0,0.74390,0,0.80483
2014,4th Quintile,No,0.22619,653,15718,0,0.20934,0,0.24809
2014,5th Quintile,Yes,0.85432,2561,15718,0,0.82035,0,0.89171
2014,5th Quintile,No,0.14568,410,15718,0,0.13007,0,0.16098
2015,1st Quintile,Yes,0.25843,870,15604,0,0.23851,0,0.27555
2015,1st Quintile,No,0.74157,2635,15604,0,0.70287,0,0.77115
2015,2nd Quintile,Yes,0.52046,1746,15604,0,0.49004,0,0.54499
2015,2nd Quintile,No,0.47954,1602,15604,0,0.45178,0,0.50648
2015,3rd Quintile,Yes,0.65876,2009,15604,0,0.62328,0,0.69652
2015,3rd Quintile,No,0.34124,999,15604,0,0.31841,0,0.36368
2015,4th Quintile,Yes,0.76332,2167,15604,0,0.72728,0,0.78769
2015,4th Quintile,No,0.23668,624,15604,0,0.21770,0,0.25615
2015,5th Quintile,Yes,0.84551,2548,15604,0,0.81111,0,0.87959
2015,5th Quintile,No,0.15449,404,15604,0,0.13874,0,0.16957
2016,1st Quintile,Yes,0.25716,801,14177,0,0.23878,0,0.28291
2016,1st Quintile,No,0.74284,2247,14177,0,0.71002,0,0.77888
2016,2nd Quintile,Yes,0.52335,1617,14177,0,0.49906,0,0.55012
2016,2nd Quintile,No,0.47665,1458,14177,0,0.44746,0,0.50865
2016,3rd Quintile,Yes,0.68617,1908,14177,0,0.65824,0,0.72416
2016,3rd Quintile,No,0.31383,814,14177,0,0.28968,0,0.33385
2016,4th Quintile,Yes,0.77675,2072,14177,0,0.74358,0,0.81029
2016,4th Quintile,No,0.22325,560,14177,0,0.20496,0,0.24333
2016,5th Quintile,Yes,0.85318,2326,14177,0,0.82068,0,0.88398
2016,5th Quintile,No,0.14682,374,14177,0,0.13271,0,0.16344
2017,1st Quintile,Yes,0.28165,907,15533,0,0.26110,0,0.30134
2017,1st Quintile,No,0.71835,2247,15533,0,0.68615,0,0.74970
2017,2nd Quintile,Yes,0.53676,1726,15533,0,0.51130,0,0.56049
2017,2nd Quintile,No,0.46324,1498,15533,0,0.43859,0,0.48753
2017,3rd Quintile,Yes,0.72258,2222,15533,0,0.68956,0,0.75134
2017,3rd Quintile,No,0.27742,832,15533,0,0.25731,0,0.29814
2017,4th Quintile,Yes,0.78440,2415,15533,0,0.75689,0,0.82139
2017,4th Quintile,No,0.21560,600,15533,0,0.20000,0,0.23343
2017,5th Quintile,Yes,0.86258,2692,15533,0,0.83196,0,0.89939
2017,5th Quintile,No,0.13742,394,15533,0,0.12151,0,0.15107
2018,1st Quintile,Yes,0.28765,906,15329,0,0.26886,0,0.30801
2018,1st Quintile,No,0.71235,2338,15329,0,0.67971,0,0.74775
2018,2nd Quintile,Yes,0.59604,1938,15329,0,0.56633,0,0.62293
2018,2nd Quintile,No,0.40396,1411,15329,0,0.37972,0,0.43171
2018,3rd Quintile,Yes,0.72538,2143,15329,0,0.69192,0,0.76004
2018,3rd Quintile,No,0.27462,758,15329,0,0.25245,0,0.29530
2018,4th Quintile,Yes,0.78749,2297,15329,0,0.75863,0,0.82175
2018,4th Quintile,No,0.21251,552,15329,0,0.19770,0,0.22911
2018,5th Quintile,Yes,0.86737,2640,15329,0,0.83778,0,0.91128
2018,5th Quintile,No,0.13263,346,15329,0,0.12044,0,0.14663
2019,1st Quintile,Yes,0.32578,947,15958,0,0.30182,0,0.34962
2019,1st Quintile,No,0.67422,1947,15958,0,0.64701,0,0.70459
2019,2nd Quintile,Yes,0.63010,1847,15958,0,0.59656,0,0.66235
2019,2nd Quintile,No,0.36990,1131,15958,0,0.34257,0,0.39306
2019,3rd Quintile,Yes,0.75503,2224,15958,0,0.71875,0,0.78904
2019,3rd Quintile,No,0.24497,664,15958,0,0.22533,0,0.26785
2019,4th Quintile,Yes,0.83622,2448,15958,0,0.79995,0,0.87907
2019,4th Quintile,No,0.16378,489,15958,0,0.14864,0,0.18458
2019,5th Quintile,Yes,0.88997,3805,15958,0,0.85337,0,0.92915
2019,5th Quintile,No,0.11003,456,15958,0,0.09388,0,0.12491
2020,1st Quintile,Yes,0.32395,1030,16028,0,0.29839,0,0.34645
2020,1st Quintile,No,0.67605,2366,16028,0,0.64233,0,0.71177
2020,2nd Quintile,Yes,0.60283,1902,16028,0,0.57375,0,0.63460
2020,2nd Quintile,No,0.39717,1352,16028,0,0.37065,0,0.42573
2020,3rd Quintile,Yes,0.75496,2199,16028,0,0.72482,0,0.79288
2020,3rd Quintile,No,0.24504,704,16028,0,0.22579,0,0.26545
2020,4th Quintile,Yes,0.81481,2292,16028,0,0.77661,0,0.85114
2020,4th Quintile,No,0.18519,505,16028,0,0.16740,0,0.20740
2020,5th Quintile,Yes,0.87574,3224,16028,0,0.83587,0,0.91976
2020,5th Quintile,No,0.12426,454,16028,0,0.10917,0,0.14246
2021,1st Quintile,Yes,0.47349,1139,12123,0,0.43632,0,0.51537
2021,1st Quintile,No,0.52651,2057,12123,0,0.48676,0,0.56802
2021,2nd Quintile,Yes,0.71864,1559,12123,0,0.67395,0,0.76073
2021,2nd Quintile,No,0.28136,758,12123,0,0.25344,0,0.30942
2021,3rd Quintile,Yes,0.85071,1635,12123,0,0.80233,0,0.90106
2021,3rd Quintile,No,0.14929,355,12123,0,0.12829,0,0.16776
2021,4th Quintile,Yes,0.87566,1791,12123,0,0.83338,0,0.93100
2021,4th Quintile,No,0.12434,244,12123,0,0.10610,0,0.14682
2021,5th Quintile,Yes,0.93302,2396,12123,0,0.88419,0,0.98627
2021,5th Quintile,No,0.06698,189,12123,0,0.05552,0,0.08219
