,Unnamed: 0,year,rentown,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
138,138,2009,Owner,East,Yes,0.65109,726,10052,0.59759,0.69731
139,139,2009,Owner,East,No,0.34891,340,10052,0.31546,0.38197
140,140,2009,Tenant,West,Yes,0.52733,1951,10052,0.50934,0.54599
141,141,2009,Tenant,West,No,0.47267,1660,10052,0.45691,0.49025
142,142,2009,Tenant,East,Yes,0.53915,807,10052,0.51048,0.56839
143,143,2009,Tenant,East,No,0.46085,653,10052,0.42994,0.48799
144,144,2010,Owner,West,Yes,0.67481,3432,13695,0.64779,0.70233
145,145,2010,Owner,West,No,0.32519,1611,13695,0.31015,0.33994
146,146,2010,Owner,East,Yes,0.62237,783,13695,0.57922,0.66988
147,147,2010,Owner,East,No,0.37763,448,13695,0.33164,0.42744
148,148,2010,Tenant,West,Yes,0.50735,2558,13695,0.4877,0.52476
149,149,2010,Tenant,West,No,0.49265,2955,13695,0.47119,0.51714
150,150,2010,Tenant,East,Yes,0.56887,1000,13695,0.53932,0.60767
151,151,2010,Tenant,East,No,0.43113,908,13695,0.39282,0.46256
152,152,2011,Owner,West,Yes,0.72256,4401,16402,0.69953,0.7456
153,153,2011,Owner,West,No,0.27744,1799,16402,0.26497,0.2916
154,154,2011,Owner,East,Yes,0.69702,949,16402,0.64928,0.73342
155,155,2011,Owner,East,No,0.30298,455,16402,0.27737,0.33301
156,156,2011,Tenant,West,Yes,0.52162,3147,16402,0.50475,0.54157
157,157,2011,Tenant,West,No,0.47838,3336,16402,0.4639,0.49788
158,158,2011,Tenant,East,Yes,0.55342,1181,16402,0.52754,0.5829
159,159,2011,Tenant,East,No,0.44658,1134,16402,0.42122,0.4744
160,160,2012,Owner,West,Yes,0.71583,4331,16158,0.69203,0.73612
161,161,2012,Owner,West,No,0.28417,1802,16158,0.27272,0.29761
162,162,2012,Owner,East,Yes,0.69876,939,16158,0.65831,0.74261
163,163,2012,Owner,East,No,0.30124,429,16158,0.27487,0.33161
164,164,2012,Tenant,West,Yes,0.53432,3174,16158,0.51652,0.55144
165,165,2012,Tenant,West,No,0.46568,3160,16158,0.44838,0.48116
166,166,2012,Tenant,East,Yes,0.56274,1206,16158,0.52871,0.59202
167,167,2012,Tenant,East,No,0.43726,1117,16158,0.41239,0.46785
168,168,2013,Owner,West,Yes,0.72123,4474,17698,0.69611,0.74296
169,169,2013,Owner,West,No,0.27877,1801,17698,0.26508,0.29317
170,170,2013,Owner,East,Yes,0.71654,942,17698,0.67188,0.76346
171,171,2013,Owner,East,No,0.28346,389,17698,0.25198,0.32127
172,172,2013,Tenant,West,Yes,0.52821,3707,17698,0.51195,0.54954
173,173,2013,Tenant,West,No,0.47179,4081,17698,0.45502,0.48913
174,174,2013,Tenant,East,Yes,0.56078,1215,17698,0.53131,0.58756
175,175,2013,Tenant,East,No,0.43922,1089,17698,0.41391,0.46836
176,176,2014,Owner,West,Yes,0.71889,4132,15723,0.69361,0.74752
177,177,2014,Owner,West,No,0.28111,1631,15723,0.26722,0.29561
178,178,2014,Owner,East,Yes,0.73583,888,15723,0.68664,0.78393
179,179,2014,Owner,East,No,0.26417,338,15723,0.22899,0.29569
180,180,2014,Tenant,West,Yes,0.52928,3214,15723,0.5097,0.55064
181,181,2014,Tenant,West,No,0.47072,3378,15723,0.45266,0.48875
182,182,2014,Tenant,East,Yes,0.57606,1181,15723,0.54592,0.60748
183,183,2014,Tenant,East,No,0.42394,961,15723,0.3952,0.45783
184,184,2015,Owner,West,Yes,0.70681,3986,15610,0.68085,0.7284
185,185,2015,Owner,West,No,0.29319,1486,15610,0.278,0.30519
186,186,2015,Owner,East,Yes,0.74242,860,15610,0.69343,0.78604
187,187,2015,Owner,East,No,0.25758,322,15610,0.22986,0.29005
188,188,2015,Tenant,West,Yes,0.51743,3360,15610,0.49908,0.53663
189,189,2015,Tenant,West,No,0.48257,3523,15610,0.46331,0.50223
190,190,2015,Tenant,East,Yes,0.54424,1134,15610,0.51414,0.57841
191,191,2015,Tenant,East,No,0.45576,939,15610,0.42428,0.49101
192,192,2016,Owner,West,Yes,0.71057,3717,14181,0.68521,0.73506
193,193,2016,Owner,West,No,0.28943,1366,14181,0.27542,0.30615
194,194,2016,Owner,East,Yes,0.74645,835,14181,0.69134,0.80364
195,195,2016,Owner,East,No,0.25355,313,14181,0.22356,0.28165
196,196,2016,Tenant,West,Yes,0.53635,3100,14181,0.51681,0.55903
197,197,2016,Tenant,West,No,0.46365,2946,14181,0.44032,0.48539
198,198,2016,Tenant,East,Yes,0.54954,1072,14181,0.51827,0.58231
199,199,2016,Tenant,East,No,0.45046,832,14181,0.41677,0.4828
200,200,2017,Owner,West,Yes,0.73517,4270,15536,0.71538,0.75661
201,201,2017,Owner,West,No,0.26483,1406,15536,0.2502,0.27763
202,202,2017,Owner,East,Yes,0.77805,1014,15536,0.73906,0.83805
203,203,2017,Owner,East,No,0.22195,288,15536,0.19548,0.25024
204,204,2017,Tenant,West,Yes,0.54667,3461,15536,0.5289,0.56611
205,205,2017,Tenant,West,No,0.45333,3002,15536,0.43384,0.47096
206,206,2017,Tenant,East,Yes,0.57315,1217,15536,0.54058,0.60092
207,207,2017,Tenant,East,No,0.42685,878,15536,0.40046,0.4575
208,208,2018,Owner,West,Yes,0.75669,4236,15334,0.73944,0.78052
209,209,2018,Owner,West,No,0.24331,1212,15334,0.22777,0.25672
210,210,2018,Owner,East,Yes,0.76437,969,15334,0.71268,0.82412
211,211,2018,Owner,East,No,0.23563,277,15334,0.20891,0.26078
212,212,2018,Tenant,West,Yes,0.56244,3478,15334,0.54286,0.5822
213,213,2018,Tenant,West,No,0.43756,2994,15334,0.42151,0.45699
214,214,2018,Tenant,East,Yes,0.57164,1241,15334,0.5402,0.60593
215,215,2018,Tenant,East,No,0.42836,927,15334,0.39144,0.46618
216,216,2019,Owner,West,Yes,0.79103,5039,15899,0.76077,0.818
217,217,2019,Owner,West,No,0.20897,1174,15899,0.1954,0.22081
218,218,2019,Owner,East,Yes,0.78666,1257,15899,0.72962,0.86112
219,219,2019,Owner,East,No,0.21334,279,15899,0.18329,0.24283
220,220,2019,Tenant,West,Yes,0.60032,3654,15899,0.57842,0.62277
221,221,2019,Tenant,West,No,0.39968,2463,15899,0.38382,0.41636
222,222,2019,Tenant,East,Yes,0.60325,1283,15899,0.56341,0.64149
223,223,2019,Tenant,East,No,0.39675,750,15899,0.36325,0.43077
224,224,2020,Owner,West,Yes,0.76741,4358,16057,0.74439,0.79519
225,225,2020,Owner,West,No,0.23259,1130,16057,0.21797,0.24772
226,226,2020,Owner,East,Yes,0.76151,1055,16057,0.69845,0.81632
227,227,2020,Owner,East,No,0.23849,284,16057,0.20048,0.27597
228,228,2020,Tenant,West,Yes,0.59327,3973,16057,0.57284,0.61607
229,229,2020,Tenant,West,No,0.40673,3188,16057,0.38819,0.42738
230,230,2020,Tenant,East,Yes,0.61756,1265,16057,0.57406,0.6534
231,231,2020,Tenant,East,No,0.38244,804,16057,0.34563,0.4117
232,232,2021,Owner,West,Yes,0.84028,3385,12162,0.80887,0.87766
233,233,2021,Owner,West,No,0.15972,572,12162,0.14527,0.17586
234,234,2021,Owner,East,Yes,0.86228,795,12162,0.7833,0.93906
235,235,2021,Owner,East,No,0.13772,132,12162,0.11519,0.17387
236,236,2021,Tenant,West,Yes,0.70163,3303,12162,0.67327,0.7301
237,237,2021,Tenant,West,No,0.29837,2375,12162,0.27825,0.31744
238,238,2021,Tenant,East,Yes,0.71394,1047,12162,0.66031,0.76541
239,239,2021,Tenant,East,No,0.28606,553,12162,0.24762,0.31834
