"plb0050","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2007","17-34","maennlich","","","",""
"Nein","2007","17-34","weiblich","","","",""
"Nein","2007","35-65","maennlich","","","",""
"Nein","2007","35-65","weiblich","","","",""
"Nein","2007","66 +","maennlich","","","",""
"Nein","2007","66 +","weiblich","","","",""
"Ja","2008","17-34","maennlich","","","",""
"Ja","2008","17-34","weiblich","","","",""
"Ja","2008","35-65","maennlich","","","",""
"Ja","2008","35-65","weiblich","","","",""
"Ja","2008","66 +","maennlich","","","",""
"Ja","2008","66 +","weiblich","","","",""
"Nein","2008","17-34","maennlich","","","",""
"Nein","2008","17-34","weiblich","","","",""
"Nein","2008","35-65","maennlich","","","",""
"Nein","2008","35-65","weiblich","","","",""
"Nein","2008","66 +","maennlich","","","",""
"Nein","2008","66 +","weiblich","","","",""
"Ja","2009","17-34","maennlich","","","",""
"Ja","2009","17-34","weiblich","","","",""
"Ja","2009","35-65","maennlich","","","",""
"Ja","2009","35-65","weiblich","","","",""
"Ja","2009","66 +","maennlich","","","",""
"Ja","2009","66 +","weiblich","","","",""
"Nein","2009","17-34","maennlich","","","",""
"Nein","2009","17-34","weiblich","","","",""
"Nein","2009","35-65","maennlich","","","",""
"Nein","2009","35-65","weiblich","","","",""
"Nein","2009","66 +","maennlich","","","",""
"Nein","2009","66 +","weiblich","","","",""
"Ja","2010","17-34","maennlich","","","",""
"Ja","2010","17-34","weiblich","","","",""
"Ja","2010","35-65","maennlich","","","",""
"Ja","2010","35-65","weiblich","","","",""
"Ja","2010","66 +","maennlich","","","",""
"Ja","2010","66 +","weiblich","","","",""
"Nein","2010","17-34","maennlich","","","",""
"Nein","2010","17-34","weiblich","","","",""
"Nein","2010","35-65","maennlich","","","",""
"Nein","2010","35-65","weiblich","","","",""
"Nein","2010","66 +","maennlich","","","",""
"Nein","2010","66 +","weiblich","","","",""
"Ja","2011","17-34","maennlich","686","0.506265942739458","0.479566623249539","0.532965262229377"
"Ja","2011","17-34","weiblich","680","0.517893872108761","0.491219459977126","0.544568284240395"
"Ja","2011","35-65","maennlich","2388","","",""
"Ja","2011","35-65","weiblich","2142","","",""
"Ja","2011","66 +","maennlich","22","","",""
"Ja","2011","66 +","weiblich","14","","",""
"Nein","2011","17-34","maennlich","661","0.493734057260542","0.467034737770623","0.520433376750461"
"Nein","2011","17-34","weiblich","668","0.482106127891239","0.455431715759605","0.508780540022874"
"Nein","2011","35-65","maennlich","1751","","",""
"Nein","2011","35-65","weiblich","1936","","",""
"Nein","2011","66 +","maennlich","97","0.784268216688658","0.71036489060476","0.858171542772557"
"Nein","2011","66 +","weiblich","57","0.814776959661309","0.724414968807675","0.905138950514943"
"Ja","2012","17-34","maennlich","","","",""
"Ja","2012","17-34","weiblich","","","",""
"Ja","2012","35-65","maennlich","","","",""
"Ja","2012","35-65","weiblich","","","",""
"Ja","2012","66 +","maennlich","","","",""
"Ja","2012","66 +","weiblich","","","",""
"Nein","2012","17-34","maennlich","","","",""
"Nein","2012","17-34","weiblich","","","",""
"Nein","2012","35-65","maennlich","","","",""
"Nein","2012","35-65","weiblich","","","",""
"Nein","2012","66 +","maennlich","","","",""
"Nein","2012","66 +","weiblich","","","",""
"Ja","2013","17-34","maennlich","","","",""
"Ja","2013","17-34","weiblich","","","",""
"Ja","2013","35-65","maennlich","","","",""
"Ja","2013","35-65","weiblich","","","",""
"Ja","2013","66 +","maennlich","","","",""
"Ja","2013","66 +","weiblich","","","",""
"Nein","2013","17-34","maennlich","","","",""
"Nein","2013","17-34","weiblich","","","",""
"Nein","2013","35-65","maennlich","","","",""
"Nein","2013","35-65","weiblich","","","",""
"Nein","2013","66 +","maennlich","","","",""
"Nein","2013","66 +","weiblich","","","",""
"Ja","2014","17-34","maennlich","","","",""
"Ja","2014","17-34","weiblich","","","",""
"Ja","2014","35-65","maennlich","","","",""
"Ja","2014","35-65","weiblich","","","",""
