"plb0050","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2007","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2007","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2007","Hauptschule","Städtischer Raum","","","",""
"Ja","2007","Hauptschule","Ländlicher Raum","","","",""
"Ja","2007","Realschule","Städtischer Raum","","","",""
"Ja","2007","Realschule","Ländlicher Raum","","","",""
"Ja","2007","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2007","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2007","AkademikerIn","Städtischer Raum","","","",""
"Ja","2007","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2007","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2007","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2007","Hauptschule","Städtischer Raum","","","",""
"Nein","2007","Hauptschule","Ländlicher Raum","","","",""
"Nein","2007","Realschule","Städtischer Raum","","","",""
"Nein","2007","Realschule","Ländlicher Raum","","","",""
"Nein","2007","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2007","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2007","AkademikerIn","Städtischer Raum","","","",""
"Nein","2007","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2008","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2008","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2008","Hauptschule","Städtischer Raum","","","",""
"Ja","2008","Hauptschule","Ländlicher Raum","","","",""
"Ja","2008","Realschule","Städtischer Raum","","","",""
"Ja","2008","Realschule","Ländlicher Raum","","","",""
"Ja","2008","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2008","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2008","AkademikerIn","Städtischer Raum","","","",""
"Ja","2008","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2008","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2008","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2008","Hauptschule","Städtischer Raum","","","",""
"Nein","2008","Hauptschule","Ländlicher Raum","","","",""
"Nein","2008","Realschule","Städtischer Raum","","","",""
"Nein","2008","Realschule","Ländlicher Raum","","","",""
"Nein","2008","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2008","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2008","AkademikerIn","Städtischer Raum","","","",""
"Nein","2008","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2009","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2009","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2009","Hauptschule","Städtischer Raum","","","",""
"Ja","2009","Hauptschule","Ländlicher Raum","","","",""
"Ja","2009","Realschule","Städtischer Raum","","","",""
"Ja","2009","Realschule","Ländlicher Raum","","","",""
"Ja","2009","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2009","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2009","AkademikerIn","Städtischer Raum","","","",""
"Ja","2009","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2009","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2009","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2009","Hauptschule","Städtischer Raum","","","",""
"Nein","2009","Hauptschule","Ländlicher Raum","","","",""
"Nein","2009","Realschule","Städtischer Raum","","","",""
"Nein","2009","Realschule","Ländlicher Raum","","","",""
"Nein","2009","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2009","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2009","AkademikerIn","Städtischer Raum","","","",""
"Nein","2009","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2010","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2010","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2010","Hauptschule","Städtischer Raum","","","",""
"Ja","2010","Hauptschule","Ländlicher Raum","","","",""
"Ja","2010","Realschule","Städtischer Raum","","","",""
"Ja","2010","Realschule","Ländlicher Raum","","","",""
"Ja","2010","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2010","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2010","AkademikerIn","Städtischer Raum","","","",""
"Ja","2010","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2010","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2010","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2010","Hauptschule","Städtischer Raum","","","",""
"Nein","2010","Hauptschule","Ländlicher Raum","","","",""
"Nein","2010","Realschule","Städtischer Raum","","","",""
"Nein","2010","Realschule","Ländlicher Raum","","","",""
"Nein","2010","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2010","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2010","AkademikerIn","Städtischer Raum","","","",""
"Nein","2010","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2011","(noch) kein Abschluss","Städtischer Raum","32","0.369938887130753","0.265443409431405","0.474434364830101"
"Ja","2011","(noch) kein Abschluss","Ländlicher Raum","10","","",""
"Ja","2011","Hauptschule","Städtischer Raum","838","0.499828914624467","0.476123528234349","0.523534301014584"
"Ja","2011","Hauptschule","Ländlicher Raum","437","0.457158833443278","0.426158797283296","0.48815886960326"
"Ja","2011","Realschule","Städtischer Raum","1069","0.532142485091045","0.510356292558425","0.553928677623665"
"Ja","2011","Realschule","Ländlicher Raum","764","0.494393491955021","0.469910779298691","0.51887620461135"
"Ja","2011","(Fach-)Abitur","Städtischer Raum","574","0.54751682188737","0.517324410924395","0.577709232850344"
"Ja","2011","(Fach-)Abitur","Ländlicher Raum","221","0.533889573569679","0.485305859958618","0.58247328718074"
"Ja","2011","AkademikerIn","Städtischer Raum","1312","0.644703158237127","0.624149978108093","0.665256338366161"
"Ja","2011","AkademikerIn","Ländlicher Raum","537","0.571789522282549","0.538699409271365","0.604879635293732"
"Nein","2011","(noch) kein Abschluss","Städtischer Raum","50","0.630061112869247","0.525565635169899","0.734556590568595"
"Nein","2011","(noch) kein Abschluss","Ländlicher Raum","23","","",""
"Nein","2011","Hauptschule","Städtischer Raum","871","0.500171085375533","0.476465698985416","0.523876471765651"
"Nein","2011","Hauptschule","Ländlicher Raum","555","0.542841166556722","0.51184113039674","0.573841202716704"
"Nein","2011","Realschule","Städtischer Raum","946","0.467857514908955","0.446071322376335","0.489643707441575"
"Nein","2011","Realschule","Ländlicher Raum","838","0.505606508044979","0.48112379538865","0.530089220701309"
"Nein","2011","(Fach-)Abitur","Städtischer Raum","470","0.452483178112631","0.422290767149656","0.482675589075605"
"Nein","2011","(Fach-)Abitur","Ländlicher Raum","184","0.466110426430321","0.41752671281926","0.514694140041382"
"Nein","2011","AkademikerIn","Städtischer Raum","771","0.355296841762873","0.334743661633839","0.375850021891907"
"Nein","2011","AkademikerIn","Ländlicher Raum","322","0.428210477717451","0.395120364706267","0.461300590728635"
"Ja","2012","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2012","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2012","Hauptschule","Städtischer Raum","","","",""
"Ja","2012","Hauptschule","Ländlicher Raum","","","",""
"Ja","2012","Realschule","Städtischer Raum","","","",""
"Ja","2012","Realschule","Ländlicher Raum","","","",""
"Ja","2012","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2012","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2012","AkademikerIn","Städtischer Raum","","","",""
"Ja","2012","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2012","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2012","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2012","Hauptschule","Städtischer Raum","","","",""
"Nein","2012","Hauptschule","Ländlicher Raum","","","",""
"Nein","2012","Realschule","Städtischer Raum","","","",""
"Nein","2012","Realschule","Ländlicher Raum","","","",""
"Nein","2012","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2012","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2012","AkademikerIn","Städtischer Raum","","","",""
"Nein","2012","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2013","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2013","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2013","Hauptschule","Städtischer Raum","","","",""
"Ja","2013","Hauptschule","Ländlicher Raum","","","",""
"Ja","2013","Realschule","Städtischer Raum","","","",""
"Ja","2013","Realschule","Ländlicher Raum","","","",""
"Ja","2013","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2013","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2013","AkademikerIn","Städtischer Raum","","","",""
"Ja","2013","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2013","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2013","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2013","Hauptschule","Städtischer Raum","","","",""
"Nein","2013","Hauptschule","Ländlicher Raum","","","",""
"Nein","2013","Realschule","Städtischer Raum","","","",""
"Nein","2013","Realschule","Ländlicher Raum","","","",""
"Nein","2013","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2013","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2013","AkademikerIn","Städtischer Raum","","","",""
"Nein","2013","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2014","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2014","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2014","Hauptschule","Städtischer Raum","","","",""
"Ja","2014","Hauptschule","Ländlicher Raum","","","",""
"Ja","2014","Realschule","Städtischer Raum","","","",""
"Ja","2014","Realschule","Ländlicher Raum","","","",""
"Ja","2014","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2014","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2014","AkademikerIn","Städtischer Raum","","","",""
"Ja","2014","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2014","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2014","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2014","Hauptschule","Städtischer Raum","","","",""
"Nein","2014","Hauptschule","Ländlicher Raum","","","",""
"Nein","2014","Realschule","Städtischer Raum","","","",""
"Nein","2014","Realschule","Ländlicher Raum","","","",""
"Nein","2014","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2014","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2014","AkademikerIn","Städtischer Raum","","","",""
"Nein","2014","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2015","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2015","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2015","Hauptschule","Städtischer Raum","","","",""
"Ja","2015","Hauptschule","Ländlicher Raum","","","",""
"Ja","2015","Realschule","Städtischer Raum","","","",""
"Ja","2015","Realschule","Ländlicher Raum","","","",""
"Ja","2015","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2015","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2015","AkademikerIn","Städtischer Raum","","","",""
"Ja","2015","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2015","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2015","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2015","Hauptschule","Städtischer Raum","","","",""
"Nein","2015","Hauptschule","Ländlicher Raum","","","",""
"Nein","2015","Realschule","Städtischer Raum","","","",""
"Nein","2015","Realschule","Ländlicher Raum","","","",""
"Nein","2015","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2015","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2015","AkademikerIn","Städtischer Raum","","","",""
"Nein","2015","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2016","(noch) kein Abschluss","Städtischer Raum","63","0.371706492805972","0.300512587382083","0.442900398229861"
"Ja","2016","(noch) kein Abschluss","Ländlicher Raum","23","","",""
"Ja","2016","Hauptschule","Städtischer Raum","858","0.467122148036815","0.444712053755103","0.489532242318528"
"Ja","2016","Hauptschule","Ländlicher Raum","513","0.455115656638528","0.427033679820355","0.483197633456701"
"Ja","2016","Realschule","Städtischer Raum","1117","0.507252599106985","0.486299512355948","0.528205685858021"
"Ja","2016","Realschule","Ländlicher Raum","882","0.523246603481412","0.499958725168426","0.546534481794398"
"Ja","2016","(Fach-)Abitur","Städtischer Raum","882","0.537094656113286","0.513706419211173","0.560482893015399"
"Ja","2016","(Fach-)Abitur","Ländlicher Raum","336","0.535872742447544","0.497621911753303","0.574123573141785"
"Ja","2016","AkademikerIn","Städtischer Raum","1754","0.659043561295076","0.641222651429816","0.676864471160336"
"Ja","2016","AkademikerIn","Ländlicher Raum","658","0.624520421957029","0.594933016279244","0.654107827634814"
"Nein","2016","(noch) kein Abschluss","Städtischer Raum","114","0.628293507194028","0.557099601770139","0.699487412617917"
"Nein","2016","(noch) kein Abschluss","Ländlicher Raum","41","0.509634815950759","0.387159811881906","0.632109820019612"
"Nein","2016","Hauptschule","Städtischer Raum","1046","0.532877851963185","0.510467757681472","0.555287946244897"
"Nein","2016","Hauptschule","Ländlicher Raum","695","0.544884343361472","0.516802366543299","0.572966320179645"
"Nein","2016","Realschule","Städtischer Raum","1070","0.492747400893015","0.471794314141979","0.513700487644052"
"Nein","2016","Realschule","Ländlicher Raum","885","0.476753396518587","0.453465518205602","0.500041274831573"
"Nein","2016","(Fach-)Abitur","Städtischer Raum","864","0.462905343886714","0.439517106984601","0.486293580788827"
"Nein","2016","(Fach-)Abitur","Ländlicher Raum","317","0.464127257552456","0.425876426858215","0.502378088246697"
"Nein","2016","AkademikerIn","Städtischer Raum","964","0.340956438704924","0.323135528839664","0.358777348570184"
"Nein","2016","AkademikerIn","Ländlicher Raum","371","0.375479578042971","0.345892172365186","0.405066983720756"
"Ja","2017","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2017","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2017","Hauptschule","Städtischer Raum","","","",""
"Ja","2017","Hauptschule","Ländlicher Raum","","","",""
"Ja","2017","Realschule","Städtischer Raum","","","",""
"Ja","2017","Realschule","Ländlicher Raum","","","",""
"Ja","2017","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2017","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2017","AkademikerIn","Städtischer Raum","","","",""
"Ja","2017","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2017","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2017","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2017","Hauptschule","Städtischer Raum","","","",""
"Nein","2017","Hauptschule","Ländlicher Raum","","","",""
"Nein","2017","Realschule","Städtischer Raum","","","",""
"Nein","2017","Realschule","Ländlicher Raum","","","",""
"Nein","2017","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2017","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2017","AkademikerIn","Städtischer Raum","","","",""
"Nein","2017","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2018","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2018","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2018","Hauptschule","Städtischer Raum","","","",""
"Ja","2018","Hauptschule","Ländlicher Raum","","","",""
"Ja","2018","Realschule","Städtischer Raum","","","",""
"Ja","2018","Realschule","Ländlicher Raum","","","",""
"Ja","2018","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2018","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2018","AkademikerIn","Städtischer Raum","","","",""
"Ja","2018","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2018","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2018","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2018","Hauptschule","Städtischer Raum","","","",""
"Nein","2018","Hauptschule","Ländlicher Raum","","","",""
"Nein","2018","Realschule","Städtischer Raum","","","",""
"Nein","2018","Realschule","Ländlicher Raum","","","",""
"Nein","2018","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2018","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2018","AkademikerIn","Städtischer Raum","","","",""
"Nein","2018","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2019","(noch) kein Abschluss","Städtischer Raum","62","0.487073595930833","0.411265659116515","0.562881532745151"
"Ja","2019","(noch) kein Abschluss","Ländlicher Raum","25","","",""
"Ja","2019","Hauptschule","Städtischer Raum","739","0.457705040954148","0.433924050566087","0.48148603134221"
"Ja","2019","Hauptschule","Ländlicher Raum","446","0.439265435392299","0.410042731990678","0.468488138793921"
"Ja","2019","Realschule","Städtischer Raum","1175","0.502463130804719","0.482721070517203","0.522205191092235"
"Ja","2019","Realschule","Ländlicher Raum","901","0.514732968441847","0.492774454831608","0.536691482052086"
"Ja","2019","(Fach-)Abitur","Städtischer Raum","977","0.571632450985208","0.549841681194732","0.593423220775685"
"Ja","2019","(Fach-)Abitur","Ländlicher Raum","371","0.521532709190123","0.486203461986392","0.556861956393854"
"Ja","2019","AkademikerIn","Städtischer Raum","1890","0.662082376787187","0.646157585777093","0.678007167797282"
"Ja","2019","AkademikerIn","Ländlicher Raum","653","0.6001246668316","0.572658659321478","0.627590674341723"
"Nein","2019","(noch) kein Abschluss","Städtischer Raum","105","0.512926404069167","0.437118467254849","0.588734340883485"
"Nein","2019","(noch) kein Abschluss","Ländlicher Raum","43","0.563822448904493","0.445954297752159","0.681690600056827"
"Nein","2019","Hauptschule","Städtischer Raum","947","0.542294959045852","0.51851396865779","0.566075949433913"
"Nein","2019","Hauptschule","Ländlicher Raum","662","0.560734564607701","0.531511861206079","0.589957268009322"
"Nein","2019","Realschule","Städtischer Raum","1289","0.497536869195281","0.477794808907765","0.517278929482797"
"Nein","2019","Realschule","Ländlicher Raum","1089","0.485267031558153","0.463308517947914","0.507225545168392"
"Nein","2019","(Fach-)Abitur","Städtischer Raum","1004","0.428367549014792","0.406576779224315","0.450158318805269"
"Nein","2019","(Fach-)Abitur","Ländlicher Raum","397","0.478467290809877","0.443138043606146","0.513796538013608"
"Nein","2019","AkademikerIn","Städtischer Raum","1499","0.337917623212813","0.321992832202718","0.353842414222907"
"Nein","2019","AkademikerIn","Ländlicher Raum","569","0.3998753331684","0.372409325658277","0.427341340678522"
