"plb0050","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2002","17-34","(Fach-)Abitur","","","",""
"Nein","2002","17-34","AkademikerIn","","","",""
"Nein","2002","35-65","(noch) kein Abschluss","","","",""
"Nein","2002","35-65","Hauptschule","","","",""
"Nein","2002","35-65","Realschule","","","",""
"Nein","2002","35-65","(Fach-)Abitur","","","",""
"Nein","2002","35-65","AkademikerIn","","","",""
"Nein","2002","66 +","(noch) kein Abschluss","","","",""
"Nein","2002","66 +","Hauptschule","","","",""
"Nein","2002","66 +","Realschule","","","",""
"Nein","2002","66 +","(Fach-)Abitur","","","",""
"Nein","2002","66 +","AkademikerIn","","","",""
"Ja","2003","17-34","(noch) kein Abschluss","","","",""
"Ja","2003","17-34","Hauptschule","","","",""
"Ja","2003","17-34","Realschule","","","",""
"Ja","2003","17-34","(Fach-)Abitur","","","",""
"Ja","2003","17-34","AkademikerIn","","","",""
"Ja","2003","35-65","(noch) kein Abschluss","","","",""
"Ja","2003","35-65","Hauptschule","","","",""
"Ja","2003","35-65","Realschule","","","",""
"Ja","2003","35-65","(Fach-)Abitur","","","",""
"Ja","2003","35-65","AkademikerIn","","","",""
"Ja","2003","66 +","(noch) kein Abschluss","","","",""
"Ja","2003","66 +","Hauptschule","","","",""
"Ja","2003","66 +","Realschule","","","",""
"Ja","2003","66 +","(Fach-)Abitur","","","",""
"Ja","2003","66 +","AkademikerIn","","","",""
"Nein","2003","17-34","(noch) kein Abschluss","","","",""
"Nein","2003","17-34","Hauptschule","","","",""
"Nein","2003","17-34","Realschule","","","",""
"Nein","2003","17-34","(Fach-)Abitur","","","",""
"Nein","2003","17-34","AkademikerIn","","","",""
"Nein","2003","35-65","(noch) kein Abschluss","","","",""
"Nein","2003","35-65","Hauptschule","","","",""
"Nein","2003","35-65","Realschule","","","",""
"Nein","2003","35-65","(Fach-)Abitur","","","",""
"Nein","2003","35-65","AkademikerIn","","","",""
"Nein","2003","66 +","(noch) kein Abschluss","","","",""
"Nein","2003","66 +","Hauptschule","","","",""
"Nein","2003","66 +","Realschule","","","",""
"Nein","2003","66 +","(Fach-)Abitur","","","",""
"Nein","2003","66 +","AkademikerIn","","","",""
"Ja","2004","17-34","(noch) kein Abschluss","","","",""
"Ja","2004","17-34","Hauptschule","","","",""
"Ja","2004","17-34","Realschule","","","",""
"Ja","2004","17-34","(Fach-)Abitur","","","",""
"Ja","2004","17-34","AkademikerIn","","","",""
"Ja","2004","35-65","(noch) kein Abschluss","","","",""
"Ja","2004","35-65","Hauptschule","","","",""
"Ja","2004","35-65","Realschule","","","",""
"Ja","2004","35-65","(Fach-)Abitur","","","",""
"Ja","2004","35-65","AkademikerIn","","","",""
"Ja","2004","66 +","(noch) kein Abschluss","","","",""
"Ja","2004","66 +","Hauptschule","","","",""
"Ja","2004","66 +","Realschule","","","",""
"Ja","2004","66 +","(Fach-)Abitur","","","",""
"Ja","2004","66 +","AkademikerIn","","","",""
"Nein","2004","17-34","(noch) kein Abschluss","","","",""
"Nein","2004","17-34","Hauptschule","","","",""
"Nein","2004","17-34","Realschule","","","",""
"Nein","2004","17-34","(Fach-)Abitur","","","",""
"Nein","2004","17-34","AkademikerIn","","","",""
"Nein","2004","35-65","(noch) kein Abschluss","","","",""
"Nein","2004","35-65","Hauptschule","","","",""
"Nein","2004","35-65","Realschule","","","",""
"Nein","2004","35-65","(Fach-)Abitur","","","",""
"Nein","2004","35-65","AkademikerIn","","","",""
"Nein","2004","66 +","(noch) kein Abschluss","","","",""
"Nein","2004","66 +","Hauptschule","","","",""
"Nein","2004","66 +","Realschule","","","",""
"Nein","2004","66 +","(Fach-)Abitur","","","",""
"Nein","2004","66 +","AkademikerIn","","","",""
"Ja","2005","17-34","(noch) kein Abschluss","","","",""
"Ja","2005","17-34","Hauptschule","","","",""
"Ja","2005","17-34","Realschule","","","",""
"Ja","2005","17-34","(Fach-)Abitur","","","",""
"Ja","2005","17-34","AkademikerIn","","","",""
"Ja","2005","35-65","(noch) kein Abschluss","","","",""
"Ja","2005","35-65","Hauptschule","","","",""
"Ja","2005","35-65","Realschule","","","",""
"Ja","2005","35-65","(Fach-)Abitur","","","",""
"Ja","2005","35-65","AkademikerIn","","","",""
"Ja","2005","66 +","(noch) kein Abschluss","","","",""
"Ja","2005","66 +","Hauptschule","","","",""
"Ja","2005","66 +","Realschule","","","",""
"Ja","2005","66 +","(Fach-)Abitur","","","",""
"Ja","2005","66 +","AkademikerIn","","","",""
"Nein","2005","17-34","(noch) kein Abschluss","","","",""
"Nein","2005","17-34","Hauptschule","","","",""
"Nein","2005","17-34","Realschule","","","",""
"Nein","2005","17-34","(Fach-)Abitur","","","",""
"Nein","2005","17-34","AkademikerIn","","","",""
"Nein","2005","35-65","(noch) kein Abschluss","","","",""
"Nein","2005","35-65","Hauptschule","","","",""
"Nein","2005","35-65","Realschule","","","",""
"Nein","2005","35-65","(Fach-)Abitur","","","",""
"Nein","2005","35-65","AkademikerIn","","","",""
"Nein","2005","66 +","(noch) kein Abschluss","","","",""
"Nein","2005","66 +","Hauptschule","","","",""
"Nein","2005","66 +","Realschule","","","",""
"Nein","2005","66 +","(Fach-)Abitur","","","",""
"Nein","2005","66 +","AkademikerIn","","","",""
"Ja","2006","17-34","(noch) kein Abschluss","8","0.152252073103039","0.0555301034752053","0.248974042730873"
"Ja","2006","17-34","Hauptschule","240","","",""
"Ja","2006","17-34","Realschule","501","0.475689009402048","0.446428014587836","0.50495000421626"
"Ja","2006","17-34","(Fach-)Abitur","312","0.475355728797543","0.437169458719253","0.513541998875833"
"Ja","2006","17-34","AkademikerIn","269","","",""
"Ja","2006","35-65","(noch) kein Abschluss","29","","",""
"Ja","2006","35-65","Hauptschule","1273","","",""
"Ja","2006","35-65","Realschule","1363","","",""
"Ja","2006","35-65","(Fach-)Abitur","443","0.533649350168786","0.499357801126904","0.567940899210667"
"Ja","2006","35-65","AkademikerIn","1628","","",""
"Ja","2006","66 +","(noch) kein Abschluss","","","",""
"Ja","2006","66 +","Hauptschule","6","0.0820458573137242","0.0222812041678276","0.141810510459621"
"Ja","2006","66 +","Realschule","4","0.110521647281059","-0.00561263532998534","0.226655929892104"
"Ja","2006","66 +","(Fach-)Abitur","","","",""
"Ja","2006","66 +","AkademikerIn","14","","",""
"Nein","2006","17-34","(noch) kein Abschluss","45","0.847747926896961","0.751025957269127","0.944469896524795"
"Nein","2006","17-34","Hauptschule","394","0.608434245032261","0.570440453241586","0.646428036822936"
"Nein","2006","17-34","Realschule","618","0.524310990597952","0.49504999578374","0.553571985412164"
"Nein","2006","17-34","(Fach-)Abitur","345","0.524644271202457","0.486458001124167","0.562830541280747"
"Nein","2006","17-34","AkademikerIn","194","","",""
"Nein","2006","35-65","(noch) kein Abschluss","24","","",""
"Nein","2006","35-65","Hauptschule","1292","","",""
"Nein","2006","35-65","Realschule","1341","","",""
"Nein","2006","35-65","(Fach-)Abitur","370","0.466350649831214","0.432059100789333","0.500642198873096"
"Nein","2006","35-65","AkademikerIn","1013","","",""
"Nein","2006","66 +","(noch) kein Abschluss","3","","",""
"Nein","2006","66 +","Hauptschule","75","0.917954142686276","0.858189489540379","0.977718795832172"
"Nein","2006","66 +","Realschule","24","","",""
"Nein","2006","66 +","(Fach-)Abitur","6","1","1","1"
"Nein","2006","66 +","AkademikerIn","51","0.731817093072625","0.624118945302823","0.839515240842428"
"Ja","2007","17-34","(noch) kein Abschluss","","","",""
"Ja","2007","17-34","Hauptschule","","","",""
"Ja","2007","17-34","Realschule","","","",""
"Ja","2007","17-34","(Fach-)Abitur","","","",""
"Ja","2007","17-34","AkademikerIn","","","",""
"Ja","2007","35-65","(noch) kein Abschluss","","","",""
"Ja","2007","35-65","Hauptschule","","","",""
"Ja","2007","35-65","Realschule","","","",""
"Ja","2007","35-65","(Fach-)Abitur","","","",""
"Ja","2007","35-65","AkademikerIn","","","",""
"Ja","2007","66 +","(noch) kein Abschluss","","","",""
"Ja","2007","66 +","Hauptschule","","","",""
"Ja","2007","66 +","Realschule","","","",""
"Ja","2007","66 +","(Fach-)Abitur","","","",""
"Ja","2007","66 +","AkademikerIn","","","",""
"Nein","2007","17-34","(noch) kein Abschluss","","","",""
"Nein","2007","17-34","Hauptschule","","","",""
"Nein","2007","17-34","Realschule","","","",""
"Nein","2007","17-34","(Fach-)Abitur","","","",""
"Nein","2007","17-34","AkademikerIn","","","",""
"Nein","2007","35-65","(noch) kein Abschluss","","","",""
"Nein","2007","35-65","Hauptschule","","","",""
"Nein","2007","35-65","Realschule","","","",""
"Nein","2007","35-65","(Fach-)Abitur","","","",""
"Nein","2007","35-65","AkademikerIn","","","",""
"Nein","2007","66 +","(noch) kein Abschluss","","","",""
"Nein","2007","66 +","Hauptschule","","","",""
"Nein","2007","66 +","Realschule","","","",""
"Nein","2007","66 +","(Fach-)Abitur","","","",""
"Nein","2007","66 +","AkademikerIn","","","",""
"Ja","2008","17-34","(noch) kein Abschluss","","","",""
"Ja","2008","17-34","Hauptschule","","","",""
"Ja","2008","17-34","Realschule","","","",""
"Ja","2008","17-34","(Fach-)Abitur","","","",""
"Ja","2008","17-34","AkademikerIn","","","",""
"Ja","2008","35-65","(noch) kein Abschluss","","","",""
"Ja","2008","35-65","Hauptschule","","","",""
"Ja","2008","35-65","Realschule","","","",""
"Ja","2008","35-65","(Fach-)Abitur","","","",""
"Ja","2008","35-65","AkademikerIn","","","",""
"Ja","2008","66 +","(noch) kein Abschluss","","","",""
"Ja","2008","66 +","Hauptschule","","","",""
"Ja","2008","66 +","Realschule","","","",""
"Ja","2008","66 +","(Fach-)Abitur","","","",""
"Ja","2008","66 +","AkademikerIn","","","",""
"Nein","2008","17-34","(noch) kein Abschluss","","","",""
"Nein","2008","17-34","Hauptschule","","","",""
"Nein","2008","17-34","Realschule","","","",""
"Nein","2008","17-34","(Fach-)Abitur","","","",""
"Nein","2008","17-34","AkademikerIn","","","",""
"Nein","2008","35-65","(noch) kein Abschluss","","","",""
"Nein","2008","35-65","Hauptschule","","","",""
"Nein","2008","35-65","Realschule","","","",""
"Nein","2008","35-65","(Fach-)Abitur","","","",""
"Nein","2008","35-65","AkademikerIn","","","",""
"Nein","2008","66 +","(noch) kein Abschluss","","","",""
"Nein","2008","66 +","Hauptschule","","","",""
"Nein","2008","66 +","Realschule","","","",""
"Nein","2008","66 +","(Fach-)Abitur","","","",""
"Nein","2008","66 +","AkademikerIn","","","",""
"Ja","2009","17-34","(noch) kein Abschluss","","","",""
"Ja","2009","17-34","Hauptschule","","","",""
"Ja","2009","17-34","Realschule","","","",""
"Ja","2009","17-34","(Fach-)Abitur","","","",""
"Ja","2009","17-34","AkademikerIn","","","",""
"Ja","2009","35-65","(noch) kein Abschluss","","","",""
"Ja","2009","35-65","Hauptschule","","","",""
"Ja","2009","35-65","Realschule","","","",""
"Ja","2009","35-65","(Fach-)Abitur","","","",""
"Ja","2009","35-65","AkademikerIn","","","",""
"Ja","2009","66 +","(noch) kein Abschluss","","","",""
"Ja","2009","66 +","Hauptschule","","","",""
"Ja","2009","66 +","Realschule","","","",""
"Ja","2009","66 +","(Fach-)Abitur","","","",""
"Ja","2009","66 +","AkademikerIn","","","",""
"Nein","2009","17-34","(noch) kein Abschluss","","","",""
"Nein","2009","17-34","Hauptschule","","","",""
"Nein","2009","17-34","Realschule","","","",""
"Nein","2009","17-34","(Fach-)Abitur","","","",""
"Nein","2009","17-34","AkademikerIn","","","",""
"Nein","2009","35-65","(noch) kein Abschluss","","","",""
"Nein","2009","35-65","Hauptschule","","","",""
"Nein","2009","35-65","Realschule","","","",""
"Nein","2009","35-65","(Fach-)Abitur","","","",""
"Nein","2009","35-65","AkademikerIn","","","",""
"Nein","2009","66 +","(noch) kein Abschluss","","","",""
"Nein","2009","66 +","Hauptschule","","","",""
"Nein","2009","66 +","Realschule","","","",""
"Nein","2009","66 +","(Fach-)Abitur","","","",""
"Nein","2009","66 +","AkademikerIn","","","",""
"Ja","2010","17-34","(noch) kein Abschluss","","","",""
"Ja","2010","17-34","Hauptschule","","","",""
"Ja","2010","17-34","Realschule","","","",""
"Ja","2010","17-34","(Fach-)Abitur","","","",""
"Ja","2010","17-34","AkademikerIn","","","",""
"Ja","2010","35-65","(noch) kein Abschluss","","","",""
"Ja","2010","35-65","Hauptschule","","","",""
"Ja","2010","35-65","Realschule","","","",""
"Ja","2010","35-65","(Fach-)Abitur","","","",""
"Ja","2010","35-65","AkademikerIn","","","",""
"Ja","2010","66 +","(noch) kein Abschluss","","","",""
"Ja","2010","66 +","Hauptschule","","","",""
"Ja","2010","66 +","Realschule","","","",""
"Ja","2010","66 +","(Fach-)Abitur","","","",""
"Ja","2010","66 +","AkademikerIn","","","",""
"Nein","2010","17-34","(noch) kein Abschluss","","","",""
"Nein","2010","17-34","Hauptschule","","","",""
"Nein","2010","17-34","Realschule","","","",""
"Nein","2010","17-34","(Fach-)Abitur","","","",""
"Nein","2010","17-34","AkademikerIn","","","",""
"Nein","2010","35-65","(noch) kein Abschluss","","","",""
"Nein","2010","35-65","Hauptschule","","","",""
"Nein","2010","35-65","Realschule","","","",""
"Nein","2010","35-65","(Fach-)Abitur","","","",""
"Nein","2010","35-65","AkademikerIn","","","",""
"Nein","2010","66 +","(noch) kein Abschluss","","","",""
"Nein","2010","66 +","Hauptschule","","","",""
"Nein","2010","66 +","Realschule","","","",""
"Nein","2010","66 +","(Fach-)Abitur","","","",""
"Nein","2010","66 +","AkademikerIn","","","",""
"Ja","2011","17-34","(noch) kein Abschluss","19","","",""
"Ja","2011","17-34","Hauptschule","177","","",""
"Ja","2011","17-34","Realschule","410","0.48451345526298","0.451034430648183","0.517992479877776"
"Ja","2011","17-34","(Fach-)Abitur","307","0.514729730262212","0.474020744879213","0.555438715645211"
"Ja","2011","17-34","AkademikerIn","329","0.585443910919163","0.543502363249968","0.627385458588359"
"Ja","2011","35-65","(noch) kein Abschluss","23","","",""
"Ja","2011","35-65","Hauptschule","1084","","",""
"Ja","2011","35-65","Realschule","1418","","",""
"Ja","2011","35-65","(Fach-)Abitur","486","0.569487350642055","0.536413747222133","0.602560954061978"
"Ja","2011","35-65","AkademikerIn","1505","","",""
"Ja","2011","66 +","(noch) kein Abschluss","","","",""
"Ja","2011","66 +","Hauptschule","14","","",""
"Ja","2011","66 +","Realschule","5","0.259409667929863","0.0940809465625309","0.424738389297195"
"Ja","2011","66 +","(Fach-)Abitur","2","","",""
"Ja","2011","66 +","AkademikerIn","15","","",""
"Nein","2011","17-34","(noch) kein Abschluss","35","0.616848324558175","0.487182427083725","0.746514222032625"
"Nein","2011","17-34","Hauptschule","256","","",""
"Nein","2011","17-34","Realschule","446","0.51548654473702","0.482007520122224","0.548965569351817"
"Nein","2011","17-34","(Fach-)Abitur","272","","",""
"Nein","2011","17-34","AkademikerIn","201","","",""
"Nein","2011","35-65","(noch) kein Abschluss","37","0.714950644773864","0.600723182508219","0.829178107039509"
"Nein","2011","35-65","Hauptschule","1106","","",""
"Nein","2011","35-65","Realschule","1316","","",""
"Nein","2011","35-65","(Fach-)Abitur","375","0.430512649357945","0.397439045938023","0.463586252777867"
"Nein","2011","35-65","AkademikerIn","832","0.349346660372599","0.330017104995465","0.368676215749734"
"Nein","2011","66 +","(noch) kein Abschluss","1","","",""
"Nein","2011","66 +","Hauptschule","64","0.854669619799024","0.776456766834394","0.932882472763654"
"Nein","2011","66 +","Realschule","22","","",""
"Nein","2011","66 +","(Fach-)Abitur","7","0.913541716632342","0.729932561377705","1.09715087188698"
"Nein","2011","66 +","AkademikerIn","60","0.715210683585042","0.613070577992905","0.81735078917718"
"Ja","2012","17-34","(noch) kein Abschluss","","","",""
"Ja","2012","17-34","Hauptschule","","","",""
"Ja","2012","17-34","Realschule","","","",""
"Ja","2012","17-34","(Fach-)Abitur","","","",""
"Ja","2012","17-34","AkademikerIn","","","",""
"Ja","2012","35-65","(noch) kein Abschluss","","","",""
"Ja","2012","35-65","Hauptschule","","","",""
"Ja","2012","35-65","Realschule","","","",""
"Ja","2012","35-65","(Fach-)Abitur","","","",""
"Ja","2012","35-65","AkademikerIn","","","",""
"Ja","2012","66 +","(noch) kein Abschluss","","","",""
"Ja","2012","66 +","Hauptschule","","","",""
"Ja","2012","66 +","Realschule","","","",""
"Ja","2012","66 +","(Fach-)Abitur","","","",""
"Ja","2012","66 +","AkademikerIn","","","",""
"Nein","2012","17-34","(noch) kein Abschluss","","","",""
"Nein","2012","17-34","Hauptschule","","","",""
"Nein","2012","17-34","Realschule","","","",""
"Nein","2012","17-34","(Fach-)Abitur","","","",""
"Nein","2012","17-34","AkademikerIn","","","",""
"Nein","2012","35-65","(noch) kein Abschluss","","","",""
"Nein","2012","35-65","Hauptschule","","","",""
"Nein","2012","35-65","Realschule","","","",""
"Nein","2012","35-65","(Fach-)Abitur","","","",""
"Nein","2012","35-65","AkademikerIn","","","",""
"Nein","2012","66 +","(noch) kein Abschluss","","","",""
"Nein","2012","66 +","Hauptschule","","","",""
"Nein","2012","66 +","Realschule","","","",""
"Nein","2012","66 +","(Fach-)Abitur","","","",""
"Nein","2012","66 +","AkademikerIn","","","",""
"Ja","2013","17-34","(noch) kein Abschluss","","","",""
"Ja","2013","17-34","Hauptschule","","","",""
"Ja","2013","17-34","Realschule","","","",""
"Ja","2013","17-34","(Fach-)Abitur","","","",""
"Ja","2013","17-34","AkademikerIn","","","",""
"Ja","2013","35-65","(noch) kein Abschluss","","","",""
"Ja","2013","35-65","Hauptschule","","","",""
"Ja","2013","35-65","Realschule","","","",""
"Ja","2013","35-65","(Fach-)Abitur","","","",""
"Ja","2013","35-65","AkademikerIn","","","",""
"Ja","2013","66 +","(noch) kein Abschluss","","","",""
"Ja","2013","66 +","Hauptschule","","","",""
"Ja","2013","66 +","Realschule","","","",""
"Ja","2013","66 +","(Fach-)Abitur","","","",""
"Ja","2013","66 +","AkademikerIn","","","",""
"Nein","2013","17-34","(noch) kein Abschluss","","","",""
"Nein","2013","17-34","Hauptschule","","","",""
"Nein","2013","17-34","Realschule","","","",""
"Nein","2013","17-34","(Fach-)Abitur","","","",""
"Nein","2013","17-34","AkademikerIn","","","",""
"Nein","2013","35-65","(noch) kein Abschluss","","","",""
"Nein","2013","35-65","Hauptschule","","","",""
"Nein","2013","35-65","Realschule","","","",""
"Nein","2013","35-65","(Fach-)Abitur","","","",""
"Nein","2013","35-65","AkademikerIn","","","",""
"Nein","2013","66 +","(noch) kein Abschluss","","","",""
"Nein","2013","66 +","Hauptschule","","","",""
"Nein","2013","66 +","Realschule","","","",""
"Nein","2013","66 +","(Fach-)Abitur","","","",""
"Nein","2013","66 +","AkademikerIn","","","",""
"Ja","2014","17-34","(noch) kein Abschluss","","","",""
"Ja","2014","17-34","Hauptschule","","","",""
"Ja","2014","17-34","Realschule","","","",""
"Ja","2014","17-34","(Fach-)Abitur","","","",""
"Ja","2014","17-34","AkademikerIn","","","",""
"Ja","2014","35-65","(noch) kein Abschluss","","","",""
"Ja","2014","35-65","Hauptschule","","","",""
"Ja","2014","35-65","Realschule","","","",""
"Ja","2014","35-65","(Fach-)Abitur","","","",""
"Ja","2014","35-65","AkademikerIn","","","",""
"Ja","2014","66 +","(noch) kein Abschluss","","","",""
"Ja","2014","66 +","Hauptschule","","","",""
"Ja","2014","66 +","Realschule","","","",""
"Ja","2014","66 +","(Fach-)Abitur","","","",""
"Ja","2014","66 +","AkademikerIn","","","",""
"Nein","2014","17-34","(noch) kein Abschluss","","","",""
"Nein","2014","17-34","Hauptschule","","","",""
"Nein","2014","17-34","Realschule","","","",""
"Nein","2014","17-34","(Fach-)Abitur","","","",""
"Nein","2014","17-34","AkademikerIn","","","",""
"Nein","2014","35-65","(noch) kein Abschluss","","","",""
"Nein","2014","35-65","Hauptschule","","","",""
"Nein","2014","35-65","Realschule","","","",""
"Nein","2014","35-65","(Fach-)Abitur","","","",""
"Nein","2014","35-65","AkademikerIn","","","",""
"Nein","2014","66 +","(noch) kein Abschluss","","","",""
"Nein","2014","66 +","Hauptschule","","","",""
"Nein","2014","66 +","Realschule","","","",""
"Nein","2014","66 +","(Fach-)Abitur","","","",""
"Nein","2014","66 +","AkademikerIn","","","",""
"Ja","2015","17-34","(noch) kein Abschluss","","","",""
"Ja","2015","17-34","Hauptschule","","","",""
"Ja","2015","17-34","Realschule","","","",""
"Ja","2015","17-34","(Fach-)Abitur","","","",""
"Ja","2015","17-34","AkademikerIn","","","",""
"Ja","2015","35-65","(noch) kein Abschluss","","","",""
"Ja","2015","35-65","Hauptschule","","","",""
"Ja","2015","35-65","Realschule","","","",""
"Ja","2015","35-65","(Fach-)Abitur","","","",""
"Ja","2015","35-65","AkademikerIn","","","",""
"Ja","2015","66 +","(noch) kein Abschluss","","","",""
"Ja","2015","66 +","Hauptschule","","","",""
"Ja","2015","66 +","Realschule","","","",""
"Ja","2015","66 +","(Fach-)Abitur","","","",""
"Ja","2015","66 +","AkademikerIn","","","",""
"Nein","2015","17-34","(noch) kein Abschluss","","","",""
"Nein","2015","17-34","Hauptschule","","","",""
"Nein","2015","17-34","Realschule","","","",""
"Nein","2015","17-34","(Fach-)Abitur","","","",""
"Nein","2015","17-34","AkademikerIn","","","",""
"Nein","2015","35-65","(noch) kein Abschluss","","","",""
"Nein","2015","35-65","Hauptschule","","","",""
"Nein","2015","35-65","Realschule","","","",""
"Nein","2015","35-65","(Fach-)Abitur","","","",""
"Nein","2015","35-65","AkademikerIn","","","",""
"Nein","2015","66 +","(noch) kein Abschluss","","","",""
"Nein","2015","66 +","Hauptschule","","","",""
"Nein","2015","66 +","Realschule","","","",""
"Nein","2015","66 +","(Fach-)Abitur","","","",""
"Nein","2015","66 +","AkademikerIn","","","",""
"Ja","2016","17-34","(noch) kein Abschluss","27","","",""
"Ja","2016","17-34","Hauptschule","231","","",""
"Ja","2016","17-34","Realschule","437","0.494366500171302","0.46110585530366","0.527627145038944"
"Ja","2016","17-34","(Fach-)Abitur","386","0.505608881121748","0.470832809869231","0.540384952374265"
"Ja","2016","17-34","AkademikerIn","442","0.654270810681597","0.61903811541212","0.689503505951074"
"Ja","2016","35-65","(noch) kein Abschluss","59","0.440958609525856","0.359581742206622","0.52233547684509"
"Ja","2016","35-65","Hauptschule","1116","","",""
"Ja","2016","35-65","Realschule","1547","","",""
"Ja","2016","35-65","(Fach-)Abitur","830","0.560402247057382","0.536021094876688","0.584783399238077"
"Ja","2016","35-65","AkademikerIn","1953","","",""
"Ja","2016","66 +","(noch) kein Abschluss","","","",""
"Ja","2016","66 +","Hauptschule","24","","",""
"Ja","2016","66 +","Realschule","15","","",""
"Ja","2016","66 +","(Fach-)Abitur","2","","",""
"Ja","2016","66 +","AkademikerIn","17","","",""
"Nein","2016","17-34","(noch) kein Abschluss","69","0.630191747553062","0.533622881992711","0.726760613113412"
"Nein","2016","17-34","Hauptschule","363","0.590858435862436","0.551318734090615","0.630398137634256"
"Nein","2016","17-34","Realschule","431","0.505633499828698","0.472372854961056","0.53889414469634"
"Nein","2016","17-34","(Fach-)Abitur","408","0.494391118878252","0.459615047625735","0.529167190130769"
"Nein","2016","17-34","AkademikerIn","258","","",""
"Nein","2016","35-65","(noch) kein Abschluss","84","0.559041390474144","0.477664523154911","0.640418257793378"
"Nein","2016","35-65","Hauptschule","1303","","",""
"Nein","2016","35-65","Realschule","1494","","",""
"Nein","2016","35-65","(Fach-)Abitur","762","0.439597752942618","0.415216600761923","0.463978905123312"
"Nein","2016","35-65","AkademikerIn","1018","","",""
"Nein","2016","66 +","(noch) kein Abschluss","2","","",""
"Nein","2016","66 +","Hauptschule","75","0.82512618421141","0.750300090843036","0.899952277579784"
"Nein","2016","66 +","Realschule","30","0.696815315616729","0.562522027539887","0.831108603693572"
"Nein","2016","66 +","(Fach-)Abitur","11","","",""
"Nein","2016","66 +","AkademikerIn","59","0.782472867318911","0.689718865506742","0.87522686913108"
"Ja","2017","17-34","(noch) kein Abschluss","","","",""
"Ja","2017","17-34","Hauptschule","","","",""
"Ja","2017","17-34","Realschule","","","",""
"Ja","2017","17-34","(Fach-)Abitur","","","",""
"Ja","2017","17-34","AkademikerIn","","","",""
"Ja","2017","35-65","(noch) kein Abschluss","","","",""
"Ja","2017","35-65","Hauptschule","","","",""
"Ja","2017","35-65","Realschule","","","",""
"Ja","2017","35-65","(Fach-)Abitur","","","",""
"Ja","2017","35-65","AkademikerIn","","","",""
"Ja","2017","66 +","(noch) kein Abschluss","","","",""
"Ja","2017","66 +","Hauptschule","","","",""
