year,bula_h,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Saxony-Anhalt,Yes,0.69231,383,566,0.65425,0.73037
2017,Saxony-Anhalt,No,0.29729,183,566,0.25960,0.33498
2017,Thuringa,Yes,0.63142,371,590,0.59246,0.67038
2017,Thuringa,No,0.35857,219,590,0.31983,0.39730
2018,Schleswig-Holstein,Yes,0.58117,326,554,0.54005,0.62229
2018,Schleswig-Holstein,No,0.40188,228,554,0.36102,0.44274
2018,Hamburg,Yes,0.51091,175,321,0.45614,0.56569
2018,Hamburg,No,0.47620,146,321,0.42147,0.53092
2018,Lower Saxony,Yes,0.65880,971,1470,0.63456,0.68305
2018,Lower Saxony,No,0.32160,499,1470,0.29772,0.34549
2018,Bremen,Yes,0.55958,81,134,0.47520,0.64395
2018,Bremen,No,0.42282,53,134,0.33886,0.50678
2018,North Rhine-Westphalia,Yes,0.64185,2078,3149,0.62510,0.65860
2018,North Rhine-Westphalia,No,0.34141,1071,3149,0.32484,0.35797
2018,Hesse,Yes,0.55751,583,996,0.52665,0.58837
2018,Hesse,No,0.42998,413,996,0.39922,0.46075
2018,"Rhineland-Palatinate, Saarland",Yes,0.55443,477,876,0.52150,0.58737
2018,"Rhineland-Palatinate, Saarland",No,0.42970,399,876,0.39690,0.46250
2018,Baden-Wuerttemberg,Yes,0.65361,1112,1610,0.63036,0.67686
2018,Baden-Wuerttemberg,No,0.33511,498,1610,0.31205,0.35817
2018,Bavaria,Yes,0.59284,1429,2396,0.57316,0.61251
2018,Bavaria,No,0.39819,967,2396,0.37858,0.41779
2018,Berlin,Yes,0.66550,464,681,0.63004,0.70097
2018,Berlin,No,0.31136,217,681,0.27656,0.34617
2018,Brandenburg,Yes,0.67681,424,645,0.64068,0.71293
2018,Brandenburg,No,0.31565,221,645,0.27975,0.35154
2018,Mecklenburg-Western Pomerania,Yes,0.79578,304,379,0.75514,0.83642
2018,Mecklenburg-Western Pomerania,No,0.19721,75,379,0.15709,0.23732
2018,Saxony,Yes,0.63255,647,974,0.60226,0.66285
2018,Saxony,No,0.35644,327,974,0.32635,0.38653
2018,Saxony-Anhalt,Yes,0.73020,414,571,0.69376,0.76664
2018,Saxony-Anhalt,No,0.25872,157,571,0.22276,0.29467
2018,Thuringa,Yes,0.61143,356,573,0.57149,0.65138
2018,Thuringa,No,0.36933,217,573,0.32978,0.40888
2019,Schleswig-Holstein,Yes,0.53002,274,447,0.48370,0.57634
2019,Schleswig-Holstein,No,0.34151,173,447,0.29750,0.38552
2019,Hamburg,Yes,0.45293,144,271,0.39356,0.51231
2019,Hamburg,No,0.45586,127,271,0.39645,0.51527
2019,Lower Saxony,Yes,0.58969,816,1216,0.56203,0.61735
2019,Lower Saxony,No,0.29598,400,1216,0.27031,0.32164
2019,Bremen,Yes,0.55608,67,112,0.46365,0.64851
2019,Bremen,No,0.37099,45,112,0.28112,0.46086
2019,North Rhine-Westphalia,Yes,0.57874,1730,2574,0.55966,0.59781
2019,North Rhine-Westphalia,No,0.30960,844,2574,0.29173,0.32746
2019,Hesse,Yes,0.49791,478,804,0.46333,0.53249
2019,Hesse,No,0.37040,326,804,0.33699,0.40380
2019,"Rhineland-Palatinate, Saarland",Yes,0.50496,400,714,0.46826,0.54166
2019,"Rhineland-Palatinate, Saarland",No,0.38669,314,714,0.35094,0.42244
2019,Baden-Wuerttemberg,Yes,0.59025,908,1305,0.56355,0.61694
2019,Baden-Wuerttemberg,No,0.29947,397,1305,0.27461,0.32433
2019,Bavaria,Yes,0.51377,1163,1944,0.49155,0.53600
2019,Bavaria,No,0.36662,781,1944,0.34519,0.38805
2019,Berlin,Yes,0.60465,379,551,0.56379,0.64551
2019,Berlin,No,0.29615,172,551,0.25799,0.33430
2019,Brandenburg,Yes,0.61016,373,560,0.56973,0.65059
2019,Brandenburg,No,0.27917,187,560,0.24198,0.31636
2019,Mecklenburg-Western Pomerania,Yes,0.74735,255,309,0.69882,0.79588
2019,Mecklenburg-Western Pomerania,No,0.13580,54,309,0.09754,0.17406
2019,Saxony,Yes,0.57160,547,819,0.53768,0.60551
2019,Saxony,No,0.32911,272,819,0.29691,0.36132
2019,Saxony-Anhalt,Yes,0.65744,337,458,0.61393,0.70095
2019,Saxony-Anhalt,No,0.23405,121,458,0.19523,0.27287
2019,Thuringa,Yes,0.57791,301,465,0.53297,0.62285
2019,Thuringa,No,0.30381,164,465,0.26197,0.34566
2020,Schleswig-Holstein,Yes,0.69412,362,541,0.65526,0.73299
2020,Schleswig-Holstein,No,0.27501,179,541,0.23735,0.31267
2020,Hamburg,Yes,0.60358,224,359,0.55290,0.65425
2020,Hamburg,No,0.38287,135,359,0.33252,0.43322
2020,Lower Saxony,Yes,0.65829,999,1471,0.63404,0.68253
2020,Lower Saxony,No,0.31825,472,1471,0.29444,0.34206
2020,Bremen,Yes,0.61303,74,140,0.53206,0.69400
2020,Bremen,No,0.36466,66,140,0.28464,0.44468
2020,North Rhine-Westphalia,Yes,0.66934,2128,3343,0.65339,0.68529
2020,North Rhine-Westphalia,No,0.30756,1215,3343,0.29192,0.32321
2020,Hesse,Yes,0.58249,655,1099,0.55332,0.61166
2020,Hesse,No,0.39799,444,1099,0.36904,0.42694
2020,"Rhineland-Palatinate, Saarland",Yes,0.52481,460,859,0.49139,0.55822
2020,"Rhineland-Palatinate, Saarland",No,0.45939,399,859,0.42605,0.49274
2020,Baden-Wuerttemberg,Yes,0.67218,1155,1721,0.64999,0.69436
2020,Baden-Wuerttemberg,No,0.31294,566,1721,0.29102,0.33485
2020,Bavaria,Yes,0.58523,1578,2583,0.56622,0.60423
2020,Bavaria,No,0.39623,1005,2583,0.37736,0.41510
2020,Berlin,Yes,0.63013,502,839,0.59744,0.66281
2020,Berlin,No,0.35432,337,839,0.32193,0.38670
2020,Brandenburg,Yes,0.72984,480,671,0.69622,0.76347
2020,Brandenburg,No,0.26325,191,671,0.22991,0.29660
2020,Mecklenburg-Western Pomerania,Yes,0.79436,272,338,0.75121,0.83751
2020,Mecklenburg-Western Pomerania,No,0.19800,66,338,0.15545,0.24054
2020,Saxony,Yes,0.60351,651,962,0.57259,0.63444
2020,Saxony,No,0.37481,311,962,0.34421,0.40542
2020,Saxony-Anhalt,Yes,0.72373,403,557,0.68657,0.76090
2020,Saxony-Anhalt,No,0.26550,154,557,0.22879,0.30220
2020,Thuringa,Yes,0.69685,386,567,0.65898,0.73471
2020,Thuringa,No,0.29163,181,567,0.25419,0.32908
2021,Schleswig-Holstein,Yes,0.64764,258,380,0.59954,0.69573
2021,Schleswig-Holstein,No,0.23494,122,380,0.19225,0.27762
2021,Hamburg,Yes,0.53072,152,233,0.46650,0.59494
2021,Hamburg,No,0.34876,81,233,0.28744,0.41009
2021,Lower Saxony,Yes,0.57267,654,945,0.54111,0.60423
2021,Lower Saxony,No,0.31528,291,945,0.28564,0.34492
2021,Bremen,Yes,0.63641,42,42,0.48917,0.78365
2021,North Rhine-Westphalia,Yes,0.60896,1344,2040,0.58778,0.63014
2021,North Rhine-Westphalia,No,0.27200,696,2040,0.25268,0.29131
2021,Hesse,Yes,0.53278,372,607,0.49305,0.57250
2021,Hesse,No,0.31839,235,607,0.28130,0.35548
2021,"Rhineland-Palatinate, Saarland",Yes,0.46366,268,486,0.41928,0.50804
2021,"Rhineland-Palatinate, Saarland",No,0.42557,218,486,0.38156,0.46957
2021,Baden-Wuerttemberg,Yes,0.56314,724,1043,0.53302,0.59326
2021,Baden-Wuerttemberg,No,0.29064,319,1043,0.26307,0.31821
2021,Bavaria,Yes,0.50822,976,1562,0.48342,0.53302
2021,Bavaria,No,0.38874,586,1562,0.36456,0.41293
2021,Berlin,Yes,0.57767,316,507,0.53463,0.62071
2021,Berlin,No,0.31714,191,507,0.27659,0.35768
2021,Brandenburg,Yes,0.71822,294,398,0.67397,0.76248
2021,Brandenburg,No,0.20344,104,398,0.16384,0.24304
2021,Mecklenburg-Western Pomerania,Yes,0.69858,188,235,0.63979,0.75738
2021,Mecklenburg-Western Pomerania,No,0.17863,47,235,0.12955,0.22771
2021,Saxony,Yes,0.56173,463,666,0.52401,0.59944
2021,Saxony,No,0.33096,203,666,0.29519,0.36672
2021,Saxony-Anhalt,Yes,0.60325,236,333,0.55062,0.65587
2021,Saxony-Anhalt,No,0.25910,97,333,0.21197,0.30623
2021,Thuringa,Yes,0.64198,249,349,0.59160,0.69235
2021,Thuringa,No,0.26592,100,349,0.21950,0.31234
2022,Schleswig-Holstein,Yes,0.68322,433,632,0.64692,0.71952
2022,Schleswig-Holstein,No,0.28343,199,632,0.24827,0.31859
2022,Hamburg,Yes,0.60949,273,422,0.56289,0.65610
2022,Hamburg,No,0.35682,149,422,0.31106,0.40258
2022,Lower Saxony,Yes,0.65313,1088,1606,0.62985,0.67642
2022,Lower Saxony,No,0.31467,518,1606,0.29195,0.33739
2022,Bremen,Yes,0.61387,84,134,0.53112,0.69661
2022,Bremen,No,0.32617,50,134,0.24649,0.40584
2022,North Rhine-Westphalia,Yes,0.63555,2564,3809,0.62026,0.65083
2022,North Rhine-Westphalia,No,0.32831,1245,3809,0.31339,0.34322
2022,Hesse,Yes,0.61113,773,1216,0.58372,0.63854
2022,Hesse,No,0.35697,443,1216,0.33003,0.38391
2022,"Rhineland-Palatinate, Saarland",Yes,0.62332,566,865,0.59101,0.65563
2022,"Rhineland-Palatinate, Saarland",No,0.34569,299,865,0.31397,0.37740
2022,Baden-Wuerttemberg,Yes,0.60823,1475,2240,0.58801,0.62845
2022,Baden-Wuerttemberg,No,0.36918,765,2240,0.34919,0.38917
2022,Bavaria,Yes,0.55544,1850,2997,0.53765,0.57324
2022,Bavaria,No,0.41487,1147,2997,0.39723,0.43251
2022,Berlin,Yes,0.57981,645,1095,0.55056,0.60906
2022,Berlin,No,0.37236,450,1095,0.34371,0.40101
2022,Brandenburg,Yes,0.72955,543,727,0.69724,0.76186
2022,Brandenburg,No,0.25123,184,727,0.21968,0.28278
2022,Mecklenburg-Western Pomerania,Yes,0.76003,330,412,0.71874,0.80132
2022,Mecklenburg-Western Pomerania,No,0.21511,82,412,0.17539,0.25484
2022,Saxony,Yes,0.62747,860,1261,0.60078,0.65417
2022,Saxony,No,0.34020,401,1261,0.31404,0.36636
2022,Saxony-Anhalt,Yes,0.75438,503,673,0.72183,0.78692
2022,Saxony-Anhalt,No,0.22306,170,673,0.19158,0.25453
2022,Thuringa,Yes,0.69268,400,566,0.65464,0.73073
2022,Thuringa,No,0.29139,166,566,0.25392,0.32886
