year,quintil_oecd_hh,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,4th Quintile,Owner,No,0.29062,424,1560,0.26808,0.31316
2016,4th Quintile,Tenant,Yes,0.60305,674,1093,0.57403,0.63207
2016,4th Quintile,Tenant,No,0.38857,419,1093,0.35966,0.41748
2016,5th Quintile,Owner,Yes,0.74922,1516,1974,0.73010,0.76835
2016,5th Quintile,Owner,No,0.24786,458,1974,0.22881,0.26691
2016,5th Quintile,Tenant,Yes,0.58251,444,770,0.54765,0.61736
2016,5th Quintile,Tenant,No,0.40636,326,770,0.37165,0.44108
2017,1st Quintile,Owner,Yes,0.56915,232,389,0.51988,0.61843
2017,1st Quintile,Owner,No,0.42900,157,389,0.37975,0.47825
2017,1st Quintile,Tenant,Yes,0.44185,1335,2767,0.42334,0.46035
2017,1st Quintile,Tenant,No,0.51092,1432,2767,0.49229,0.52955
2017,2nd Quintile,Owner,Yes,0.60688,703,1098,0.57797,0.63578
2017,2nd Quintile,Owner,No,0.39298,395,1098,0.36408,0.42189
2017,2nd Quintile,Tenant,Yes,0.53430,1183,2111,0.51302,0.55559
2017,2nd Quintile,Tenant,No,0.44891,928,2111,0.42769,0.47013
2017,3rd Quintile,Owner,Yes,0.68429,1115,1531,0.66100,0.70758
2017,3rd Quintile,Owner,No,0.31247,416,1531,0.28924,0.33569
2017,3rd Quintile,Tenant,Yes,0.58595,920,1544,0.56137,0.61052
2017,3rd Quintile,Tenant,No,0.40259,624,1544,0.37812,0.42706
2017,4th Quintile,Owner,Yes,0.69139,1312,1796,0.67002,0.71276
2017,4th Quintile,Owner,No,0.30757,484,1796,0.28622,0.32892
2017,4th Quintile,Tenant,Yes,0.59253,754,1238,0.56515,0.61991
2017,4th Quintile,Tenant,No,0.39753,484,1238,0.37026,0.42481
2017,5th Quintile,Owner,Yes,0.75243,1745,2243,0.73457,0.77030
2017,5th Quintile,Owner,No,0.24739,498,2243,0.22953,0.26525
2017,5th Quintile,Tenant,Yes,0.58782,514,839,0.55450,0.62115
2017,5th Quintile,Tenant,No,0.39764,325,839,0.36450,0.43077
2018,1st Quintile,Owner,Yes,0.56822,226,381,0.51842,0.61803
2018,1st Quintile,Owner,No,0.43171,155,381,0.38191,0.48151
2018,1st Quintile,Tenant,Yes,0.47786,1454,2871,0.45959,0.49614
2018,1st Quintile,Tenant,No,0.46949,1417,2871,0.45123,0.48775
2018,2nd Quintile,Owner,Yes,0.62512,708,1084,0.59629,0.65396
2018,2nd Quintile,Owner,No,0.37387,376,1084,0.34506,0.40269
2018,2nd Quintile,Tenant,Yes,0.55684,1255,2192,0.53604,0.57764
2018,2nd Quintile,Tenant,No,0.43243,937,2192,0.41168,0.45317
2018,3rd Quintile,Owner,Yes,0.67152,996,1400,0.64691,0.69613
2018,3rd Quintile,Owner,No,0.32513,404,1400,0.30058,0.34967
2018,3rd Quintile,Tenant,Yes,0.59837,918,1523,0.57374,0.62300
2018,3rd Quintile,Tenant,No,0.39209,605,1523,0.36757,0.41662
2018,4th Quintile,Owner,Yes,0.72769,1303,1710,0.70659,0.74880
2018,4th Quintile,Owner,No,0.27103,407,1710,0.24995,0.29210
2018,4th Quintile,Tenant,Yes,0.63269,746,1162,0.60496,0.66042
2018,4th Quintile,Tenant,No,0.35998,416,1162,0.33237,0.38759
2018,5th Quintile,Owner,Yes,0.78244,1706,2171,0.76508,0.79980
2018,5th Quintile,Owner,No,0.21690,465,2171,0.19956,0.23424
2018,5th Quintile,Tenant,Yes,0.61476,526,830,0.58163,0.64789
2018,5th Quintile,Tenant,No,0.36986,304,830,0.33699,0.40272
2019,1st Quintile,Owner,Yes,0.47503,181,330,0.42107,0.52899
2019,1st Quintile,Owner,No,0.47735,149,330,0.42338,0.53133
2019,1st Quintile,Tenant,Yes,0.40108,1053,2059,0.37990,0.42226
2019,1st Quintile,Tenant,No,0.40016,1006,2059,0.37899,0.42133
2019,2nd Quintile,Owner,Yes,0.60818,608,925,0.57670,0.63966
2019,2nd Quintile,Owner,No,0.34752,317,925,0.31682,0.37823
2019,2nd Quintile,Tenant,Yes,0.49579,987,1679,0.47187,0.51972
2019,2nd Quintile,Tenant,No,0.37795,692,1679,0.35475,0.40115
2019,3rd Quintile,Owner,Yes,0.63165,863,1248,0.60487,0.65842
2019,3rd Quintile,Owner,No,0.31944,385,1248,0.29356,0.34532
2019,3rd Quintile,Tenant,Yes,0.52680,775,1255,0.49916,0.55443
2019,3rd Quintile,Tenant,No,0.34677,480,1255,0.32043,0.37312
2019,4th Quintile,Owner,Yes,0.70092,1164,1521,0.67790,0.72394
2019,4th Quintile,Owner,No,0.24675,357,1521,0.22508,0.26842
2019,4th Quintile,Tenant,Yes,0.53344,594,938,0.50150,0.56539
2019,4th Quintile,Tenant,No,0.34188,344,938,0.31151,0.37226
2019,5th Quintile,Owner,Yes,0.71125,1512,1911,0.69093,0.73158
2019,5th Quintile,Owner,No,0.19760,399,1911,0.17974,0.21546
2019,5th Quintile,Tenant,Yes,0.51056,434,680,0.47296,0.54816
2019,5th Quintile,Tenant,No,0.29369,246,680,0.25943,0.32795
2020,1st Quintile,Owner,Yes,0.50046,180,315,0.44515,0.55576
2020,1st Quintile,Owner,No,0.49558,135,315,0.44028,0.55089
2020,1st Quintile,Tenant,Yes,0.48943,1429,3024,0.47161,0.50725
2020,1st Quintile,Tenant,No,0.44585,1595,3024,0.42813,0.46357
2020,2nd Quintile,Owner,Yes,0.64169,654,984,0.61172,0.67167
2020,2nd Quintile,Owner,No,0.35811,330,984,0.32814,0.38808
2020,2nd Quintile,Tenant,Yes,0.59409,1292,2287,0.57396,0.61422
2020,2nd Quintile,Tenant,No,0.38495,995,2287,0.36500,0.40489
2020,3rd Quintile,Owner,Yes,0.67670,920,1294,0.65120,0.70219
2020,3rd Quintile,Owner,No,0.31878,374,1294,0.29338,0.34418
2020,3rd Quintile,Tenant,Yes,0.62275,970,1555,0.59865,0.64685
2020,3rd Quintile,Tenant,No,0.36155,585,1555,0.33766,0.38543
2020,4th Quintile,Owner,Yes,0.76753,1252,1617,0.74693,0.78812
2020,4th Quintile,Owner,No,0.23189,365,1617,0.21132,0.25247
2020,4th Quintile,Tenant,Yes,0.59353,757,1222,0.56598,0.62108
2020,4th Quintile,Tenant,No,0.39119,465,1222,0.36382,0.41857
2020,5th Quintile,Owner,Yes,0.79365,2237,2735,0.77848,0.80882
2020,5th Quintile,Owner,No,0.20291,498,2735,0.18783,0.21798
2020,5th Quintile,Tenant,Yes,0.66180,632,989,0.63230,0.69130
2020,5th Quintile,Tenant,No,0.33170,357,989,0.30234,0.36106
2021,1st Quintile,Owner,Yes,0.54065,158,249,0.47862,0.60267
2021,1st Quintile,Owner,No,0.40644,91,249,0.34531,0.46757
2021,1st Quintile,Tenant,Yes,0.40031,767,1497,0.37548,0.42514
2021,1st Quintile,Tenant,No,0.40474,730,1497,0.37987,0.42961
2021,2nd Quintile,Owner,Yes,0.59350,426,644,0.55554,0.63147
2021,2nd Quintile,Owner,No,0.34435,218,644,0.30763,0.38108
2021,2nd Quintile,Tenant,Yes,0.50683,767,1311,0.47975,0.53390
2021,2nd Quintile,Tenant,No,0.35400,544,1311,0.32810,0.37990
2021,3rd Quintile,Owner,Yes,0.64665,628,853,0.61455,0.67874
2021,3rd Quintile,Owner,No,0.27890,225,853,0.24879,0.30901
2021,3rd Quintile,Tenant,Yes,0.57173,603,971,0.54059,0.60287
2021,3rd Quintile,Tenant,No,0.30455,368,971,0.27559,0.33351
2021,4th Quintile,Owner,Yes,0.67821,852,1109,0.65070,0.70572
2021,4th Quintile,Owner,No,0.23278,257,1109,0.20790,0.25767
2021,4th Quintile,Tenant,Yes,0.53549,493,777,0.50039,0.57058
2021,4th Quintile,Tenant,No,0.32462,284,777,0.29168,0.35757
2021,5th Quintile,Owner,Yes,0.72017,1444,1783,0.69932,0.74101
2021,5th Quintile,Owner,No,0.18099,339,1783,0.16311,0.19887
2021,5th Quintile,Tenant,Yes,0.53234,387,636,0.49353,0.57115
2021,5th Quintile,Tenant,No,0.36748,249,636,0.32998,0.40498
2022,1st Quintile,Owner,Yes,0.67403,732,976,0.64460,0.70345
2022,1st Quintile,Owner,No,0.30038,244,976,0.27161,0.32916
2022,1st Quintile,Tenant,Yes,0.47612,1822,3317,0.45912,0.49311
2022,1st Quintile,Tenant,No,0.44027,1495,3317,0.42337,0.45717
2022,2nd Quintile,Owner,Yes,0.67897,806,1099,0.65135,0.70658
2022,2nd Quintile,Owner,No,0.31042,293,1099,0.28306,0.33779
2022,2nd Quintile,Tenant,Yes,0.53972,1544,2640,0.52070,0.55874
2022,2nd Quintile,Tenant,No,0.40900,1096,2640,0.39024,0.42776
2022,3rd Quintile,Owner,Yes,0.68103,1025,1398,0.65659,0.70547
2022,3rd Quintile,Owner,No,0.31389,373,1398,0.28955,0.33822
2022,3rd Quintile,Tenant,Yes,0.62419,1217,1910,0.60246,0.64591
2022,3rd Quintile,Tenant,No,0.34346,693,1910,0.32216,0.36476
2022,4th Quintile,Owner,Yes,0.72362,1334,1740,0.70260,0.74464
2022,4th Quintile,Owner,No,0.26982,406,1740,0.24896,0.29068
2022,4th Quintile,Tenant,Yes,0.57930,1011,1596,0.55507,0.60353
2022,4th Quintile,Tenant,No,0.38713,585,1596,0.36323,0.41104
2022,5th Quintile,Owner,Yes,0.76510,2025,2568,0.74870,0.78150
2022,5th Quintile,Owner,No,0.23123,543,2568,0.21492,0.24754
2022,5th Quintile,Tenant,Yes,0.60291,770,1213,0.57536,0.63046
2022,5th Quintile,Tenant,No,0.37511,443,1213,0.34785,0.40237
