year,quintil_oecd_hh,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,5th Quintile,East,Yes,0.78272,287,361,0.74012,0.82532
2018,5th Quintile,East,No,0.20593,74,361,0.16415,0.24770
2019,1st Quintile,West,Yes,0.37219,800,1685,0.34910,0.39528
2019,1st Quintile,West,No,0.44232,885,1685,0.41859,0.46604
2019,1st Quintile,East,Yes,0.54072,434,704,0.50388,0.57755
2019,1st Quintile,East,No,0.31347,270,704,0.27918,0.34776
2019,2nd Quintile,West,Yes,0.51674,1108,1878,0.49413,0.53935
2019,2nd Quintile,West,No,0.38523,770,1878,0.36321,0.40725
2019,2nd Quintile,East,Yes,0.61117,487,726,0.57568,0.64665
2019,2nd Quintile,East,No,0.30577,239,726,0.27223,0.33931
2019,3rd Quintile,West,Yes,0.56037,1191,1891,0.53799,0.58274
2019,3rd Quintile,West,No,0.35299,700,1891,0.33144,0.37454
2019,3rd Quintile,East,Yes,0.66039,447,612,0.62284,0.69794
2019,3rd Quintile,East,No,0.24957,165,612,0.21525,0.28388
2019,4th Quintile,West,Yes,0.62418,1418,2012,0.60301,0.64535
2019,4th Quintile,West,No,0.29543,594,2012,0.27549,0.31537
2019,4th Quintile,East,Yes,0.70342,340,447,0.66103,0.74581
2019,4th Quintile,East,No,0.21943,107,447,0.18102,0.25784
2019,5th Quintile,West,Yes,0.65175,1673,2250,0.63206,0.67144
2019,5th Quintile,West,No,0.22966,577,2250,0.21228,0.24705
2019,5th Quintile,East,Yes,0.69687,273,341,0.64801,0.74572
2019,5th Quintile,East,No,0.17460,68,341,0.13425,0.21495
2020,1st Quintile,West,Yes,0.46143,1137,2543,0.44205,0.48081
2020,1st Quintile,West,No,0.47676,1406,2543,0.45734,0.49618
2020,1st Quintile,East,Yes,0.58711,472,796,0.55288,0.62133
2020,1st Quintile,East,No,0.37154,324,796,0.33795,0.40513
2020,2nd Quintile,West,Yes,0.58717,1359,2417,0.56753,0.60680
2020,2nd Quintile,West,No,0.39632,1058,2417,0.37682,0.41583
2020,2nd Quintile,East,Yes,0.69519,587,854,0.66429,0.72608
2020,2nd Quintile,East,No,0.30269,267,854,0.27185,0.33352
2020,3rd Quintile,West,Yes,0.64199,1419,2194,0.62192,0.66206
2020,3rd Quintile,West,No,0.34627,775,2194,0.32636,0.36619
2020,3rd Quintile,East,Yes,0.68623,471,655,0.65067,0.72180
2020,3rd Quintile,East,No,0.31132,184,655,0.27583,0.34680
2020,4th Quintile,West,Yes,0.67752,1602,2323,0.65850,0.69653
2020,4th Quintile,West,No,0.31580,721,2323,0.29689,0.33471
2020,4th Quintile,East,Yes,0.81207,407,516,0.77833,0.84581
2020,4th Quintile,East,No,0.18166,109,516,0.14836,0.21496
2020,5th Quintile,West,Yes,0.74970,2394,3148,0.73457,0.76484
2020,5th Quintile,West,No,0.24580,754,3148,0.23076,0.26084
2020,5th Quintile,East,Yes,0.82414,475,576,0.79302,0.85526
2020,5th Quintile,East,No,0.17344,101,576,0.14249,0.20439
2021,1st Quintile,West,Yes,0.39034,626,1276,0.36356,0.41711
2021,1st Quintile,West,No,0.42938,650,1276,0.40221,0.45655
2021,1st Quintile,East,Yes,0.53882,299,471,0.49375,0.58388
2021,1st Quintile,East,No,0.32509,172,471,0.28274,0.36743
2021,2nd Quintile,West,Yes,0.51392,834,1439,0.48809,0.53976
2021,2nd Quintile,West,No,0.36822,605,1439,0.34329,0.39315
2021,2nd Quintile,East,Yes,0.61904,361,518,0.57718,0.66090
2021,2nd Quintile,East,No,0.28448,157,518,0.24558,0.32337
2021,3rd Quintile,West,Yes,0.59574,921,1393,0.56996,0.62152
2021,3rd Quintile,West,No,0.30536,472,1393,0.28117,0.32956
2021,3rd Quintile,East,Yes,0.66254,310,431,0.61785,0.70723
2021,3rd Quintile,East,No,0.23451,121,431,0.19446,0.27455
2021,4th Quintile,West,Yes,0.60749,1060,1521,0.58294,0.63204
2021,4th Quintile,West,No,0.28079,461,1521,0.25819,0.30338
2021,4th Quintile,East,Yes,0.70379,285,365,0.65688,0.75069
2021,4th Quintile,East,No,0.20152,80,365,0.16031,0.24273
2021,5th Quintile,West,Yes,0.66683,1526,2050,0.64642,0.68724
2021,5th Quintile,West,No,0.23668,524,2050,0.21827,0.25508
2021,5th Quintile,East,Yes,0.70697,306,370,0.66053,0.75341
2021,5th Quintile,East,No,0.16298,64,370,0.12529,0.20066
2022,1st Quintile,West,Yes,0.50323,1844,3213,0.48594,0.52052
2022,1st Quintile,West,No,0.42079,1369,3213,0.40371,0.43786
2022,1st Quintile,East,Yes,0.59614,712,1087,0.56695,0.62532
2022,1st Quintile,East,No,0.35779,375,1087,0.32928,0.38630
2022,2nd Quintile,West,Yes,0.55568,1682,2778,0.53719,0.57416
2022,2nd Quintile,West,No,0.40406,1096,2778,0.38580,0.42231
2022,2nd Quintile,East,Yes,0.69704,669,964,0.66801,0.72606
2022,2nd Quintile,East,No,0.27484,295,964,0.24664,0.30303
2022,3rd Quintile,West,Yes,0.62854,1638,2504,0.60961,0.64747
2022,3rd Quintile,West,No,0.35200,866,2504,0.33329,0.37071
2022,3rd Quintile,East,Yes,0.75175,604,804,0.72187,0.78163
2022,3rd Quintile,East,No,0.23154,200,804,0.20237,0.26072
2022,4th Quintile,West,Yes,0.64913,1868,2709,0.63115,0.66710
2022,4th Quintile,West,No,0.33220,841,2709,0.31446,0.34994
2022,4th Quintile,East,Yes,0.73743,478,628,0.70298,0.77187
2022,4th Quintile,East,No,0.24727,150,628,0.21350,0.28104
2022,5th Quintile,West,Yes,0.71178,2341,3209,0.69610,0.72745
2022,5th Quintile,West,No,0.27985,868,3209,0.26431,0.29538
2022,5th Quintile,East,Yes,0.75221,456,575,0.71689,0.78753
2022,5th Quintile,East,No,0.23255,119,575,0.19799,0.26711
