year,bula_h,quintil_oecd_hh,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Baden-Wuerttemberg,2nd Quintile,No,0.96920,191,191,0.94463,0.99377
2021,Baden-Wuerttemberg,3rd Quintile,No,0.95744,205,205,0.92974,0.98514
2021,Baden-Wuerttemberg,4th Quintile,No,0.95740,244,244,0.93201,0.98279
2021,Baden-Wuerttemberg,5th Quintile,No,0.96588,369,369,0.94733,0.98443
2021,Bavaria,1st Quintile,No,0.95518,234,234,0.92861,0.98175
2021,Bavaria,2nd Quintile,No,0.97353,334,334,0.95629,0.99077
2021,Bavaria,3rd Quintile,No,0.96982,298,298,0.95037,0.98928
2021,Bavaria,4th Quintile,No,0.96542,354,354,0.94636,0.98448
2021,Bavaria,5th Quintile,No,0.98115,453,453,0.96861,0.99369
2021,Berlin,1st Quintile,No,0.94225,118,118,0.89998,0.98452
2021,Berlin,2nd Quintile,No,0.97610,84,84,0.94324,1.00896
2021,Berlin,3rd Quintile,No,0.97643,92,92,0.94527,1.00760
2021,Berlin,4th Quintile,No,0.96401,106,106,0.92839,0.99964
2021,Berlin,5th Quintile,No,0.99189,142,142,0.97709,1.00669
2021,Brandenburg,1st Quintile,No,0.95862,85,85,0.91602,1.00121
2021,Brandenburg,2nd Quintile,No,0.96616,100,100,0.93054,1.00178
2021,Brandenburg,3rd Quintile,No,0.97783,84,84,0.94615,1.00951
2021,Brandenburg,4th Quintile,No,0.99358,77,77,0.97563,1.01154
2021,Brandenburg,5th Quintile,No,0.99672,86,86,0.98456,1.00888
2021,Mecklenburg-Western Pomerania,1st Quintile,No,0.95810,64,64,0.90862,1.00758
2021,Mecklenburg-Western Pomerania,2nd Quintile,No,0.97969,62,62,0.94429,1.01509
2021,Mecklenburg-Western Pomerania,3rd Quintile,No,0.80261,38,38,0.67435,0.93086
2021,Mecklenburg-Western Pomerania,4th Quintile,No,0.87582,36,36,0.76656,0.98508
2021,Mecklenburg-Western Pomerania,5th Quintile,No,0.99913,44,44,0.99032,1.00794
2021,Saxony,1st Quintile,No,0.95628,150,150,0.92345,0.98911
2021,Saxony,2nd Quintile,No,0.89688,161,161,0.84976,0.94400
2021,Saxony,3rd Quintile,No,0.93032,151,151,0.88958,0.97107
2021,Saxony,4th Quintile,No,0.95597,106,106,0.91672,0.99521
2021,Saxony,5th Quintile,No,0.97629,113,113,0.94811,1.00447
2021,Saxony-Anhalt,1st Quintile,No,0.95191,89,89,0.90721,0.99662
2021,Saxony-Anhalt,2nd Quintile,No,0.91755,79,79,0.85651,0.97859
2021,Saxony-Anhalt,4th Quintile,No,0.98527,57,57,0.95372,1.01682
2021,Saxony-Anhalt,5th Quintile,No,0.98587,48,48,0.95213,1.01961
2021,Thuringa,1st Quintile,No,0.94419,91,91,0.89676,0.99162
2021,Thuringa,2nd Quintile,No,0.87414,85,85,0.80320,0.94507
2021,Thuringa,3rd Quintile,No,0.99468,66,66,0.97699,1.01236
2021,Thuringa,4th Quintile,No,0.95720,60,60,0.90556,1.00885
2021,Thuringa,5th Quintile,No,0.97478,58,58,0.93408,1.01548
