year,quintil_oecd_hh,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,4th Quintile,West,No,0.35641,825,2506,0.33765,0.37516
2017,4th Quintile,East,Yes,0.72075,385,528,0.68245,0.75906
2017,4th Quintile,East,No,0.27925,143,528,0.24094,0.31755
2017,5th Quintile,West,Yes,0.70582,1969,2702,0.68864,0.72301
2017,5th Quintile,West,No,0.29418,733,2702,0.27699,0.31136
2017,5th Quintile,East,Yes,0.76564,290,380,0.72300,0.80829
2017,5th Quintile,East,No,0.23436,90,380,0.19171,0.27700
2018,1st Quintile,West,Yes,0.47044,1102,2320,0.45012,0.49075
2018,1st Quintile,West,No,0.52956,1218,2320,0.50925,0.54988
2018,1st Quintile,East,Yes,0.64033,578,932,0.60950,0.67116
2018,1st Quintile,East,No,0.35967,354,932,0.32884,0.39050
2018,2nd Quintile,West,Yes,0.56257,1345,2337,0.54246,0.58269
2018,2nd Quintile,West,No,0.43743,992,2337,0.41731,0.45754
2018,2nd Quintile,East,Yes,0.66243,618,939,0.63217,0.69269
2018,2nd Quintile,East,No,0.33757,321,939,0.30731,0.36783
2018,3rd Quintile,West,Yes,0.62070,1427,2243,0.60061,0.64078
2018,3rd Quintile,West,No,0.37930,816,2243,0.35922,0.39939
2018,3rd Quintile,East,Yes,0.71985,487,680,0.68607,0.75363
2018,3rd Quintile,East,No,0.28015,193,680,0.24637,0.31393
2018,4th Quintile,West,Yes,0.68362,1668,2376,0.66492,0.70233
2018,4th Quintile,West,No,0.31638,708,2376,0.29767,0.33508
2018,4th Quintile,East,Yes,0.74699,381,496,0.70869,0.78528
2018,4th Quintile,East,No,0.25301,115,496,0.21472,0.29131
2018,5th Quintile,West,Yes,0.73567,1945,2640,0.71885,0.75250
2018,5th Quintile,West,No,0.26433,695,2640,0.24750,0.28115
2018,5th Quintile,East,Yes,0.79171,287,361,0.74976,0.83366
2018,5th Quintile,East,No,0.20829,74,361,0.16634,0.25024
2019,1st Quintile,West,Yes,0.45695,800,1685,0.43316,0.48075
2019,1st Quintile,West,No,0.54305,885,1685,0.51925,0.56684
2019,1st Quintile,East,Yes,0.63302,434,704,0.59739,0.66865
2019,1st Quintile,East,No,0.36698,270,704,0.33135,0.40261
2019,2nd Quintile,West,Yes,0.57290,1108,1878,0.55052,0.59528
2019,2nd Quintile,West,No,0.42710,770,1878,0.40472,0.44948
2019,2nd Quintile,East,Yes,0.66653,487,726,0.63221,0.70085
2019,2nd Quintile,East,No,0.33347,239,726,0.29915,0.36779
2019,3rd Quintile,West,Yes,0.61352,1191,1891,0.59157,0.63548
2019,3rd Quintile,West,No,0.38648,700,1891,0.36452,0.40843
2019,3rd Quintile,East,Yes,0.72574,447,612,0.69036,0.76111
2019,3rd Quintile,East,No,0.27426,165,612,0.23889,0.30964
2019,4th Quintile,West,Yes,0.67874,1418,2012,0.65833,0.69915
2019,4th Quintile,West,No,0.32126,594,2012,0.30085,0.34167
2019,4th Quintile,East,Yes,0.76222,340,447,0.72271,0.80173
2019,4th Quintile,East,No,0.23778,107,447,0.19827,0.27729
2019,5th Quintile,West,Yes,0.73944,1673,2250,0.72129,0.75758
2019,5th Quintile,West,No,0.26056,577,2250,0.24242,0.27871
2019,5th Quintile,East,Yes,0.79965,273,341,0.75710,0.84219
2019,5th Quintile,East,No,0.20035,68,341,0.15781,0.24290
2020,1st Quintile,West,Yes,0.49183,1137,2543,0.47240,0.51127
2020,1st Quintile,West,No,0.50817,1406,2543,0.48873,0.52760
2020,1st Quintile,East,Yes,0.61244,472,796,0.57857,0.64630
2020,1st Quintile,East,No,0.38756,324,796,0.35370,0.42143
2020,2nd Quintile,West,Yes,0.59702,1359,2417,0.57746,0.61658
2020,2nd Quintile,West,No,0.40298,1058,2417,0.38342,0.42254
2020,2nd Quintile,East,Yes,0.69667,587,854,0.66582,0.72752
2020,2nd Quintile,East,No,0.30333,267,854,0.27248,0.33418
2020,3rd Quintile,West,Yes,0.64962,1419,2194,0.62965,0.66958
2020,3rd Quintile,West,No,0.35038,775,2194,0.33042,0.37035
2020,3rd Quintile,East,Yes,0.68792,471,655,0.65241,0.72343
2020,3rd Quintile,East,No,0.31208,184,655,0.27657,0.34759
2020,4th Quintile,West,Yes,0.68207,1602,2323,0.66313,0.70102
2020,4th Quintile,West,No,0.31793,721,2323,0.29898,0.33687
2020,4th Quintile,East,Yes,0.81719,407,516,0.78381,0.85057
2020,4th Quintile,East,No,0.18281,109,516,0.14943,0.21619
2020,5th Quintile,West,Yes,0.75309,2394,3148,0.73802,0.76816
2020,5th Quintile,West,No,0.24691,754,3148,0.23184,0.26198
2020,5th Quintile,East,Yes,0.82614,475,576,0.79516,0.85712
2020,5th Quintile,East,No,0.17386,101,576,0.14288,0.20484
2021,1st Quintile,West,Yes,0.47618,626,1276,0.44877,0.50360
2021,1st Quintile,West,No,0.52382,650,1276,0.49640,0.55123
2021,1st Quintile,East,Yes,0.62370,299,471,0.57990,0.66750
2021,1st Quintile,East,No,0.37630,172,471,0.33250,0.42010
2021,2nd Quintile,West,Yes,0.58258,834,1439,0.55709,0.60807
2021,2nd Quintile,West,No,0.41742,605,1439,0.39193,0.44291
2021,2nd Quintile,East,Yes,0.68515,361,518,0.64511,0.72518
2021,2nd Quintile,East,No,0.31485,157,518,0.27482,0.35489
2021,3rd Quintile,West,Yes,0.66112,921,1393,0.63626,0.68599
2021,3rd Quintile,West,No,0.33888,472,1393,0.31401,0.36374
2021,3rd Quintile,East,Yes,0.73858,310,431,0.69705,0.78011
2021,3rd Quintile,East,No,0.26142,121,431,0.21989,0.30295
2021,4th Quintile,West,Yes,0.68390,1060,1521,0.66052,0.70727
2021,4th Quintile,West,No,0.31610,461,1521,0.29273,0.33948
2021,4th Quintile,East,Yes,0.77740,285,365,0.73467,0.82014
2021,4th Quintile,East,No,0.22260,80,365,0.17986,0.26533
2021,5th Quintile,West,Yes,0.73805,1526,2050,0.71901,0.75709
2021,5th Quintile,West,No,0.26195,524,2050,0.24291,0.28099
2021,5th Quintile,East,Yes,0.81266,306,370,0.77285,0.85247
2021,5th Quintile,East,No,0.18734,64,370,0.14753,0.22715
2022,Not included in this version of the questionnaire,West,Yes,0.49923,69,138,0.41550,0.58296
2022,Not included in this version of the questionnaire,West,No,0.50077,69,138,0.41704,0.58450
2022,1st Quintile,West,Yes,0.54461,1844,3213,0.52739,0.56183
2022,1st Quintile,West,No,0.45539,1369,3213,0.43817,0.47261
2022,1st Quintile,East,Yes,0.62493,712,1087,0.59613,0.65372
2022,1st Quintile,East,No,0.37507,375,1087,0.34628,0.40387
2022,2nd Quintile,West,Yes,0.57899,1682,2778,0.56063,0.59735
2022,2nd Quintile,West,No,0.42101,1096,2778,0.40265,0.43937
2022,2nd Quintile,East,Yes,0.71721,669,964,0.68876,0.74565
2022,2nd Quintile,East,No,0.28279,295,964,0.25435,0.31124
2022,3rd Quintile,West,Yes,0.64102,1638,2504,0.62222,0.65981
2022,3rd Quintile,West,No,0.35898,866,2504,0.34019,0.37778
2022,3rd Quintile,East,Yes,0.76452,604,804,0.73517,0.79387
2022,3rd Quintile,East,No,0.23548,200,804,0.20613,0.26483
2022,4th Quintile,West,Yes,0.66148,1868,2709,0.64366,0.67930
2022,4th Quintile,West,No,0.33852,841,2709,0.32070,0.35634
2022,4th Quintile,East,Yes,0.74889,478,628,0.71494,0.78283
2022,4th Quintile,East,No,0.25111,150,628,0.21717,0.28506
2022,5th Quintile,West,Yes,0.71779,2341,3209,0.70222,0.73336
2022,5th Quintile,West,No,0.28221,868,3209,0.26664,0.29778
2022,5th Quintile,East,Yes,0.76385,456,575,0.72910,0.79859
2022,5th Quintile,East,No,0.23615,119,575,0.20141,0.27090
