year,hhtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Multi-generational household,No,0.56729,60,113,0.47553,0.65905
2017,Other Combinations,Yes,0.53012,145,256,0.46886,0.59138
2017,Other Combinations,No,0.46988,111,256,0.40862,0.53114
2018,Single-person household,Yes,0.58290,2323,3978,0.56757,0.59822
2018,Single-person household,No,0.41710,1655,3978,0.40178,0.43243
2018,Couple without children,Yes,0.68419,3075,4518,0.67063,0.69774
2018,Couple without children,No,0.31581,1443,4518,0.30226,0.32937
2018,Single parent,Yes,0.55846,848,1495,0.53328,0.58364
2018,Single parent,No,0.44154,647,1495,0.41636,0.46672
2018,Couple with children,Yes,0.69295,3403,4997,0.68016,0.70574
2018,Couple with children,No,0.30705,1594,4997,0.29426,0.31984
2018,Multi-generational household,Yes,0.61110,63,116,0.52200,0.70020
2018,Multi-generational household,No,0.38890,53,116,0.29980,0.47800
2018,Other Combinations,Yes,0.59003,129,225,0.52563,0.65444
2018,Other Combinations,No,0.40997,96,225,0.34556,0.47437
2019,Single-person household,Yes,0.58233,1917,3236,0.56534,0.59933
2019,Single-person household,No,0.41767,1319,3236,0.40067,0.43466
2019,Couple without children,Yes,0.68752,2623,3847,0.67287,0.70217
2019,Couple without children,No,0.31248,1224,3847,0.29783,0.32713
2019,Single parent,Yes,0.55588,717,1221,0.52800,0.58377
2019,Single parent,No,0.44412,504,1221,0.41623,0.47200
2019,Couple with children,Yes,0.68999,2772,4000,0.67566,0.70432
2019,Couple with children,No,0.31001,1228,4000,0.29568,0.32434
2019,Multi-generational household,Yes,0.61509,47,85,0.51104,0.71915
2019,Multi-generational household,No,0.38491,38,85,0.28085,0.48896
2019,Other Combinations,Yes,0.60880,96,160,0.53294,0.68466
2019,Other Combinations,No,0.39120,64,160,0.31534,0.46706
2020,Single-person household,Yes,0.60578,2576,4491,0.59148,0.62007
2020,Single-person household,No,0.39422,1915,4491,0.37993,0.40852
2020,Couple without children,Yes,0.67903,3353,4967,0.66604,0.69201
2020,Couple without children,No,0.32097,1614,4967,0.30799,0.33396
2020,Single parent,Yes,0.55509,771,1331,0.52838,0.58180
2020,Single parent,No,0.44491,560,1331,0.41820,0.47162
2020,Couple with children,Yes,0.73551,3403,4857,0.72311,0.74792
2020,Couple with children,No,0.26449,1454,4857,0.25208,0.27689
2020,Multi-generational household,Yes,0.65929,71,117,0.57304,0.74554
2020,Multi-generational household,No,0.34071,46,117,0.25446,0.42696
2020,Other Combinations,Yes,0.60653,155,287,0.54991,0.66315
2020,Other Combinations,No,0.39347,132,287,0.33685,0.45009
2021,Single-person household,Yes,0.59400,1654,2754,0.57566,0.61235
2021,Single-person household,No,0.40600,1100,2754,0.38765,0.42434
2021,Couple without children,Yes,0.67873,2141,3101,0.66230,0.69517
2021,Couple without children,No,0.32127,960,3101,0.30483,0.33770
2021,Single parent,Yes,0.55177,502,821,0.51773,0.58580
2021,Single parent,No,0.44823,319,821,0.41420,0.48227
2021,Couple with children,Yes,0.74993,2046,2858,0.73405,0.76581
2021,Couple with children,No,0.25007,812,2858,0.23419,0.26595
2021,Multi-generational household,Yes,0.75360,40,40,0.61835,0.88884
2021,Other Combinations,Yes,0.63632,138,224,0.57318,0.69946
2021,Other Combinations,No,0.36368,86,224,0.30054,0.42682
2022,No answer / don't know,Yes,0.61343,271,431,0.56740,0.65945
2022,No answer / don't know,No,0.38657,160,431,0.34055,0.43260
2022,Single-person household,Yes,0.59578,3194,5316,0.58259,0.60897
2022,Single-person household,No,0.40422,2122,5316,0.39103,0.41741
2022,Couple without children,Yes,0.69659,3866,5581,0.68452,0.70865
2022,Couple without children,No,0.30341,1715,5581,0.29135,0.31548
2022,Single parent,Yes,0.54240,649,1111,0.51309,0.57170
2022,Single parent,No,0.45760,462,1111,0.42830,0.48691
2022,Couple with children,Yes,0.71041,3638,5069,0.69792,0.72290
2022,Couple with children,No,0.28959,1431,5069,0.27710,0.30208
2022,Multi-generational household,Yes,0.64946,52,52,0.51851,0.78042
2022,Other Combinations,Yes,0.67024,717,1065,0.64199,0.69849
2022,Other Combinations,No,0.32976,348,1065,0.30151,0.35801
