year,sampreg,sex,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,East,male,At least once per week,0.09442,199,1749,0.08071,0.10813
1996,East,male,At least once per month,0.30150,677,1749,0.27999,0.32302
1996,East,male,Seldom,0.37208,802,1749,0.34942,0.39474
1996,East,male,Never,0.04439,71,1749,0.03473,0.05404
1996,East,female,At least once per week,0.09981,212,1922,0.08641,0.11322
1996,East,female,At least once per month,0.22799,544,1922,0.20922,0.24675
1996,East,female,Seldom,0.40594,993,1922,0.38398,0.42790
1996,East,female,Never,0.10315,173,1922,0.08955,0.11675
1997,West,male,At least once per week,0.08298,528,4429,0.07486,0.09111
1997,West,male,At least once per month,0.25699,1465,4429,0.24412,0.26986
1997,West,male,Seldom,0.36922,1987,4429,0.35501,0.38344
1997,West,male,Never,0.09084,449,4429,0.08237,0.09930
1997,West,female,At least once per week,0.09903,560,4691,0.09048,0.10757
1997,West,female,At least once per month,0.19582,1252,4691,0.18447,0.20718
1997,West,female,Seldom,0.37780,2195,4691,0.36392,0.39167
1997,West,female,Never,0.14754,684,4691,0.13739,0.15769
1997,East,male,At least once per week,0.10149,205,1735,0.08728,0.11571
1997,East,male,At least once per month,0.29706,630,1735,0.27555,0.31857
1997,East,male,Seldom,0.36695,800,1735,0.34427,0.38964
1997,East,male,Never,0.05768,100,1735,0.04671,0.06866
1997,East,female,At least once per week,0.10211,212,1874,0.08840,0.11582
1997,East,female,At least once per month,0.22281,500,1874,0.20397,0.24166
1997,East,female,Seldom,0.39951,962,1874,0.37733,0.42169
1997,East,female,Never,0.10979,200,1874,0.09563,0.12395
1999,West,male,At least once per week,0.08024,531,4772,0.07253,0.08794
1999,West,male,At least once per month,0.24351,1527,4772,0.23133,0.25569
1999,West,male,Seldom,0.39597,2234,4772,0.38209,0.40985
1999,West,male,Never,0.09181,480,4772,0.08361,0.10000
1999,West,female,At least once per week,0.09236,559,5060,0.08438,0.10034
1999,West,female,At least once per month,0.18949,1301,5060,0.17870,0.20029
1999,West,female,Seldom,0.39343,2441,5060,0.37996,0.40689
1999,West,female,Never,0.14654,759,5060,0.13680,0.15629
1999,East,male,At least once per week,0.08544,178,1813,0.07257,0.09831
1999,East,male,At least once per month,0.28143,649,1813,0.26072,0.30214
1999,East,male,Seldom,0.42415,904,1813,0.40139,0.44690
1999,East,male,Never,0.04468,82,1813,0.03516,0.05419
1999,East,female,At least once per week,0.08845,186,1951,0.07584,0.10105
1999,East,female,At least once per month,0.20706,515,1951,0.18908,0.22505
1999,East,female,Seldom,0.43253,1055,1951,0.41054,0.45452
1999,East,female,Never,0.11618,195,1951,0.10196,0.13041
2001,West,male,At least once per week,0.09732,985,7849,0.09076,0.10388
2001,West,male,At least once per month,0.25647,2545,7849,0.24681,0.26613
2001,West,male,Seldom,0.35701,3454,7849,0.34641,0.36762
2001,West,male,Never,0.09524,865,7849,0.08875,0.10174
2001,West,female,At least once per week,0.09867,1043,8505,0.09233,0.10501
2001,West,female,At least once per month,0.21419,2350,8505,0.20547,0.22291
2001,West,female,Seldom,0.35369,3739,8505,0.34352,0.36385
2001,West,female,Never,0.15485,1373,8505,0.14716,0.16254
2001,East,male,At least once per week,0.12204,346,2613,0.10949,0.13459
2001,East,male,At least once per month,0.30351,984,2613,0.28587,0.32114
2001,East,male,Seldom,0.36527,1119,2613,0.34680,0.38373
2001,East,male,Never,0.06107,164,2613,0.05189,0.07025
2001,East,female,At least once per week,0.10995,334,2794,0.09835,0.12155
2001,East,female,At least once per month,0.24345,831,2794,0.22753,0.25936
2001,East,female,Seldom,0.38316,1330,2794,0.36513,0.40119
2001,East,female,Never,0.11333,299,2794,0.10157,0.12508
2005,West,male,At least once per week,0.09868,867,7446,0.09191,0.10545
2005,West,male,At least once per month,0.27828,2503,7446,0.26810,0.28846
2005,West,male,Seldom,0.36588,3399,7446,0.35494,0.37682
2005,West,male,Never,0.07876,677,7446,0.07264,0.08488
2005,West,female,At least once per week,0.10069,1006,8124,0.09415,0.10724
2005,West,female,At least once per month,0.23512,2359,8124,0.22590,0.24434
2005,West,female,Seldom,0.36447,3657,8124,0.35400,0.37493
2005,West,female,Never,0.13410,1102,8124,0.12669,0.14151
2005,East,male,At least once per week,0.11001,272,2409,0.09751,0.12250
2005,East,male,At least once per month,0.29075,851,2409,0.27261,0.30889
2005,East,male,Seldom,0.39513,1123,2409,0.37561,0.41466
2005,East,male,Never,0.06694,163,2409,0.05696,0.07692
2005,East,female,At least once per week,0.10762,284,2601,0.09571,0.11953
2005,East,female,At least once per month,0.25111,763,2601,0.23444,0.26778
2005,East,female,Seldom,0.41007,1307,2601,0.39117,0.42898
2005,East,female,Never,0.10297,247,2601,0.09129,0.11465
2007,West,male,At least once per week,0.09803,939,7319,0.09122,0.10484
2007,West,male,At least once per month,0.27944,2426,7319,0.26916,0.28972
2007,West,male,Seldom,0.34629,3186,7319,0.33539,0.35719
2007,West,male,Never,0.08815,768,7319,0.08165,0.09465
2007,West,female,At least once per week,0.10048,1043,8094,0.09393,0.10703
2007,West,female,At least once per month,0.22979,2349,8094,0.22063,0.23896
2007,West,female,Seldom,0.36441,3590,8094,0.35392,0.37489
2007,West,female,Never,0.13291,1112,8094,0.12551,0.14030
2007,East,male,At least once per week,0.10898,298,2399,0.09651,0.12145
2007,East,male,At least once per month,0.31714,872,2399,0.29851,0.33576
2007,East,male,Seldom,0.35280,1018,2399,0.33367,0.37193
2007,East,male,Never,0.07871,211,2399,0.06793,0.08949
2007,East,female,At least once per week,0.09816,286,2576,0.08667,0.10966
2007,East,female,At least once per month,0.27256,801,2576,0.25536,0.28976
2007,East,female,Seldom,0.39665,1210,2576,0.37775,0.41555
2007,East,female,Never,0.10970,279,2576,0.09763,0.12177
2009,West,male,At least once per week,0.08616,662,6380,0.07927,0.09304
2009,West,male,At least once per month,0.27080,2081,6380,0.25989,0.28170
2009,West,male,Seldom,0.38044,2988,6380,0.36852,0.39235
2009,West,male,Never,0.08710,649,6380,0.08018,0.09402
2009,West,female,At least once per week,0.08893,747,7010,0.08226,0.09559
2009,West,female,At least once per month,0.23200,1996,7010,0.22212,0.24188
2009,West,female,Seldom,0.38923,3321,7010,0.37781,0.40064
2009,West,female,Never,0.12547,946,7010,0.11772,0.13323
2009,East,male,At least once per week,0.09428,244,2176,0.08199,0.10656
2009,East,male,At least once per month,0.31780,772,2176,0.29823,0.33736
2009,East,male,Seldom,0.38181,1006,2176,0.36139,0.40222
2009,East,male,Never,0.06095,154,2176,0.05089,0.07100
2009,East,female,At least once per week,0.09990,252,2341,0.08775,0.11205
2009,East,female,At least once per month,0.26726,691,2341,0.24933,0.28519
2009,East,female,Seldom,0.39991,1142,2341,0.38006,0.41976
2009,East,female,Never,0.10375,256,2341,0.09140,0.11611
2011,West,male,At least once per week,0.09464,1255,9928,0.08888,0.10040
2011,West,male,At least once per month,0.26726,3346,9928,0.25855,0.27597
2011,West,male,Seldom,0.37063,4358,9928,0.36113,0.38013
2011,West,male,Never,0.08391,969,9928,0.07846,0.08937
2011,West,female,At least once per week,0.10499,1684,12043,0.09952,0.11047
2011,West,female,At least once per month,0.22615,3604,12043,0.21867,0.23362
2011,West,female,Seldom,0.37999,5263,12043,0.37132,0.38865
2011,West,female,Never,0.12407,1492,12043,0.11818,0.12996
2011,East,male,At least once per week,0.12998,379,2870,0.11768,0.14229
2011,East,male,At least once per month,0.29715,1026,2870,0.28042,0.31387
2011,East,male,Seldom,0.36688,1240,2870,0.34925,0.38452
2011,East,male,Never,0.06388,225,2870,0.05493,0.07283
2011,East,female,At least once per week,0.10968,454,3421,0.09921,0.12016
2011,East,female,At least once per month,0.28326,1120,3421,0.26816,0.29836
2011,East,female,Seldom,0.37512,1480,3421,0.35889,0.39135
2011,East,female,Never,0.10325,367,3421,0.09305,0.11344
2015,West,male,At least once per week,0.09319,1299,9822,0.08745,0.09894
2015,West,male,At least once per month,0.28586,3535,9822,0.27692,0.29479
2015,West,male,Seldom,0.37843,4221,9822,0.36883,0.38802
2015,West,male,Never,0.07468,767,9822,0.06948,0.07988
2015,West,female,At least once per week,0.10333,1598,11504,0.09776,0.10889
2015,West,female,At least once per month,0.24822,3698,11504,0.24033,0.25612
2015,West,female,Seldom,0.38749,5071,11504,0.37858,0.39639
2015,West,female,Never,0.10489,1137,11504,0.09929,0.11049
2015,East,male,At least once per week,0.09958,291,2460,0.08774,0.11141
2015,East,male,At least once per month,0.30228,892,2460,0.28413,0.32043
2015,East,male,Seldom,0.39487,1105,2460,0.37555,0.41419
2015,East,male,Never,0.05779,172,2460,0.04857,0.06701
2015,East,female,At least once per week,0.09719,337,2930,0.08646,0.10792
2015,East,female,At least once per month,0.23683,902,2930,0.22143,0.25222
2015,East,female,Seldom,0.41374,1382,2930,0.39591,0.43158
2015,East,female,Never,0.10600,309,2930,0.09486,0.11715
2017,West,male,At least once per week,0.10835,1392,9666,0.10215,0.11455
2017,West,male,At least once per month,0.29363,3539,9666,0.28455,0.30271
2017,West,male,Seldom,0.34738,4005,9666,0.33789,0.35687
2017,West,male,Never,0.07031,730,9666,0.06522,0.07541
2017,West,female,At least once per week,0.11806,1687,11251,0.11210,0.12402
2017,West,female,At least once per month,0.25867,3732,11251,0.25057,0.26676
2017,West,female,Seldom,0.35525,4742,11251,0.34641,0.36410
2017,West,female,Never,0.10876,1090,11251,0.10301,0.11451
2017,East,male,At least once per week,0.14633,390,2571,0.13267,0.16000
2017,East,male,At least once per month,0.30411,955,2571,0.28632,0.32189
2017,East,male,Seldom,0.32982,1038,2571,0.31164,0.34800
2017,East,male,Never,0.05742,188,2571,0.04843,0.06642
2017,East,female,At least once per week,0.08848,370,3005,0.07833,0.09864
2017,East,female,At least once per month,0.27009,1004,3005,0.25421,0.28596
2017,East,female,Seldom,0.38302,1335,3005,0.36563,0.40040
2017,East,female,Never,0.10134,296,3005,0.09054,0.11213
