year,age_gr,bula_h,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1986,30-45 y.,Lower Saxony,Seldom,0.67609,198,9650,0.67530,0.67687
1986,30-45 y.,Lower Saxony,Never,0.11691,39,9650,0.11638,0.11745
1986,30-45 y.,North Rhine-Westphalia,At least once per week,0.07371,76,9650,0.07345,0.07397
1986,30-45 y.,North Rhine-Westphalia,At least once per month,0.25358,235,9650,0.25315,0.25402
1986,30-45 y.,North Rhine-Westphalia,Seldom,0.57192,513,9650,0.57143,0.57242
1986,30-45 y.,North Rhine-Westphalia,Never,0.10078,107,9650,0.10048,0.10108
1986,30-45 y.,Hesse,At least once per week,0.10571,42,9650,0.10512,0.10629
1986,30-45 y.,Hesse,At least once per month,0.26990,80,9650,0.26905,0.27075
1986,30-45 y.,Hesse,Seldom,0.51110,155,9650,0.51014,0.51205
1986,30-45 y.,Hesse,Never,0.11330,42,9650,0.11269,0.11390
1986,30-45 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.36105,53,9650,0.35978,0.36232
1986,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.63895,82,9650,0.63768,0.64022
1986,30-45 y.,Baden-Wuerttemberg,At least once per week,0.07095,42,9650,0.07059,0.07131
1986,30-45 y.,Baden-Wuerttemberg,At least once per month,0.17999,114,9650,0.17945,0.18053
1986,30-45 y.,Baden-Wuerttemberg,Seldom,0.59301,324,9650,0.59232,0.59371
1986,30-45 y.,Baden-Wuerttemberg,Never,0.15605,121,9650,0.15554,0.15656
1986,30-45 y.,Bavaria,At least once per week,0.08163,49,9650,0.08129,0.08197
1986,30-45 y.,Bavaria,At least once per month,0.22510,136,9650,0.22459,0.22562
1986,30-45 y.,Bavaria,Seldom,0.54452,300,9650,0.54391,0.54514
1986,30-45 y.,Bavaria,Never,0.14874,82,9650,0.14830,0.14919
1986,30-45 y.,Berlin,Seldom,1.00000,59,9650,1.00000,1.00000
1986,46-65 y.,Schleswig-Holstein,Seldom,1.00000,59,9650,1.00000,1.00000
1986,46-65 y.,Lower Saxony,At least once per month,0.19901,62,9650,0.19841,0.19960
