year,quintil_oecd_hh,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,5th Quintile,Urban regions,Yes,0.10737,194,1682,0.09257,0.12217
2001,5th Quintile,Urban regions,No,0.89263,1488,1682,0.87783,0.90743
2001,5th Quintile,Rural regions,Yes,0.17075,89,499,0.13770,0.20380
2001,5th Quintile,Rural regions,No,0.82925,410,499,0.79620,0.86230
2006,1st Quintile,Urban regions,Yes,0.08294,119,1331,0.06812,0.09776
2006,1st Quintile,Urban regions,No,0.91706,1212,1331,0.90224,0.93188
2006,1st Quintile,Rural regions,Yes,0.15198,129,765,0.12652,0.17744
2006,1st Quintile,Rural regions,No,0.84802,636,765,0.82256,0.87348
2006,2nd Quintile,Urban regions,Yes,0.10835,155,1331,0.09164,0.12505
2006,2nd Quintile,Urban regions,No,0.89165,1176,1331,0.87495,0.90836
2006,2nd Quintile,Rural regions,Yes,0.15373,169,891,0.13003,0.17743
2006,2nd Quintile,Rural regions,No,0.84627,722,891,0.82257,0.86997
2006,3rd Quintile,Urban regions,Yes,0.10292,175,1498,0.08753,0.11832
2006,3rd Quintile,Urban regions,No,0.89708,1323,1498,0.88168,0.91247
2006,3rd Quintile,Rural regions,Yes,0.18088,168,889,0.15556,0.20620
2006,3rd Quintile,Rural regions,No,0.81912,721,889,0.79380,0.84444
2006,4th Quintile,Urban regions,Yes,0.09743,191,1686,0.08327,0.11159
2006,4th Quintile,Urban regions,No,0.90257,1495,1686,0.88841,0.91673
2006,4th Quintile,Rural regions,Yes,0.18070,147,807,0.15414,0.20726
2006,4th Quintile,Rural regions,No,0.81930,660,807,0.79274,0.84586
2006,5th Quintile,Urban regions,Yes,0.09872,278,2318,0.08657,0.11086
2006,5th Quintile,Urban regions,No,0.90128,2040,2318,0.88914,0.91343
2006,5th Quintile,Rural regions,Yes,0.15453,132,743,0.12853,0.18054
2006,5th Quintile,Rural regions,No,0.84547,611,743,0.81946,0.87147
2011,1st Quintile,Urban regions,Yes,0.08341,130,1387,0.06885,0.09796
2011,1st Quintile,Urban regions,No,0.91659,1257,1387,0.90204,0.93115
2011,1st Quintile,Rural regions,Yes,0.13215,126,868,0.10961,0.15470
2011,1st Quintile,Rural regions,No,0.86785,742,868,0.84530,0.89039
2011,2nd Quintile,Urban regions,Yes,0.09026,130,1332,0.07487,0.10566
2011,2nd Quintile,Urban regions,No,0.90974,1202,1332,0.89434,0.92513
2011,2nd Quintile,Rural regions,Yes,0.16293,154,907,0.13888,0.18698
2011,2nd Quintile,Rural regions,No,0.83707,753,907,0.81302,0.86112
2011,3rd Quintile,Urban regions,Yes,0.10551,167,1450,0.08969,0.12133
2011,3rd Quintile,Urban regions,No,0.89449,1283,1450,0.87867,0.91031
2011,3rd Quintile,Rural regions,Yes,0.15438,167,925,0.13108,0.17767
2011,3rd Quintile,Rural regions,No,0.84562,758,925,0.82233,0.86892
2011,4th Quintile,Urban regions,Yes,0.10797,197,1637,0.09294,0.12301
2011,4th Quintile,Urban regions,No,0.89203,1440,1637,0.87699,0.90706
2011,4th Quintile,Rural regions,Yes,0.15604,126,799,0.13087,0.18122
2011,4th Quintile,Rural regions,No,0.84396,673,799,0.81878,0.86913
2011,5th Quintile,Urban regions,Yes,0.10910,243,2064,0.09565,0.12255
2011,5th Quintile,Urban regions,No,0.89090,1821,2064,0.87745,0.90435
2011,5th Quintile,Rural regions,Yes,0.18958,131,712,0.16077,0.21839
2011,5th Quintile,Rural regions,No,0.81042,581,712,0.78161,0.83923
2016,1st Quintile,Urban regions,Yes,0.09676,239,1987,0.08375,0.10976
2016,1st Quintile,Urban regions,No,0.90324,1748,1987,0.89024,0.91625
2016,1st Quintile,Rural regions,Yes,0.15417,200,1109,0.13291,0.17544
2016,1st Quintile,Rural regions,No,0.84583,909,1109,0.82456,0.86709
2016,2nd Quintile,Urban regions,Yes,0.10168,209,1849,0.08790,0.11546
2016,2nd Quintile,Urban regions,No,0.89832,1640,1849,0.88454,0.91210
2016,2nd Quintile,Rural regions,Yes,0.15245,201,1192,0.13204,0.17287
2016,2nd Quintile,Rural regions,No,0.84755,991,1192,0.82713,0.86796
2016,3rd Quintile,Urban regions,Yes,0.10785,202,1725,0.09320,0.12249
2016,3rd Quintile,Urban regions,No,0.89215,1523,1725,0.87751,0.90680
2016,3rd Quintile,Rural regions,Yes,0.14050,177,1018,0.11914,0.16186
2016,3rd Quintile,Rural regions,No,0.85950,841,1018,0.83814,0.88086
2016,4th Quintile,Urban regions,Yes,0.10821,203,1761,0.09369,0.12272
2016,4th Quintile,Urban regions,No,0.89179,1558,1761,0.87728,0.90631
2016,4th Quintile,Rural regions,Yes,0.16380,163,901,0.13962,0.18798
2016,4th Quintile,Rural regions,No,0.83620,738,901,0.81202,0.86038
2016,5th Quintile,Urban regions,Yes,0.10955,242,2050,0.09603,0.12308
2016,5th Quintile,Urban regions,No,0.89045,1808,2050,0.87692,0.90397
2016,5th Quintile,Rural regions,Yes,0.17356,120,705,0.14559,0.20154
2016,5th Quintile,Rural regions,No,0.82644,585,705,0.79846,0.85441
2021,1st Quintile,Urban regions,Yes,0.09850,132,1350,0.08260,0.11440
2021,1st Quintile,Urban regions,No,0.90150,1218,1350,0.88560,0.91740
2021,1st Quintile,Rural regions,Yes,0.15252,126,691,0.12570,0.17935
2021,1st Quintile,Rural regions,No,0.84748,565,691,0.82065,0.87430
2021,2nd Quintile,Urban regions,Yes,0.09412,166,1332,0.07843,0.10980
2021,2nd Quintile,Urban regions,No,0.90588,1166,1332,0.89020,0.92157
2021,2nd Quintile,Rural regions,Yes,0.11889,158,852,0.09715,0.14064
2021,2nd Quintile,Rural regions,No,0.88111,694,852,0.85936,0.90285
2021,3rd Quintile,Urban regions,Yes,0.10696,171,1299,0.09014,0.12377
2021,3rd Quintile,Urban regions,No,0.89304,1128,1299,0.87623,0.90986
2021,3rd Quintile,Rural regions,Yes,0.14647,143,725,0.12071,0.17222
2021,3rd Quintile,Rural regions,No,0.85353,582,725,0.82778,0.87929
2021,4th Quintile,Urban regions,Yes,0.13039,183,1396,0.11272,0.14806
2021,4th Quintile,Urban regions,No,0.86961,1213,1396,0.85194,0.88728
2021,4th Quintile,Rural regions,Yes,0.13286,110,682,0.10737,0.15835
2021,4th Quintile,Rural regions,No,0.86714,572,682,0.84165,0.89263
2021,5th Quintile,Urban regions,Yes,0.11926,285,2018,0.10511,0.13340
2021,5th Quintile,Urban regions,No,0.88074,1733,2018,0.86660,0.89489
2021,5th Quintile,Rural regions,Yes,0.19703,134,691,0.16735,0.22671
2021,5th Quintile,Rural regions,No,0.80297,557,691,0.77329,0.83265
