,Unnamed: 0,year,sex,plh0185,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
87,87,2015,female,Sometimes,0.21648,2802,24957,0.20666,0.22542
88,88,2015,female,Often,0.07898,1035,24957,0.07401,0.08529
89,89,2015,female,Very often,0.02217,297,24957,0.01968,0.02575
90,90,2016,male,Very seldom,0.45855,5314,24094,0.4435,0.47305
91,91,2016,male,Seldom,0.35861,3857,24094,0.34702,0.3748
92,92,2016,male,Sometimes,0.1312,1343,24094,0.12312,0.13971
93,93,2016,male,Often,0.04295,418,24094,0.03784,0.04815
94,94,2016,male,Very often,0.00868,88,24094,0.00663,0.01101
95,95,2016,female,Very seldom,0.3071,4099,24094,0.29573,0.31973
96,96,2016,female,Seldom,0.3459,4662,24094,0.33313,0.35726
97,97,2016,female,Sometimes,0.23022,2890,24094,0.22197,0.24039
98,98,2016,female,Often,0.09541,1136,24094,0.08765,0.10242
99,99,2016,female,Very often,0.02136,287,24094,0.01817,0.0242
100,100,2017,male,Very seldom,0.47316,6077,26374,0.45835,0.4848
101,101,2017,male,Seldom,0.35163,4168,26374,0.3404,0.36384
102,102,2017,male,Sometimes,0.12764,1424,26374,0.1196,0.13457
103,103,2017,male,Often,0.0399,410,26374,0.03561,0.04481
104,104,2017,male,Very often,0.00768,106,26374,0.00619,0.00938
105,105,2017,female,Very seldom,0.31837,4671,26374,0.30922,0.32856
106,106,2017,female,Seldom,0.35733,5168,26374,0.34598,0.36686
107,107,2017,female,Sometimes,0.21893,2952,26374,0.21015,0.22847
108,108,2017,female,Often,0.08587,1103,26374,0.08038,0.09177
109,109,2017,female,Very often,0.0195,295,26374,0.01718,0.02187
110,110,2018,male,Very seldom,0.48968,6043,25524,0.47483,0.50225
111,111,2018,male,Seldom,0.33802,3807,25524,0.32795,0.34986
112,112,2018,male,Sometimes,0.12915,1425,25524,0.1213,0.1366
113,113,2018,male,Often,0.03611,383,25524,0.03179,0.03947
114,114,2018,male,Very often,0.00704,82,25524,0.0055,0.00885
115,115,2018,female,Very seldom,0.33135,4727,25524,0.3184,0.34115
116,116,2018,female,Seldom,0.36322,4997,25524,0.35259,0.37425
117,117,2018,female,Sometimes,0.20605,2737,25524,0.19623,0.21485
118,118,2018,female,Often,0.07424,1013,25524,0.06892,0.07912
119,119,2018,female,Very often,0.02513,310,25524,0.02197,0.02838
120,120,2019,male,Very seldom,0.49579,6424,25664,0.48183,0.51267
121,121,2019,male,Seldom,0.34542,4011,25664,0.33328,0.35967
122,122,2019,male,Sometimes,0.11576,1353,25664,0.10865,0.12437
123,123,2019,male,Often,0.03537,379,25664,0.03128,0.03926
124,124,2019,male,Very often,0.00765,84,25664,0.00639,0.00926
125,125,2019,female,Very seldom,0.33792,4785,25664,0.32523,0.3512
126,126,2019,female,Seldom,0.35999,4768,25664,0.34641,0.37258
127,127,2019,female,Sometimes,0.20464,2595,25664,0.19561,0.21436
128,128,2019,female,Often,0.0733,989,25664,0.06784,0.07794
129,129,2019,female,Very often,0.02415,276,25664,0.02104,0.02769
130,130,2020,male,Very seldom,0.44054,5538,25608,0.42294,0.45531
131,131,2020,male,Seldom,0.34904,4112,25608,0.33305,0.36443
132,132,2020,male,Sometimes,0.15259,1863,25608,0.14324,0.16218
133,133,2020,male,Often,0.04792,608,25608,0.04308,0.0531
134,134,2020,male,Very often,0.00991,122,25608,0.00789,0.01203
135,135,2020,female,Very seldom,0.27489,3728,25608,0.26229,0.28776
136,136,2020,female,Seldom,0.3378,4536,25608,0.32552,0.34894
137,137,2020,female,Sometimes,0.25265,3246,25608,0.24189,0.26231
138,138,2020,female,Often,0.10522,1467,25608,0.09744,0.11229
139,139,2020,female,Very often,0.02944,388,25608,0.0262,0.03304
140,140,2021,male,Very seldom,0.47127,4037,17166,0.45291,0.48868
141,141,2021,male,Seldom,0.35865,2755,17166,0.3393,0.37587
142,142,2021,male,Sometimes,0.12293,910,17166,0.1113,0.13338
143,143,2021,male,Often,0.0375,303,17166,0.03171,0.04327
144,144,2021,male,Very often,0.00965,67,17166,0.00746,0.01253
145,145,2021,female,Very seldom,0.32869,3100,17166,0.31181,0.34394
146,146,2021,female,Seldom,0.36704,3343,17166,0.3494,0.38155
147,147,2021,female,Sometimes,0.19868,1693,17166,0.18862,0.21217
148,148,2021,female,Often,0.08508,761,17166,0.07773,0.09263
149,149,2021,female,Very often,0.02051,197,17166,0.01719,0.02388
