,Unnamed: 0,year,bula_h,pgisced97,plh0185,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
26,26,2007,North Rhine-Westphalia,Upper Secondary Level,Very seldom,0.44825,905,17288,0.42625,0.47057
27,27,2007,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.30949,617,17288,0.29047,0.32767
28,28,2007,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.16335,333,17288,0.1486,0.17579
29,29,2007,North Rhine-Westphalia,Upper Secondary Level,Often,0.06019,118,17288,0.05173,0.07024
30,30,2007,North Rhine-Westphalia,Upper Secondary Level,Very often,0.01871,33,17288,0.0137,0.02409
31,31,2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very seldom,0.40978,126,17288,0.33563,0.47009
32,32,2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.35185,103,17288,0.29697,0.4128
33,33,2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.23838,65,17288,0.18509,0.28494
34,34,2007,North Rhine-Westphalia,First Stage of Tertiary Education,Very seldom,0.4749,126,17288,0.4053,0.55239
35,35,2007,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.37644,99,17288,0.31894,0.46177
36,36,2007,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.14866,49,17288,0.1148,0.19912
37,37,2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Very seldom,0.44731,400,17288,0.40388,0.49318
38,38,2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.31582,257,17288,0.28288,0.35656
39,39,2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.17794,139,17288,0.15152,0.21187
40,40,2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.05893,38,17288,0.03508,0.08219
41,41,2007,Hesse,Lower Secondary Level,Very seldom,0.35048,56,17288,0.27793,0.43508
42,42,2007,Hesse,Lower Secondary Level,Seldom,0.31406,39,17288,0.25713,0.38113
43,43,2007,Hesse,Lower Secondary Level,Sometimes,0.33546,34,17288,0.26599,0.41334
44,44,2007,Hesse,Upper Secondary Level,Very seldom,0.40767,281,17288,0.3739,0.44236
45,45,2007,Hesse,Upper Secondary Level,Seldom,0.30956,192,17288,0.27636,0.34673
46,46,2007,Hesse,Upper Secondary Level,Sometimes,0.20934,121,17288,0.17833,0.2377
47,47,2007,Hesse,Upper Secondary Level,Often,0.07343,52,17288,0.05904,0.0907
48,48,2007,Hesse,Post-secondary Non-tertiary Level,Very seldom,0.52952,38,17288,0.39513,0.7092
49,49,2007,Hesse,Post-secondary Non-tertiary Level,Seldom,0.47048,38,17288,0.35371,0.59129
50,50,2007,Hesse,First Stage of Tertiary Education,Very seldom,1.0,36,17288,0.75568,1.26838
51,51,2007,Hesse,Second Stage of Tertiary Education,Very seldom,0.45234,147,17288,0.38747,0.52542
52,52,2007,Hesse,Second Stage of Tertiary Education,Seldom,0.34375,114,17288,0.29804,0.40325
53,53,2007,Hesse,Second Stage of Tertiary Education,Sometimes,0.20392,58,17288,0.15487,0.2535
54,54,2007,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very seldom,0.68235,85,17288,0.59463,0.77382
55,55,2007,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.31765,47,17288,0.27534,0.36236
56,56,2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very seldom,0.46105,284,17288,0.41887,0.50685
57,57,2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.25729,152,17288,0.23109,0.2916
58,58,2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.20211,106,17288,0.17611,0.23656
59,59,2007,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Often,0.07955,46,17288,0.06127,0.10044
60,60,2007,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Very seldom,1.0,59,17288,0.83906,1.1914
61,61,2007,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Very seldom,0.57326,77,17288,0.45534,0.71593
62,62,2007,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Seldom,0.42674,62,17288,0.33478,0.53041
63,63,2007,Baden-Wuerttemberg,Lower Secondary Level,Very seldom,0.30151,98,17288,0.25454,0.34689
64,64,2007,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.34088,116,17288,0.28605,0.39832
65,65,2007,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.22828,71,17288,0.18354,0.27691
66,66,2007,Baden-Wuerttemberg,Lower Secondary Level,Often,0.12934,38,17288,0.10302,0.15567
67,67,2007,Baden-Wuerttemberg,Upper Secondary Level,Very seldom,0.39849,481,17288,0.36843,0.42731
68,68,2007,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.32411,382,17288,0.29635,0.35898
69,69,2007,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.21719,219,17288,0.19093,0.24316
70,70,2007,Baden-Wuerttemberg,Upper Secondary Level,Often,0.06021,69,17288,0.05025,0.07129
71,71,2007,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Very seldom,0.60743,58,17288,0.47796,0.76874
72,72,2007,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Seldom,0.39257,41,17288,0.29379,0.4991
73,73,2007,Baden-Wuerttemberg,First Stage of Tertiary Education,Very seldom,0.51193,80,17288,0.42324,0.59349
74,74,2007,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.48807,62,17288,0.39177,0.58375
75,75,2007,Baden-Wuerttemberg,Second Stage of Tertiary Education,Very seldom,0.45421,239,17288,0.39479,0.51892
76,76,2007,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.34709,164,17288,0.29898,0.40768
77,77,2007,Baden-Wuerttemberg,Second Stage of Tertiary Education,Sometimes,0.19871,72,17288,0.16692,0.23848
78,78,2007,Bavaria,Lower Secondary Level,Very seldom,0.31866,97,17288,0.26698,0.38047
79,79,2007,Bavaria,Lower Secondary Level,Seldom,0.36706,111,17288,0.31902,0.41107
80,80,2007,Bavaria,Lower Secondary Level,Sometimes,0.31428,86,17288,0.26365,0.36582
81,81,2007,Bavaria,Upper Secondary Level,Very seldom,0.36238,597,17288,0.33894,0.38496
82,82,2007,Bavaria,Upper Secondary Level,Seldom,0.33563,501,17288,0.31245,0.3634
83,83,2007,Bavaria,Upper Secondary Level,Sometimes,0.22559,326,17288,0.20727,0.24908
84,84,2007,Bavaria,Upper Secondary Level,Often,0.0764,105,17288,0.06524,0.08751
85,85,2007,Bavaria,Post-secondary Non-tertiary Level,Very seldom,0.50202,64,17288,0.41401,0.58959
86,86,2007,Bavaria,Post-secondary Non-tertiary Level,Seldom,0.27904,43,17288,0.21835,0.34439
87,87,2007,Bavaria,Post-secondary Non-tertiary Level,Sometimes,0.21894,31,17288,0.14108,0.29637
88,88,2007,Bavaria,First Stage of Tertiary Education,Very seldom,0.49129,104,17288,0.41777,0.5747
89,89,2007,Bavaria,First Stage of Tertiary Education,Seldom,0.30551,62,17288,0.24563,0.37985
90,90,2007,Bavaria,First Stage of Tertiary Education,Sometimes,0.2032,47,17288,0.15799,0.2475
91,91,2007,Bavaria,Second Stage of Tertiary Education,Very seldom,0.43806,250,17288,0.37899,0.49049
92,92,2007,Bavaria,Second Stage of Tertiary Education,Seldom,0.31316,183,17288,0.26972,0.35572
93,93,2007,Bavaria,Second Stage of Tertiary Education,Sometimes,0.1739,106,17288,0.14808,0.20801
94,94,2007,Bavaria,Second Stage of Tertiary Education,Often,0.07488,31,17288,0.05337,0.09666
95,95,2007,Berlin,Upper Secondary Level,Very seldom,0.37617,100,17288,0.33286,0.43122
96,96,2007,Berlin,Upper Secondary Level,Seldom,0.37389,107,17288,0.32311,0.41967
97,97,2007,Berlin,Upper Secondary Level,Sometimes,0.24994,58,17288,0.20312,0.29112
98,98,2007,Berlin,Second Stage of Tertiary Education,Very seldom,0.42098,108,17288,0.33576,0.49498
99,99,2007,Berlin,Second Stage of Tertiary Education,Seldom,0.32507,79,17288,0.27375,0.38094
100,100,2007,Berlin,Second Stage of Tertiary Education,Sometimes,0.25395,55,17288,0.20151,0.31352
101,101,2007,Brandenburg,Upper Secondary Level,Very seldom,0.39514,161,17288,0.35922,0.43872
102,102,2007,Brandenburg,Upper Secondary Level,Seldom,0.38131,136,17288,0.33412,0.44684
103,103,2007,Brandenburg,Upper Secondary Level,Sometimes,0.22355,90,17288,0.18686,0.27301
104,104,2007,Brandenburg,Second Stage of Tertiary Education,Very seldom,0.40605,97,17288,0.33736,0.48949
105,105,2007,Brandenburg,Second Stage of Tertiary Education,Seldom,0.35046,77,17288,0.27066,0.44142
106,106,2007,Brandenburg,Second Stage of Tertiary Education,Sometimes,0.24349,56,17288,0.19218,0.29677
107,107,2007,Mecklenburg-Western Pomerania,Upper Secondary Level,Very seldom,0.47861,119,17288,0.42162,0.54299
108,108,2007,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.32842,78,17288,0.27301,0.38909
109,109,2007,Mecklenburg-Western Pomerania,Upper Secondary Level,Sometimes,0.19296,47,17288,0.15744,0.23169
110,110,2007,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Very seldom,0.35604,52,17288,0.27704,0.44147
111,111,2007,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Seldom,0.28388,42,17288,0.19606,0.38253
112,112,2007,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Sometimes,0.36008,35,17288,0.27414,0.42459
113,113,2007,Saxony,Lower Secondary Level,Very seldom,1.0,34,17288,0.7424,1.35398
114,114,2007,Saxony,Upper Secondary Level,Very seldom,0.31689,262,17288,0.28859,0.34503
115,115,2007,Saxony,Upper Secondary Level,Seldom,0.33472,287,17288,0.30872,0.36687
116,116,2007,Saxony,Upper Secondary Level,Sometimes,0.25513,199,17288,0.224,0.28903
117,117,2007,Saxony,Upper Secondary Level,Often,0.09327,54,17288,0.0712,0.11457
118,118,2007,Saxony,First Stage of Tertiary Education,Very seldom,0.31051,38,17288,0.24008,0.37536
119,119,2007,Saxony,First Stage of Tertiary Education,Seldom,0.45464,51,17288,0.31217,0.5734
120,120,2007,Saxony,First Stage of Tertiary Education,Sometimes,0.23485,31,17288,0.18617,0.28299
121,121,2007,Saxony,Second Stage of Tertiary Education,Very seldom,0.419,151,17288,0.36594,0.48761
122,122,2007,Saxony,Second Stage of Tertiary Education,Seldom,0.41934,135,17288,0.35567,0.48976
123,123,2007,Saxony,Second Stage of Tertiary Education,Sometimes,0.16166,61,17288,0.13658,0.18984
124,124,2007,Saxony-Anhalt,Upper Secondary Level,Very seldom,0.41092,160,17288,0.3626,0.47496
125,125,2007,Saxony-Anhalt,Upper Secondary Level,Seldom,0.3168,136,17288,0.27349,0.35218
126,126,2007,Saxony-Anhalt,Upper Secondary Level,Sometimes,0.27229,103,17288,0.2304,0.31307
127,127,2007,Saxony-Anhalt,First Stage of Tertiary Education,Very seldom,1.0,34,17288,0.7454,1.34386
128,128,2007,Saxony-Anhalt,Second Stage of Tertiary Education,Very seldom,0.32222,73,17288,0.24994,0.39877
129,129,2007,Saxony-Anhalt,Second Stage of Tertiary Education,Seldom,0.47265,85,17288,0.4018,0.55153
130,130,2007,Saxony-Anhalt,Second Stage of Tertiary Education,Sometimes,0.20513,53,17288,0.15178,0.2671
131,131,2007,Thuringa,Upper Secondary Level,Very seldom,0.38117,199,17288,0.33377,0.42421
132,132,2007,Thuringa,Upper Secondary Level,Seldom,0.31711,165,17288,0.27898,0.36593
133,133,2007,Thuringa,Upper Secondary Level,Sometimes,0.2283,139,17288,0.19666,0.26022
134,134,2007,Thuringa,Upper Secondary Level,Often,0.07342,36,17288,0.05339,0.10362
135,135,2007,Thuringa,Second Stage of Tertiary Education,Very seldom,0.46542,71,17288,0.37313,0.56216
136,136,2007,Thuringa,Second Stage of Tertiary Education,Seldom,0.35113,66,17288,0.28784,0.42606
137,137,2007,Thuringa,Second Stage of Tertiary Education,Sometimes,0.18346,35,17288,0.13596,0.23437
138,138,2008,Schleswig-Holstein,Upper Secondary Level,Very seldom,0.49592,147,16198,0.43661,0.55916
139,139,2008,Schleswig-Holstein,Upper Secondary Level,Seldom,0.32723,84,16198,0.28095,0.37533
140,140,2008,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.17685,45,16198,0.14006,0.21205
141,141,2008,Schleswig-Holstein,First Stage of Tertiary Education,Very seldom,1.0,31,16198,0.71385,1.3347
142,142,2008,Schleswig-Holstein,Second Stage of Tertiary Education,Very seldom,0.56444,45,16198,0.43084,0.72269
143,143,2008,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,0.43556,32,16198,0.27722,0.59032
144,144,2008,Hamburg,Upper Secondary Level,Very seldom,0.58941,49,16198,0.50606,0.71266
145,145,2008,Hamburg,Upper Secondary Level,Seldom,0.41059,35,16198,0.32198,0.50824
146,146,2008,Hamburg,Second Stage of Tertiary Education,Very seldom,1.0,40,16198,0.66608,1.36681
147,147,2008,Lower Saxony,Lower Secondary Level,Very seldom,0.45976,78,16198,0.37693,0.54245
148,148,2008,Lower Saxony,Lower Secondary Level,Seldom,0.38242,67,16198,0.31855,0.44996
149,149,2008,Lower Saxony,Lower Secondary Level,Sometimes,0.15782,32,16198,0.11729,0.20075
150,150,2008,Lower Saxony,Upper Secondary Level,Very seldom,0.41068,386,16198,0.38394,0.44539
151,151,2008,Lower Saxony,Upper Secondary Level,Seldom,0.33081,301,16198,0.30422,0.36731
152,152,2008,Lower Saxony,Upper Secondary Level,Sometimes,0.17135,158,16198,0.15159,0.18946
153,153,2008,Lower Saxony,Upper Secondary Level,Often,0.08716,63,16198,0.07323,0.10371
154,154,2008,Lower Saxony,Post-secondary Non-tertiary Level,Very seldom,0.57819,47,16198,0.46049,0.69442
155,155,2008,Lower Saxony,Post-secondary Non-tertiary Level,Seldom,0.42181,42,16198,0.3248,0.55418
156,156,2008,Lower Saxony,First Stage of Tertiary Education,Very seldom,0.47493,43,16198,0.34305,0.59851
157,157,2008,Lower Saxony,First Stage of Tertiary Education,Seldom,0.52507,45,16198,0.3844,0.65344
158,158,2008,Lower Saxony,Second Stage of Tertiary Education,Very seldom,0.52155,155,16198,0.44665,0.60386
159,159,2008,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.35247,101,16198,0.28979,0.42669
160,160,2008,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.12598,34,16198,0.08272,0.17646
161,161,2008,Bremen,Upper Secondary Level,Very seldom,1.0,35,16198,0.75425,1.25685
162,162,2008,North Rhine-Westphalia,Pre-primary Level,Seldom,1.0,33,16198,0.75025,1.21816
163,163,2008,North Rhine-Westphalia,Lower Secondary Level,Very seldom,0.44256,197,16198,0.39748,0.48758
164,164,2008,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.28233,134,16198,0.24424,0.31682
165,165,2008,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.18093,81,16198,0.15363,0.21154
166,166,2008,North Rhine-Westphalia,Lower Secondary Level,Often,0.09417,43,16198,0.07773,0.11488
167,167,2008,North Rhine-Westphalia,Upper Secondary Level,Very seldom,0.43881,820,16198,0.41439,0.46263
168,168,2008,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.33324,623,16198,0.31353,0.35761
169,169,2008,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.16988,325,16198,0.15909,0.18619
170,170,2008,North Rhine-Westphalia,Upper Secondary Level,Often,0.05807,103,16198,0.04995,0.06891
171,171,2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very seldom,0.4628,123,16198,0.38988,0.53469
172,172,2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.336,102,16198,0.27834,0.39957
173,173,2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.20121,50,16198,0.1685,0.24634
174,174,2008,North Rhine-Westphalia,First Stage of Tertiary Education,Very seldom,0.39052,108,16198,0.33036,0.46275
175,175,2008,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.41629,109,16198,0.34929,0.48888
176,176,2008,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.19319,36,16198,0.13527,0.24696
177,177,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Very seldom,0.43443,364,16198,0.38054,0.49144
178,178,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.34075,263,16198,0.30387,0.38834
179,179,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.18525,116,16198,0.15117,0.21531
180,180,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.03957,31,16198,0.02809,0.05299
181,181,2008,Hesse,Lower Secondary Level,Very seldom,0.56977,50,16198,0.46722,0.70151
182,182,2008,Hesse,Lower Secondary Level,Seldom,0.43023,37,16198,0.33732,0.53254
183,183,2008,Hesse,Upper Secondary Level,Very seldom,0.36323,231,16198,0.32536,0.3952
184,184,2008,Hesse,Upper Secondary Level,Seldom,0.34295,215,16198,0.30546,0.37945
185,185,2008,Hesse,Upper Secondary Level,Sometimes,0.20552,116,16198,0.17789,0.23674
186,186,2008,Hesse,Upper Secondary Level,Often,0.0883,49,16198,0.06761,0.1068
187,187,2008,Hesse,Post-secondary Non-tertiary Level,Very seldom,0.3966,35,16198,0.29461,0.56848
188,188,2008,Hesse,Post-secondary Non-tertiary Level,Seldom,0.6034,38,16198,0.44526,0.77075
189,189,2008,Hesse,First Stage of Tertiary Education,Very seldom,1.0,31,16198,0.7163,1.3133
190,190,2008,Hesse,Second Stage of Tertiary Education,Very seldom,0.42121,135,16198,0.33587,0.50171
191,191,2008,Hesse,Second Stage of Tertiary Education,Seldom,0.38084,123,16198,0.3292,0.44979
192,192,2008,Hesse,Second Stage of Tertiary Education,Sometimes,0.19795,50,16198,0.16024,0.24142
193,193,2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very seldom,0.61823,72,16198,0.50888,0.72041
194,194,2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.38177,47,16198,0.31172,0.4517
195,195,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very seldom,0.46838,263,16198,0.42339,0.51348
196,196,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.25086,144,16198,0.22574,0.28127
197,197,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.21081,103,16198,0.1843,0.24339
198,198,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Often,0.06994,38,16198,0.05429,0.08881
199,199,2008,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Very seldom,1.0,47,16198,0.80723,1.23484
200,200,2008,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Very seldom,0.60152,73,16198,0.47031,0.79954
201,201,2008,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Seldom,0.39848,60,16198,0.30774,0.49114
202,202,2008,Baden-Wuerttemberg,Lower Secondary Level,Very seldom,0.32995,82,16198,0.27167,0.39817
203,203,2008,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.45221,130,16198,0.38377,0.52158
204,204,2008,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.21784,59,16198,0.17571,0.27614
205,205,2008,Baden-Wuerttemberg,Upper Secondary Level,Very seldom,0.38114,432,16198,0.34766,0.41393
206,206,2008,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.37796,419,16198,0.34839,0.41254
207,207,2008,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.18274,197,16198,0.16305,0.20381
208,208,2008,Baden-Wuerttemberg,Upper Secondary Level,Often,0.05816,65,16198,0.04758,0.06949
209,209,2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Very seldom,0.56397,65,16198,0.46023,0.66936
210,210,2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Seldom,0.43603,42,16198,0.30923,0.57064
211,211,2008,Baden-Wuerttemberg,First Stage of Tertiary Education,Very seldom,0.59392,74,16198,0.48166,0.71818
212,212,2008,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.40608,57,16198,0.31809,0.51253
213,213,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Very seldom,0.51385,237,16198,0.44872,0.5827
214,214,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.33417,150,16198,0.2838,0.3929
215,215,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Sometimes,0.15198,58,16198,0.12377,0.18855
216,216,2008,Bavaria,Lower Secondary Level,Very seldom,0.2927,91,16198,0.25009,0.34083
217,217,2008,Bavaria,Lower Secondary Level,Seldom,0.33623,102,16198,0.28268,0.38538
218,218,2008,Bavaria,Lower Secondary Level,Sometimes,0.23742,71,16198,0.19909,0.27646
219,219,2008,Bavaria,Lower Secondary Level,Often,0.13365,35,16198,0.10718,0.163
220,220,2008,Bavaria,Upper Secondary Level,Very seldom,0.34698,508,16198,0.32191,0.37007
221,221,2008,Bavaria,Upper Secondary Level,Seldom,0.36087,529,16198,0.33687,0.38836
222,222,2008,Bavaria,Upper Secondary Level,Sometimes,0.20403,282,16198,0.1853,0.22202
223,223,2008,Bavaria,Upper Secondary Level,Often,0.08813,106,16198,0.07535,0.10017
224,224,2008,Bavaria,Post-secondary Non-tertiary Level,Very seldom,0.45781,42,16198,0.36089,0.60407
225,225,2008,Bavaria,Post-secondary Non-tertiary Level,Seldom,0.54219,53,16198,0.4382,0.65879
226,226,2008,Bavaria,First Stage of Tertiary Education,Very seldom,0.42011,80,16198,0.33149,0.50588
227,227,2008,Bavaria,First Stage of Tertiary Education,Seldom,0.32373,65,16198,0.24527,0.40472
228,228,2008,Bavaria,First Stage of Tertiary Education,Sometimes,0.25615,43,16198,0.19143,0.32949
229,229,2008,Bavaria,Second Stage of Tertiary Education,Very seldom,0.44335,240,16198,0.39009,0.49123
230,230,2008,Bavaria,Second Stage of Tertiary Education,Seldom,0.38411,194,16198,0.33664,0.43502
231,231,2008,Bavaria,Second Stage of Tertiary Education,Sometimes,0.17254,91,16198,0.13883,0.20464
232,232,2008,Berlin,Upper Secondary Level,Very seldom,0.3621,97,16198,0.31348,0.41857
233,233,2008,Berlin,Upper Secondary Level,Seldom,0.41792,93,16198,0.36696,0.47838
234,234,2008,Berlin,Upper Secondary Level,Sometimes,0.21998,64,16198,0.18565,0.25847
235,235,2008,Berlin,Second Stage of Tertiary Education,Very seldom,0.41844,96,16198,0.35457,0.49823
236,236,2008,Berlin,Second Stage of Tertiary Education,Seldom,0.39654,105,16198,0.33485,0.46125
237,237,2008,Berlin,Second Stage of Tertiary Education,Sometimes,0.18501,41,16198,0.14164,0.24527
238,238,2008,Brandenburg,Upper Secondary Level,Very seldom,0.40317,153,16198,0.35827,0.44466
239,239,2008,Brandenburg,Upper Secondary Level,Seldom,0.38498,145,16198,0.32518,0.45354
240,240,2008,Brandenburg,Upper Secondary Level,Sometimes,0.21186,68,16198,0.16742,0.25448
241,241,2008,Brandenburg,Second Stage of Tertiary Education,Very seldom,0.3682,94,16198,0.30277,0.44421
242,242,2008,Brandenburg,Second Stage of Tertiary Education,Seldom,0.44645,84,16198,0.36289,0.53152
243,243,2008,Brandenburg,Second Stage of Tertiary Education,Sometimes,0.18534,46,16198,0.13959,0.23455
244,244,2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Very seldom,0.44425,103,16198,0.38657,0.50432
245,245,2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.36322,82,16198,0.29874,0.4283
246,246,2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Sometimes,0.19253,43,16198,0.15681,0.2359
247,247,2008,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Very seldom,0.62679,63,16198,0.51017,0.74575
248,248,2008,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Seldom,0.37321,53,16198,0.29617,0.45714
249,249,2008,Saxony,Upper Secondary Level,Very seldom,0.31531,255,16198,0.28169,0.34929
250,250,2008,Saxony,Upper Secondary Level,Seldom,0.38929,299,16198,0.34799,0.43042
251,251,2008,Saxony,Upper Secondary Level,Sometimes,0.20273,154,16198,0.1733,0.23496
252,252,2008,Saxony,Upper Secondary Level,Often,0.09267,57,16198,0.07222,0.11695
253,253,2008,Saxony,First Stage of Tertiary Education,Very seldom,0.46991,37,16198,0.33885,0.64617
254,254,2008,Saxony,First Stage of Tertiary Education,Seldom,0.53009,53,16198,0.44031,0.65735
255,255,2008,Saxony,Second Stage of Tertiary Education,Very seldom,0.44029,149,16198,0.3654,0.52199
256,256,2008,Saxony,Second Stage of Tertiary Education,Seldom,0.33236,126,16198,0.28868,0.38371
257,257,2008,Saxony,Second Stage of Tertiary Education,Sometimes,0.22735,63,16198,0.1882,0.26927
