year,regtyp,plh0185,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Urban regions,Seldom,0.33982,5943,17606,0.33282,0.34681
2014,Urban regions,Sometimes,0.16811,2902,17606,0.16259,0.17364
2014,Urban regions,Often,0.06298,1038,17606,0.05939,0.06657
2014,Urban regions,Very often,0.01430,294,17606,0.01254,0.01605
2014,Rural regions,Very seldom,0.41002,3987,9391,0.40007,0.41997
2014,Rural regions,Seldom,0.34573,3309,9391,0.33611,0.35535
2014,Rural regions,Sometimes,0.16704,1479,9391,0.15950,0.17458
2014,Rural regions,Often,0.06150,484,9391,0.05664,0.06636
2014,Rural regions,Very often,0.01572,132,9391,0.01320,0.01823
2015,Urban regions,Very seldom,0.41596,6777,16149,0.40835,0.42356
2015,Urban regions,Seldom,0.33994,5557,16149,0.33263,0.34725
2015,Urban regions,Sometimes,0.17013,2618,16149,0.16434,0.17593
2015,Urban regions,Often,0.05881,930,16149,0.05518,0.06244
2015,Urban regions,Very often,0.01516,267,16149,0.01327,0.01704
2015,Rural regions,Very seldom,0.38712,3505,8808,0.37695,0.39729
2015,Rural regions,Seldom,0.35820,3189,8808,0.34818,0.36821
2015,Rural regions,Sometimes,0.18299,1506,8808,0.17491,0.19107
2015,Rural regions,Often,0.05865,492,8808,0.05374,0.06356
2015,Rural regions,Very often,0.01304,116,8808,0.01067,0.01541
2016,Urban regions,Very seldom,0.38743,6149,15635,0.37979,0.39506
2016,Urban regions,Seldom,0.35047,5486,15635,0.34300,0.35795
2016,Urban regions,Sometimes,0.17880,2740,15635,0.17279,0.18480
2016,Urban regions,Often,0.06765,1016,15635,0.06372,0.07159
2016,Urban regions,Very often,0.01565,244,15635,0.01370,0.01760
2016,Rural regions,Very seldom,0.36742,3264,8459,0.35714,0.37769
2016,Rural regions,Seldom,0.35475,3033,8459,0.34456,0.36495
2016,Rural regions,Sometimes,0.18811,1493,8459,0.17978,0.19644
2016,Rural regions,Often,0.07573,538,8459,0.07009,0.08137
2016,Rural regions,Very often,0.01399,131,8459,0.01148,0.01649
2017,Urban regions,Very seldom,0.39964,7029,17053,0.39229,0.40699
2017,Urban regions,Seldom,0.34988,5922,17053,0.34272,0.35704
2017,Urban regions,Sometimes,0.17238,2846,17053,0.16671,0.17805
2017,Urban regions,Often,0.06403,989,17053,0.06036,0.06771
2017,Urban regions,Very often,0.01406,267,17053,0.01230,0.01583
2017,Rural regions,Very seldom,0.38240,3719,9321,0.37253,0.39226
2017,Rural regions,Seldom,0.36494,3414,9321,0.35517,0.37471
2017,Rural regions,Sometimes,0.17760,1530,9321,0.16984,0.18536
2017,Rural regions,Often,0.06206,524,9321,0.05716,0.06696
2017,Rural regions,Very often,0.01300,134,9321,0.01070,0.01530
2018,Urban regions,Very seldom,0.41696,7069,16605,0.40947,0.42446
2018,Urban regions,Seldom,0.34337,5600,16605,0.33614,0.35059
2018,Urban regions,Sometimes,0.16442,2727,16605,0.15878,0.17005
2018,Urban regions,Often,0.05819,940,16605,0.05463,0.06175
2018,Urban regions,Very often,0.01706,269,16605,0.01509,0.01903
2018,Rural regions,Very seldom,0.38972,3701,8919,0.37960,0.39985
2018,Rural regions,Seldom,0.36736,3204,8919,0.35736,0.37737
2018,Rural regions,Sometimes,0.17744,1435,8919,0.16951,0.18537
2018,Rural regions,Often,0.05124,456,8919,0.04666,0.05581
2018,Rural regions,Very often,0.01424,123,8919,0.01178,0.01670
2019,No answer / don't know,Very seldom,0.47576,248,539,0.43356,0.51796
2019,No answer / don't know,Seldom,0.28448,173,539,0.24636,0.32261
2019,No answer / don't know,Sometimes,0.13960,74,539,0.11031,0.16888
2019,No answer / don't know,Often,0.07790,44,539,0.05525,0.10054
2019,Urban regions,Very seldom,0.41759,7186,16359,0.41003,0.42515
2019,Urban regions,Seldom,0.35568,5540,16359,0.34834,0.36301
2019,Urban regions,Sometimes,0.15620,2500,16359,0.15064,0.16176
2019,Urban regions,Often,0.05403,889,16359,0.05057,0.05750
2019,Urban regions,Very often,0.01650,244,16359,0.01455,0.01845
2019,Rural regions,Very seldom,0.40572,3775,8760,0.39543,0.41600
2019,Rural regions,Seldom,0.35056,3069,8760,0.34057,0.36055
2019,Rural regions,Sometimes,0.17397,1376,8760,0.16603,0.18191
2019,Rural regions,Often,0.05540,437,8760,0.05061,0.06019
2019,Rural regions,Very often,0.01435,103,8760,0.01186,0.01684
2020,Urban regions,Very seldom,0.36039,6110,17015,0.35318,0.36760
2020,Urban regions,Seldom,0.33962,5634,17015,0.33250,0.34673
2020,Urban regions,Sometimes,0.20399,3478,17015,0.19793,0.21004
2020,Urban regions,Often,0.07763,1450,17015,0.07361,0.08166
2020,Urban regions,Very often,0.01837,343,17015,0.01635,0.02039
2020,Rural regions,Very seldom,0.34721,3156,8601,0.33715,0.35727
2020,Rural regions,Seldom,0.35140,3017,8601,0.34131,0.36149
2020,Rural regions,Sometimes,0.20325,1636,8601,0.19475,0.21176
2020,Rural regions,Often,0.07592,625,8601,0.07032,0.08152
2020,Rural regions,Very often,0.02221,167,8601,0.01910,0.02533
2021,Urban regions,Very seldom,0.39237,4629,11389,0.38340,0.40134
2021,Urban regions,Seldom,0.36930,4087,11389,0.36044,0.37817
2021,Urban regions,Sometimes,0.16280,1774,11389,0.15602,0.16959
2021,Urban regions,Often,0.06147,718,11389,0.05706,0.06588
2021,Urban regions,Very often,0.01405,181,11389,0.01189,0.01621
2021,Rural regions,Very seldom,0.41289,2508,5783,0.40020,0.42558
2021,Rural regions,Seldom,0.34544,2011,5783,0.33318,0.35770
2021,Rural regions,Sometimes,0.16033,834,5783,0.15087,0.16979
2021,Rural regions,Often,0.06378,346,5783,0.05748,0.07007
2021,Rural regions,Very often,0.01757,84,5783,0.01418,0.02095
2022,Urban regions,Very seldom,0.36062,6000,17692,0.35354,0.36769
2022,Urban regions,Seldom,0.33972,5678,17692,0.33274,0.34670
2022,Urban regions,Sometimes,0.19857,3776,17692,0.19269,0.20445
2022,Urban regions,Often,0.08125,1737,17692,0.07722,0.08527
2022,Urban regions,Very often,0.01985,501,17692,0.01779,0.02190
2022,Rural regions,Very seldom,0.37047,3147,8401,0.36014,0.38080
2022,Rural regions,Seldom,0.34012,2876,8401,0.32999,0.35025
2022,Rural regions,Sometimes,0.19221,1580,8401,0.18378,0.20063
2022,Rural regions,Often,0.07122,611,8401,0.06572,0.07672
2022,Rural regions,Very often,0.02599,187,8401,0.02259,0.02939
