year,bula_h,regtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Hesse,Rural regions,Just Right,0.85274,51,51,0.75452,0.95096
1986,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.09112,31,258,0.05594,0.12631
1986,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.78764,227,258,0.73764,0.83765
1986,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.77396,47,47,0.65309,0.89483
1986,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.08826,96,731,0.06768,0.10884
1986,Baden-Wuerttemberg,Urban regions,Just Right,0.80550,597,731,0.77679,0.83422
1986,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.07043,38,731,0.05186,0.08899
1986,Baden-Wuerttemberg,Rural regions,Just Right,0.76722,99,99,0.68355,0.85090
1986,Bavaria,Urban regions,A Bit Too Small,0.13738,76,442,0.10525,0.16951
1986,Bavaria,Urban regions,Just Right,0.73358,327,442,0.69232,0.77484
1986,Bavaria,Urban regions,A Bit Too Large,0.09035,39,442,0.06359,0.11711
1986,Bavaria,Rural regions,A Bit Too Small,0.10425,44,329,0.07118,0.13732
1986,Bavaria,Rural regions,Just Right,0.77212,285,329,0.72673,0.81752
1986,Berlin,Urban regions,A Bit Too Small,0.18850,40,181,0.13136,0.24563
1986,Berlin,Urban regions,Just Right,0.75108,141,181,0.68791,0.81425
1987,Schleswig-Holstein,Urban regions,Just Right,0.79216,62,62,0.69033,0.89399
1987,Schleswig-Holstein,Rural regions,Just Right,0.74826,64,64,0.64108,0.85543
1987,Hamburg,Urban regions,Just Right,0.76550,94,94,0.67939,0.85161
1987,Lower Saxony,Urban regions,Just Right,0.80980,202,202,0.75555,0.86406
1987,Lower Saxony,Rural regions,Just Right,0.76777,198,230,0.71307,0.82246
1987,Lower Saxony,Rural regions,A Bit Too Large,0.13361,32,230,0.08955,0.17768
1987,Bremen,Urban regions,Just Right,0.85485,47,47,0.75306,0.95665
1987,North Rhine-Westphalia,Urban regions,Much Too Small,0.01973,32,1301,0.01217,0.02729
1987,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.11117,181,1301,0.09408,0.12825
1987,North Rhine-Westphalia,Urban regions,Just Right,0.78660,1012,1301,0.76432,0.80887
1987,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.07219,76,1301,0.05812,0.08626
1987,Hesse,Urban regions,A Bit Too Small,0.14624,79,378,0.11057,0.18191
1987,Hesse,Urban regions,Just Right,0.73417,299,378,0.68957,0.77876
1987,Hesse,Rural regions,Just Right,0.82616,46,46,0.71544,0.93689
1987,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.08283,31,256,0.04900,0.11665
1987,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.78217,225,256,0.73151,0.83283
1987,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.80187,48,48,0.68792,0.91583
1987,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.08747,93,727,0.06692,0.10802
1987,Baden-Wuerttemberg,Urban regions,Just Right,0.82600,599,727,0.79842,0.85358
1987,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.06577,35,727,0.04774,0.08380
1987,Baden-Wuerttemberg,Rural regions,Just Right,0.77067,101,101,0.68827,0.85307
1987,Bavaria,Urban regions,A Bit Too Small,0.14253,76,444,0.10998,0.17509
1987,Bavaria,Urban regions,Just Right,0.74994,334,444,0.70962,0.79027
1987,Bavaria,Urban regions,A Bit Too Large,0.07756,34,444,0.05265,0.10247
1987,Bavaria,Rural regions,A Bit Too Small,0.10545,43,329,0.07221,0.13869
1987,Bavaria,Rural regions,Just Right,0.79187,286,329,0.74794,0.83581
1987,Berlin,Urban regions,A Bit Too Small,0.17472,37,178,0.11878,0.23067
1987,Berlin,Urban regions,Just Right,0.74242,141,178,0.67799,0.80684
1988,Schleswig-Holstein,Urban regions,Just Right,0.77491,59,59,0.66742,0.88239
1988,Schleswig-Holstein,Rural regions,Just Right,0.72715,63,63,0.61628,0.83803
1988,Hamburg,Urban regions,Just Right,0.80762,92,92,0.72664,0.88861
1988,Lower Saxony,Urban regions,Just Right,0.81842,199,199,0.76472,0.87211
1988,Lower Saxony,Rural regions,Just Right,0.78267,188,188,0.72356,0.84178
1988,Bremen,Urban regions,Just Right,0.81841,45,45,0.70450,0.93232
1988,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.11340,170,1212,0.09554,0.13126
1988,North Rhine-Westphalia,Urban regions,Just Right,0.79225,972,1212,0.76940,0.81510
1988,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.06700,70,1212,0.05292,0.08108
1988,Hesse,Urban regions,A Bit Too Small,0.13182,72,356,0.09663,0.16701
1988,Hesse,Urban regions,Just Right,0.73819,284,356,0.69245,0.78392
1988,Hesse,Rural regions,Just Right,0.81718,46,46,0.70425,0.93012
1988,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.78248,222,222,0.72809,0.83688
1988,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.80850,42,42,0.68805,0.92894
1988,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.09579,90,690,0.07381,0.11776
1988,Baden-Wuerttemberg,Urban regions,Just Right,0.82487,600,690,0.79649,0.85325
1988,Baden-Wuerttemberg,Rural regions,Just Right,0.77899,94,94,0.69466,0.86332
1988,Bavaria,Urban regions,A Bit Too Small,0.13374,70,434,0.10168,0.16580
1988,Bavaria,Urban regions,Just Right,0.75042,328,434,0.70966,0.79118
1988,Bavaria,Urban regions,A Bit Too Large,0.08970,36,434,0.06279,0.11662
1988,Bavaria,Rural regions,A Bit Too Small,0.09770,40,312,0.06470,0.13069
1988,Bavaria,Rural regions,Just Right,0.80012,272,312,0.75568,0.84457
1988,Berlin,Urban regions,A Bit Too Small,0.18701,36,170,0.12822,0.24580
1988,Berlin,Urban regions,Just Right,0.74606,134,170,0.68044,0.81169
1989,Schleswig-Holstein,Urban regions,Just Right,0.70482,58,58,0.58641,0.82324
1989,Schleswig-Holstein,Rural regions,Just Right,0.75708,57,57,0.64476,0.86940
1989,Hamburg,Urban regions,Just Right,0.77222,88,88,0.68409,0.86035
1989,Lower Saxony,Urban regions,Just Right,0.80310,195,195,0.74714,0.85906
1989,Lower Saxony,Rural regions,Just Right,0.75962,178,211,0.70183,0.81742
1989,Lower Saxony,Rural regions,A Bit Too Large,0.15775,33,211,0.10845,0.20705
1989,Bremen,Urban regions,Just Right,0.83200,48,48,0.72511,0.93889
1989,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.11350,160,1176,0.09536,0.13163
1989,North Rhine-Westphalia,Urban regions,Just Right,0.79912,954,1176,0.77621,0.82203
1989,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.06273,62,1176,0.04886,0.07659
1989,Hesse,Urban regions,A Bit Too Small,0.14008,78,367,0.10452,0.17564
1989,Hesse,Urban regions,Just Right,0.74171,289,367,0.69686,0.78655
1989,Hesse,Rural regions,Just Right,0.83559,45,45,0.72607,0.94511
1989,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.79649,218,218,0.74292,0.85006
1989,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.75856,35,35,0.61471,0.90241
1989,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.07725,79,658,0.05683,0.09766
1989,Baden-Wuerttemberg,Urban regions,Just Right,0.84457,579,658,0.81687,0.87228
1989,Baden-Wuerttemberg,Rural regions,Just Right,0.82346,91,91,0.74469,0.90224
1989,Bavaria,Urban regions,A Bit Too Small,0.13848,69,417,0.10529,0.17167
1989,Bavaria,Urban regions,Just Right,0.74536,314,417,0.70349,0.78723
1989,Bavaria,Urban regions,A Bit Too Large,0.08478,34,417,0.05802,0.11155
1989,Bavaria,Rural regions,A Bit Too Small,0.10133,43,310,0.06768,0.13497
1989,Bavaria,Rural regions,Just Right,0.78863,267,310,0.74311,0.83415
1989,Berlin,Urban regions,A Bit Too Small,0.18765,34,165,0.12789,0.24740
1989,Berlin,Urban regions,Just Right,0.73447,131,165,0.66688,0.80206
1990,Schleswig-Holstein,Urban regions,Just Right,0.74367,59,59,0.63131,0.85604
1990,Schleswig-Holstein,Rural regions,Just Right,0.75038,54,54,0.63386,0.86690
1990,Hamburg,Urban regions,Just Right,0.76940,82,82,0.67767,0.86113
1990,Lower Saxony,Urban regions,Just Right,0.79631,192,192,0.73919,0.85342
1990,Lower Saxony,Rural regions,Just Right,0.75515,178,178,0.69180,0.81850
1990,Bremen,Urban regions,Just Right,0.84265,46,46,0.73626,0.94904
1990,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.11073,145,1150,0.09259,0.12887
1990,North Rhine-Westphalia,Urban regions,Just Right,0.80728,948,1150,0.78447,0.83009
1990,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.05736,57,1150,0.04392,0.07081
1990,Hesse,Urban regions,A Bit Too Small,0.14733,73,358,0.11057,0.18410
1990,Hesse,Urban regions,Just Right,0.74789,285,358,0.70285,0.79294
1990,Hesse,Rural regions,Just Right,0.82627,46,46,0.71557,0.93697
1990,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.78714,212,212,0.73190,0.84237
1990,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.78205,37,37,0.64719,0.91692
1990,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.07761,77,652,0.05705,0.09816
1990,Baden-Wuerttemberg,Urban regions,Just Right,0.83992,575,652,0.81175,0.86809
1990,Baden-Wuerttemberg,Rural regions,Just Right,0.81161,91,91,0.73083,0.89240
1990,Bavaria,Urban regions,A Bit Too Small,0.12898,61,413,0.09661,0.16134
1990,Bavaria,Urban regions,Just Right,0.76187,320,413,0.72074,0.80300
1990,Bavaria,Urban regions,A Bit Too Large,0.08189,32,413,0.05541,0.10836
1990,Bavaria,Rural regions,A Bit Too Small,0.10507,46,319,0.07137,0.13877
1990,Bavaria,Rural regions,Just Right,0.78564,273,319,0.74053,0.83074
1990,Berlin,Urban regions,A Bit Too Small,0.19900,70,307,0.15427,0.24373
1990,Berlin,Urban regions,Just Right,0.72338,237,307,0.67326,0.77350
1990,Brandenburg,Rural regions,A Bit Too Small,0.18397,71,269,0.13758,0.23036
1990,Brandenburg,Rural regions,Just Right,0.67012,198,269,0.61383,0.72641
1990,Mecklenburg-Western Pomerania,Rural regions,A Bit Too Small,0.20208,42,169,0.14136,0.26280
1990,Mecklenburg-Western Pomerania,Rural regions,Just Right,0.65394,127,169,0.58200,0.72588
1990,Saxony,Urban regions,A Bit Too Small,0.26257,100,295,0.21227,0.31287
1990,Saxony,Urban regions,Just Right,0.60543,195,295,0.54956,0.66130
1990,Saxony,Rural regions,A Bit Too Small,0.19017,70,269,0.14318,0.23715
1990,Saxony,Rural regions,Just Right,0.70576,199,269,0.65120,0.76032
1990,Saxony-Anhalt,Urban regions,Just Right,0.70060,54,54,0.57729,0.82390
1990,Saxony-Anhalt,Rural regions,A Bit Too Small,0.19359,72,273,0.14664,0.24055
1990,Saxony-Anhalt,Rural regions,Just Right,0.70959,201,273,0.65564,0.76354
1990,Thuringa,Urban regions,Just Right,0.69359,74,74,0.58783,0.79934
1990,Thuringa,Rural regions,A Bit Too Small,0.22459,58,217,0.16894,0.28024
1990,Thuringa,Rural regions,Just Right,0.66615,159,217,0.60326,0.72904
1991,Schleswig-Holstein,Urban regions,Just Right,0.78455,55,55,0.67489,0.89421
1991,Schleswig-Holstein,Rural regions,Just Right,0.65329,51,51,0.52137,0.78521
1991,Hamburg,Urban regions,Just Right,0.82300,78,78,0.73775,0.90825
1991,Lower Saxony,Urban regions,A Bit Too Small,0.15493,42,222,0.10722,0.20263
1991,Lower Saxony,Urban regions,Just Right,0.75361,180,222,0.69679,0.81042
1991,Lower Saxony,Rural regions,A Bit Too Small,0.17710,43,215,0.12595,0.22825
1991,Lower Saxony,Rural regions,Just Right,0.62688,141,215,0.56208,0.69168
1991,Lower Saxony,Rural regions,A Bit Too Large,0.16494,31,215,0.11522,0.21467
1991,Bremen,Urban regions,Just Right,0.79946,44,44,0.67978,0.91914
1991,North Rhine-Westphalia,Urban regions,Much Too Small,0.03209,50,1191,0.02207,0.04210
1991,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.16826,230,1191,0.14701,0.18952
1991,North Rhine-Westphalia,Urban regions,Just Right,0.72847,847,1191,0.70320,0.75374
1991,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.06437,64,1191,0.05043,0.07831
1991,Hesse,Urban regions,A Bit Too Small,0.16440,87,334,0.12459,0.20421
1991,Hesse,Urban regions,Just Right,0.68543,247,334,0.63555,0.73530
1991,Hesse,Rural regions,Just Right,0.76852,43,43,0.64096,0.89608
1991,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.13343,36,237,0.09005,0.17682
1991,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.72772,201,237,0.67093,0.78451
1991,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.80261,45,45,0.68500,0.92022
1991,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.15281,117,637,0.12485,0.18077
1991,Baden-Wuerttemberg,Urban regions,Just Right,0.76758,520,637,0.73475,0.80041
1991,Baden-Wuerttemberg,Rural regions,Just Right,0.76787,84,84,0.67704,0.85870
1991,Bavaria,Urban regions,A Bit Too Small,0.14472,69,402,0.11028,0.17915
1991,Bavaria,Urban regions,Just Right,0.72615,296,402,0.68250,0.76979
1991,Bavaria,Urban regions,A Bit Too Large,0.09425,37,402,0.06566,0.12285
1991,Bavaria,Rural regions,A Bit Too Small,0.12942,56,319,0.09253,0.16631
1991,Bavaria,Rural regions,Just Right,0.76427,263,319,0.71762,0.81092
1991,Berlin,Urban regions,A Bit Too Small,0.19973,65,277,0.15256,0.24689
1991,Berlin,Urban regions,Just Right,0.71018,212,277,0.65666,0.76371
1991,Brandenburg,Rural regions,A Bit Too Small,0.18004,67,257,0.13297,0.22711
1991,Brandenburg,Rural regions,Just Right,0.68234,190,257,0.62531,0.73937
1991,Mecklenburg-Western Pomerania,Rural regions,A Bit Too Small,0.16113,33,164,0.10469,0.21757
1991,Mecklenburg-Western Pomerania,Rural regions,Just Right,0.70582,131,164,0.63586,0.77577
1991,Saxony,Urban regions,A Bit Too Small,0.22684,74,264,0.17623,0.27746
1991,Saxony,Urban regions,Just Right,0.65258,190,264,0.59503,0.71013
1991,Saxony,Rural regions,A Bit Too Small,0.17329,58,248,0.12609,0.22050
1991,Saxony,Rural regions,Just Right,0.71491,190,248,0.65861,0.77122
1991,Saxony-Anhalt,Urban regions,Just Right,0.69221,48,48,0.56025,0.82418
1991,Saxony-Anhalt,Rural regions,A Bit Too Small,0.17623,60,262,0.13000,0.22245
1991,Saxony-Anhalt,Rural regions,Just Right,0.75189,202,262,0.69949,0.80429
1991,Thuringa,Urban regions,Just Right,0.81830,78,78,0.73217,0.90443
1991,Thuringa,Rural regions,A Bit Too Small,0.19497,41,209,0.14113,0.24881
1991,Thuringa,Rural regions,Just Right,0.73494,168,209,0.67496,0.79492
1992,Schleswig-Holstein,Urban regions,Just Right,0.74177,53,53,0.62281,0.86073
1992,Schleswig-Holstein,Rural regions,Just Right,0.63813,46,46,0.49772,0.77853
1992,Hamburg,Urban regions,Just Right,0.74214,64,64,0.63411,0.85016
1992,Lower Saxony,Urban regions,A Bit Too Small,0.16151,46,220,0.11277,0.21025
1992,Lower Saxony,Urban regions,Just Right,0.70430,174,220,0.64386,0.76474
1992,Lower Saxony,Rural regions,A Bit Too Small,0.12785,34,196,0.08098,0.17472
1992,Lower Saxony,Rural regions,Just Right,0.70724,162,196,0.64338,0.77111
1992,Bremen,Urban regions,Just Right,0.67789,36,36,0.52308,0.83271
1992,North Rhine-Westphalia,Urban regions,Much Too Small,0.02931,51,1188,0.01971,0.03890
1992,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.15712,223,1188,0.13642,0.17782
1992,North Rhine-Westphalia,Urban regions,Just Right,0.72949,846,1188,0.70422,0.75476
1992,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.07610,68,1188,0.06101,0.09118
1992,Hesse,Urban regions,A Bit Too Small,0.15541,83,339,0.11679,0.19404
1992,Hesse,Urban regions,Just Right,0.72810,256,339,0.68066,0.77553
1992,Hesse,Rural regions,Just Right,0.78902,47,47,0.67112,0.90693
1992,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.17118,52,250,0.12439,0.21796
1992,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.72783,198,250,0.67254,0.78311
1992,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.78519,40,40,0.65629,0.91408
1992,Baden-Wuerttemberg,Urban regions,Much Too Small,0.02649,40,692,0.01452,0.03847
1992,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.14194,112,692,0.11592,0.16796
1992,Baden-Wuerttemberg,Urban regions,Just Right,0.75463,506,692,0.72255,0.78672
1992,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.06938,34,692,0.05043,0.08832
1992,Baden-Wuerttemberg,Rural regions,Just Right,0.72839,77,77,0.62839,0.82839
1992,Bavaria,Urban regions,A Bit Too Small,0.16229,79,389,0.12560,0.19898
1992,Bavaria,Urban regions,Just Right,0.73102,310,389,0.68689,0.77514
1992,Bavaria,Rural regions,A Bit Too Small,0.10943,56,334,0.07590,0.14296
1992,Bavaria,Rural regions,Just Right,0.78493,278,334,0.74080,0.82906
1992,Berlin,Urban regions,A Bit Too Small,0.22539,70,278,0.17618,0.27459
1992,Berlin,Urban regions,Just Right,0.69443,208,278,0.64018,0.74868
1992,Brandenburg,Rural regions,A Bit Too Small,0.18241,67,241,0.13355,0.23126
1992,Brandenburg,Rural regions,Just Right,0.68518,174,241,0.62642,0.74394
1992,Mecklenburg-Western Pomerania,Rural regions,Just Right,0.75199,121,121,0.67472,0.82925
1992,Saxony,Urban regions,A Bit Too Small,0.21327,72,256,0.16299,0.26354
1992,Saxony,Urban regions,Just Right,0.66485,184,256,0.60691,0.72279
1992,Saxony,Rural regions,A Bit Too Small,0.16192,51,238,0.11502,0.20882
1992,Saxony,Rural regions,Just Right,0.74653,187,238,0.69115,0.80191
1992,Saxony-Anhalt,Urban regions,Just Right,0.66542,51,51,0.53463,0.79621
1992,Saxony-Anhalt,Rural regions,A Bit Too Small,0.14671,54,241,0.10195,0.19148
1992,Saxony-Anhalt,Rural regions,Just Right,0.72562,187,241,0.66917,0.78208
1992,Thuringa,Urban regions,Just Right,0.77112,70,70,0.67199,0.87025
1992,Thuringa,Rural regions,A Bit Too Small,0.14000,31,208,0.09273,0.18727
1992,Thuringa,Rural regions,Just Right,0.78225,177,208,0.72603,0.83848
1993,Schleswig-Holstein,Urban regions,Just Right,0.66971,51,51,0.53935,0.80008
1993,Schleswig-Holstein,Rural regions,Just Right,0.67004,52,52,0.54099,0.79909
1993,Hamburg,Urban regions,Just Right,0.77605,66,66,0.67470,0.87740
1993,Lower Saxony,Urban regions,A Bit Too Small,0.10587,35,220,0.06512,0.14662
1993,Lower Saxony,Urban regions,Just Right,0.75354,185,220,0.69647,0.81062
1993,Lower Saxony,Rural regions,A Bit Too Small,0.13358,36,237,0.09017,0.17698
1993,Lower Saxony,Rural regions,Just Right,0.68020,169,237,0.62070,0.73971
1993,Lower Saxony,Rural regions,A Bit Too Large,0.16371,32,237,0.11650,0.21092
1993,Bremen,Urban regions,Just Right,0.72776,40,40,0.58807,0.86746
1993,North Rhine-Westphalia,Urban regions,Much Too Small,0.03026,58,1199,0.02056,0.03997
1993,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.17193,246,1199,0.15056,0.19329
1993,North Rhine-Westphalia,Urban regions,Just Right,0.70837,817,1199,0.68263,0.73410
1993,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.08287,78,1199,0.06726,0.09848
1993,Hesse,Urban regions,A Bit Too Small,0.16724,80,367,0.12900,0.20547
1993,Hesse,Urban regions,Just Right,0.70275,253,367,0.65592,0.74957
1993,Hesse,Urban regions,A Bit Too Large,0.10581,34,367,0.07430,0.13732
1993,Hesse,Rural regions,Just Right,0.84145,49,49,0.73812,0.94478
1993,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.13519,38,236,0.09148,0.17891
1993,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.75083,198,236,0.69553,0.80613
1993,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.70304,38,38,0.55581,0.85027
1993,Baden-Wuerttemberg,Urban regions,Much Too Small,0.03219,39,695,0.01905,0.04532
1993,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.12217,109,695,0.09781,0.14654
1993,Baden-Wuerttemberg,Urban regions,Just Right,0.77024,512,695,0.73895,0.80154
1993,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.06657,35,695,0.04803,0.08512
1993,Baden-Wuerttemberg,Rural regions,Just Right,0.74412,80,80,0.64790,0.84034
1993,Bavaria,Urban regions,A Bit Too Small,0.18720,84,425,0.15007,0.22432
1993,Bavaria,Urban regions,Just Right,0.70786,309,425,0.66457,0.75114
1993,Bavaria,Urban regions,A Bit Too Large,0.08533,32,425,0.05874,0.11193
1993,Bavaria,Rural regions,A Bit Too Small,0.11748,54,333,0.08285,0.15212
1993,Bavaria,Rural regions,Just Right,0.78028,279,333,0.73574,0.82482
1993,Berlin,Urban regions,A Bit Too Small,0.24118,66,278,0.19080,0.29156
1993,Berlin,Urban regions,Just Right,0.66784,212,278,0.61237,0.72330
1993,Brandenburg,Rural regions,A Bit Too Small,0.15914,62,246,0.11334,0.20495
1993,Brandenburg,Rural regions,Just Right,0.70877,184,246,0.65188,0.76566
1993,Mecklenburg-Western Pomerania,Rural regions,Just Right,0.76239,127,127,0.68807,0.83671
