year,rentown,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,Owner,West,A Bit Too Small,0.06417,124,1674,0.05243,0.07592
1989,Owner,West,Just Right,0.79405,1369,1674,0.77467,0.81343
1989,Owner,West,A Bit Too Large,0.12101,181,1674,0.10538,0.13664
1989,Tenant,West,Much Too Small,0.02216,99,2903,0.01681,0.02752
1989,Tenant,West,A Bit Too Small,0.13401,467,2903,0.12162,0.14641
1989,Tenant,West,Just Right,0.78488,2203,2903,0.76993,0.79983
1989,Tenant,West,A Bit Too Large,0.05513,134,2903,0.04683,0.06343
1990,Owner,West,A Bit Too Small,0.05990,119,1700,0.04862,0.07119
1990,Owner,West,Just Right,0.80599,1405,1700,0.78718,0.82479
1990,Owner,West,A Bit Too Large,0.11466,176,1700,0.09951,0.12982
1990,Owner,East,A Bit Too Small,0.08873,67,605,0.06605,0.11141
1990,Owner,East,Just Right,0.82413,507,605,0.79377,0.85450
1990,Owner,East,A Bit Too Large,0.06036,31,605,0.04137,0.07936
1990,Tenant,West,Much Too Small,0.02277,99,2817,0.01726,0.02828
1990,Tenant,West,A Bit Too Small,0.14182,451,2817,0.12894,0.15471
1990,Tenant,West,Just Right,0.78120,2148,2817,0.76593,0.79647
1990,Tenant,West,A Bit Too Large,0.05068,119,2817,0.04258,0.05878
1990,Tenant,East,Much Too Small,0.07491,136,1513,0.06164,0.08818
1990,Tenant,East,A Bit Too Small,0.25553,454,1513,0.23355,0.27752
1990,Tenant,East,Just Right,0.61437,868,1513,0.58984,0.63891
1990,Tenant,East,A Bit Too Large,0.04315,55,1513,0.03291,0.05339
1991,Owner,West,A Bit Too Small,0.07771,149,1684,0.06492,0.09050
1991,Owner,West,Just Right,0.77847,1345,1684,0.75863,0.79831
1991,Owner,West,A Bit Too Large,0.12843,190,1684,0.11245,0.14441
1991,Owner,East,A Bit Too Small,0.08501,58,574,0.06217,0.10785
1991,Owner,East,Just Right,0.82058,478,574,0.78916,0.85199
1991,Owner,East,A Bit Too Large,0.07582,38,574,0.05415,0.09749
1991,Tenant,West,Much Too Small,0.03670,160,2807,0.02974,0.04365
1991,Tenant,West,A Bit Too Small,0.20376,649,2807,0.18886,0.21866
1991,Tenant,West,Just Right,0.69955,1881,2807,0.68258,0.71651
1991,Tenant,West,A Bit Too Large,0.05547,117,2807,0.04700,0.06394
1991,Tenant,East,Much Too Small,0.04854,83,1374,0.03717,0.05991
1991,Tenant,East,A Bit Too Small,0.21884,355,1374,0.19697,0.24071
1991,Tenant,East,Just Right,0.66948,875,1374,0.64460,0.69437
1991,Tenant,East,A Bit Too Large,0.04986,61,1374,0.03835,0.06138
1992,Owner,West,A Bit Too Small,0.07531,155,1704,0.06277,0.08784
1992,Owner,West,Just Right,0.78601,1371,1704,0.76653,0.80548
1992,Owner,West,A Bit Too Large,0.11945,178,1704,0.10405,0.13485
1992,Owner,East,A Bit Too Small,0.07801,53,547,0.05552,0.10051
1992,Owner,East,Just Right,0.79599,441,547,0.76219,0.82979
1992,Owner,East,A Bit Too Large,0.10745,53,547,0.08147,0.13342
1992,Tenant,West,Much Too Small,0.03879,174,2814,0.03165,0.04592
1992,Tenant,West,A Bit Too Small,0.20781,665,2814,0.19281,0.22280
1992,Tenant,West,Just Right,0.69289,1855,2814,0.67585,0.70994
1992,Tenant,West,A Bit Too Large,0.05770,120,2814,0.04909,0.06632
1992,Tenant,East,Much Too Small,0.03299,60,1369,0.02353,0.04246
1992,Tenant,East,A Bit Too Small,0.21701,350,1369,0.19517,0.23886
1992,Tenant,East,Just Right,0.67761,872,1369,0.65284,0.70238
1992,Tenant,East,A Bit Too Large,0.06719,87,1369,0.05393,0.08046
1993,Owner,West,A Bit Too Small,0.07852,165,1700,0.06573,0.09131
1993,Owner,West,Just Right,0.76598,1329,1700,0.74585,0.78611
1993,Owner,West,A Bit Too Large,0.13603,206,1700,0.11973,0.15233
1993,Owner,East,A Bit Too Small,0.07855,52,540,0.05584,0.10126
1993,Owner,East,Just Right,0.81969,443,540,0.78723,0.85214
1993,Owner,East,A Bit Too Large,0.09145,45,540,0.06712,0.11579
1993,Tenant,West,Much Too Small,0.03918,178,2855,0.03207,0.04630
1993,Tenant,West,A Bit Too Small,0.20791,649,2855,0.19302,0.22279
1993,Tenant,West,Just Right,0.69746,1900,2855,0.68061,0.71431
1993,Tenant,West,A Bit Too Large,0.05254,128,2855,0.04436,0.06073
1993,Tenant,East,Much Too Small,0.03169,47,1306,0.02218,0.04119
1993,Tenant,East,A Bit Too Small,0.22445,333,1306,0.20181,0.24709
1993,Tenant,East,Just Right,0.66089,836,1306,0.63520,0.68657
1993,Tenant,East,A Bit Too Large,0.07442,90,1306,0.06018,0.08866
1994,Owner,West,A Bit Too Small,0.07671,153,1710,0.06409,0.08933
1994,Owner,West,Just Right,0.76456,1345,1710,0.74445,0.78468
1994,Owner,West,A Bit Too Large,0.13984,212,1710,0.12340,0.15629
1994,Owner,East,A Bit Too Small,0.07912,51,536,0.05625,0.10199
1994,Owner,East,Just Right,0.77982,433,536,0.74471,0.81494
1994,Owner,East,A Bit Too Large,0.11113,52,536,0.08449,0.13776
1994,Tenant,West,Much Too Small,0.03433,158,2766,0.02754,0.04111
1994,Tenant,West,A Bit Too Small,0.19829,608,2766,0.18343,0.21315
1994,Tenant,West,Just Right,0.70553,1873,2766,0.68854,0.72252
1994,Tenant,West,A Bit Too Large,0.05762,127,2766,0.04894,0.06631
1994,Tenant,East,Much Too Small,0.03633,57,1277,0.02606,0.04660
1994,Tenant,East,A Bit Too Small,0.22225,311,1277,0.19944,0.24506
1994,Tenant,East,Just Right,0.66570,822,1277,0.63981,0.69158
1994,Tenant,East,A Bit Too Large,0.07069,87,1277,0.05663,0.08476
1995,Owner,West,A Bit Too Small,0.07160,146,1741,0.05949,0.08372
1995,Owner,West,Just Right,0.75185,1367,1741,0.73156,0.77215
1995,Owner,West,A Bit Too Large,0.15541,228,1741,0.13839,0.17244
1995,Owner,East,A Bit Too Small,0.07950,49,549,0.05685,0.10215
1995,Owner,East,Just Right,0.77880,438,549,0.74405,0.81355
1995,Owner,East,A Bit Too Large,0.13144,62,549,0.10315,0.15973
1995,Tenant,West,Much Too Small,0.03599,155,3002,0.02933,0.04266
1995,Tenant,West,A Bit Too Small,0.20477,684,3002,0.19034,0.21921
1995,Tenant,West,Just Right,0.69666,2017,3002,0.68022,0.71311
1995,Tenant,West,A Bit Too Large,0.05798,146,3002,0.04962,0.06634
1995,Tenant,East,Much Too Small,0.03082,52,1254,0.02125,0.04039
1995,Tenant,East,A Bit Too Small,0.22159,298,1254,0.19859,0.24459
1995,Tenant,East,Just Right,0.66980,819,1254,0.64377,0.69584
1995,Tenant,East,A Bit Too Large,0.07070,85,1254,0.05651,0.08490
1996,Owner,West,A Bit Too Small,0.07973,159,1759,0.06706,0.09239
1996,Owner,West,Just Right,0.72597,1343,1759,0.70512,0.74682
1996,Owner,West,A Bit Too Large,0.17386,257,1759,0.15615,0.19158
1996,Owner,East,A Bit Too Small,0.07270,41,569,0.05135,0.09405
1996,Owner,East,Just Right,0.80163,477,569,0.76884,0.83443
1996,Owner,East,A Bit Too Large,0.10904,51,569,0.08341,0.13468
1996,Tenant,West,Much Too Small,0.02638,131,2933,0.02058,0.03218
1996,Tenant,West,A Bit Too Small,0.19756,637,2933,0.18315,0.21198
1996,Tenant,West,Just Right,0.70577,2013,2933,0.68928,0.72227
1996,Tenant,West,A Bit Too Large,0.06522,152,2933,0.05629,0.07416
1996,Tenant,East,Much Too Small,0.03697,50,1241,0.02647,0.04747
1996,Tenant,East,A Bit Too Small,0.21609,300,1241,0.19318,0.23900
1996,Tenant,East,Just Right,0.67063,807,1241,0.64447,0.69679
1996,Tenant,East,A Bit Too Large,0.07201,84,1241,0.05762,0.08640
1997,Owner,West,A Bit Too Small,0.08500,177,1799,0.07211,0.09789
1997,Owner,West,Just Right,0.73281,1381,1799,0.71236,0.75326
1997,Owner,West,A Bit Too Large,0.16328,241,1799,0.14619,0.18036
1997,Owner,East,A Bit Too Small,0.07762,48,586,0.05594,0.09930
1997,Owner,East,Just Right,0.79265,483,586,0.75980,0.82551
1997,Owner,East,A Bit Too Large,0.11311,55,586,0.08745,0.13878
1997,Tenant,West,Much Too Small,0.02506,102,2846,0.01931,0.03080
1997,Tenant,West,A Bit Too Small,0.20500,626,2846,0.19017,0.21984
1997,Tenant,West,Just Right,0.69984,1978,2846,0.68299,0.71668
1997,Tenant,West,A Bit Too Large,0.06730,140,2846,0.05809,0.07650
1997,Tenant,East,Much Too Small,0.03120,42,1215,0.02142,0.04098
1997,Tenant,East,A Bit Too Small,0.21064,267,1215,0.18770,0.23358
1997,Tenant,East,Just Right,0.67535,822,1215,0.64901,0.70169
1997,Tenant,East,A Bit Too Large,0.07764,84,1215,0.06259,0.09270
1998,Owner,West,A Bit Too Small,0.08503,198,2162,0.07327,0.09679
1998,Owner,West,Just Right,0.72655,1615,2162,0.70776,0.74535
1998,Owner,West,A Bit Too Large,0.16046,311,2162,0.14499,0.17594
1998,Owner,West,Much Too Large,0.02129,38,2162,0.01521,0.02738
1998,Owner,East,A Bit Too Small,0.06207,44,670,0.04379,0.08036
1998,Owner,East,Just Right,0.76234,543,670,0.73009,0.79460
1998,Owner,East,A Bit Too Large,0.14967,83,670,0.12264,0.17671
1998,Tenant,West,Much Too Small,0.03686,134,3129,0.03026,0.04346
1998,Tenant,West,A Bit Too Small,0.18549,639,3129,0.17187,0.19912
1998,Tenant,West,Just Right,0.70689,2187,3129,0.69093,0.72284
1998,Tenant,West,A Bit Too Large,0.06726,169,3129,0.05848,0.07603
1998,Tenant,East,Much Too Small,0.02391,40,1268,0.01549,0.03232
1998,Tenant,East,A Bit Too Small,0.20687,270,1268,0.18456,0.22917
1998,Tenant,East,Just Right,0.67311,849,1268,0.64729,0.69894
1998,Tenant,East,A Bit Too Large,0.09488,109,1268,0.07874,0.11102
1999,Owner,West,A Bit Too Small,0.08924,199,2132,0.07714,0.10135
1999,Owner,West,Just Right,0.73651,1643,2132,0.71780,0.75521
1999,Owner,West,A Bit Too Large,0.15821,290,2132,0.14272,0.17371
1999,Owner,East,A Bit Too Small,0.06335,47,674,0.04495,0.08175
1999,Owner,East,Just Right,0.79455,555,674,0.76403,0.82508
1999,Owner,East,A Bit Too Large,0.12863,72,674,0.10334,0.15393
1999,Tenant,West,Much Too Small,0.02734,106,3008,0.02151,0.03317
1999,Tenant,West,A Bit Too Small,0.18991,624,3008,0.17589,0.20393
1999,Tenant,West,Just Right,0.71817,2115,3008,0.70209,0.73425
1999,Tenant,West,A Bit Too Large,0.06137,163,3008,0.05279,0.06995
1999,Tenant,East,A Bit Too Small,0.18780,247,1212,0.16580,0.20980
1999,Tenant,East,Just Right,0.72950,883,1212,0.70448,0.75452
1999,Tenant,East,A Bit Too Large,0.06481,82,1212,0.05094,0.07868
2000,Owner,West,A Bit Too Small,0.07120,336,4613,0.06378,0.07862
2000,Owner,West,Just Right,0.75356,3557,4613,0.74112,0.76600
2000,Owner,West,A Bit Too Large,0.14829,642,4613,0.13804,0.15855
2000,Owner,West,Much Too Large,0.02228,78,4613,0.01802,0.02654
2000,Owner,East,A Bit Too Small,0.05876,76,1135,0.04507,0.07245
2000,Owner,East,Just Right,0.78675,916,1135,0.76291,0.81059
2000,Owner,East,A Bit Too Large,0.13568,143,1135,0.11575,0.15561
2000,Tenant,West,Much Too Small,0.02812,168,5163,0.02361,0.03263
2000,Tenant,West,A Bit Too Small,0.19097,1047,5163,0.18025,0.20169
2000,Tenant,West,Just Right,0.72337,3690,5163,0.71117,0.73558
2000,Tenant,West,A Bit Too Large,0.05534,258,5163,0.04910,0.06157
2000,Tenant,East,Much Too Small,0.02525,42,1910,0.01821,0.03228
2000,Tenant,East,A Bit Too Small,0.16581,346,1910,0.14912,0.18249
2000,Tenant,East,Just Right,0.73994,1398,1910,0.72027,0.75962
2000,Tenant,East,A Bit Too Large,0.06812,124,1910,0.05682,0.07942
2001,Owner,West,A Bit Too Small,0.07500,328,4118,0.06695,0.08304
2001,Owner,West,Just Right,0.74457,3144,4118,0.73124,0.75789
2001,Owner,West,A Bit Too Large,0.15862,587,4118,0.14746,0.16977
2001,Owner,West,Much Too Large,0.01742,59,4118,0.01343,0.02142
2001,Owner,East,A Bit Too Small,0.06072,71,1081,0.04647,0.07496
2001,Owner,East,Just Right,0.77608,883,1081,0.75122,0.80095
2001,Owner,East,A Bit Too Large,0.14229,127,1081,0.12145,0.16312
2001,Tenant,West,Much Too Small,0.02884,153,4637,0.02402,0.03366
2001,Tenant,West,A Bit Too Small,0.18599,914,4637,0.17478,0.19719
2001,Tenant,West,Just Right,0.72712,3337,4637,0.71429,0.73994
2001,Tenant,West,A Bit Too Large,0.05412,233,4637,0.04761,0.06064
2001,Tenant,East,A Bit Too Small,0.15374,294,1703,0.13660,0.17087
2001,Tenant,East,Just Right,0.75891,1295,1703,0.73859,0.77924
2001,Tenant,East,A Bit Too Large,0.06970,114,1703,0.05760,0.08179
2002,Owner,West,Much Too Small,0.00588,31,4723,0.00370,0.00806
2002,Owner,West,A Bit Too Small,0.08461,435,4723,0.07667,0.09255
2002,Owner,West,Just Right,0.71027,3408,4723,0.69733,0.72321
2002,Owner,West,A Bit Too Large,0.17140,738,4723,0.16065,0.18214
2002,Owner,West,Much Too Large,0.02785,111,4723,0.02315,0.03254
2002,Owner,East,A Bit Too Small,0.07095,81,1083,0.05565,0.08624
2002,Owner,East,Just Right,0.75602,864,1083,0.73043,0.78161
2002,Owner,East,A Bit Too Large,0.14356,138,1083,0.12267,0.16446
2002,Tenant,West,Much Too Small,0.03391,173,4624,0.02869,0.03913
2002,Tenant,West,A Bit Too Small,0.18710,921,4624,0.17586,0.19834
2002,Tenant,West,Just Right,0.70078,3208,4624,0.68758,0.71398
2002,Tenant,West,A Bit Too Large,0.07201,290,4624,0.06456,0.07947
2002,Tenant,West,Much Too Large,0.00619,32,4624,0.00393,0.00846
2002,Tenant,East,Much Too Small,0.01911,34,1726,0.01265,0.02557
2002,Tenant,East,A Bit Too Small,0.14352,274,1726,0.12697,0.16006
2002,Tenant,East,Just Right,0.77195,1309,1726,0.75215,0.79175
2002,Tenant,East,A Bit Too Large,0.06264,109,1726,0.05120,0.07407
2003,Owner,West,A Bit Too Small,0.08830,413,4517,0.08003,0.09658
2003,Owner,West,Just Right,0.70875,3281,4517,0.69550,0.72200
2003,Owner,West,A Bit Too Large,0.17190,719,4517,0.16090,0.18290
2003,Owner,West,Much Too Large,0.02628,104,4517,0.02161,0.03094
2003,Owner,East,A Bit Too Small,0.07694,75,1086,0.06108,0.09279
2003,Owner,East,Just Right,0.75136,860,1086,0.72564,0.77708
2003,Owner,East,A Bit Too Large,0.14889,151,1086,0.12771,0.17007
2003,Tenant,West,Much Too Small,0.03056,143,4409,0.02548,0.03564
2003,Tenant,West,A Bit Too Small,0.19307,897,4409,0.18142,0.20473
2003,Tenant,West,Just Right,0.69760,3083,4409,0.68404,0.71116
2003,Tenant,West,A Bit Too Large,0.07287,286,4409,0.06520,0.08054
2003,Tenant,East,A Bit Too Small,0.14828,272,1666,0.13121,0.16535
2003,Tenant,East,Just Right,0.77258,1283,1666,0.75244,0.79271
2003,Tenant,East,A Bit Too Large,0.06316,111,1666,0.05148,0.07485
2004,Owner,West,A Bit Too Small,0.07916,380,4418,0.07120,0.08712
2004,Owner,West,Just Right,0.71489,3213,4418,0.70157,0.72820
2004,Owner,West,A Bit Too Large,0.17895,728,4418,0.16764,0.19025
2004,Owner,West,Much Too Large,0.02275,97,4418,0.01836,0.02715
2004,Owner,East,A Bit Too Small,0.07351,78,1085,0.05798,0.08905
2004,Owner,East,Just Right,0.77175,858,1085,0.74676,0.79673
2004,Owner,East,A Bit Too Large,0.12982,149,1085,0.10981,0.14983
2004,Tenant,West,Much Too Small,0.02732,127,4288,0.02244,0.03220
2004,Tenant,West,A Bit Too Small,0.17662,803,4288,0.16520,0.18803
2004,Tenant,West,Just Right,0.72146,3084,4288,0.70804,0.73488
2004,Tenant,West,A Bit Too Large,0.06908,274,4288,0.06149,0.07667
2004,Tenant,East,Much Too Small,0.01859,32,1650,0.01207,0.02510
2004,Tenant,East,A Bit Too Small,0.14543,255,1650,0.12841,0.16245
2004,Tenant,East,Just Right,0.76805,1252,1650,0.74768,0.78843
2004,Tenant,East,A Bit Too Large,0.06710,111,1650,0.05503,0.07918
2005,Owner,West,A Bit Too Small,0.08384,370,4260,0.07552,0.09217
2005,Owner,West,Just Right,0.71104,3112,4260,0.69743,0.72466
2005,Owner,West,A Bit Too Large,0.17503,672,4260,0.16362,0.18644
2005,Owner,West,Much Too Large,0.02751,106,4260,0.02259,0.03242
2005,Owner,East,A Bit Too Small,0.07423,84,1079,0.05858,0.08987
2005,Owner,East,Just Right,0.77674,859,1079,0.75188,0.80160
2005,Owner,East,A Bit Too Large,0.11894,136,1079,0.09961,0.13826
2005,Tenant,West,Much Too Small,0.02402,103,4208,0.01939,0.02864
2005,Tenant,West,A Bit Too Small,0.18439,803,4208,0.17267,0.19610
2005,Tenant,West,Just Right,0.72044,3032,4208,0.70688,0.73401
2005,Tenant,West,A Bit Too Large,0.06770,270,4208,0.06011,0.07530
2005,Tenant,East,A Bit Too Small,0.15055,255,1554,0.13276,0.16833
2005,Tenant,East,Just Right,0.76540,1190,1554,0.74433,0.78648
2005,Tenant,East,A Bit Too Large,0.06570,109,1554,0.05337,0.07802
2006,Owner,West,A Bit Too Small,0.07902,380,4766,0.07136,0.08668
2006,Owner,West,Just Right,0.69461,3407,4766,0.68153,0.70769
2006,Owner,West,A Bit Too Large,0.19019,843,4766,0.17905,0.20134
2006,Owner,West,Much Too Large,0.03149,136,4766,0.02653,0.03645
2006,Owner,East,A Bit Too Small,0.07011,87,1175,0.05551,0.08472
2006,Owner,East,Just Right,0.74465,902,1175,0.71970,0.76959
2006,Owner,East,A Bit Too Large,0.15591,186,1175,0.13516,0.17666
2006,Tenant,West,Much Too Small,0.03055,128,4512,0.02552,0.03557
2006,Tenant,West,A Bit Too Small,0.18142,847,4512,0.17018,0.19267
2006,Tenant,West,Just Right,0.70927,3228,4512,0.69602,0.72252
2006,Tenant,West,A Bit Too Large,0.07304,309,4512,0.06544,0.08063
2006,Tenant,East,A Bit Too Small,0.13619,258,1679,0.11978,0.15261
2006,Tenant,East,Just Right,0.78536,1316,1679,0.76571,0.80500
2006,Tenant,East,A Bit Too Large,0.06009,105,1679,0.04872,0.07146
2007,Owner,West,A Bit Too Small,0.07792,356,4453,0.07004,0.08579
2007,Owner,West,Just Right,0.70138,3191,4453,0.68793,0.71482
2007,Owner,West,A Bit Too Large,0.18872,793,4453,0.17723,0.20022
2007,Owner,West,Much Too Large,0.02710,113,4453,0.02233,0.03187
2007,Owner,East,A Bit Too Small,0.07551,79,1106,0.05994,0.09109
2007,Owner,East,Just Right,0.75047,869,1106,0.72495,0.77598
2007,Owner,East,A Bit Too Large,0.14446,158,1106,0.12373,0.16519
2007,Tenant,West,Much Too Small,0.02177,88,4187,0.01734,0.02619
2007,Tenant,West,A Bit Too Small,0.18388,824,4187,0.17214,0.19561
2007,Tenant,West,Just Right,0.71761,2987,4187,0.70397,0.73125
2007,Tenant,West,A Bit Too Large,0.07129,288,4187,0.06350,0.07909
2007,Tenant,East,A Bit Too Small,0.14497,256,1584,0.12762,0.16231
2007,Tenant,East,Just Right,0.77149,1223,1584,0.75081,0.79217
2007,Tenant,East,A Bit Too Large,0.06411,105,1584,0.05204,0.07617
2008,Owner,West,A Bit Too Small,0.07401,323,4248,0.06614,0.08188
2008,Owner,West,Just Right,0.68939,3011,4248,0.67547,0.70331
2008,Owner,West,A Bit Too Large,0.19323,774,4248,0.18136,0.20511
2008,Owner,West,Much Too Large,0.03842,140,4248,0.03264,0.04420
2008,Owner,East,A Bit Too Small,0.07104,80,1075,0.05568,0.08640
2008,Owner,East,Just Right,0.76615,829,1075,0.74083,0.79146
2008,Owner,East,A Bit Too Large,0.13554,166,1075,0.11506,0.15601
2008,Tenant,West,Much Too Small,0.02111,81,3854,0.01657,0.02565
2008,Tenant,West,A Bit Too Small,0.17780,712,3854,0.16572,0.18987
2008,Tenant,West,Just Right,0.71610,2784,3854,0.70186,0.73033
2008,Tenant,West,A Bit Too Large,0.07616,277,3854,0.06778,0.08453
2008,Tenant,East,A Bit Too Small,0.15246,239,1514,0.13434,0.17057
2008,Tenant,East,Just Right,0.75271,1173,1514,0.73097,0.77445
2008,Tenant,East,A Bit Too Large,0.07481,102,1514,0.06155,0.08806
2009,Owner,West,A Bit Too Small,0.08672,321,3962,0.07795,0.09548
2009,Owner,West,Just Right,0.66905,2742,3962,0.65439,0.68370
2009,Owner,West,A Bit Too Large,0.20049,761,3962,0.18802,0.21296
2009,Owner,West,Much Too Large,0.04051,138,3962,0.03437,0.04665
2009,Owner,East,A Bit Too Small,0.08732,78,1048,0.07022,0.10442
2009,Owner,East,Just Right,0.72212,803,1048,0.69499,0.74926
2009,Owner,East,A Bit Too Large,0.15629,167,1048,0.13429,0.17829
2009,Tenant,West,Much Too Small,0.02590,97,3610,0.02071,0.03108
2009,Tenant,West,A Bit Too Small,0.18136,664,3610,0.16879,0.19393
2009,Tenant,West,Just Right,0.70722,2568,3610,0.69237,0.72207
2009,Tenant,West,A Bit Too Large,0.08011,281,3610,0.07126,0.08897
2009,Tenant,East,A Bit Too Small,0.16328,240,1435,0.14415,0.18241
2009,Tenant,East,Just Right,0.74618,1091,1435,0.72366,0.76871
2009,Tenant,East,A Bit Too Large,0.06608,104,1435,0.05322,0.07893
2010,Owner,West,Much Too Small,0.00265,41,5083,0.00123,0.00406
2010,Owner,West,A Bit Too Small,0.08622,545,5083,0.07850,0.09394
2010,Owner,West,Just Right,0.67623,3538,5083,0.66337,0.68910
2010,Owner,West,A Bit Too Large,0.19214,807,5083,0.18131,0.20297
2010,Owner,West,Much Too Large,0.04276,152,5083,0.03720,0.04832
2010,Owner,East,A Bit Too Small,0.07960,103,1202,0.06429,0.09491
2010,Owner,East,Just Right,0.72814,926,1202,0.70298,0.75330
2010,Owner,East,A Bit Too Large,0.15978,173,1202,0.13905,0.18050
2010,Tenant,West,Much Too Small,0.02142,288,5540,0.01761,0.02523
2010,Tenant,West,A Bit Too Small,0.17862,1346,5540,0.16853,0.18871
2010,Tenant,West,Just Right,0.70570,3527,5540,0.69370,0.71770
2010,Tenant,West,A Bit Too Large,0.08503,346,5540,0.07768,0.09237
2010,Tenant,West,Much Too Large,0.00923,33,5540,0.00671,0.01175
2010,Tenant,East,Much Too Small,0.01879,82,1911,0.01270,0.02489
2010,Tenant,East,A Bit Too Small,0.17221,440,1911,0.15527,0.18914
2010,Tenant,East,Just Right,0.72392,1271,1911,0.70387,0.74397
2010,Tenant,East,A Bit Too Large,0.07688,118,1911,0.06493,0.08882
2011,Owner,West,Much Too Small,0.00354,37,6303,0.00208,0.00501
2011,Owner,West,A Bit Too Small,0.08160,667,6303,0.07484,0.08836
2011,Owner,West,Just Right,0.67261,4336,6303,0.66102,0.68419
2011,Owner,West,A Bit Too Large,0.20223,1083,6303,0.19232,0.21215
2011,Owner,West,Much Too Large,0.04002,180,6303,0.03518,0.04486
2011,Owner,East,A Bit Too Small,0.07532,121,1407,0.06153,0.08911
2011,Owner,East,Just Right,0.73061,1045,1407,0.70742,0.75380
2011,Owner,East,A Bit Too Large,0.16710,209,1407,0.14760,0.18660
2011,Owner,East,Much Too Large,0.02552,32,1407,0.01727,0.03376
2011,Tenant,West,Much Too Small,0.02296,295,6550,0.01933,0.02659
2011,Tenant,West,A Bit Too Small,0.17698,1426,6550,0.16773,0.18622
2011,Tenant,West,Just Right,0.70888,4363,6550,0.69788,0.71989
2011,Tenant,West,A Bit Too Large,0.08293,430,6550,0.07625,0.08961
2011,Tenant,West,Much Too Large,0.00825,36,6550,0.00606,0.01045
2011,Tenant,East,Much Too Small,0.01872,78,2321,0.01321,0.02424
2011,Tenant,East,A Bit Too Small,0.16346,489,2321,0.14841,0.17851
2011,Tenant,East,Just Right,0.74053,1619,2321,0.72269,0.75836
2011,Tenant,East,A Bit Too Large,0.07397,135,2321,0.06332,0.08462
2012,Owner,West,Much Too Small,0.00352,35,6214,0.00205,0.00499
2012,Owner,West,A Bit Too Small,0.07036,581,6214,0.06400,0.07672
2012,Owner,West,Just Right,0.68738,4335,6214,0.67585,0.69891
2012,Owner,West,A Bit Too Large,0.19958,1069,6214,0.18964,0.20952
2012,Owner,West,Much Too Large,0.03916,194,6214,0.03434,0.04399
2012,Owner,East,A Bit Too Small,0.06387,97,1341,0.05078,0.07696
2012,Owner,East,Just Right,0.73857,1026,1341,0.71504,0.76210
2012,Owner,East,A Bit Too Large,0.17128,218,1341,0.15111,0.19145
2012,Tenant,West,Much Too Small,0.02681,247,6371,0.02284,0.03077
2012,Tenant,West,A Bit Too Small,0.16687,1338,6371,0.15771,0.17603
