year,rentown,hgseval,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1988,Owner,Much Too Small,0.008027522935779817,4770,0.005495092813512653,0.01055995305804698
1988,Tenant,Just Right,0.754,4770,0.7417777796744808,0.7662222203255192
1988,Tenant,A Bit Too Small,0.162,4770,0.1515437394035737,0.1724562605964263
1988,Tenant,A Bit Too Large,0.04666666666666667,4770,0.040680860332098265,0.05265247300123507
1988,Tenant,Much Too Small,0.034333333333333334,4770,0.029165976093579807,0.03950069057308686
1988,Tenant,Much Too Large,0.003,4770,0.0014479522149611422,0.004552047785038858
1989,Owner,Just Right,0.8015222482435597,4651,0.7900592926916505,0.8129852037954688
1989,Owner,A Bit Too Large,0.10597189695550352,4651,0.09712575628476146,0.11481803762624558
1989,Owner,A Bit Too Small,0.07259953161592506,4651,0.06514219981908209,0.08005686341276802
1989,Owner,Much Too Large,0.0117096018735363,4651,0.00861790964550222,0.014801294101570382
1989,Owner,Much Too Small,0.00819672131147541,4651,0.00560543288059547,0.01078800974235535
1989,Tenant,Just Right,0.7562650188808788,4651,0.7439260508245893,0.7686039869371684
1989,Tenant,A Bit Too Small,0.16031582560933746,4651,0.14977125052546686,0.17086040069320807
1989,Tenant,A Bit Too Large,0.046000686577411604,4651,0.039980096069653824,0.05202127708516938
1989,Tenant,Much Too Small,0.03398558187435633,4651,0.028778168420180446,0.03919299532853222
1989,Tenant,Much Too Large,0.0034328870580157913,4651,0.0017518939421405817,0.005113880173891001
1990,Owner,Just Right,0.8112006788290199,6750,0.8018645131111247,0.8205368445469151
1990,Owner,A Bit Too Large,0.08782350445481545,6750,0.08107124681211407,0.09457576209751682
1990,Owner,A Bit Too Small,0.07891387356809504,6750,0.07248209645056546,0.08534565068562462
1990,Owner,Much Too Small,0.012728044123886296,6750,0.010053785398775055,0.015402302848997537
1990,Owner,Much Too Large,0.009333899024183284,6750,0.0070398674805978575,0.011627930567768709
1990,Tenant,Just Right,0.6928555019526763,6750,0.6818503285468959,0.7038606753584568
