year,bula_h,quintil_oecd_hh,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,"Rhineland-Palatinate, Saarland",5th Quintile,Just Right,0.77906,47,47,0.65917,0.89896
1986,Baden-Wuerttemberg,1st Quintile,Just Right,0.75196,109,109,0.67051,0.83341
1986,Baden-Wuerttemberg,2nd Quintile,Just Right,0.83180,148,148,0.77133,0.89227
1986,Baden-Wuerttemberg,3rd Quintile,Just Right,0.76208,159,159,0.69568,0.82847
1986,Baden-Wuerttemberg,4th Quintile,Just Right,0.83722,140,140,0.77585,0.89860
1986,Baden-Wuerttemberg,5th Quintile,Just Right,0.82302,140,140,0.75957,0.88647
1986,Bavaria,1st Quintile,Just Right,0.72928,94,94,0.63897,0.81958
1986,Bavaria,2nd Quintile,Just Right,0.80883,129,129,0.74070,0.87695
1986,Bavaria,3rd Quintile,A Bit Too Small,0.14273,33,167,0.08952,0.19594
1986,Bavaria,3rd Quintile,Just Right,0.74504,134,167,0.67874,0.81135
1986,Bavaria,4th Quintile,Just Right,0.73958,125,125,0.66233,0.81683
1986,Bavaria,5th Quintile,Just Right,0.73130,130,130,0.65481,0.80780
1986,Berlin,3rd Quintile,Just Right,0.77290,32,32,0.62541,0.92038
1987,Lower Saxony,1st Quintile,Just Right,0.75274,82,82,0.65878,0.84669
1987,Lower Saxony,2nd Quintile,Just Right,0.78078,74,74,0.68587,0.87569
1987,Lower Saxony,3rd Quintile,Just Right,0.82059,81,81,0.73650,0.90467
1987,Lower Saxony,4th Quintile,Just Right,0.79473,81,81,0.70622,0.88323
1987,Lower Saxony,5th Quintile,Just Right,0.80652,82,82,0.72049,0.89255
1987,North Rhine-Westphalia,1st Quintile,A Bit Too Small,0.10733,48,263,0.06985,0.14481
1987,North Rhine-Westphalia,1st Quintile,Just Right,0.78175,215,263,0.73174,0.83177
1987,North Rhine-Westphalia,2nd Quintile,A Bit Too Small,0.10809,47,265,0.07063,0.14554
1987,North Rhine-Westphalia,2nd Quintile,Just Right,0.81501,218,265,0.76817,0.86185
1987,North Rhine-Westphalia,3rd Quintile,Just Right,0.82161,212,212,0.76996,0.87327
1987,North Rhine-Westphalia,4th Quintile,A Bit Too Small,0.13111,33,222,0.08661,0.17561
1987,North Rhine-Westphalia,4th Quintile,Just Right,0.77685,189,222,0.72196,0.83175
1987,North Rhine-Westphalia,5th Quintile,Just Right,0.75319,205,205,0.69402,0.81236
1987,Hesse,1st Quintile,Just Right,0.74871,65,65,0.64244,0.85498
1987,Hesse,2nd Quintile,Just Right,0.75726,60,60,0.64786,0.86666
1987,Hesse,3rd Quintile,Just Right,0.78430,69,69,0.68654,0.88206
