,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
141,141,1989,Couple without children,1st Quintile,Just Right,1.0,110,3751,0.92442,1.07377
142,142,1989,Couple without children,2nd Quintile,Just Right,1.0,135,3751,0.92619,1.08053
143,143,1989,Couple without children,3rd Quintile,Just Right,1.0,167,3751,0.92829,1.06851
144,144,1989,Couple without children,4th Quintile,Just Right,1.0,240,3751,0.93695,1.06796
145,145,1989,Couple without children,5th Quintile,A Bit Too Small,0.12389,39,3751,0.10754,0.14208
146,146,1989,Couple without children,5th Quintile,Just Right,0.78637,269,3751,0.74331,0.81939
147,147,1989,Couple without children,5th Quintile,A Bit Too Large,0.08974,31,3751,0.07796,0.10131
148,148,1989,Single parent,1st Quintile,Just Right,1.0,60,3751,0.87384,1.13271
149,149,1989,Single parent,2nd Quintile,Just Right,1.0,47,3751,0.85342,1.16742
150,150,1989,Single parent,3rd Quintile,Just Right,1.0,32,3751,0.85206,1.15024
151,151,1989,Couple with children,1st Quintile,A Bit Too Small,0.17964,79,3751,0.13905,0.21868
152,152,1989,Couple with children,1st Quintile,Just Right,0.82036,267,3751,0.74024,0.89201
153,153,1989,Couple with children,2nd Quintile,A Bit Too Small,0.16403,87,3751,0.13684,0.19131
154,154,1989,Couple with children,2nd Quintile,Just Right,0.83597,370,3751,0.78779,0.89054
155,155,1989,Couple with children,3rd Quintile,A Bit Too Small,0.13328,71,3751,0.11532,0.1522
156,156,1989,Couple with children,3rd Quintile,Just Right,0.86672,360,3751,0.81265,0.90931
157,157,1989,Couple with children,4th Quintile,A Bit Too Small,0.11481,39,3751,0.09775,0.13347
158,158,1989,Couple with children,4th Quintile,Just Right,0.88519,312,3751,0.83338,0.94466
159,159,1989,Couple with children,5th Quintile,Just Right,1.0,208,3751,0.94745,1.05146
160,160,1990,Single-person household,1st Quintile,A Bit Too Small,0.17793,51,5830,0.16214,0.1954
161,161,1990,Single-person household,1st Quintile,Just Right,0.82207,256,5830,0.78505,0.86801
162,162,1990,Single-person household,2nd Quintile,A Bit Too Small,0.12708,40,5830,0.11049,0.14553
163,163,1990,Single-person household,2nd Quintile,Just Right,0.87292,221,5830,0.83293,0.90652
164,164,1990,Single-person household,3rd Quintile,Just Right,1.0,188,5830,0.94902,1.05511
165,165,1990,Single-person household,4th Quintile,Just Right,1.0,188,5830,0.94082,1.06993
166,166,1990,Single-person household,5th Quintile,Just Right,1.0,156,5830,0.95262,1.05924
167,167,1990,Couple without children,1st Quintile,A Bit Too Small,0.16511,75,5830,0.15695,0.17509
168,168,1990,Couple without children,1st Quintile,Just Right,0.83489,363,5830,0.80634,0.86702
169,169,1990,Couple without children,2nd Quintile,Just Right,1.0,161,5830,0.93255,1.07369
170,170,1990,Couple without children,3rd Quintile,Just Right,1.0,194,5830,0.92363,1.07256
171,171,1990,Couple without children,4th Quintile,Just Right,1.0,244,5830,0.9242,1.06681
172,172,1990,Couple without children,5th Quintile,A Bit Too Small,0.09179,36,5830,0.0772,0.10756
173,173,1990,Couple without children,5th Quintile,Just Right,0.82277,354,5830,0.78639,0.85645
174,174,1990,Couple without children,5th Quintile,A Bit Too Large,0.08544,36,5830,0.07603,0.09768
175,175,1990,Single parent,1st Quintile,A Bit Too Small,0.24789,32,5830,0.21328,0.30766
176,176,1990,Single parent,1st Quintile,Just Right,0.75211,85,5830,0.67331,0.84381
177,177,1990,Single parent,2nd Quintile,Just Right,1.0,64,5830,0.8824,1.11195
178,178,1990,Single parent,3rd Quintile,Just Right,1.0,56,5830,0.85209,1.14861
179,179,1990,Single parent,4th Quintile,Just Right,1.0,39,5830,0.87785,1.12501
180,180,1990,Couple with children,1st Quintile,Much Too Small,0.10866,111,5830,0.10269,0.11548
181,181,1990,Couple with children,1st Quintile,A Bit Too Small,0.3172,352,5830,0.30503,0.32947
182,182,1990,Couple with children,1st Quintile,Just Right,0.57414,622,5830,0.55799,0.59262
183,183,1990,Couple with children,2nd Quintile,A Bit Too Small,0.16951,98,5830,0.14303,0.19687
184,184,1990,Couple with children,2nd Quintile,Just Right,0.83049,385,5830,0.76068,0.90021
185,185,1990,Couple with children,3rd Quintile,A Bit Too Small,0.14153,88,5830,0.11835,0.16278
186,186,1990,Couple with children,3rd Quintile,Just Right,0.85847,434,5830,0.80332,0.90155
187,187,1990,Couple with children,4th Quintile,A Bit Too Small,0.14169,70,5830,0.11884,0.16236
188,188,1990,Couple with children,4th Quintile,Just Right,0.85831,381,5830,0.81786,0.90522
189,189,1990,Couple with children,5th Quintile,A Bit Too Small,0.07628,33,5830,0.06192,0.09095
190,190,1990,Couple with children,5th Quintile,Just Right,0.82934,277,5830,0.78898,0.87226
191,191,1990,Couple with children,5th Quintile,A Bit Too Large,0.09438,33,5830,0.08442,0.10664
192,192,1990,Multi-generational household,1st Quintile,Just Right,1.0,38,5830,0.86333,1.15045
193,193,1990,Multi-generational household,3rd Quintile,Just Right,1.0,31,5830,0.64626,1.37432
194,194,1990,Other Combinations,1st Quintile,Just Right,1.0,38,5830,0.86627,1.1495
195,195,1991,Single-person household,1st Quintile,A Bit Too Small,0.11433,31,5728,0.10153,0.12625
196,196,1991,Single-person household,1st Quintile,Just Right,0.88567,230,5728,0.8483,0.92517
197,197,1991,Single-person household,2nd Quintile,A Bit Too Small,0.14063,40,5728,0.12499,0.15614
198,198,1991,Single-person household,2nd Quintile,Just Right,0.85937,221,5728,0.81681,0.89856
199,199,1991,Single-person household,3rd Quintile,Just Right,1.0,170,5728,0.9316,1.07103
200,200,1991,Single-person household,4th Quintile,A Bit Too Small,0.14606,34,5728,0.11685,0.16983
201,201,1991,Single-person household,4th Quintile,Just Right,0.85394,167,5728,0.80169,0.90185
202,202,1991,Single-person household,5th Quintile,Just Right,1.0,148,5728,0.9274,1.0553
203,203,1991,Couple without children,1st Quintile,A Bit Too Small,0.12028,53,5728,0.10899,0.13259
204,204,1991,Couple without children,1st Quintile,Just Right,0.81203,363,5728,0.78436,0.8419
205,205,1991,Couple without children,1st Quintile,A Bit Too Large,0.06769,33,5728,0.06226,0.07237
206,206,1991,Couple without children,2nd Quintile,Just Right,1.0,150,5728,0.94143,1.07809
207,207,1991,Couple without children,3rd Quintile,Just Right,1.0,194,5728,0.9306,1.07164
208,208,1991,Couple without children,4th Quintile,A Bit Too Small,0.11439,39,5728,0.0938,0.13596
209,209,1991,Couple without children,4th Quintile,Just Right,0.76413,235,5728,0.7054,0.82195
210,210,1991,Couple without children,4th Quintile,A Bit Too Large,0.12148,31,5728,0.10096,0.13849
211,211,1991,Couple without children,5th Quintile,A Bit Too Small,0.14936,64,5728,0.12825,0.17485
212,212,1991,Couple without children,5th Quintile,Just Right,0.71088,293,5728,0.67053,0.74822
213,213,1991,Couple without children,5th Quintile,A Bit Too Large,0.13977,45,5728,0.12379,0.15381
214,214,1991,Single parent,1st Quintile,A Bit Too Small,0.35736,36,5728,0.29622,0.44014
215,215,1991,Single parent,1st Quintile,Just Right,0.64264,68,5728,0.56312,0.73988
216,216,1991,Single parent,2nd Quintile,Just Right,1.0,77,5728,0.90896,1.09769
217,217,1991,Single parent,3rd Quintile,Just Right,1.0,49,5728,0.85246,1.17097
218,218,1991,Single parent,4th Quintile,Just Right,1.0,46,5728,0.89802,1.12752
219,219,1991,Couple with children,1st Quintile,Much Too Small,0.06949,70,5728,0.06472,0.0752
220,220,1991,Couple with children,1st Quintile,A Bit Too Small,0.27187,285,5728,0.26049,0.28612
221,221,1991,Couple with children,1st Quintile,Just Right,0.62969,658,5728,0.61077,0.64765
222,222,1991,Couple with children,1st Quintile,A Bit Too Large,0.02896,31,5728,0.02578,0.03238
223,223,1991,Couple with children,2nd Quintile,Much Too Small,0.0766,48,5728,0.05719,0.10027
224,224,1991,Couple with children,2nd Quintile,A Bit Too Small,0.24047,115,5728,0.19944,0.27729
225,225,1991,Couple with children,2nd Quintile,Just Right,0.68293,305,5728,0.6153,0.74255
226,226,1991,Couple with children,3rd Quintile,Much Too Small,0.04018,33,5728,0.02953,0.05302
227,227,1991,Couple with children,3rd Quintile,A Bit Too Small,0.26649,159,5728,0.23755,0.29509
228,228,1991,Couple with children,3rd Quintile,Just Right,0.69332,364,5728,0.64633,0.74948
229,229,1991,Couple with children,4th Quintile,A Bit Too Small,0.20112,97,5728,0.18115,0.22397
230,230,1991,Couple with children,4th Quintile,Just Right,0.79888,365,5728,0.74224,0.85317
231,231,1991,Couple with children,5th Quintile,A Bit Too Small,0.20153,63,5728,0.17287,0.22731
232,232,1991,Couple with children,5th Quintile,Just Right,0.79847,251,5728,0.74774,0.84102
233,233,1991,Multi-generational household,1st Quintile,Just Right,1.0,31,5728,0.80972,1.20583
234,234,1991,Other Combinations,1st Quintile,Just Right,1.0,36,5728,0.85462,1.13699
235,235,1992,Single-person household,1st Quintile,A Bit Too Small,0.10287,41,5643,0.08766,0.11631
236,236,1992,Single-person household,1st Quintile,Just Right,0.82426,328,5643,0.78584,0.87093
237,237,1992,Single-person household,1st Quintile,A Bit Too Large,0.07286,33,5643,0.06232,0.08593
238,238,1992,Single-person household,2nd Quintile,Just Right,1.0,158,5643,0.92763,1.06145
239,239,1992,Single-person household,3rd Quintile,A Bit Too Small,0.15434,37,5643,0.1329,0.17186
240,240,1992,Single-person household,3rd Quintile,Just Right,0.84566,159,5643,0.78253,0.91495
241,241,1992,Single-person household,4th Quintile,A Bit Too Small,0.15454,33,5643,0.12789,0.18143
242,242,1992,Single-person household,4th Quintile,Just Right,0.84546,166,5643,0.78227,0.90513
243,243,1992,Single-person household,5th Quintile,Just Right,1.0,145,5643,0.93379,1.07311
244,244,1992,Couple without children,1st Quintile,Just Right,1.0,244,5643,0.93714,1.06365
245,245,1992,Couple without children,2nd Quintile,Just Right,1.0,219,5643,0.92039,1.08635
246,246,1992,Couple without children,3rd Quintile,A Bit Too Small,0.13418,38,5643,0.1089,0.15456
247,247,1992,Couple without children,3rd Quintile,Just Right,0.86582,214,5643,0.80173,0.93247
248,248,1992,Couple without children,4th Quintile,A Bit Too Small,0.13225,53,5643,0.10976,0.15196
249,249,1992,Couple without children,4th Quintile,Just Right,0.75859,274,5643,0.70752,0.80391
250,250,1992,Couple without children,4th Quintile,A Bit Too Large,0.10916,35,5643,0.09129,0.12572
251,251,1992,Couple without children,5th Quintile,A Bit Too Small,0.1479,63,5643,0.12793,0.16683
252,252,1992,Couple without children,5th Quintile,Just Right,0.7154,314,5643,0.67475,0.75272
253,253,1992,Couple without children,5th Quintile,A Bit Too Large,0.1367,47,5643,0.11513,0.15596
254,254,1992,Single parent,1st Quintile,A Bit Too Small,0.26365,36,5643,0.2018,0.33853
255,255,1992,Single parent,1st Quintile,Just Right,0.73635,101,5643,0.64511,0.84277
256,256,1992,Single parent,2nd Quintile,Just Right,1.0,63,5643,0.86332,1.15656
257,257,1992,Single parent,3rd Quintile,Just Right,1.0,37,5643,0.74964,1.23595
258,258,1992,Single parent,4th Quintile,Just Right,1.0,43,5643,0.86132,1.12892
259,259,1992,Couple with children,1st Quintile,Much Too Small,0.07217,36,5643,0.05863,0.09048
260,260,1992,Couple with children,1st Quintile,A Bit Too Small,0.28208,130,5643,0.25186,0.31378
261,261,1992,Couple with children,1st Quintile,Just Right,0.64575,287,5643,0.59003,0.7028
262,262,1992,Couple with children,2nd Quintile,Much Too Small,0.05052,57,5643,0.04109,0.06161
263,263,1992,Couple with children,2nd Quintile,A Bit Too Small,0.27834,224,5643,0.25113,0.31353
264,264,1992,Couple with children,2nd Quintile,Just Right,0.67114,495,5643,0.63107,0.71395
265,265,1992,Couple with children,3rd Quintile,Much Too Small,0.05439,39,5643,0.04112,0.0725
266,266,1992,Couple with children,3rd Quintile,A Bit Too Small,0.26194,183,5643,0.23791,0.29362
267,267,1992,Couple with children,3rd Quintile,Just Right,0.63292,413,5643,0.5873,0.68045
268,268,1992,Couple with children,3rd Quintile,A Bit Too Large,0.05075,33,5643,0.04094,0.06262
269,269,1992,Couple with children,4th Quintile,A Bit Too Small,0.24302,126,5643,0.21484,0.27527
270,270,1992,Couple with children,4th Quintile,Just Right,0.75698,368,5643,0.70781,0.80315
271,271,1992,Couple with children,5th Quintile,A Bit Too Small,0.16827,65,5643,0.1404,0.19658
272,272,1992,Couple with children,5th Quintile,Just Right,0.83173,274,5643,0.7831,0.87636
273,273,1992,Other Combinations,3rd Quintile,Just Right,1.0,32,5643,0.7836,1.24909
274,274,1993,Single-person household,1st Quintile,A Bit Too Small,0.10172,46,5537,0.08463,0.11851
275,275,1993,Single-person household,1st Quintile,Just Right,0.80827,316,5537,0.76325,0.85466
276,276,1993,Single-person household,1st Quintile,A Bit Too Large,0.09001,42,5537,0.07784,0.10087
277,277,1993,Single-person household,2nd Quintile,Just Right,1.0,190,5537,0.9375,1.05724
278,278,1993,Single-person household,3rd Quintile,Just Right,1.0,183,5537,0.92263,1.08559
279,279,1993,Single-person household,4th Quintile,A Bit Too Small,0.18001,35,5537,0.14828,0.20985
280,280,1993,Single-person household,4th Quintile,Just Right,0.81999,159,5537,0.75228,0.87875
281,281,1993,Single-person household,5th Quintile,Just Right,1.0,139,5537,0.9282,1.07822
282,282,1993,Couple without children,1st Quintile,Just Right,1.0,201,5537,0.92338,1.08472
283,283,1993,Couple without children,2nd Quintile,A Bit Too Small,0.11158,35,5537,0.08169,0.14324
284,284,1993,Couple without children,2nd Quintile,Just Right,0.79015,245,5537,0.74125,0.83453
285,285,1993,Couple without children,2nd Quintile,A Bit Too Large,0.09827,32,5537,0.07641,0.11862
286,286,1993,Couple without children,3rd Quintile,Just Right,1.0,213,5537,0.92904,1.08763
287,287,1993,Couple without children,4th Quintile,A Bit Too Small,0.14152,64,5537,0.12149,0.16405
288,288,1993,Couple without children,4th Quintile,Just Right,0.75574,285,5537,0.7141,0.80265
289,289,1993,Couple without children,4th Quintile,A Bit Too Large,0.10273,38,5537,0.0833,0.11789
290,290,1993,Couple without children,5th Quintile,A Bit Too Small,0.1554,70,5537,0.13322,0.17937
291,291,1993,Couple without children,5th Quintile,Just Right,0.68916,314,5537,0.64642,0.73347
292,292,1993,Couple without children,5th Quintile,A Bit Too Large,0.15544,54,5537,0.13679,0.17381
293,293,1993,Single parent,1st Quintile,A Bit Too Small,0.27891,35,5537,0.22039,0.34959
294,294,1993,Single parent,1st Quintile,Just Right,0.72109,96,5537,0.63562,0.83707
295,295,1993,Single parent,2nd Quintile,Just Right,1.0,55,5537,0.80469,1.19696
296,296,1993,Single parent,3rd Quintile,Just Right,1.0,40,5537,0.76503,1.22346
297,297,1993,Single parent,4th Quintile,Just Right,1.0,43,5537,0.81949,1.15626
298,298,1993,Couple with children,1st Quintile,A Bit Too Small,0.34559,135,5537,0.29328,0.39901
