year,hhtyp,rentown,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1989,Couple without children,Owner,A Bit Too Large,0.12520,50,4349,0.12482,0.12558
1989,Couple without children,Tenant,A Bit Too Small,0.13822,93,4349,0.13788,0.13857
1989,Couple without children,Tenant,Just Right,0.80158,557,4349,0.80118,0.80198
1989,Couple without children,Tenant,A Bit Too Large,0.06020,43,4349,0.05996,0.06044
1989,Single parent,Owner,Just Right,1.00000,71,4349,1.00000,1.00000
1989,Single parent,Tenant,Just Right,1.00000,117,4349,1.00000,1.00000
1989,Couple with children,Owner,A Bit Too Small,0.08506,79,4349,0.08480,0.08531
1989,Couple with children,Owner,Just Right,0.82049,702,4349,0.82014,0.82084
1989,Couple with children,Owner,A Bit Too Large,0.09445,74,4349,0.09418,0.09472
1989,Couple with children,Tenant,Much Too Small,0.03025,46,4349,0.03007,0.03042
1989,Couple with children,Tenant,A Bit Too Small,0.18443,225,4349,0.18403,0.18483
1989,Couple with children,Tenant,Just Right,0.78532,814,4349,0.78490,0.78574
1989,Multi-generational household,Owner,Just Right,1.00000,39,4349,1.00000,1.00000
1989,Multi-generational household,Tenant,Just Right,1.00000,38,4349,1.00000,1.00000
1989,Other Combinations,Tenant,Just Right,1.00000,45,4349,1.00000,1.00000
1990,Single-person household,Owner,Just Right,0.83340,217,6426,0.83293,0.83387
1990,Single-person household,Owner,A Bit Too Large,0.16660,39,6426,0.16613,0.16707
1990,Single-person household,Tenant,A Bit Too Small,0.13870,152,6426,0.13847,0.13893
1990,Single-person household,Tenant,Just Right,0.79270,792,6426,0.79244,0.79297
1990,Single-person household,Tenant,A Bit Too Large,0.06859,68,6426,0.06843,0.06876
1990,Couple without children,Owner,Just Right,0.88597,509,6426,0.88564,0.88631
1990,Couple without children,Owner,A Bit Too Large,0.11403,58,6426,0.11369,0.11436
1990,Couple without children,Tenant,A Bit Too Small,0.15247,157,6426,0.15215,0.15278
1990,Couple without children,Tenant,Just Right,0.79929,807,6426,0.79894,0.79964
1990,Couple without children,Tenant,A Bit Too Large,0.04824,51,6426,0.04805,0.04843
1990,Single parent,Owner,Just Right,1.00000,82,6426,1.00000,1.00000
1990,Single parent,Tenant,A Bit Too Small,0.19194,54,6426,0.19123,0.19264
1990,Single parent,Tenant,Just Right,0.80806,192,6426,0.80736,0.80877
1990,Couple with children,Owner,A Bit Too Small,0.08686,123,6426,0.08662,0.08709
1990,Couple with children,Owner,Just Right,0.82956,985,6426,0.82924,0.82988
1990,Couple with children,Owner,A Bit Too Large,0.08359,86,6426,0.08335,0.08382
1990,Couple with children,Tenant,Much Too Small,0.06757,152,6426,0.06736,0.06778
