,Unnamed: 0,year,bula_h,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
145,145,1990,Hesse,Just Right,0.85226,331,6207,0.79523,0.91617
146,146,1990,"Rhineland-Palatinate, Saarland",Just Right,1.0,249,6207,0.93609,1.06767
147,147,1990,Baden-Wuerttemberg,A Bit Too Small,0.0825,91,6207,0.06549,0.10098
148,148,1990,Baden-Wuerttemberg,Just Right,0.85959,666,6207,0.81559,0.91223
149,149,1990,Baden-Wuerttemberg,A Bit Too Large,0.05791,35,6207,0.0487,0.06681
150,150,1990,Bavaria,A Bit Too Small,0.12095,107,6207,0.10648,0.13481
151,151,1990,Bavaria,Just Right,0.79121,593,6207,0.75615,0.82188
152,152,1990,Bavaria,A Bit Too Large,0.08783,58,6207,0.07666,0.0971
153,153,1990,Berlin,A Bit Too Small,0.21464,71,6207,0.18092,0.246
154,154,1990,Berlin,Just Right,0.78536,242,6207,0.72295,0.86155
155,155,1990,Brandenburg,A Bit Too Small,0.22069,81,6207,0.19747,0.25401
156,156,1990,Brandenburg,Just Right,0.77931,222,6207,0.73175,0.83568
157,157,1990,Mecklenburg-Western Pomerania,A Bit Too Small,0.24296,51,6207,0.20709,0.27933
158,158,1990,Mecklenburg-Western Pomerania,Just Right,0.75704,142,6207,0.69989,0.81989
159,159,1990,Saxony,Much Too Small,0.06512,49,6207,0.05965,0.07106
160,160,1990,Saxony,A Bit Too Small,0.24441,175,6207,0.22584,0.2606
161,161,1990,Saxony,Just Right,0.69047,402,6207,0.65587,0.7284
162,162,1990,Saxony-Anhalt,A Bit Too Small,0.21593,92,6207,0.19311,0.24812
163,163,1990,Saxony-Anhalt,Just Right,0.78407,259,6207,0.72153,0.83973
164,164,1990,Thuringa,A Bit Too Small,0.24965,85,6207,0.2227,0.27678
165,165,1990,Thuringa,Just Right,0.75035,236,6207,0.69513,0.80701
166,166,1991,Schleswig-Holstein,Just Right,1.0,106,6144,0.91254,1.09254
167,167,1991,Hamburg,Just Right,1.0,78,6144,0.87156,1.12775
168,168,1991,Lower Saxony,A Bit Too Small,0.17009,85,6144,0.15265,0.19441
169,169,1991,Lower Saxony,Just Right,0.70598,321,6144,0.66803,0.74298
170,170,1991,Lower Saxony,A Bit Too Large,0.12393,47,6144,0.11167,0.1406
171,171,1991,Bremen,Just Right,1.0,44,6144,0.84241,1.15393
172,172,1991,North Rhine-Westphalia,Much Too Small,0.03123,50,6144,0.02444,0.03984
173,173,1991,North Rhine-Westphalia,A Bit Too Small,0.16919,235,6144,0.15437,0.18277
174,174,1991,North Rhine-Westphalia,Just Right,0.73002,868,6144,0.70076,0.75563
175,175,1991,North Rhine-Westphalia,A Bit Too Large,0.06955,70,6144,0.06144,0.07611
176,176,1991,Hesse,A Bit Too Small,0.15356,96,6144,0.12866,0.17737
177,177,1991,Hesse,Just Right,0.7313,291,6144,0.67204,0.79021
178,178,1991,Hesse,A Bit Too Large,0.11514,34,6144,0.09773,0.13235
179,179,1991,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.13996,39,6144,0.11728,0.16581
180,180,1991,"Rhineland-Palatinate, Saarland",Just Right,0.86004,246,6144,0.80551,0.91781
181,181,1991,Baden-Wuerttemberg,Much Too Small,0.01566,31,6144,0.00877,0.02301
182,182,1991,Baden-Wuerttemberg,A Bit Too Small,0.14713,132,6144,0.1265,0.16805
183,183,1991,Baden-Wuerttemberg,Just Right,0.77306,604,6144,0.731,0.82408
184,184,1991,Baden-Wuerttemberg,A Bit Too Large,0.06415,35,6144,0.05497,0.07313
185,185,1991,Bavaria,A Bit Too Small,0.14133,125,6144,0.12636,0.15654
186,186,1991,Bavaria,Just Right,0.76392,559,6144,0.72092,0.80528
187,187,1991,Bavaria,A Bit Too Large,0.09475,64,6144,0.08617,0.10415
188,188,1991,Berlin,A Bit Too Small,0.21712,65,6144,0.18449,0.25826
189,189,1991,Berlin,Just Right,0.78288,217,6144,0.71196,0.8495
190,190,1991,Brandenburg,A Bit Too Small,0.2071,73,6144,0.18573,0.23188
191,191,1991,Brandenburg,Just Right,0.7929,207,6144,0.73806,0.85342
192,192,1991,Mecklenburg-Western Pomerania,A Bit Too Small,0.21093,42,6144,0.17836,0.23921
193,193,1991,Mecklenburg-Western Pomerania,Just Right,0.78907,145,6144,0.72336,0.86052
194,194,1991,Saxony,Much Too Small,0.04079,32,6144,0.03822,0.04367
195,195,1991,Saxony,A Bit Too Small,0.20399,135,6144,0.1865,0.2252
196,196,1991,Saxony,Just Right,0.69234,389,6144,0.65251,0.72444
197,197,1991,Saxony,A Bit Too Large,0.06287,34,6144,0.053,0.07259
198,198,1991,Saxony-Anhalt,A Bit Too Small,0.1969,84,6144,0.17434,0.22393
199,199,1991,Saxony-Anhalt,Just Right,0.8031,254,6144,0.7577,0.85687
200,200,1991,Thuringa,A Bit Too Small,0.18427,57,6144,0.1606,0.20719
201,201,1991,Thuringa,Just Right,0.81573,250,6144,0.76311,0.87476
202,202,1992,Schleswig-Holstein,Just Right,1.0,100,6100,0.90103,1.09913
203,203,1992,Hamburg,Just Right,1.0,64,6100,0.86442,1.13786
204,204,1992,Lower Saxony,A Bit Too Small,0.14882,80,6100,0.13056,0.17019
205,205,1992,Lower Saxony,Just Right,0.73032,338,6100,0.68503,0.77457
206,206,1992,Lower Saxony,A Bit Too Large,0.12086,48,6100,0.10507,0.13747
207,207,1992,Bremen,Just Right,1.0,36,6100,0.80373,1.19146
208,208,1992,North Rhine-Westphalia,Much Too Small,0.02867,51,6100,0.02102,0.03813
209,209,1992,North Rhine-Westphalia,A Bit Too Small,0.16098,230,6100,0.14373,0.17712
210,210,1992,North Rhine-Westphalia,Just Right,0.73297,868,6100,0.70188,0.76159
211,211,1992,North Rhine-Westphalia,A Bit Too Large,0.07739,71,6100,0.06817,0.08778
212,212,1992,Hesse,A Bit Too Small,0.15714,91,6100,0.13046,0.19059
213,213,1992,Hesse,Just Right,0.84286,305,6100,0.76996,0.90343
214,214,1992,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.17915,57,6100,0.15317,0.2084
215,215,1992,"Rhineland-Palatinate, Saarland",Just Right,0.82085,238,6100,0.76332,0.88995
216,216,1992,Baden-Wuerttemberg,Much Too Small,0.02822,45,6100,0.01777,0.04152
217,217,1992,Baden-Wuerttemberg,A Bit Too Small,0.13925,130,6100,0.12011,0.16163
218,218,1992,Baden-Wuerttemberg,Just Right,0.75493,583,6100,0.70216,0.79945
219,219,1992,Baden-Wuerttemberg,A Bit Too Large,0.07759,43,6100,0.06569,0.09078
220,220,1992,Bavaria,A Bit Too Small,0.13992,135,6100,0.1257,0.15499
221,221,1992,Bavaria,Just Right,0.77217,589,6100,0.73397,0.81082
222,222,1992,Bavaria,A Bit Too Large,0.0879,58,6100,0.07866,0.09588
223,223,1992,Berlin,A Bit Too Small,0.24197,70,6100,0.20767,0.27602
224,224,1992,Berlin,Just Right,0.75803,213,6100,0.69602,0.82011
225,225,1992,Brandenburg,A Bit Too Small,0.22531,77,6100,0.19331,0.2547
226,226,1992,Brandenburg,Just Right,0.77469,198,6100,0.72849,0.82349
227,227,1992,Mecklenburg-Western Pomerania,A Bit Too Small,0.22564,45,6100,0.19429,0.26154
228,228,1992,Mecklenburg-Western Pomerania,Just Right,0.77436,133,6100,0.71323,0.84705
229,229,1992,Saxony,A Bit Too Small,0.19505,126,6100,0.17921,0.21468
230,230,1992,Saxony,Just Right,0.73182,379,6100,0.68762,0.77503
231,231,1992,Saxony,A Bit Too Large,0.07313,44,6100,0.06354,0.08436
232,232,1992,Saxony-Anhalt,A Bit Too Small,0.1665,78,6100,0.14819,0.1903
233,233,1992,Saxony-Anhalt,Just Right,0.7183,243,6100,0.67255,0.78023
234,234,1992,Saxony-Anhalt,A Bit Too Large,0.11519,34,6100,0.09426,0.13409
235,235,1992,Thuringa,A Bit Too Small,0.16095,48,6100,0.12897,0.18574
236,236,1992,Thuringa,Just Right,0.83905,252,6100,0.77717,0.90269
237,237,1993,Schleswig-Holstein,A Bit Too Small,0.21074,32,6105,0.17297,0.24577
238,238,1993,Schleswig-Holstein,Just Right,0.78926,103,6105,0.70542,0.85224
239,239,1993,Hamburg,Just Right,1.0,66,6105,0.8621,1.15277
240,240,1993,Lower Saxony,A Bit Too Small,0.12461,71,6105,0.09973,0.14668
241,241,1993,Lower Saxony,Just Right,0.7412,354,6105,0.69743,0.78144
242,242,1993,Lower Saxony,A Bit Too Large,0.13419,52,6105,0.1157,0.15161
243,243,1993,Bremen,Just Right,1.0,40,6105,0.84939,1.16856
244,244,1993,North Rhine-Westphalia,Much Too Small,0.02944,58,6105,0.02105,0.03912
245,245,1993,North Rhine-Westphalia,A Bit Too Small,0.17634,254,6105,0.15792,0.19123
246,246,1993,North Rhine-Westphalia,Just Right,0.70855,837,6105,0.68341,0.7389
247,247,1993,North Rhine-Westphalia,A Bit Too Large,0.08566,82,6105,0.07462,0.09464
248,248,1993,Hesse,A Bit Too Small,0.15492,88,6105,0.1228,0.18295
249,249,1993,Hesse,Just Right,0.74221,302,6105,0.68387,0.80489
250,250,1993,Hesse,A Bit Too Large,0.10286,38,6105,0.08147,0.12691
251,251,1993,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.15575,45,6105,0.12653,0.18926
252,252,1993,"Rhineland-Palatinate, Saarland",Just Right,0.84425,236,6105,0.77736,0.92271
253,253,1993,Baden-Wuerttemberg,Much Too Small,0.03232,45,6105,0.02074,0.04517
254,254,1993,Baden-Wuerttemberg,A Bit Too Small,0.12781,126,6105,0.10997,0.14646
255,255,1993,Baden-Wuerttemberg,Just Right,0.77248,592,6105,0.7257,0.8144
256,256,1993,Baden-Wuerttemberg,A Bit Too Large,0.06739,42,6105,0.0541,0.07831
257,257,1993,Bavaria,A Bit Too Small,0.15793,138,6105,0.1394,0.17841
258,258,1993,Bavaria,Just Right,0.75633,588,6105,0.71795,0.79347
259,259,1993,Bavaria,A Bit Too Large,0.08574,62,6105,0.0746,0.09735
260,260,1993,Berlin,A Bit Too Small,0.26534,66,6105,0.22379,0.30907
261,261,1993,Berlin,Just Right,0.73466,212,6105,0.66428,0.79587
262,262,1993,Brandenburg,A Bit Too Small,0.19986,70,6105,0.17207,0.22814
263,263,1993,Brandenburg,Just Right,0.80014,203,6105,0.74505,0.8614
264,264,1993,Mecklenburg-Western Pomerania,A Bit Too Small,0.19174,41,6105,0.1601,0.22489
265,265,1993,Mecklenburg-Western Pomerania,Just Right,0.80826,138,6105,0.7378,0.8796
266,266,1993,Saxony,A Bit Too Small,0.20491,121,6105,0.18396,0.22874
267,267,1993,Saxony,Just Right,0.71844,369,6105,0.68197,0.75177
268,268,1993,Saxony,A Bit Too Large,0.07665,44,6105,0.06644,0.08918
269,269,1993,Saxony-Anhalt,A Bit Too Small,0.18595,69,6105,0.16363,0.21191
270,270,1993,Saxony-Anhalt,Just Right,0.81405,235,6105,0.7485,0.87561
271,271,1993,Thuringa,A Bit Too Small,0.16992,53,6105,0.14406,0.20032
272,272,1993,Thuringa,Just Right,0.83008,233,6105,0.75596,0.8923
273,273,1994,Schleswig-Holstein,A Bit Too Small,0.21948,32,5946,0.18654,0.25507
274,274,1994,Schleswig-Holstein,Just Right,0.78052,94,5946,0.69779,0.88409
275,275,1994,Hamburg,Just Right,1.0,60,5946,0.85271,1.14312
276,276,1994,Lower Saxony,A Bit Too Small,0.10793,56,5946,0.09231,0.12528
277,277,1994,Lower Saxony,Just Right,0.77405,365,5946,0.72837,0.82012
278,278,1994,Lower Saxony,A Bit Too Large,0.11801,50,5946,0.10042,0.13861
279,279,1994,Bremen,Just Right,1.0,37,5946,0.7998,1.17527
280,280,1994,North Rhine-Westphalia,Much Too Small,0.02018,47,5946,0.01409,0.02686
281,281,1994,North Rhine-Westphalia,A Bit Too Small,0.17162,232,5946,0.15415,0.18818
282,282,1994,North Rhine-Westphalia,Just Right,0.73207,852,5946,0.69789,0.76134
283,283,1994,North Rhine-Westphalia,A Bit Too Large,0.07613,70,5946,0.06455,0.08635
284,284,1994,Hesse,A Bit Too Small,0.14172,83,5946,0.11872,0.16724
285,285,1994,Hesse,Just Right,0.74128,301,5946,0.68058,0.79193
286,286,1994,Hesse,A Bit Too Large,0.117,36,5946,0.09106,0.13847
287,287,1994,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.15459,41,5946,0.11989,0.19383
288,288,1994,"Rhineland-Palatinate, Saarland",Just Right,0.84541,239,5946,0.78787,0.91232
289,289,1994,Baden-Wuerttemberg,A Bit Too Small,0.13457,131,5946,0.11583,0.1536
290,290,1994,Baden-Wuerttemberg,Just Right,0.78224,588,5946,0.72405,0.8353
291,291,1994,Baden-Wuerttemberg,A Bit Too Large,0.08319,42,5946,0.07134,0.09891
292,292,1994,Bavaria,A Bit Too Small,0.12666,117,5946,0.10787,0.14673
293,293,1994,Bavaria,Just Right,0.75433,584,5946,0.71903,0.79572
294,294,1994,Bavaria,A Bit Too Large,0.119,77,5946,0.10818,0.13119
295,295,1994,Berlin,A Bit Too Small,0.26222,69,5946,0.22173,0.31346
296,296,1994,Berlin,Just Right,0.73778,188,5946,0.67641,0.81086
297,297,1994,Brandenburg,A Bit Too Small,0.18317,57,5946,0.15694,0.21614
298,298,1994,Brandenburg,Just Right,0.81683,206,5946,0.76334,0.8726
299,299,1994,Mecklenburg-Western Pomerania,A Bit Too Small,0.21156,41,5946,0.17467,0.25159
300,300,1994,Mecklenburg-Western Pomerania,Just Right,0.78844,133,5946,0.71322,0.86614
301,301,1994,Saxony,A Bit Too Small,0.17652,102,5946,0.15406,0.20206
302,302,1994,Saxony,Just Right,0.71475,368,5946,0.67409,0.75766
303,303,1994,Saxony,A Bit Too Large,0.10873,55,5946,0.09466,0.12281
304,304,1994,Saxony-Anhalt,A Bit Too Small,0.23803,77,5946,0.20262,0.27786
305,305,1994,Saxony-Anhalt,Just Right,0.76197,223,5946,0.69413,0.83005
306,306,1994,Thuringa,A Bit Too Small,0.19429,57,5946,0.16857,0.22117
307,307,1994,Thuringa,Just Right,0.80571,236,5946,0.73468,0.86368
308,308,1995,Schleswig-Holstein,Just Right,1.0,97,6202,0.90907,1.12374
309,309,1995,Hamburg,Just Right,1.0,58,6202,0.83822,1.15519
310,310,1995,Lower Saxony,A Bit Too Small,0.12699,76,6202,0.10463,0.15016
311,311,1995,Lower Saxony,Just Right,0.74409,371,6202,0.69159,0.79618
312,312,1995,Lower Saxony,A Bit Too Large,0.12891,59,6202,0.10671,0.14934
313,313,1995,Bremen,Just Right,1.0,36,6202,0.82698,1.20133
314,314,1995,North Rhine-Westphalia,Much Too Small,0.02303,57,6202,0.01786,0.02819
315,315,1995,North Rhine-Westphalia,A Bit Too Small,0.15595,232,6202,0.14053,0.17168
316,316,1995,North Rhine-Westphalia,Just Right,0.72887,905,6202,0.69258,0.76924
317,317,1995,North Rhine-Westphalia,A Bit Too Large,0.09215,87,6202,0.08146,0.10213
318,318,1995,Hesse,A Bit Too Small,0.16517,93,6202,0.13276,0.19987
319,319,1995,Hesse,Just Right,0.73808,320,6202,0.66875,0.79138
320,320,1995,Hesse,A Bit Too Large,0.09674,37,6202,0.07699,0.11939
