year,age_gr,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,17-29 y.,3rd Quintile,Heterosexual,0.92637,626,626,0.90590,0.94685
2019,17-29 y.,4th Quintile,Heterosexual,0.96676,538,538,0.95160,0.98193
2019,17-29 y.,5th Quintile,Heterosexual,0.94180,394,394,0.91865,0.96495
2019,30-45 y.,1st Quintile,Heterosexual,0.93377,1132,1189,0.91962,0.94791
2019,30-45 y.,1st Quintile,No answer/ Do not wish to respond,0.03987,57,1189,0.02875,0.05100
2019,30-45 y.,2nd Quintile,Heterosexual,0.93476,1176,1233,0.92097,0.94855
2019,30-45 y.,2nd Quintile,No answer/ Do not wish to respond,0.05285,57,1233,0.04036,0.06535
2019,30-45 y.,3rd Quintile,Heterosexual,0.96136,1165,1165,0.95029,0.97244
2019,30-45 y.,4th Quintile,Heterosexual,0.94565,966,966,0.93135,0.95996
2019,30-45 y.,5th Quintile,Heterosexual,0.96316,896,896,0.95082,0.97550
2019,46-65 y.,1st Quintile,Heterosexual,0.89595,1216,1320,0.87947,0.91243
2019,46-65 y.,1st Quintile,No answer/ Do not wish to respond,0.09139,104,1320,0.07584,0.10695
2019,46-65 y.,2nd Quintile,Heterosexual,0.93551,1377,1441,0.92282,0.94819
2019,46-65 y.,2nd Quintile,No answer/ Do not wish to respond,0.05319,64,1441,0.04160,0.06478
2019,46-65 y.,3rd Quintile,Heterosexual,0.93780,1488,1565,0.92583,0.94977
2019,46-65 y.,3rd Quintile,No answer/ Do not wish to respond,0.05471,77,1565,0.04344,0.06598
2019,46-65 y.,4th Quintile,Heterosexual,0.94701,1719,1779,0.93660,0.95743
2019,46-65 y.,4th Quintile,No answer/ Do not wish to respond,0.04463,60,1779,0.03503,0.05423
2019,46-65 y.,5th Quintile,Heterosexual,0.96414,2414,2495,0.95684,0.97144
2019,46-65 y.,5th Quintile,Homosexual,0.00714,31,2495,0.00384,0.01045
2019,46-65 y.,5th Quintile,No answer/ Do not wish to respond,0.02701,50,2495,0.02065,0.03337
2019,66 and older,1st Quintile,Heterosexual,0.84038,658,746,0.81408,0.86668
2019,66 and older,1st Quintile,No answer/ Do not wish to respond,0.15267,88,746,0.12685,0.17850
2019,66 and older,2nd Quintile,Heterosexual,0.85281,1039,1170,0.83250,0.87312
2019,66 and older,2nd Quintile,No answer/ Do not wish to respond,0.14217,131,1170,0.12215,0.16219
2019,66 and older,3rd Quintile,Heterosexual,0.89849,855,937,0.87915,0.91784
2019,66 and older,3rd Quintile,No answer/ Do not wish to respond,0.09969,82,937,0.08050,0.11889
2019,66 and older,4th Quintile,Heterosexual,0.90638,791,854,0.88683,0.92593
2019,66 and older,4th Quintile,No answer/ Do not wish to respond,0.08933,63,854,0.07019,0.10847
2019,66 and older,5th Quintile,Heterosexual,0.92374,879,924,0.90662,0.94086
2019,66 and older,5th Quintile,No answer/ Do not wish to respond,0.06542,45,924,0.04947,0.08137
