year,quintil_oecd_hh,sampreg,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,4th Quintile,West,No,0.97180,2285,2369,0.96514,0.97847
2019,4th Quintile,East,No,0.97494,526,526,0.96156,0.98831
2019,5th Quintile,West,Yes,0.02379,125,3636,0.01883,0.02874
2019,5th Quintile,West,No,0.97467,3511,3636,0.96957,0.97978
2019,5th Quintile,East,No,0.97141,677,677,0.95885,0.98397
2020,1st Quintile,West,Yes,0.02533,56,2620,0.01931,0.03134
2020,1st Quintile,West,No,0.92159,2564,2620,0.91130,0.93189
2020,1st Quintile,East,No,0.96043,805,805,0.94695,0.97391
2020,2nd Quintile,West,Yes,0.01344,47,2468,0.00890,0.01799
2020,2nd Quintile,West,No,0.97706,2421,2468,0.97115,0.98297
2020,2nd Quintile,East,No,0.98594,841,841,0.97797,0.99390
2020,3rd Quintile,West,Yes,0.02297,66,2220,0.01673,0.02920
2020,3rd Quintile,West,No,0.97334,2154,2220,0.96664,0.98004
2020,3rd Quintile,East,No,0.98005,639,639,0.96920,0.99090
2020,4th Quintile,West,Yes,0.02661,86,2342,0.02009,0.03313
2020,4th Quintile,West,No,0.96953,2256,2342,0.96257,0.97649
2020,4th Quintile,East,No,0.94252,501,501,0.92212,0.96293
2020,5th Quintile,West,Yes,0.03493,134,3159,0.02853,0.04133
2020,5th Quintile,West,No,0.96149,3025,3159,0.95478,0.96820
2020,5th Quintile,East,No,0.96847,563,563,0.95403,0.98292
2021,1st Quintile,West,Yes,0.02617,42,1507,0.01811,0.03424
2021,1st Quintile,West,No,0.92492,1465,1507,0.91161,0.93823
2021,1st Quintile,East,No,0.94066,523,523,0.92039,0.96093
2021,2nd Quintile,West,Yes,0.01804,43,1612,0.01154,0.02454
2021,2nd Quintile,West,No,0.96922,1569,1612,0.96078,0.97765
2021,2nd Quintile,East,No,0.97529,555,555,0.96236,0.98821
2021,3rd Quintile,West,Yes,0.02855,58,1558,0.02028,0.03683
2021,3rd Quintile,West,No,0.96908,1500,1558,0.96048,0.97768
2021,3rd Quintile,East,No,0.96015,459,459,0.94223,0.97806
2021,4th Quintile,West,Yes,0.01983,62,1693,0.01319,0.02647
2021,4th Quintile,West,No,0.97923,1631,1693,0.97243,0.98602
2021,4th Quintile,East,No,0.95717,376,376,0.93668,0.97766
2021,5th Quintile,West,Yes,0.02813,93,2293,0.02136,0.03490
2021,5th Quintile,West,No,0.96882,2200,2293,0.96171,0.97594
2021,5th Quintile,East,No,0.95491,402,402,0.93460,0.97522
2022,1st Quintile,West,Yes,0.02611,109,3352,0.02071,0.03151
2022,1st Quintile,West,No,0.93046,3243,3352,0.92185,0.93907
2022,1st Quintile,East,No,0.95270,1094,1094,0.94012,0.96529
2022,2nd Quintile,West,Yes,0.02137,81,2872,0.01608,0.02666
2022,2nd Quintile,West,No,0.95902,2791,2872,0.95177,0.96627
2022,2nd Quintile,East,No,0.95827,969,969,0.94568,0.97087
2022,3rd Quintile,West,Yes,0.02908,111,2570,0.02258,0.03558
2022,3rd Quintile,West,No,0.96275,2459,2570,0.95543,0.97008
2022,3rd Quintile,East,No,0.98384,798,798,0.97509,0.99259
2022,4th Quintile,West,Yes,0.03008,98,2776,0.02373,0.03644
2022,4th Quintile,West,No,0.96766,2678,2776,0.96108,0.97425
2022,4th Quintile,East,No,0.97079,619,619,0.95751,0.98407
2022,5th Quintile,West,Yes,0.03090,120,3245,0.02494,0.03685
2022,5th Quintile,West,No,0.96601,3125,3245,0.95977,0.97225
2022,5th Quintile,East,No,0.96710,564,564,0.95237,0.98184
