year,hhtyp,rentown,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2022,Single-person household,Owner,Yes,0.01748,35,1214,0.01011,0.02486
2022,Single-person household,Owner,No,0.97727,1179,1214,0.96889,0.98566
2022,Single-person household,Tenant,Yes,0.02630,120,4343,0.02154,0.03106
2022,Single-person household,Tenant,No,0.95254,4223,4343,0.94622,0.95887
2022,Couple without children,Owner,Yes,0.01560,58,2772,0.01099,0.02022
2022,Couple without children,Owner,No,0.98203,2714,2772,0.97708,0.98697
2022,Couple without children,Tenant,Yes,0.02614,108,2934,0.02037,0.03191
2022,Couple without children,Tenant,No,0.96084,2826,2934,0.95382,0.96786
2022,Single parent,Owner,No,0.95576,299,299,0.93242,0.97911
2022,Single parent,Tenant,No,0.96497,806,806,0.95227,0.97767
2022,Couple with children,Owner,Yes,0.04608,144,2912,0.03846,0.05369
2022,Couple with children,Owner,No,0.95088,2768,2912,0.94303,0.95873
2022,Couple with children,Tenant,Yes,0.03493,70,2220,0.02729,0.04257
2022,Couple with children,Tenant,No,0.91056,2150,2220,0.89868,0.92243
2022,Multi-generational household,Owner,No,0.96515,42,42,0.90901,1.02129
2022,Multi-generational household,Tenant,No,0.94787,39,39,0.87719,1.01855
2022,Other Combinations,Owner,No,0.94750,390,390,0.92533,0.96966
2022,Other Combinations,Tenant,No,0.93867,675,675,0.92055,0.95678
