year,bula_h,hhtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Saxony,Single-person household,No,0.96865,230,230,0.94608,0.99122
2011,Saxony,Couple without children,No,0.90111,279,279,0.86602,0.93620
2011,Saxony,Single parent,No,0.60959,53,53,0.47699,0.74218
2011,Saxony,Couple with children,Yes,0.14980,32,202,0.10046,0.19914
2011,Saxony,Couple with children,No,0.65076,170,202,0.58486,0.71667
2011,Saxony-Anhalt,Single-person household,No,0.96667,147,147,0.93755,0.99579
2011,Saxony-Anhalt,Couple without children,No,0.93610,171,171,0.89934,0.97287
2011,Saxony-Anhalt,Couple with children,No,0.67649,112,112,0.58947,0.76352
2011,Thuringa,Single-person household,No,0.96701,161,161,0.93933,0.99469
2011,Thuringa,Couple without children,No,0.92798,178,178,0.88989,0.96606
2011,Thuringa,Couple with children,No,0.63137,98,98,0.53536,0.72737
2016,Schleswig-Holstein,Single-person household,No,0.97577,125,125,0.94870,1.00283
2016,Schleswig-Holstein,Couple without children,No,0.99062,128,128,0.97385,1.00738
2016,Schleswig-Holstein,Single parent,No,0.90205,54,54,0.82202,0.98208
2016,Schleswig-Holstein,Couple with children,No,0.82376,157,157,0.76397,0.88355
2016,Hamburg,Single-person household,No,0.99315,71,71,0.97382,1.01247
2016,Hamburg,Couple without children,No,0.96360,66,66,0.91807,1.00913
2016,Hamburg,Couple with children,No,0.94883,88,88,0.90252,0.99513
2016,Lower Saxony,Single-person household,No,0.96109,281,281,0.93843,0.98374
2016,Lower Saxony,Couple without children,No,0.93883,372,372,0.91444,0.96322
2016,Lower Saxony,Single parent,No,0.93198,146,146,0.89100,0.97296
2016,Lower Saxony,Couple with children,Yes,0.08830,45,478,0.06284,0.11376
2016,Lower Saxony,Couple with children,No,0.90234,433,478,0.87570,0.92898
2016,Bremen,Couple with children,No,0.94519,33,33,0.86632,1.02405
2016,North Rhine-Westphalia,Single-person household,No,0.98646,603,603,0.97723,0.99569
2016,North Rhine-Westphalia,Couple without children,No,0.96559,758,758,0.95260,0.97857
2016,North Rhine-Westphalia,Single parent,No,0.96446,306,306,0.94369,0.98524
2016,North Rhine-Westphalia,Couple with children,Yes,0.06498,72,1139,0.05066,0.07930
2016,North Rhine-Westphalia,Couple with children,No,0.92655,1067,1139,0.91139,0.94171
2016,North Rhine-Westphalia,Other Combinations,No,0.95856,44,44,0.89899,1.01813
2016,Hesse,Single-person household,No,0.97615,206,206,0.95526,0.99704
2016,Hesse,Couple without children,No,0.97466,272,272,0.95595,0.99337
2016,Hesse,Single parent,No,0.96222,104,104,0.92540,0.99904
2016,Hesse,Couple with children,No,0.95927,328,328,0.93784,0.98069
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98131,203,203,0.96264,0.99999
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97476,234,234,0.95462,0.99490
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.99187,80,80,0.97206,1.01167
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.91398,275,275,0.88078,0.94718
2016,Baden-Wuerttemberg,Single-person household,No,0.99124,347,347,0.98143,1.00106
2016,Baden-Wuerttemberg,Couple without children,No,0.99095,420,420,0.98189,1.00002
2016,Baden-Wuerttemberg,Single parent,No,0.97087,142,142,0.94312,0.99863
2016,Baden-Wuerttemberg,Couple with children,Yes,0.05421,45,670,0.03705,0.07137
2016,Baden-Wuerttemberg,Couple with children,No,0.94025,625,670,0.92229,0.95821
2016,Bavaria,Single-person household,No,0.98698,513,513,0.97716,0.99680
2016,Bavaria,Couple without children,No,0.96647,620,620,0.95229,0.98065
2016,Bavaria,Single parent,No,0.97813,227,227,0.95907,0.99720
2016,Bavaria,Couple with children,Yes,0.07667,71,866,0.05894,0.09440
2016,Bavaria,Couple with children,No,0.91846,795,866,0.90022,0.93670
2016,Berlin,Single-person household,No,0.98920,224,224,0.97563,1.00277
2016,Berlin,Couple without children,No,0.95766,160,160,0.92635,0.98896
2016,Berlin,Single parent,No,0.99014,67,67,0.96630,1.01398
2016,Berlin,Couple with children,No,0.93963,127,127,0.89804,0.98122
2016,Brandenburg,Single-person household,No,0.95377,132,132,0.91782,0.98973
2016,Brandenburg,Couple without children,No,0.96439,202,202,0.93878,0.99001
2016,Brandenburg,Single parent,No,0.89296,49,49,0.80549,0.98042
2016,Brandenburg,Couple with children,No,0.81501,129,129,0.74775,0.88228
2016,Mecklenburg-Western Pomerania,Single-person household,No,0.98616,101,101,0.96326,1.00906
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.98695,104,104,0.96503,1.00887
2016,Mecklenburg-Western Pomerania,Single parent,No,0.97370,39,39,0.92282,1.02458
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.84984,68,68,0.76430,0.93538
2016,Saxony,Single-person household,No,0.95172,221,221,0.92340,0.98005
2016,Saxony,Couple without children,No,0.93006,266,266,0.89936,0.96077
2016,Saxony,Single parent,No,0.87677,80,80,0.80429,0.94926
2016,Saxony,Couple with children,No,0.88755,221,221,0.84581,0.92930
2016,Saxony-Anhalt,Single-person household,No,0.96240,143,143,0.93112,0.99369
2016,Saxony-Anhalt,Couple without children,No,0.91121,139,139,0.86375,0.95867
2016,Saxony-Anhalt,Single parent,No,0.91374,62,62,0.84329,0.98419
2016,Saxony-Anhalt,Couple with children,No,0.84714,115,115,0.78108,0.91320
2016,Thuringa,Single-person household,No,0.97699,149,149,0.95283,1.00115
2016,Thuringa,Couple without children,No,0.95260,174,174,0.92094,0.98427
2016,Thuringa,Single parent,No,0.84483,47,47,0.74020,0.94946
2016,Thuringa,Couple with children,No,0.85912,129,129,0.79885,0.91939
2021,Schleswig-Holstein,Single-person household,No,0.98723,100,100,0.96511,1.00935
2021,Schleswig-Holstein,Couple without children,No,0.95105,120,120,0.91229,0.98982
2021,Schleswig-Holstein,Single parent,No,0.94995,31,31,0.87192,1.02798
2021,Schleswig-Holstein,Couple with children,No,0.83049,139,139,0.76788,0.89309
2021,Hamburg,Single-person household,No,0.98601,82,82,0.96042,1.01159
2021,Hamburg,Couple without children,No,0.99662,89,89,0.98448,1.00875
2021,Hamburg,Couple with children,No,0.96434,61,61,0.91742,1.01126
2021,Lower Saxony,Single-person household,No,0.97372,284,284,0.95508,0.99236
2021,Lower Saxony,Couple without children,No,0.96625,317,317,0.94634,0.98616
2021,Lower Saxony,Single parent,No,0.96137,86,86,0.92041,1.00234
2021,Lower Saxony,Couple with children,No,0.90025,295,295,0.86599,0.93450
2021,North Rhine-Westphalia,Single-person household,No,0.98273,624,624,0.97250,0.99296
2021,North Rhine-Westphalia,Couple without children,No,0.98036,657,657,0.96975,0.99098
2021,North Rhine-Westphalia,Single parent,No,0.90067,156,156,0.85359,0.94776
2021,North Rhine-Westphalia,Couple with children,Yes,0.05882,42,714,0.04155,0.07609
2021,North Rhine-Westphalia,Couple with children,No,0.91676,672,714,0.89649,0.93704
2021,North Rhine-Westphalia,Other Combinations,No,0.90717,62,62,0.83434,0.97999
2021,Hesse,Single-person household,No,0.97154,206,206,0.94877,0.99430
2021,Hesse,Couple without children,No,0.97455,208,208,0.95309,0.99600
2021,Hesse,Single parent,No,0.96730,59,59,0.92153,1.01307
2021,Hesse,Couple with children,No,0.90933,172,172,0.86629,0.95237
2021,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97635,146,146,0.95162,1.00108
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.94423,157,157,0.90822,0.98024
2021,"Rhineland-Palatinate, Saarland",Single parent,No,0.95023,37,37,0.87918,1.02127
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.92227,144,144,0.87838,0.96615
2021,Baden-Wuerttemberg,Single-person household,No,0.98105,310,310,0.96585,0.99625
2021,Baden-Wuerttemberg,Couple without children,No,0.97978,356,356,0.96514,0.99442
2021,Baden-Wuerttemberg,Single parent,No,0.97442,84,84,0.94046,1.00839
2021,Baden-Wuerttemberg,Couple with children,No,0.94418,390,390,0.92137,0.96699
2021,Bavaria,Single-person household,No,0.96639,510,510,0.95074,0.98205
2021,Bavaria,Couple without children,No,0.96665,486,486,0.95066,0.98263
2021,Bavaria,Single parent,No,0.92405,117,117,0.87584,0.97226
2021,Bavaria,Couple with children,Yes,0.07616,32,529,0.05354,0.09879
2021,Bavaria,Couple with children,No,0.91373,497,529,0.88978,0.93768
2021,Bavaria,Other Combinations,No,0.97711,44,44,0.93240,1.02181
2021,Berlin,Single-person household,No,0.97711,234,234,0.95791,0.99631
2021,Berlin,Couple without children,No,0.97654,148,148,0.95207,1.00101
2021,Berlin,Single parent,No,0.97696,39,39,0.92926,1.02466
2021,Berlin,Couple with children,No,0.94424,115,115,0.90212,0.98636
2021,Brandenburg,Single-person household,No,0.98269,117,117,0.95896,1.00642
2021,Brandenburg,Couple without children,No,0.98063,159,159,0.95914,1.00212
2021,Brandenburg,Single parent,No,0.91390,37,37,0.82227,1.00553
2021,Brandenburg,Couple with children,No,0.90278,100,100,0.84442,0.96114
2021,Mecklenburg-Western Pomerania,Single-person household,No,0.98506,82,82,0.95863,1.01148
2021,Mecklenburg-Western Pomerania,Couple without children,No,0.96482,80,80,0.92420,1.00545
2021,Mecklenburg-Western Pomerania,Couple with children,No,0.82300,49,49,0.71502,0.93097
2021,Saxony,Single-person household,No,0.92910,186,186,0.89211,0.96608
2021,Saxony,Couple without children,No,0.94889,258,258,0.92197,0.97582
2021,Saxony,Single parent,No,0.91181,71,71,0.84538,0.97824
2021,Saxony,Couple with children,No,0.93299,156,156,0.89363,0.97236
2021,Saxony-Anhalt,Single-person household,No,0.97258,113,113,0.94233,1.00282
2021,Saxony-Anhalt,Couple without children,No,0.91338,110,110,0.86057,0.96618
2021,Saxony-Anhalt,Single parent,No,0.75861,35,35,0.61477,0.90245
2021,Saxony-Anhalt,Couple with children,No,0.70417,57,57,0.58462,0.82371
2021,Thuringa,Single-person household,No,0.98685,118,118,0.96620,1.00749
2021,Thuringa,Couple without children,No,0.95744,118,118,0.92086,0.99402
2021,Thuringa,Single parent,No,0.81730,32,32,0.68127,0.95333
2021,Thuringa,Couple with children,No,0.88700,81,81,0.81762,0.95638
