year,bula_h,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Saxony,East,Yes,0.07317,66,877,0.05592,0.09041
2006,Saxony,East,No,0.92683,811,877,0.90959,0.94408
2006,Saxony-Anhalt,East,Yes,0.11181,57,492,0.08394,0.13969
2006,Saxony-Anhalt,East,No,0.88819,435,492,0.86031,0.91606
2006,Thuringa,East,Yes,0.07882,46,515,0.05552,0.10212
2006,Thuringa,East,No,0.92118,469,515,0.89788,0.94448
2011,Schleswig-Holstein,West,No,0.88400,391,391,0.85222,0.91578
2011,Hamburg,West,No,0.92477,191,191,0.88727,0.96228
2011,Lower Saxony,West,Yes,0.04798,70,1087,0.03527,0.06069
2011,Lower Saxony,West,No,0.87360,1017,1087,0.85384,0.89336
2011,Bremen,West,No,0.87036,76,76,0.79433,0.94638
2011,North Rhine-Westphalia,West,Yes,0.04831,147,2353,0.03964,0.05697
2011,North Rhine-Westphalia,West,No,0.87519,2206,2353,0.86183,0.88855
2011,Hesse,West,Yes,0.04480,45,830,0.03072,0.05888
2011,Hesse,West,No,0.87411,785,830,0.85153,0.89669
2011,"Rhineland-Palatinate, Saarland",West,Yes,0.03915,40,710,0.02487,0.05342
2011,"Rhineland-Palatinate, Saarland",West,No,0.88662,670,710,0.86328,0.90995
2011,Baden-Wuerttemberg,West,Yes,0.04107,78,1401,0.03067,0.05146
2011,Baden-Wuerttemberg,West,No,0.87796,1323,1401,0.86081,0.89510
2011,Bavaria,West,Yes,0.04003,103,1839,0.03107,0.04899
2011,Bavaria,West,No,0.88215,1736,1839,0.86741,0.89689
2011,Berlin,West,No,0.91138,282,282,0.87815,0.94461
2011,Berlin,East,No,0.89005,214,214,0.84803,0.93206
2011,Brandenburg,East,No,0.87778,493,493,0.84884,0.90672
2011,Mecklenburg-Western Pomerania,East,No,0.88597,294,294,0.84957,0.92236
2011,Saxony,East,Yes,0.07773,68,808,0.05926,0.09621
2011,Saxony,East,No,0.85815,740,808,0.83408,0.88222
2011,Saxony-Anhalt,East,Yes,0.06237,42,509,0.04134,0.08340
2011,Saxony-Anhalt,East,No,0.86641,467,509,0.83683,0.89600
2011,Thuringa,East,Yes,0.06050,45,519,0.03997,0.08103
2011,Thuringa,East,No,0.86353,474,519,0.83396,0.89309
2016,Schleswig-Holstein,West,No,0.94328,474,474,0.92244,0.96413
2016,Hamburg,West,No,0.97372,258,258,0.95417,0.99328
