year,quintil_oecd_hh,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,2nd Quintile,Tenant,No,0.96183,1439,1503,0.95214,0.97152
2021,3rd Quintile,Owner,Yes,0.05816,53,927,0.04308,0.07323
2021,3rd Quintile,Owner,No,0.94164,874,927,0.92654,0.95674
2021,3rd Quintile,Tenant,Yes,0.03022,37,1097,0.02008,0.04035
2021,3rd Quintile,Tenant,No,0.96662,1060,1097,0.95598,0.97725
2021,4th Quintile,Owner,Yes,0.04237,61,1211,0.03102,0.05372
2021,4th Quintile,Owner,No,0.95760,1150,1211,0.94625,0.96896
2021,4th Quintile,Tenant,No,0.98156,841,841,0.97246,0.99066
2021,5th Quintile,Owner,Yes,0.04316,102,1988,0.03423,0.05210
2021,5th Quintile,Owner,No,0.95414,1886,1988,0.94494,0.96334
2021,5th Quintile,Tenant,No,0.97926,700,700,0.96869,0.98982
