year,hhtyp,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Other Combinations,West,No,0.93778,163,163,0.90058,0.97498
2021,Single-person household,West,No,0.97742,2449,2449,0.97154,0.98331
2021,Single-person household,East,No,0.96322,689,689,0.94916,0.97729
2021,Couple without children,West,Yes,0.02552,82,2595,0.01945,0.03158
2021,Couple without children,West,No,0.97234,2513,2595,0.96603,0.97865
2021,Couple without children,East,Yes,0.04245,40,819,0.02864,0.05627
2021,Couple without children,East,No,0.95596,779,819,0.94190,0.97002
2021,Single parent,West,Yes,0.05126,39,657,0.03438,0.06814
2021,Single parent,West,No,0.93166,618,657,0.91235,0.95097
2021,Single parent,East,No,0.88247,221,221,0.83991,0.92503
2021,Couple with children,West,Yes,0.05957,161,2611,0.05049,0.06865
2021,Couple with children,West,No,0.91718,2450,2611,0.90661,0.92776
2021,Couple with children,East,Yes,0.10014,61,551,0.07506,0.12523
2021,Couple with children,East,No,0.87944,490,551,0.85223,0.90666
2021,Multi-generational household,West,No,0.92404,55,55,0.85338,0.99470
2021,Other Combinations,West,No,0.95289,210,210,0.92417,0.98162
2021,Other Combinations,East,No,0.93604,42,42,0.86114,1.01094
