year,bula_h,quintil_oecd_hh,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Baden-Wuerttemberg,5th Quintile,No,0.97149,157,157,0.94538,0.99761
1996,Bavaria,1st Quintile,No,0.99028,148,148,0.97442,1.00614
1996,Bavaria,2nd Quintile,No,0.96772,135,135,0.93779,0.99765
1996,Bavaria,3rd Quintile,No,0.92447,168,168,0.88439,0.96455
1996,Bavaria,4th Quintile,No,0.94239,174,174,0.90767,0.97711
1996,Bavaria,5th Quintile,No,0.92781,185,185,0.89041,0.96521
1996,Berlin,1st Quintile,No,0.90053,57,57,0.82214,0.97892
1996,Berlin,2nd Quintile,No,0.93863,49,49,0.87073,1.00653
1996,Berlin,3rd Quintile,No,0.97020,60,60,0.92681,1.01359
1996,Berlin,4th Quintile,No,0.89879,60,60,0.82183,0.97575
1996,Berlin,5th Quintile,No,0.92394,57,57,0.85450,0.99337
1996,Brandenburg,1st Quintile,No,0.96770,61,61,0.92296,1.01244
1996,Brandenburg,2nd Quintile,No,0.91643,76,76,0.85379,0.97906
1996,Brandenburg,3rd Quintile,No,0.95279,64,64,0.90042,1.00516
1996,Brandenburg,4th Quintile,No,0.92713,47,47,0.85201,1.00224
1996,Brandenburg,5th Quintile,No,0.96827,32,32,0.90656,1.02997
1996,Mecklenburg-Western Pomerania,1st Quintile,No,0.94541,51,51,0.88244,1.00838
1996,Mecklenburg-Western Pomerania,2nd Quintile,No,0.96513,46,46,0.91153,1.01873
1996,Mecklenburg-Western Pomerania,3rd Quintile,No,0.98014,45,45,0.93891,1.02137
1996,Saxony,1st Quintile,No,0.99200,134,134,0.97687,1.00714
1996,Saxony,2nd Quintile,No,0.86601,133,133,0.80790,0.92412
1996,Saxony,3rd Quintile,No,0.93381,122,122,0.88951,0.97811
1996,Saxony,4th Quintile,No,0.94933,80,80,0.90097,0.99769
1996,Saxony,5th Quintile,No,0.91060,38,38,0.81867,1.00254
1996,Saxony-Anhalt,1st Quintile,No,0.96316,70,70,0.91871,1.00761
1996,Saxony-Anhalt,2nd Quintile,No,0.91784,82,82,0.85803,0.97764
1996,Saxony-Anhalt,3rd Quintile,No,0.93439,77,77,0.87873,0.99006
1996,Saxony-Anhalt,4th Quintile,No,0.93229,53,53,0.86400,1.00058
1996,Thuringa,1st Quintile,No,0.93771,71,71,0.88109,0.99433
1996,Thuringa,2nd Quintile,No,0.94450,90,90,0.89693,0.99207
1996,Thuringa,3rd Quintile,No,0.94314,82,82,0.89271,0.99357
1996,Thuringa,4th Quintile,No,0.95906,42,42,0.89840,1.01971
2001,Schleswig-Holstein,1st Quintile,No,0.90176,52,52,0.82007,0.98345
2001,Schleswig-Holstein,2nd Quintile,No,0.98348,68,68,0.95297,1.01400
2001,Schleswig-Holstein,3rd Quintile,No,0.96984,65,65,0.92794,1.01174
2001,Schleswig-Holstein,4th Quintile,No,0.99092,80,80,0.97001,1.01184
2001,Schleswig-Holstein,5th Quintile,No,0.95824,84,84,0.91521,1.00128
2001,Hamburg,2nd Quintile,No,0.98299,33,33,0.93818,1.02779
2001,Lower Saxony,1st Quintile,No,0.94492,159,159,0.90935,0.98050
2001,Lower Saxony,2nd Quintile,No,0.90537,159,159,0.85973,0.95101
2001,Lower Saxony,3rd Quintile,No,0.92396,196,196,0.88676,0.96116
2001,Lower Saxony,4th Quintile,No,0.92688,200,200,0.89071,0.96305
2001,Lower Saxony,5th Quintile,No,0.96421,184,184,0.93730,0.99113
2001,North Rhine-Westphalia,1st Quintile,No,0.96242,442,442,0.94467,0.98017
2001,North Rhine-Westphalia,2nd Quintile,Yes,0.06910,37,464,0.04600,0.09220
2001,North Rhine-Westphalia,2nd Quintile,No,0.93090,427,464,0.90780,0.95400
2001,North Rhine-Westphalia,3rd Quintile,Yes,0.06265,32,500,0.04139,0.08392
2001,North Rhine-Westphalia,3rd Quintile,No,0.93735,468,500,0.91608,0.95861
2001,North Rhine-Westphalia,4th Quintile,No,0.94790,485,485,0.92811,0.96770
2001,North Rhine-Westphalia,5th Quintile,No,0.95822,518,518,0.94097,0.97546
2001,Hesse,1st Quintile,No,0.95695,128,128,0.92165,0.99225
2001,Hesse,2nd Quintile,No,0.94190,137,137,0.90259,0.98122
2001,Hesse,3rd Quintile,No,0.94036,144,144,0.90155,0.97918
2001,Hesse,4th Quintile,No,0.93554,143,143,0.89515,0.97593
2001,Hesse,5th Quintile,No,0.97927,181,181,0.95846,1.00009
2001,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.97565,130,130,0.94904,1.00225
2001,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.92171,143,143,0.87752,0.96589
2001,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.92874,123,123,0.88309,0.97439
2001,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.92117,158,158,0.87901,0.96332
2001,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.92573,110,110,0.87650,0.97495
2001,Baden-Wuerttemberg,1st Quintile,No,0.97040,212,212,0.94753,0.99327
2001,Baden-Wuerttemberg,2nd Quintile,No,0.94946,238,238,0.92157,0.97735
2001,Baden-Wuerttemberg,3rd Quintile,No,0.95933,268,268,0.93563,0.98302
2001,Baden-Wuerttemberg,4th Quintile,No,0.97092,293,293,0.95164,0.99019
2001,Baden-Wuerttemberg,5th Quintile,No,0.96316,287,287,0.94132,0.98499
2001,Bavaria,1st Quintile,No,0.96486,236,236,0.94132,0.98840
2001,Bavaria,2nd Quintile,No,0.97148,296,296,0.95249,0.99048
2001,Bavaria,3rd Quintile,No,0.94723,293,293,0.92159,0.97287
2001,Bavaria,4th Quintile,No,0.93459,346,346,0.90850,0.96068
2001,Bavaria,5th Quintile,No,0.96193,358,358,0.94208,0.98178
2001,Berlin,1st Quintile,No,0.96190,120,120,0.92750,0.99629
2001,Berlin,2nd Quintile,No,0.95013,80,80,0.90213,0.99813
2001,Berlin,3rd Quintile,No,0.96860,82,82,0.93062,1.00658
2001,Berlin,4th Quintile,No,0.87437,87,87,0.80432,0.94442
2001,Berlin,5th Quintile,No,0.98112,84,84,0.95184,1.01040
2001,Brandenburg,1st Quintile,No,0.95412,107,107,0.91429,0.99395
2001,Brandenburg,2nd Quintile,No,0.96000,125,125,0.92551,0.99449
2001,Brandenburg,3rd Quintile,No,0.91908,107,107,0.86716,0.97100
2001,Brandenburg,4th Quintile,No,0.85902,71,71,0.77749,0.94054
2001,Brandenburg,5th Quintile,No,0.95662,51,51,0.90015,1.01308
2001,Mecklenburg-Western Pomerania,1st Quintile,No,0.93111,74,74,0.87301,0.98921
2001,Mecklenburg-Western Pomerania,2nd Quintile,No,0.97677,82,82,0.94396,1.00957
2001,Mecklenburg-Western Pomerania,3rd Quintile,No,0.95916,55,55,0.90638,1.01195
2001,Saxony,1st Quintile,No,0.95253,188,188,0.92205,0.98301
2001,Saxony,2nd Quintile,No,0.92840,230,230,0.89501,0.96179
2001,Saxony,3rd Quintile,No,0.90005,186,186,0.85683,0.94327
2001,Saxony,4th Quintile,No,0.94154,113,113,0.89809,0.98499
2001,Saxony,5th Quintile,No,0.92200,64,64,0.85577,0.98822
2001,Saxony-Anhalt,1st Quintile,No,0.92600,104,104,0.87545,0.97655
2001,Saxony-Anhalt,2nd Quintile,No,0.92748,128,128,0.88237,0.97259
2001,Saxony-Anhalt,3rd Quintile,No,0.90716,107,107,0.85191,0.96240
2001,Saxony-Anhalt,4th Quintile,No,0.89018,77,77,0.81989,0.96048
2001,Saxony-Anhalt,5th Quintile,No,0.90231,39,39,0.80791,0.99671
2001,Thuringa,1st Quintile,No,0.90902,105,105,0.85375,0.96429
2001,Thuringa,2nd Quintile,No,0.93948,121,121,0.89681,0.98214
2001,Thuringa,3rd Quintile,No,0.90568,116,116,0.85226,0.95910
2001,Thuringa,4th Quintile,No,0.89929,74,74,0.83025,0.96833
2006,Schleswig-Holstein,1st Quintile,No,0.98823,61,61,0.96093,1.01552
2006,Schleswig-Holstein,2nd Quintile,No,0.98958,64,64,0.96451,1.01466
2006,Schleswig-Holstein,3rd Quintile,No,0.97835,67,67,0.94323,1.01346
2006,Schleswig-Holstein,4th Quintile,No,0.92145,82,82,0.86286,0.98004
2006,Schleswig-Holstein,5th Quintile,No,0.94022,99,99,0.89328,0.98716
2006,Hamburg,1st Quintile,No,0.99420,40,40,0.97037,1.01803
2006,Hamburg,4th Quintile,No,0.99415,35,35,0.96853,1.01978
2006,Hamburg,5th Quintile,No,0.99315,55,55,0.97116,1.01515
2006,Lower Saxony,1st Quintile,No,0.98090,151,151,0.95900,1.00281
2006,Lower Saxony,2nd Quintile,No,0.93207,174,174,0.89457,0.96957
2006,Lower Saxony,3rd Quintile,No,0.90662,178,178,0.86375,0.94948
2006,Lower Saxony,4th Quintile,No,0.92497,223,223,0.89032,0.95962
2006,Lower Saxony,5th Quintile,No,0.95631,274,274,0.93206,0.98056
2006,North Rhine-Westphalia,1st Quintile,No,0.95760,417,417,0.93824,0.97696
2006,North Rhine-Westphalia,2nd Quintile,No,0.96725,391,391,0.94958,0.98491
2006,North Rhine-Westphalia,3rd Quintile,No,0.93962,414,414,0.91665,0.96259
2006,North Rhine-Westphalia,4th Quintile,Yes,0.08286,43,526,0.05928,0.10644
2006,North Rhine-Westphalia,4th Quintile,No,0.91714,483,526,0.89356,0.94072
2006,North Rhine-Westphalia,5th Quintile,Yes,0.03755,45,720,0.02366,0.05145
2006,North Rhine-Westphalia,5th Quintile,No,0.96245,675,720,0.94855,0.97634
2006,Hesse,1st Quintile,No,0.98151,120,120,0.95730,1.00571
2006,Hesse,2nd Quintile,No,0.96322,113,113,0.92835,0.99808
2006,Hesse,3rd Quintile,No,0.92401,141,141,0.88011,0.96790
2006,Hesse,4th Quintile,No,0.97392,156,156,0.94883,0.99901
2006,Hesse,5th Quintile,No,0.96113,265,265,0.93781,0.98444
2006,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.97914,130,130,0.95448,1.00380
2006,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.88603,119,119,0.82869,0.94336
2006,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.91912,121,121,0.87033,0.96790
2006,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.98000,144,144,0.95705,1.00295
2006,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.95588,166,166,0.92455,0.98722
2006,Baden-Wuerttemberg,1st Quintile,No,0.96587,174,174,0.93882,0.99293
2006,Baden-Wuerttemberg,2nd Quintile,No,0.96590,211,211,0.94135,0.99045
2006,Baden-Wuerttemberg,3rd Quintile,No,0.92987,263,263,0.89895,0.96079
2006,Baden-Wuerttemberg,4th Quintile,No,0.94483,302,302,0.91903,0.97062
2006,Baden-Wuerttemberg,5th Quintile,No,0.97126,441,441,0.95564,0.98687
2006,Bavaria,1st Quintile,No,0.95247,216,216,0.92403,0.98091
2006,Bavaria,2nd Quintile,No,0.97931,249,249,0.96159,0.99703
2006,Bavaria,3rd Quintile,No,0.93881,320,320,0.91251,0.96511
2006,Bavaria,4th Quintile,No,0.93654,354,354,0.91111,0.96197
2006,Bavaria,5th Quintile,No,0.94358,493,493,0.92319,0.96396
2006,Berlin,1st Quintile,No,0.98966,112,112,0.97085,1.00848
2006,Berlin,2nd Quintile,No,0.95804,78,78,0.91325,1.00282
2006,Berlin,3rd Quintile,No,0.89684,71,71,0.82559,0.96810
2006,Berlin,4th Quintile,No,0.98971,95,95,0.96931,1.01011
2006,Berlin,5th Quintile,No,0.96901,110,110,0.93647,1.00154
2006,Brandenburg,1st Quintile,No,0.91353,97,97,0.85730,0.96975
2006,Brandenburg,2nd Quintile,No,0.93460,137,137,0.89305,0.97615
2006,Brandenburg,3rd Quintile,No,0.88024,109,109,0.81900,0.94147
2006,Brandenburg,4th Quintile,No,0.86869,82,82,0.79513,0.94224
2006,Brandenburg,5th Quintile,No,0.97587,66,66,0.93856,1.01318
2006,Mecklenburg-Western Pomerania,1st Quintile,No,0.95009,68,68,0.89795,1.00223
2006,Mecklenburg-Western Pomerania,2nd Quintile,No,0.96172,77,77,0.91858,1.00486
2006,Mecklenburg-Western Pomerania,3rd Quintile,No,0.96300,51,51,0.91068,1.01532
2006,Mecklenburg-Western Pomerania,4th Quintile,No,0.87503,44,44,0.77619,0.97387
2006,Mecklenburg-Western Pomerania,5th Quintile,No,0.91974,40,40,0.83446,1.00501
2006,Saxony,1st Quintile,No,0.94812,196,196,0.91699,0.97925
2006,Saxony,2nd Quintile,No,0.95290,194,194,0.92301,0.98279
2006,Saxony,3rd Quintile,No,0.89775,198,198,0.85545,0.94006
2006,Saxony,4th Quintile,No,0.92584,135,135,0.88147,0.97021
2006,Saxony,5th Quintile,No,0.84651,88,88,0.77076,0.92225
2006,Saxony-Anhalt,1st Quintile,No,0.92064,100,100,0.86740,0.97389
2006,Saxony-Anhalt,2nd Quintile,No,0.93378,103,103,0.88553,0.98204
2006,Saxony-Anhalt,3rd Quintile,No,0.86462,116,116,0.80209,0.92715
2006,Saxony-Anhalt,4th Quintile,No,0.77241,60,60,0.66542,0.87940
2006,Saxony-Anhalt,5th Quintile,No,0.90396,56,56,0.82608,0.98183
2006,Thuringa,1st Quintile,No,0.88711,96,96,0.82348,0.95075
2006,Thuringa,2nd Quintile,No,0.94001,131,131,0.89919,0.98083
2006,Thuringa,3rd Quintile,No,0.94012,101,101,0.89362,0.98662
2006,Thuringa,4th Quintile,No,0.91363,94,94,0.85654,0.97073
2006,Thuringa,5th Quintile,No,0.93119,46,46,0.85723,1.00515
2011,Schleswig-Holstein,1st Quintile,No,0.86763,92,92,0.79799,0.93726
2011,Schleswig-Holstein,2nd Quintile,No,0.85643,75,75,0.77654,0.93632
2011,Schleswig-Holstein,3rd Quintile,No,0.93993,79,79,0.88720,0.99266
2011,Schleswig-Holstein,4th Quintile,No,0.89197,74,74,0.82076,0.96318
2011,Schleswig-Holstein,5th Quintile,No,0.87223,71,71,0.79402,0.95043
2011,Hamburg,2nd Quintile,No,0.89334,39,39,0.79519,0.99149
2011,Hamburg,3rd Quintile,No,0.93698,36,36,0.85647,1.01749
2011,Hamburg,4th Quintile,No,0.97770,33,33,0.92653,1.02886
2011,Hamburg,5th Quintile,No,0.92761,55,55,0.85849,0.99673
2011,Lower Saxony,1st Quintile,No,0.83272,172,172,0.77678,0.88866
2011,Lower Saxony,2nd Quintile,No,0.85444,169,169,0.80111,0.90777
2011,Lower Saxony,3rd Quintile,No,0.87712,195,195,0.83092,0.92331
2011,Lower Saxony,4th Quintile,No,0.89691,222,222,0.85682,0.93700
2011,Lower Saxony,5th Quintile,No,0.89846,259,259,0.86160,0.93531
2011,North Rhine-Westphalia,1st Quintile,No,0.84030,416,416,0.80506,0.87555
2011,North Rhine-Westphalia,2nd Quintile,No,0.85507,360,360,0.81865,0.89148
2011,North Rhine-Westphalia,3rd Quintile,No,0.88784,398,398,0.85680,0.91888
2011,North Rhine-Westphalia,4th Quintile,Yes,0.08475,44,493,0.06014,0.10936
2011,North Rhine-Westphalia,4th Quintile,No,0.86759,449,493,0.83764,0.89754
2011,North Rhine-Westphalia,5th Quintile,Yes,0.04995,37,619,0.03278,0.06713
2011,North Rhine-Westphalia,5th Quintile,No,0.92047,582,619,0.89914,0.94180
2011,Hesse,1st Quintile,No,0.85987,122,122,0.79802,0.92172
2011,Hesse,2nd Quintile,No,0.85235,118,118,0.78806,0.91663
2011,Hesse,3rd Quintile,No,0.86020,142,142,0.80296,0.91744
2011,Hesse,4th Quintile,No,0.87810,158,158,0.82692,0.92927
2011,Hesse,5th Quintile,No,0.90425,245,245,0.86733,0.94117
2011,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.88866,137,137,0.83580,0.94153
2011,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.84631,127,127,0.78333,0.90928
2011,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.86697,127,127,0.80767,0.92627
2011,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.88893,135,135,0.83573,0.94214
2011,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.95591,144,144,0.92227,0.98956
2011,Baden-Wuerttemberg,1st Quintile,No,0.82256,174,174,0.76563,0.87949
2011,Baden-Wuerttemberg,2nd Quintile,No,0.87591,211,211,0.83132,0.92050
2011,Baden-Wuerttemberg,3rd Quintile,No,0.85234,246,246,0.80792,0.89676
2011,Baden-Wuerttemberg,4th Quintile,No,0.91352,315,315,0.88243,0.94461
2011,Baden-Wuerttemberg,5th Quintile,No,0.89663,377,377,0.86586,0.92740
2011,Bavaria,1st Quintile,No,0.86226,261,261,0.82037,0.90415
2011,Bavaria,2nd Quintile,No,0.84842,278,278,0.80619,0.89065
2011,Bavaria,3rd Quintile,No,0.87820,326,326,0.84264,0.91376
2011,Bavaria,4th Quintile,No,0.89461,385,385,0.86390,0.92532
2011,Bavaria,5th Quintile,Yes,0.05528,33,518,0.03558,0.07497
2011,Bavaria,5th Quintile,No,0.91001,485,518,0.88534,0.93468
2011,Berlin,1st Quintile,No,0.83571,108,108,0.76550,0.90592
2011,Berlin,2nd Quintile,No,0.90748,80,80,0.84359,0.97138
2011,Berlin,3rd Quintile,No,0.91517,101,101,0.86056,0.96978
2011,Berlin,4th Quintile,No,0.91471,99,99,0.85940,0.97001
2011,Berlin,5th Quintile,No,0.98135,108,108,0.95571,1.00698
2011,Brandenburg,1st Quintile,No,0.81588,117,117,0.74534,0.88641
2011,Brandenburg,2nd Quintile,No,0.87749,120,120,0.81858,0.93640
2011,Brandenburg,3rd Quintile,No,0.91879,116,116,0.86887,0.96872
2011,Brandenburg,4th Quintile,No,0.86692,73,73,0.78846,0.94538
2011,Brandenburg,5th Quintile,No,0.96300,67,67,0.91745,1.00854
2011,Mecklenburg-Western Pomerania,1st Quintile,No,0.81398,82,82,0.72924,0.89872
2011,Mecklenburg-Western Pomerania,2nd Quintile,No,0.94696,78,78,0.89690,0.99702
2011,Mecklenburg-Western Pomerania,3rd Quintile,No,0.86816,53,53,0.77621,0.96012
2011,Mecklenburg-Western Pomerania,4th Quintile,No,0.93808,46,46,0.86766,1.00850
2011,Mecklenburg-Western Pomerania,5th Quintile,No,0.89911,35,35,0.79787,1.00035
2011,Saxony,1st Quintile,No,0.85270,182,182,0.80107,0.90433
2011,Saxony,2nd Quintile,No,0.85879,196,196,0.80991,0.90767
2011,Saxony,3rd Quintile,No,0.87856,183,183,0.83110,0.92602
2011,Saxony,4th Quintile,No,0.83344,107,107,0.76251,0.90437
2011,Saxony,5th Quintile,No,0.85539,72,72,0.77358,0.93720
2011,Saxony-Anhalt,1st Quintile,No,0.84589,119,119,0.78074,0.91104
2011,Saxony-Anhalt,2nd Quintile,No,0.88717,123,123,0.83103,0.94331
2011,Saxony-Anhalt,3rd Quintile,No,0.80313,92,92,0.72144,0.88483
2011,Saxony-Anhalt,4th Quintile,No,0.95377,76,76,0.90625,1.00129
2011,Saxony-Anhalt,5th Quintile,No,0.88327,57,57,0.79917,0.96737
2011,Thuringa,1st Quintile,No,0.83062,123,123,0.76406,0.89718
2011,Thuringa,2nd Quintile,No,0.89948,132,132,0.84799,0.95097
2011,Thuringa,3rd Quintile,No,0.85934,104,104,0.79219,0.92648
2011,Thuringa,4th Quintile,No,0.92467,79,79,0.86610,0.98324
2011,Thuringa,5th Quintile,No,0.71695,36,36,0.56770,0.86619
2016,Schleswig-Holstein,1st Quintile,No,0.93236,122,122,0.88762,0.97711
2016,Schleswig-Holstein,2nd Quintile,No,0.97710,102,102,0.94792,1.00627
2016,Schleswig-Holstein,3rd Quintile,No,0.86167,87,87,0.78871,0.93464
2016,Schleswig-Holstein,4th Quintile,No,0.96885,83,83,0.93125,1.00645
2016,Schleswig-Holstein,5th Quintile,No,0.97376,80,80,0.93851,1.00901
2016,Hamburg,1st Quintile,No,0.96413,47,47,0.91039,1.01787
2016,Hamburg,4th Quintile,No,0.96567,57,57,0.91798,1.01336
2016,Hamburg,5th Quintile,No,0.94848,64,64,0.89389,1.00306
2016,Lower Saxony,1st Quintile,No,0.93730,292,292,0.90945,0.96515
2016,Lower Saxony,2nd Quintile,No,0.96003,233,233,0.93483,0.98524
2016,Lower Saxony,3rd Quintile,No,0.91846,222,222,0.88238,0.95454
2016,Lower Saxony,4th Quintile,No,0.93815,261,261,0.90887,0.96743
2016,Lower Saxony,5th Quintile,No,0.94359,256,256,0.91527,0.97191
2016,Bremen,1st Quintile,No,0.95453,36,36,0.88552,1.02355
2016,North Rhine-Westphalia,1st Quintile,No,0.95230,666,666,0.93610,0.96850
2016,North Rhine-Westphalia,2nd Quintile,No,0.97151,553,553,0.95763,0.98539
2016,North Rhine-Westphalia,3rd Quintile,No,0.97194,502,502,0.95748,0.98640
2016,North Rhine-Westphalia,4th Quintile,No,0.96861,519,519,0.95359,0.98363
2016,North Rhine-Westphalia,5th Quintile,No,0.95729,554,554,0.94043,0.97414
2016,Hesse,1st Quintile,No,0.94891,189,189,0.91743,0.98038
2016,Hesse,2nd Quintile,No,0.98232,180,180,0.96302,1.00163
2016,Hesse,3rd Quintile,No,0.93689,157,157,0.89873,0.97505
2016,Hesse,4th Quintile,No,0.98732,172,172,0.97055,1.00409
2016,Hesse,5th Quintile,No,0.97975,243,243,0.96200,0.99750
2016,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.93694,186,186,0.90191,0.97197
2016,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.96949,187,187,0.94477,0.99421
2016,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.97776,151,151,0.95416,1.00136
2016,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.94467,142,142,0.90694,0.98241
2016,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.99275,151,151,0.97918,1.00633
2016,Baden-Wuerttemberg,1st Quintile,No,0.96455,221,221,0.94012,0.98899
2016,Baden-Wuerttemberg,2nd Quintile,No,0.97872,286,286,0.96197,0.99548
2016,Baden-Wuerttemberg,3rd Quintile,No,0.97551,316,316,0.95845,0.99258
2016,Baden-Wuerttemberg,4th Quintile,No,0.98236,345,345,0.96844,0.99627
2016,Baden-Wuerttemberg,5th Quintile,No,0.98174,398,398,0.96857,0.99491
2016,Bavaria,1st Quintile,No,0.94959,355,355,0.92680,0.97238
2016,Bavaria,2nd Quintile,No,0.97839,481,481,0.96538,0.99140
2016,Bavaria,3rd Quintile,No,0.97526,427,427,0.96050,0.99001
2016,Bavaria,4th Quintile,No,0.96062,443,443,0.94248,0.97875
2016,Bavaria,5th Quintile,Yes,0.04561,32,522,0.02769,0.06353
2016,Bavaria,5th Quintile,No,0.95439,490,522,0.93647,0.97231
2016,Berlin,1st Quintile,No,0.97802,145,145,0.95407,1.00197
2016,Berlin,2nd Quintile,No,0.97749,109,109,0.94952,1.00547
2016,Berlin,3rd Quintile,No,0.97043,111,111,0.93877,1.00209
2016,Berlin,4th Quintile,No,0.96827,121,121,0.93690,0.99963
2016,Berlin,5th Quintile,No,0.98546,102,102,0.96211,1.00880
2016,Brandenburg,1st Quintile,No,0.87783,128,128,0.82087,0.93479
2016,Brandenburg,2nd Quintile,No,0.95391,138,138,0.91879,0.98902
2016,Brandenburg,3rd Quintile,No,0.95498,119,119,0.91757,0.99239
2016,Brandenburg,4th Quintile,No,0.86963,68,68,0.78900,0.95026
2016,Brandenburg,5th Quintile,No,0.98369,70,70,0.95379,1.01358
2016,Mecklenburg-Western Pomerania,1st Quintile,No,0.95496,101,101,0.91432,0.99561
2016,Mecklenburg-Western Pomerania,2nd Quintile,No,0.94973,75,75,0.89994,0.99951
2016,Mecklenburg-Western Pomerania,3rd Quintile,No,0.98175,67,67,0.94945,1.01404
2016,Mecklenburg-Western Pomerania,4th Quintile,No,0.98599,41,41,0.94956,1.02241
2016,Mecklenburg-Western Pomerania,5th Quintile,No,0.99443,32,32,0.96822,1.02063
2016,Saxony,1st Quintile,No,0.92443,198,198,0.88752,0.96134
2016,Saxony,2nd Quintile,No,0.93160,214,214,0.89770,0.96550
2016,Saxony,3rd Quintile,No,0.92214,194,194,0.88434,0.95995
2016,Saxony,4th Quintile,No,0.91933,116,116,0.86956,0.96911
2016,Saxony,5th Quintile,No,0.94764,78,78,0.89788,0.99739
2016,Saxony-Anhalt,1st Quintile,No,0.95012,151,151,0.91528,0.98496
2016,Saxony-Anhalt,2nd Quintile,No,0.91829,119,119,0.86887,0.96771
2016,Saxony-Anhalt,3rd Quintile,No,0.91272,89,89,0.85375,0.97169
2016,Saxony-Anhalt,4th Quintile,No,0.91333,65,65,0.84440,0.98226
2016,Saxony-Anhalt,5th Quintile,No,0.94377,43,43,0.87410,1.01344
2016,Thuringa,1st Quintile,No,0.92927,132,132,0.88537,0.97318
2016,Thuringa,2nd Quintile,No,0.92813,135,135,0.88440,0.97186
2016,Thuringa,3rd Quintile,No,0.93184,104,104,0.88317,0.98051
2016,Thuringa,4th Quintile,No,0.96493,84,84,0.92536,1.00451
2016,Thuringa,5th Quintile,No,0.94803,51,51,0.88650,1.00956
2021,Schleswig-Holstein,1st Quintile,No,0.91444,72,72,0.84937,0.97950
2021,Schleswig-Holstein,2nd Quintile,No,0.96569,80,80,0.92555,1.00583
2021,Schleswig-Holstein,3rd Quintile,No,0.88714,71,71,0.81302,0.96127
2021,Schleswig-Holstein,4th Quintile,No,0.93197,83,83,0.87747,0.98647
2021,Schleswig-Holstein,5th Quintile,No,0.93019,95,95,0.87867,0.98171
2021,Hamburg,1st Quintile,No,0.88363,47,47,0.79096,0.97630
2021,Hamburg,2nd Quintile,No,0.98446,49,49,0.94947,1.01945
