"pgcasmin","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"(3a) lower tertiary education","1984","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1984","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1984","Realschulabschluss","","","",""
"(3a) lower tertiary education","1984","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1984","AkademikerInnen","266","0.361502194068774","0.328063703052891","0.394940685084656"
"(3b) higher tertiary education","1984","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1984","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1984","Realschulabschluss","","","",""
"(3b) higher tertiary education","1984","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1984","AkademikerInnen","527","0.638497805931226","0.605059314915344","0.671936296947109"
"(0) in school","1985","(noch) kein Abschluss","188","0.425010969876139","0.395863772531862","0.454158167220416"
"(0) in school","1985","Hauptschulabschluss","","","",""
"(0) in school","1985","Realschulabschluss","","","",""
"(0) in school","1985","(Fach-)Abitur","","","",""
"(0) in school","1985","AkademikerInnen","","","",""
"(1a) inadequately completed","1985","(noch) kein Abschluss","917","0.574989030123861","0.545841832779584","0.604136227468138"
"(1a) inadequately completed","1985","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1985","Realschulabschluss","","","",""
"(1a) inadequately completed","1985","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1985","AkademikerInnen","","","",""
"(1b) general elementary school","1985","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1985","Hauptschulabschluss","2634","0.377388640808283","0.365579133788357","0.38919814782821"
"(1b) general elementary school","1985","Realschulabschluss","","","",""
"(1b) general elementary school","1985","(Fach-)Abitur","","","",""
"(1b) general elementary school","1985","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1985","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1985","Hauptschulabschluss","3838","0.622611359191717","0.610801852171791","0.634420866211643"
"(1c) basic vocational qualification","1985","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1985","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1985","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1985","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1985","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1985","Realschulabschluss","475","0.252141268277226","0.232185727910408","0.272096808644044"
"(2b) intermediate general qualification","1985","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1985","AkademikerInnen","","","",""
"(2a) intermediate vocational","1985","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1985","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1985","Realschulabschluss","1344","0.747858731722774","0.727903191355956","0.767814272089592"
"(2a) intermediate vocational","1985","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1985","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1985","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1985","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1985","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1985","(Fach-)Abitur","378","0.437024725271892","0.402501674866198","0.471547775677587"
"(2c_gen) general maturity certificate","1985","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1985","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","(Fach-)Abitur","415","0.562975274728108","0.528452224322413","0.597498325133802"
"(2c_voc) vocational maturity certificate","1985","AkademikerInnen","","","",""
"(3a) lower tertiary education","1985","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1985","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1985","Realschulabschluss","","","",""
"(3a) lower tertiary education","1985","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1985","AkademikerInnen","248","0.351453314732192","0.317465915571772","0.385440713892612"
"(3b) higher tertiary education","1985","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1985","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1985","Realschulabschluss","","","",""
"(3b) higher tertiary education","1985","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1985","AkademikerInnen","510","0.648546685267808","0.614559286107388","0.682534084428228"
"(0) in school","1986","(noch) kein Abschluss","189","0.380681943854395","0.351200262924171","0.410163624784619"
"(0) in school","1986","Hauptschulabschluss","","","",""
"(0) in school","1986","Realschulabschluss","","","",""
"(0) in school","1986","(Fach-)Abitur","","","",""
"(0) in school","1986","AkademikerInnen","","","",""
"(1a) inadequately completed","1986","(noch) kein Abschluss","853","0.619318056145605","0.589836375215381","0.648799737075829"
"(1a) inadequately completed","1986","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1986","Realschulabschluss","","","",""
"(1a) inadequately completed","1986","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1986","AkademikerInnen","","","",""
"(1b) general elementary school","1986","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1986","Hauptschulabschluss","2487","0.369934021325831","0.357837429791001","0.382030612860662"
"(1b) general elementary school","1986","Realschulabschluss","","","",""
"(1b) general elementary school","1986","(Fach-)Abitur","","","",""
"(1b) general elementary school","1986","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1986","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1986","Hauptschulabschluss","3632","0.630065978674169","0.617969387139338","0.642162570208999"
"(1c) basic vocational qualification","1986","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1986","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1986","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1986","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1986","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1986","Realschulabschluss","468","0.248569385026979","0.228486394726211","0.268652375327748"
"(2b) intermediate general qualification","1986","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1986","AkademikerInnen","","","",""
"(2a) intermediate vocational","1986","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1986","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1986","Realschulabschluss","1311","0.751430614973021","0.731347624672252","0.771513605273789"
"(2a) intermediate vocational","1986","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1986","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1986","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1986","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1986","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1986","(Fach-)Abitur","405","0.468734947343023","0.434537732997024","0.502932161689022"
"(2c_gen) general maturity certificate","1986","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1986","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1986","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1986","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1986","(Fach-)Abitur","413","0.531265052656977","0.497067838310978","0.565462267002976"
"(2c_voc) vocational maturity certificate","1986","AkademikerInnen","","","",""
"(3a) lower tertiary education","1986","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1986","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1986","Realschulabschluss","","","",""
"(3a) lower tertiary education","1986","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1986","AkademikerInnen","247","0.361041913414006","0.32669061801949","0.395393208808522"
"(3b) higher tertiary education","1986","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1986","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1986","Realschulabschluss","","","",""
"(3b) higher tertiary education","1986","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1986","AkademikerInnen","504","0.638958086585994","0.604606791191478","0.67330938198051"
"(0) in school","1987","(noch) kein Abschluss","193","0.366966793339797","0.33734480244612","0.396588784233473"
"(0) in school","1987","Hauptschulabschluss","","","",""
"(0) in school","1987","Realschulabschluss","","","",""
"(0) in school","1987","(Fach-)Abitur","","","",""
"(0) in school","1987","AkademikerInnen","","","",""
"(1a) inadequately completed","1987","(noch) kein Abschluss","824","0.633033206660203","0.603411215766527","0.66265519755388"
"(1a) inadequately completed","1987","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1987","Realschulabschluss","","","",""
"(1a) inadequately completed","1987","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1987","AkademikerInnen","","","",""
"(1b) general elementary school","1987","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1987","Hauptschulabschluss","2455","0.363953122989161","0.351827348497427","0.376078897480895"
"(1b) general elementary school","1987","Realschulabschluss","","","",""
"(1b) general elementary school","1987","(Fach-)Abitur","","","",""
"(1b) general elementary school","1987","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1987","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1987","Hauptschulabschluss","3593","0.636046877010839","0.623921102519105","0.648172651502573"
"(1c) basic vocational qualification","1987","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1987","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1987","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1987","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1987","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1987","Realschulabschluss","433","0.215380027777207","0.196201815125944","0.23455824042847"
"(2b) intermediate general qualification","1987","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1987","AkademikerInnen","","","",""
"(2a) intermediate vocational","1987","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1987","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1987","Realschulabschluss","1332","0.784619972222793","0.76544175957153","0.803798184874056"
"(2a) intermediate vocational","1987","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1987","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1987","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1987","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1987","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1987","(Fach-)Abitur","382","0.454615893292019","0.419849588885735","0.489382197698303"
"(2c_gen) general maturity certificate","1987","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1987","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1987","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1987","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1987","(Fach-)Abitur","406","0.545384106707981","0.510617802301697","0.580150411114265"
"(2c_voc) vocational maturity certificate","1987","AkademikerInnen","","","",""
"(3a) lower tertiary education","1987","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1987","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1987","Realschulabschluss","","","",""
"(3a) lower tertiary education","1987","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1987","AkademikerInnen","249","0.364568528582921","0.329983704476613","0.399153352689228"
"(3b) higher tertiary education","1987","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1987","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1987","Realschulabschluss","","","",""
"(3b) higher tertiary education","1987","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1987","AkademikerInnen","495","0.635431471417079","0.600846647310771","0.670016295523387"
"(0) in school","1988","(noch) kein Abschluss","164","0.390125295487964","0.358605997000391","0.421644593975538"
"(0) in school","1988","Hauptschulabschluss","","","",""
"(0) in school","1988","Realschulabschluss","","","",""
"(0) in school","1988","(Fach-)Abitur","","","",""
"(0) in school","1988","AkademikerInnen","","","",""
"(1a) inadequately completed","1988","(noch) kein Abschluss","756","0.609874704512036","0.578355406024462","0.641394002999609"
"(1a) inadequately completed","1988","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1988","Realschulabschluss","","","",""
"(1a) inadequately completed","1988","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1988","AkademikerInnen","","","",""
"(1b) general elementary school","1988","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1988","Hauptschulabschluss","2342","0.357770567511918","0.345408762013862","0.370132373009975"
"(1b) general elementary school","1988","Realschulabschluss","","","",""
"(1b) general elementary school","1988","(Fach-)Abitur","","","",""
"(1b) general elementary school","1988","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1988","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1988","Hauptschulabschluss","3434","0.642229432488082","0.629867626990025","0.654591237986138"
"(1c) basic vocational qualification","1988","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1988","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1988","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1988","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1988","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1988","Realschulabschluss","426","0.211080077936222","0.191704557339253","0.230455598533191"
"(2b) intermediate general qualification","1988","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1988","AkademikerInnen","","","",""
"(2a) intermediate vocational","1988","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1988","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1988","Realschulabschluss","1278","0.788919922063778","0.769544401466809","0.808295442660747"
"(2a) intermediate vocational","1988","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1988","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1988","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1988","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1988","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1988","(Fach-)Abitur","350","0.443820635368045","0.408072176854565","0.479569093881524"
"(2c_gen) general maturity certificate","1988","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1988","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1988","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1988","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1988","(Fach-)Abitur","392","0.556179364631955","0.520430906118476","0.591927823145435"
"(2c_voc) vocational maturity certificate","1988","AkademikerInnen","","","",""
"(3a) lower tertiary education","1988","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1988","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1988","Realschulabschluss","","","",""
"(3a) lower tertiary education","1988","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1988","AkademikerInnen","233","0.354155437358591","0.318776849359324","0.389534025357859"
"(3b) higher tertiary education","1988","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1988","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1988","Realschulabschluss","","","",""
"(3b) higher tertiary education","1988","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1988","AkademikerInnen","469","0.645844562641409","0.610465974642141","0.681223150640676"
"(0) in school","1989","(noch) kein Abschluss","176","0.423436358164347","0.391101603621199","0.455771112707496"
"(0) in school","1989","Hauptschulabschluss","","","",""
"(0) in school","1989","Realschulabschluss","","","",""
"(0) in school","1989","(Fach-)Abitur","","","",""
"(0) in school","1989","AkademikerInnen","","","",""
"(1a) inadequately completed","1989","(noch) kein Abschluss","721","0.576563641835653","0.544228887292504","0.608898396378801"
"(1a) inadequately completed","1989","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1989","Realschulabschluss","","","",""
"(1a) inadequately completed","1989","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1989","AkademikerInnen","","","",""
"(1b) general elementary school","1989","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1989","Hauptschulabschluss","2223","0.355615296253084","0.34299395588846","0.368236636617709"
"(1b) general elementary school","1989","Realschulabschluss","","","",""
"(1b) general elementary school","1989","(Fach-)Abitur","","","",""
"(1b) general elementary school","1989","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1989","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1989","Hauptschulabschluss","3303","0.644384703746916","0.631763363382291","0.65700604411154"
"(1c) basic vocational qualification","1989","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1989","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1989","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1989","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1989","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1989","Realschulabschluss","393","0.20384300818257","0.184428445831842","0.223257570533297"
"(2b) intermediate general qualification","1989","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1989","AkademikerInnen","","","",""
"(2a) intermediate vocational","1989","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1989","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1989","Realschulabschluss","1261","0.79615699181743","0.776742429466703","0.815571554168158"
"(2a) intermediate vocational","1989","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1989","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1989","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1989","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1989","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1989","(Fach-)Abitur","353","0.433655905538443","0.398352795050626","0.468959016026259"
"(2c_gen) general maturity certificate","1989","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1989","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1989","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1989","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1989","(Fach-)Abitur","404","0.566344094461557","0.531040983973741","0.601647204949374"
"(2c_voc) vocational maturity certificate","1989","AkademikerInnen","","","",""
"(3a) lower tertiary education","1989","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1989","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1989","Realschulabschluss","","","",""
"(3a) lower tertiary education","1989","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1989","AkademikerInnen","233","0.350337140520532","0.314970271562601","0.385704009478462"
"(3b) higher tertiary education","1989","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1989","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1989","Realschulabschluss","","","",""
"(3b) higher tertiary education","1989","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1989","AkademikerInnen","466","0.649662859479468","0.614295990521538","0.685029728437398"
"(0) in school","1990","(noch) kein Abschluss","163","0.358267451360637","0.326923845616917","0.389611057104356"
"(0) in school","1990","Hauptschulabschluss","","","",""
"(0) in school","1990","Realschulabschluss","","","",""
"(0) in school","1990","(Fach-)Abitur","","","",""
"(0) in school","1990","AkademikerInnen","","","",""
"(1a) inadequately completed","1990","(noch) kein Abschluss","736","0.641732548639363","0.610388942895644","0.673076154383083"
"(1a) inadequately completed","1990","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1990","Realschulabschluss","","","",""
"(1a) inadequately completed","1990","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1990","AkademikerInnen","","","",""
"(1b) general elementary school","1990","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1990","Hauptschulabschluss","2494","0.331890121367127","0.320916836014524","0.342863406719729"
"(1b) general elementary school","1990","Realschulabschluss","","","",""
"(1b) general elementary school","1990","(Fach-)Abitur","","","",""
"(1b) general elementary school","1990","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1990","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1990","Hauptschulabschluss","4580","0.668109878632873","0.657136593280271","0.679083163985476"
"(1c) basic vocational qualification","1990","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1990","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1990","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1990","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1990","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1990","Realschulabschluss","545","0.175877738335127","0.162701244291498","0.189054232378756"
"(2b) intermediate general qualification","1990","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1990","AkademikerInnen","","","",""
"(2a) intermediate vocational","1990","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1990","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1990","Realschulabschluss","2662","0.824122261664873","0.810945767621244","0.837298755708502"
"(2a) intermediate vocational","1990","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1990","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1990","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1990","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1990","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1990","(Fach-)Abitur","389","0.423335717244999","0.390801885781994","0.455869548708004"
"(2c_gen) general maturity certificate","1990","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1990","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1990","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1990","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1990","(Fach-)Abitur","497","0.576664282755001","0.544130451291996","0.609198114218006"
"(2c_voc) vocational maturity certificate","1990","AkademikerInnen","","","",""
"(3a) lower tertiary education","1990","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1990","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1990","Realschulabschluss","","","",""
"(3a) lower tertiary education","1990","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1990","AkademikerInnen","893","0.461813800603775","0.438101211267375","0.485526389940176"
"(3b) higher tertiary education","1990","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1990","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1990","Realschulabschluss","","","",""
"(3b) higher tertiary education","1990","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1990","AkademikerInnen","805","0.538186199396225","0.514473610059824","0.561898788732625"
"(0) in school","1991","(noch) kein Abschluss","153","0.334439953035289","0.303356507429938","0.36552339864064"
"(0) in school","1991","Hauptschulabschluss","","","",""
"(0) in school","1991","Realschulabschluss","","","",""
"(0) in school","1991","(Fach-)Abitur","","","",""
"(0) in school","1991","AkademikerInnen","","","",""
"(1a) inadequately completed","1991","(noch) kein Abschluss","732","0.665560046964711","0.63447660135936","0.696643492570062"
"(1a) inadequately completed","1991","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1991","Realschulabschluss","","","",""
"(1a) inadequately completed","1991","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1991","AkademikerInnen","","","",""
"(1b) general elementary school","1991","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1991","Hauptschulabschluss","2375","0.328136315107749","0.31698540324801","0.339287226967487"
"(1b) general elementary school","1991","Realschulabschluss","","","",""
"(1b) general elementary school","1991","(Fach-)Abitur","","","",""
"(1b) general elementary school","1991","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1991","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1991","Hauptschulabschluss","4436","0.671863684892251","0.660712773032513","0.68301459675199"
"(1c) basic vocational qualification","1991","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1991","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1991","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1991","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1991","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1991","Realschulabschluss","536","0.166586162801179","0.153592754261683","0.179579571340675"
"(2b) intermediate general qualification","1991","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1991","AkademikerInnen","","","",""
"(2a) intermediate vocational","1991","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1991","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1991","Realschulabschluss","2623","0.833413837198821","0.820420428659325","0.846407245738317"
"(2a) intermediate vocational","1991","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1991","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1991","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1991","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1991","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1991","(Fach-)Abitur","389","0.402824806430926","0.370710165601131","0.434939447260722"
"(2c_gen) general maturity certificate","1991","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1991","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1991","Hauptschulabschluss","","","",""
