"pgcasmin","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"(2a) intermediate vocational","1984","16-34 Jahre alt","maennlich","267","0.146157586496689","0.131615662368306","0.160699510625072"
"(2a) intermediate vocational","1984","16-34 Jahre alt","weiblich","377","0.200907281208516","0.184627583949251","0.217186978467781"
"(2a) intermediate vocational","1984","35-65 Jahre alt","maennlich","283","0.114000101693268","0.102967996607158","0.125032206779378"
"(2a) intermediate vocational","1984","35-65 Jahre alt","weiblich","338","0.135040197581758","0.122995729480225","0.147084665683292"
"(2a) intermediate vocational","1984","66 und älter","maennlich","58","0.115081784636751","0.0873312665007198","0.142832302772782"
"(2a) intermediate vocational","1984","66 und älter","weiblich","88","0.116023137340134","0.093402987376578","0.13864328730369"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","maennlich","207","0.0988741621118773","0.0865868621592988","0.111161462064456"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","weiblich","149","0.065593154173638","0.0555343312509443","0.0756519770963316"
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","maennlich","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","weiblich","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","maennlich","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","weiblich","","","",""
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","maennlich","117","0.0529950478068239","0.0437732392918187","0.0622168563218291"
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","weiblich","100","0.0477615164682296","0.0390966511308187","0.0564263818056405"
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","maennlich","134","0.038933856231491","0.0322191149463204","0.0456485975166616"
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","weiblich","64","0.0203725181114559","0.015393875322528","0.0253511609003837"
"(2c_voc) vocational maturity certificate","1984","66 und älter","maennlich","30","0.0587280267162073","0.0382825847536984","0.0791734686787162"
"(2c_voc) vocational maturity certificate","1984","66 und älter","weiblich","","","",""
"(3a) lower tertiary education","1984","16-34 Jahre alt","maennlich","46","0.0248297631953097","0.0184243250958908","0.0312352012947285"
"(3a) lower tertiary education","1984","16-34 Jahre alt","weiblich","","","",""
"(3a) lower tertiary education","1984","35-65 Jahre alt","maennlich","127","0.0528245526595799","0.045059899436056","0.0605892058831038"
"(3a) lower tertiary education","1984","35-65 Jahre alt","weiblich","46","0.0182688219465057","0.0135491730227718","0.0229884708702397"
"(3a) lower tertiary education","1984","66 und älter","maennlich","","","",""
"(3a) lower tertiary education","1984","66 und älter","weiblich","","","",""
"(3b) higher tertiary education","1984","16-34 Jahre alt","maennlich","98","0.0471387345873491","0.0384145242566289","0.0558629449180692"
"(3b) higher tertiary education","1984","16-34 Jahre alt","weiblich","80","0.0392113633733466","0.0313251268216149","0.0470975999250784"
"(3b) higher tertiary education","1984","35-65 Jahre alt","maennlich","223","0.0788064541901129","0.0694535761432011","0.0881593322370247"
"(3b) higher tertiary education","1984","35-65 Jahre alt","weiblich","86","0.0299829499730087","0.0239728043475774","0.03599309559844"
"(3b) higher tertiary education","1984","66 und älter","maennlich","","","",""
"(3b) higher tertiary education","1984","66 und älter","weiblich","","","",""
"(0) in school","1985","16-34 Jahre alt","maennlich","113","0.0639137236555458","0.0533792451588603","0.0744482021522313"
"(0) in school","1985","16-34 Jahre alt","weiblich","75","0.042607630182592","0.0338260047293649","0.051389255635819"
"(0) in school","1985","35-65 Jahre alt","maennlich","","","",""
"(0) in school","1985","35-65 Jahre alt","weiblich","","","",""
"(0) in school","1985","66 und älter","maennlich","","","",""
"(0) in school","1985","66 und älter","weiblich","","","",""
"(1a) inadequately completed","1985","16-34 Jahre alt","maennlich","94","0.0264020630730798","0.0194970135743328","0.0333071125718267"
"(1a) inadequately completed","1985","16-34 Jahre alt","weiblich","157","0.0298070765933005","0.0224131525933375","0.0372010005932634"
"(1a) inadequately completed","1985","35-65 Jahre alt","maennlich","301","0.0247439143549207","0.0190675312797779","0.0304202974300634"
"(1a) inadequately completed","1985","35-65 Jahre alt","weiblich","348","0.027021229617665","0.0210683116599179","0.032974147575412"
"(1a) inadequately completed","1985","66 und älter","maennlich","","","",""
"(1a) inadequately completed","1985","66 und älter","weiblich","","","",""
"(1b) general elementary school","1985","16-34 Jahre alt","maennlich","383","0.131816092979687","0.117246476335652","0.146385709623722"
"(1b) general elementary school","1985","16-34 Jahre alt","weiblich","415","0.15698740083239","0.141169979926995","0.172804821737785"
"(1b) general elementary school","1985","35-65 Jahre alt","maennlich","434","0.11695582469756","0.105212791111463","0.128698858283657"
"(1b) general elementary school","1985","35-65 Jahre alt","weiblich","1002","0.372912463440007","0.355158586924111","0.390666339955903"
"(1b) general elementary school","1985","66 und älter","maennlich","59","0.129885230766398","0.0987205641924942","0.161049897340301"
"(1b) general elementary school","1985","66 und älter","weiblich","340","0.495541990164039","0.45765520340733","0.533428776920748"
"(1c) basic vocational qualification","1985","16-34 Jahre alt","maennlich","639","0.32502588055141","0.304853341083813","0.345198420019007"
"(1c) basic vocational qualification","1985","16-34 Jahre alt","weiblich","490","0.259276432657791","0.240222007913901","0.278330857401681"
"(1c) basic vocational qualification","1985","35-65 Jahre alt","maennlich","1383","0.556190645611113","0.538035981168004","0.574345310054222"
"(1c) basic vocational qualification","1985","35-65 Jahre alt","weiblich","893","0.352805683187404","0.335262403200244","0.370348963174564"
"(1c) basic vocational qualification","1985","66 und älter","maennlich","249","0.563823217717384","0.517850828016288","0.609795607418479"
"(1c) basic vocational qualification","1985","66 und älter","weiblich","184","0.282604698194683","0.248485093959393","0.316724302429973"
"(2b) intermediate general qualification","1985","16-34 Jahre alt","maennlich","167","0.0907209320122314","0.078351197176101","0.103090666848362"
"(2b) intermediate general qualification","1985","16-34 Jahre alt","weiblich","203","0.124536518188057","0.110179851539499","0.138893184836615"
"(2b) intermediate general qualification","1985","35-65 Jahre alt","maennlich","","","",""
"(2b) intermediate general qualification","1985","35-65 Jahre alt","weiblich","69","0.0298051763277695","0.0235620663518811","0.0360482863036579"
"(2b) intermediate general qualification","1985","66 und älter","maennlich","","","",""
"(2b) intermediate general qualification","1985","66 und älter","weiblich","","","",""
"(2a) intermediate vocational","1985","16-34 Jahre alt","maennlich","240","0.139090388885634","0.12418698811231","0.153993789658958"
"(2a) intermediate vocational","1985","16-34 Jahre alt","weiblich","363","0.21526514323549","0.197394731148864","0.233135555322116"
"(2a) intermediate vocational","1985","35-65 Jahre alt","maennlich","280","0.123667211261419","0.111637921825896","0.135696500696942"
"(2a) intermediate vocational","1985","35-65 Jahre alt","weiblich","322","0.138298100266171","0.125624141394873","0.150972059137469"
"(2a) intermediate vocational","1985","66 und älter","maennlich","57","0.127774078501826","0.0968262484820743","0.158721908521578"
"(2a) intermediate vocational","1985","66 und älter","weiblich","82","0.12587704526859","0.100741138044498","0.151012952492682"
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","maennlich","189","0.0906004694366007","0.0782381310132616","0.10296280785994"
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","weiblich","132","0.0633183394737813","0.0527295331151363","0.0739071458324263"
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","maennlich","","","",""
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","weiblich","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","maennlich","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","weiblich","","","",""
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","maennlich","105","0.0551099336778789","0.0452819680846571","0.0649378992711008"
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","weiblich","98","0.0552518713140803","0.0453180177160782","0.0651857249120824"
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","maennlich","117","0.0378672802521704","0.0308925452918781","0.0448420152124626"
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","weiblich","58","0.0202323883734855","0.0150633378521492","0.0254014388948217"
"(2c_voc) vocational maturity certificate","1985","66 und älter","maennlich","","","",""
"(2c_voc) vocational maturity certificate","1985","66 und älter","weiblich","","","",""
"(3a) lower tertiary education","1985","16-34 Jahre alt","maennlich","42","0.02452909521269","0.0178670746901332","0.0311911157352468"
"(3a) lower tertiary education","1985","16-34 Jahre alt","weiblich","","","",""
"(3a) lower tertiary education","1985","35-65 Jahre alt","maennlich","115","0.0511876290063982","0.0431347562624908","0.0592405017503056"
"(3a) lower tertiary education","1985","35-65 Jahre alt","weiblich","46","0.0196528459447869","0.0145568587019239","0.02474883318765"
"(3a) lower tertiary education","1985","66 und älter","maennlich","","","",""
"(3a) lower tertiary education","1985","66 und älter","weiblich","","","",""
"(3b) higher tertiary education","1985","16-34 Jahre alt","maennlich","99","0.0527914205152423","0.0431606168979295","0.0624222241325552"
"(3b) higher tertiary education","1985","16-34 Jahre alt","weiblich","78","0.0425596864190842","0.0337827833156672","0.0513365895225013"
"(3b) higher tertiary education","1985","35-65 Jahre alt","maennlich","215","0.0821046507593092","0.0720733183056664","0.092135983212952"
"(3b) higher tertiary education","1985","35-65 Jahre alt","weiblich","86","0.0329159467767028","0.0263656504439613","0.0394662431094444"
"(3b) higher tertiary education","1985","66 und älter","maennlich","","","",""
"(3b) higher tertiary education","1985","66 und älter","weiblich","","","",""
"(0) in school","1986","16-34 Jahre alt","maennlich","116","0.0552445175854333","0.0453598125116813","0.0651292226591853"
"(0) in school","1986","16-34 Jahre alt","weiblich","73","0.0341887339090269","0.0261645177276512","0.0422129500904027"
"(0) in school","1986","35-65 Jahre alt","maennlich","","","",""
"(0) in school","1986","35-65 Jahre alt","weiblich","","","",""
"(0) in school","1986","66 und älter","maennlich","","","",""
"(0) in school","1986","66 und älter","weiblich","","","",""
"(1a) inadequately completed","1986","16-34 Jahre alt","maennlich","94","0.0253410788639014","0.0185412451223523","0.0321409126054506"
"(1a) inadequately completed","1986","16-34 Jahre alt","weiblich","139","0.0294899402249898","0.0220194010969906","0.0369604793529889"
"(1a) inadequately completed","1986","35-65 Jahre alt","maennlich","271","0.024561346070064","0.0187540711524273","0.0303686209877006"
"(1a) inadequately completed","1986","35-65 Jahre alt","weiblich","328","0.0282131852484066","0.0219802173008577","0.0344461531959556"
"(1a) inadequately completed","1986","66 und älter","maennlich","","","",""
"(1a) inadequately completed","1986","66 und älter","weiblich","","","",""
"(1b) general elementary school","1986","16-34 Jahre alt","maennlich","386","0.132196271057349","0.117541475261515","0.146851066853183"
"(1b) general elementary school","1986","16-34 Jahre alt","weiblich","402","0.154477645443326","0.138518473797494","0.170436817089158"
"(1b) general elementary school","1986","35-65 Jahre alt","maennlich","411","0.110555977692373","0.098790847204645","0.1223211081801"
"(1b) general elementary school","1986","35-65 Jahre alt","weiblich","918","0.355935754690481","0.337912478600358","0.373959030780605"
"(1b) general elementary school","1986","66 und älter","maennlich","58","0.135503867454628","0.102964358208366","0.168043376700889"
"(1b) general elementary school","1986","66 und älter","weiblich","312","0.47282841086937","0.433592776466516","0.512064045272224"
"(1c) basic vocational qualification","1986","16-34 Jahre alt","maennlich","605","0.313414313208962","0.293343443178785","0.333485183239138"
"(1c) basic vocational qualification","1986","16-34 Jahre alt","weiblich","460","0.254749176060276","0.235508399139093","0.273989952981459"
"(1c) basic vocational qualification","1986","35-65 Jahre alt","maennlich","1306","0.555825153174733","0.53718315753838","0.574467148811085"
"(1c) basic vocational qualification","1986","35-65 Jahre alt","weiblich","867","0.357879564663285","0.33983443412244","0.37592469520413"
"(1c) basic vocational qualification","1986","66 und älter","maennlich","228","0.54613946172807","0.498806179920482","0.593472743535658"
"(1c) basic vocational qualification","1986","66 und älter","weiblich","166","0.287328393229888","0.251766334151872","0.322890452307904"
"(2b) intermediate general qualification","1986","16-34 Jahre alt","maennlich","164","0.0926569586403033","0.0801115679803408","0.105202349300266"
"(2b) intermediate general qualification","1986","16-34 Jahre alt","weiblich","203","0.121078243261174","0.106672915602864","0.135483570919484"
"(2b) intermediate general qualification","1986","35-65 Jahre alt","maennlich","","","",""
"(2b) intermediate general qualification","1986","35-65 Jahre alt","weiblich","62","0.0288091030492269","0.0225125842799007","0.0351056218185531"
"(2b) intermediate general qualification","1986","66 und älter","maennlich","","","",""
"(2b) intermediate general qualification","1986","66 und älter","weiblich","","","",""
"(2a) intermediate vocational","1986","16-34 Jahre alt","maennlich","243","0.144840376739626","0.129612904047975","0.160067849431277"
"(2a) intermediate vocational","1986","16-34 Jahre alt","weiblich","349","0.213583043470214","0.195485284585179","0.231680802355248"
"(2a) intermediate vocational","1986","35-65 Jahre alt","maennlich","265","0.124779830142738","0.112381100875656","0.137178559409821"
"(2a) intermediate vocational","1986","35-65 Jahre alt","weiblich","321","0.148439559242764","0.135056176466278","0.16182294201925"
"(2a) intermediate vocational","1986","66 und älter","maennlich","55","0.132817620296331","0.100552246874476","0.165082993718186"
"(2a) intermediate vocational","1986","66 und älter","weiblich","78","0.131526577736444","0.104965975079076","0.158087180393812"
"(2c_gen) general maturity certificate","1986","16-34 Jahre alt","maennlich","206","0.10542407303391","0.0921367371976233","0.118711408870197"
"(2c_gen) general maturity certificate","1986","16-34 Jahre alt","weiblich","142","0.0770923625598127","0.0653135970627322","0.0888711280568932"
"(2c_gen) general maturity certificate","1986","35-65 Jahre alt","maennlich","","","",""
"(2c_gen) general maturity certificate","1986","35-65 Jahre alt","weiblich","","","",""
"(2c_gen) general maturity certificate","1986","66 und älter","maennlich","","","",""
"(2c_gen) general maturity certificate","1986","66 und älter","weiblich","","","",""
"(2c_voc) vocational maturity certificate","1986","16-34 Jahre alt","maennlich","106","0.0553837886433223","0.0454873612959953","0.0652802159906492"
"(2c_voc) vocational maturity certificate","1986","16-34 Jahre alt","weiblich","105","0.0603027165025225","0.0497909089358573","0.0708145240691876"
"(2c_voc) vocational maturity certificate","1986","35-65 Jahre alt","maennlich","105","0.035215472960371","0.0282998986739234","0.0421310472468186"
"(2c_voc) vocational maturity certificate","1986","35-65 Jahre alt","weiblich","58","0.0213997462743464","0.0159523332314041","0.0268471593172886"
"(2c_voc) vocational maturity certificate","1986","66 und älter","maennlich","31","0.0725895359701988","0.0479219510504709","0.0972571208899267"
"(2c_voc) vocational maturity certificate","1986","66 und älter","weiblich","","","",""
"(3a) lower tertiary education","1986","16-34 Jahre alt","maennlich","44","0.0269508890280509","0.0199441919686181","0.0339575860874837"
"(3a) lower tertiary education","1986","16-34 Jahre alt","weiblich","","","",""
"(3a) lower tertiary education","1986","35-65 Jahre alt","maennlich","113","0.0528995286759773","0.0445016373393694","0.0612974200125852"
"(3a) lower tertiary education","1986","35-65 Jahre alt","weiblich","45","0.0198722954653683","0.0146187961171248","0.0251257948136119"
"(3a) lower tertiary education","1986","66 und älter","maennlich","","","",""
"(3a) lower tertiary education","1986","66 und älter","weiblich","","","",""
"(3b) higher tertiary education","1986","16-34 Jahre alt","maennlich","88","0.0485477331991421","0.0392487086626318","0.0578467577356525"
"(3b) higher tertiary education","1986","16-34 Jahre alt","weiblich","76","0.0436647561830071","0.0346410368633726","0.0526884755026416"
"(3b) higher tertiary education","1986","35-65 Jahre alt","maennlich","223","0.0873358288342671","0.0767433392152525","0.0979283184532816"
"(3b) higher tertiary education","1986","35-65 Jahre alt","weiblich","88","0.0336909363549029","0.0268989328802634","0.0404829398295424"
"(3b) higher tertiary education","1986","66 und älter","maennlich","","","",""
"(3b) higher tertiary education","1986","66 und älter","weiblich","","","",""
"(0) in school","1987","16-34 Jahre alt","maennlich","102","0.0420658883511762","0.0333313507409424","0.0508004259614101"
"(0) in school","1987","16-34 Jahre alt","weiblich","91","0.0421217847489311","0.0331346938558532","0.051108875642009"
"(0) in school","1987","35-65 Jahre alt","maennlich","","","",""
"(0) in school","1987","35-65 Jahre alt","weiblich","","","",""
"(0) in school","1987","66 und älter","maennlich","","","",""
"(0) in school","1987","66 und älter","weiblich","","","",""
"(1a) inadequately completed","1987","16-34 Jahre alt","maennlich","85","0.0247954928379081","0.0180293480056594","0.0315616376701568"
"(1a) inadequately completed","1987","16-34 Jahre alt","weiblich","121","0.0244103457722563","0.0175058628089516","0.031314828735561"
"(1a) inadequately completed","1987","35-65 Jahre alt","maennlich","267","0.0262186118933585","0.0201623733644883","0.0322748504222287"
"(1a) inadequately completed","1987","35-65 Jahre alt","weiblich","331","0.0308926713456015","0.0243111014274229","0.0374742412637801"
"(1a) inadequately completed","1987","66 und älter","maennlich","","","",""
"(1a) inadequately completed","1987","66 und älter","weiblich","","","",""
"(1b) general elementary school","1987","16-34 Jahre alt","maennlich","390","0.124552146820968","0.110184097261826","0.13892019638011"
"(1b) general elementary school","1987","16-34 Jahre alt","weiblich","397","0.15505733932684","0.138862733330694","0.171251945322987"
"(1b) general elementary school","1987","35-65 Jahre alt","maennlich","405","0.109962890789006","0.0981053529013408","0.12182042867667"
"(1b) general elementary school","1987","35-65 Jahre alt","weiblich","877","0.344842843714143","0.326762812255166","0.362922875173121"
"(1b) general elementary school","1987","66 und älter","maennlich","55","0.125706758518089","0.0942992069868922","0.157114310049286"
"(1b) general elementary school","1987","66 und älter","weiblich","330","0.47406379481313","0.435853437411624","0.512274152214636"
"(1c) basic vocational qualification","1987","16-34 Jahre alt","maennlich","595","0.318556447220222","0.298283578382998","0.338829316057447"
"(1c) basic vocational qualification","1987","16-34 Jahre alt","weiblich","445","0.252545058233367","0.233106119553309","0.271983996913426"
"(1c) basic vocational qualification","1987","35-65 Jahre alt","maennlich","1283","0.556320850694433","0.537490232922959","0.575151468465907"
"(1c) basic vocational qualification","1987","35-65 Jahre alt","weiblich","859","0.365954528110044","0.347631822933524","0.384277233286564"
"(1c) basic vocational qualification","1987","66 und älter","maennlich","238","0.569776621804181","0.522870932498096","0.616682311110266"
"(1c) basic vocational qualification","1987","66 und älter","weiblich","173","0.281793139204348","0.247367171764702","0.316219106643994"
"(2b) intermediate general qualification","1987","16-34 Jahre alt","maennlich","160","0.0826647949866653","0.0706827376214408","0.0946468523518898"
"(2b) intermediate general qualification","1987","16-34 Jahre alt","weiblich","173","0.0950232657744073","0.0819029500215721","0.108143581527242"
"(2b) intermediate general qualification","1987","35-65 Jahre alt","maennlich","","","",""
"(2b) intermediate general qualification","1987","35-65 Jahre alt","weiblich","62","0.0293482819038559","0.0229282249159065","0.0357683388918054"
"(2b) intermediate general qualification","1987","66 und älter","maennlich","","","",""
"(2b) intermediate general qualification","1987","66 und älter","weiblich","","","",""
"(2a) intermediate vocational","1987","16-34 Jahre alt","maennlich","265","0.161462384368617","0.145451916516589","0.177472852220645"
"(2a) intermediate vocational","1987","16-34 Jahre alt","weiblich","368","0.241697077613391","0.222542716617361","0.260851438609421"
"(2a) intermediate vocational","1987","35-65 Jahre alt","maennlich","258","0.123641430941276","0.111165001361706","0.136117860520845"
"(2a) intermediate vocational","1987","35-65 Jahre alt","weiblich","304","0.14195247306851","0.128677214712785","0.155227731424235"
"(2a) intermediate vocational","1987","66 und älter","maennlich","52","0.126490104822964","0.0949989637631121","0.157981245882816"
"(2a) intermediate vocational","1987","66 und älter","weiblich","85","0.141065707821052","0.114428612277825","0.167702803364279"
"(2c_gen) general maturity certificate","1987","16-34 Jahre alt","maennlich","203","0.111156560425418","0.0974796736060071","0.124833447244828"
"(2c_gen) general maturity certificate","1987","16-34 Jahre alt","weiblich","122","0.0640332144914181","0.0530799525339633","0.0749864764488729"
"(2c_gen) general maturity certificate","1987","35-65 Jahre alt","maennlich","","","",""
"(2c_gen) general maturity certificate","1987","35-65 Jahre alt","weiblich","","","",""
"(2c_gen) general maturity certificate","1987","66 und älter","maennlich","","","",""
"(2c_gen) general maturity certificate","1987","66 und älter","weiblich","","","",""
"(2c_voc) vocational maturity certificate","1987","16-34 Jahre alt","maennlich","104","0.0618077592242602","0.0513298535269753","0.0722856649215451"
"(2c_voc) vocational maturity certificate","1987","16-34 Jahre alt","weiblich","108","0.0653891238538341","0.054328521523077","0.0764497261845912"
"(2c_voc) vocational maturity certificate","1987","35-65 Jahre alt","maennlich","98","0.0323815774117338","0.0256724126985365","0.0390907421249311"
"(2c_voc) vocational maturity certificate","1987","35-65 Jahre alt","weiblich","59","0.0229514625274957","0.0172553431783254","0.028647581876666"
"(2c_voc) vocational maturity certificate","1987","66 und älter","maennlich","","","",""
"(2c_voc) vocational maturity certificate","1987","66 und älter","weiblich","","","",""
"(3a) lower tertiary education","1987","16-34 Jahre alt","maennlich","47","0.0293481413672541","0.0220042014703474","0.0366920812641608"
"(3a) lower tertiary education","1987","16-34 Jahre alt","weiblich","","","",""
"(3a) lower tertiary education","1987","35-65 Jahre alt","maennlich","106","0.0511950089156914","0.0428414857496902","0.0595485320816926"
"(3a) lower tertiary education","1987","35-65 Jahre alt","weiblich","45","0.0195524902838097","0.0142859059665203","0.0248190746010991"
"(3a) lower tertiary education","1987","66 und älter","maennlich","","","",""
"(3a) lower tertiary education","1987","66 und älter","weiblich","","","",""
"(3b) higher tertiary education","1987","16-34 Jahre alt","maennlich","78","0.0435903843975115","0.0347060604899978","0.0524747083050253"
"(3b) higher tertiary education","1987","16-34 Jahre alt","weiblich","71","0.0445918972415564","0.0353569793374702","0.0538268151456426"
"(3b) higher tertiary education","1987","35-65 Jahre alt","maennlich","223","0.0905645605206987","0.0796869759483888","0.101442145093009"
"(3b) higher tertiary education","1987","35-65 Jahre alt","weiblich","93","0.0381753866098838","0.0308865956734764","0.0454641775462911"
"(3b) higher tertiary education","1987","66 und älter","maennlich","","","",""
"(3b) higher tertiary education","1987","66 und älter","weiblich","","","",""
"(0) in school","1988","16-34 Jahre alt","maennlich","91","0.0476100262197781","0.0380653595784535","0.0571546928611027"
"(0) in school","1988","16-34 Jahre alt","weiblich","73","0.0398130890409991","0.0308329316904917","0.0487932463915066"
"(0) in school","1988","35-65 Jahre alt","maennlich","","","",""
"(0) in school","1988","35-65 Jahre alt","weiblich","","","",""
"(0) in school","1988","66 und älter","maennlich","","","",""
"(0) in school","1988","66 und älter","weiblich","","","",""
"(1a) inadequately completed","1988","16-34 Jahre alt","maennlich","72","0.0240528776017773","0.017185343705903","0.0309204114976516"
"(1a) inadequately completed","1988","16-34 Jahre alt","weiblich","116","0.0233016924057334","0.0163727481364775","0.0302306366749893"
"(1a) inadequately completed","1988","35-65 Jahre alt","maennlich","236","0.0228262864401305","0.0170135987995252","0.0286389740807358"
"(1a) inadequately completed","1988","35-65 Jahre alt","weiblich","312","0.0295524761845199","0.0229418190273172","0.0361631333417226"
"(1a) inadequately completed","1988","66 und älter","maennlich","","","",""
"(1a) inadequately completed","1988","66 und älter","weiblich","","","",""
"(1b) general elementary school","1988","16-34 Jahre alt","maennlich","393","0.130233637757502","0.115147883230681","0.145319392284323"
"(1b) general elementary school","1988","16-34 Jahre alt","weiblich","377","0.144416093409582","0.128271310190973","0.160560876628191"
"(1b) general elementary school","1988","35-65 Jahre alt","maennlich","395","0.109269630327195","0.097127459649333","0.121411801005057"
"(1b) general elementary school","1988","35-65 Jahre alt","weiblich","816","0.337222401565764","0.318767837651235","0.355676965480293"
"(1b) general elementary school","1988","66 und älter","maennlich","53","0.126562721100069","0.094727355381846","0.158398086818293"
"(1b) general elementary school","1988","66 und älter","weiblich","308","0.462622260228034","0.423841677770289","0.501402842685779"
"(1c) basic vocational qualification","1988","16-34 Jahre alt","maennlich","565","0.32060639190427","0.299686908114698","0.341525875693843"
"(1c) basic vocational qualification","1988","16-34 Jahre alt","weiblich","424","0.254608884141515","0.234600040014476","0.274617728268555"
"(1c) basic vocational qualification","1988","35-65 Jahre alt","maennlich","1210","0.554009489709686","0.53466332516102","0.573355654258352"
"(1c) basic vocational qualification","1988","35-65 Jahre alt","weiblich","823","0.36944094343816","0.350600242136732","0.388281644739587"
"(1c) basic vocational qualification","1988","66 und älter","maennlich","237","0.576707133953378","0.52939862983606","0.624015638070696"
"(1c) basic vocational qualification","1988","66 und älter","weiblich","175","0.29201786282482","0.25665258390596","0.32738314174368"
"(2b) intermediate general qualification","1988","16-34 Jahre alt","maennlich","144","0.0692584086624635","0.0578780758749882","0.0806387414499387"
"(2b) intermediate general qualification","1988","16-34 Jahre alt","weiblich","185","0.104906092507605","0.090831761067224","0.118980423947986"
"(2b) intermediate general qualification","1988","35-65 Jahre alt","maennlich","","","",""
"(2b) intermediate general qualification","1988","35-65 Jahre alt","weiblich","61","0.0300672589529345","0.023401042717747","0.0367334751881221"
"(2b) intermediate general qualification","1988","66 und älter","maennlich","","","",""
"(2b) intermediate general qualification","1988","66 und älter","weiblich","","","",""
"(2a) intermediate vocational","1988","16-34 Jahre alt","maennlich","237","0.156319297615649","0.140041355405696","0.172597239825602"
