"pgcasmin","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","66 und älter","Brandenburg","","","",""
"(0) in school","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"(0) in school","1984","66 und älter","Sachsen","","","",""
"(0) in school","1984","66 und älter","Sachsen-Anhalt","","","",""
"(0) in school","1984","66 und älter","Thueringen","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Hamburg","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Niedersachsen","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Bremen","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Nordrhein-Westfalen","113","0.0388557578480576","0.0282648108401843","0.0494467048559309"
"(1a) inadequately completed","1984","16-34 Jahre alt","Hessen","37","0.029639659482956","0.0149354810211663","0.0443438379447457"
"(1a) inadequately completed","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Baden-Wuerttemberg","80","0.0245462065745181","0.0141437916756234","0.0349486214734128"
"(1a) inadequately completed","1984","16-34 Jahre alt","Bayern","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Saarland","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Berlin","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Brandenburg","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Sachsen","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Thueringen","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Schleswig-Holstein","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Hamburg","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Niedersachsen","47","0.0201503523689249","0.00922130593130154","0.0310793988065483"
"(1a) inadequately completed","1984","35-65 Jahre alt","Bremen","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Nordrhein-Westfalen","228","0.0343665872703472","0.0256452028467913","0.0430879716939031"
"(1a) inadequately completed","1984","35-65 Jahre alt","Hessen","90","0.0280737057269052","0.0151235610661481","0.0410238503876623"
"(1a) inadequately completed","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","40","0.026045680112005","0.0108496897018208","0.0412416705221891"
"(1a) inadequately completed","1984","35-65 Jahre alt","Baden-Wuerttemberg","226","0.0373601056301049","0.0265671169328039","0.048153094327406"
"(1a) inadequately completed","1984","35-65 Jahre alt","Bayern","80","0.0164254387546953","0.00889014576154709","0.0239607317478434"
"(1a) inadequately completed","1984","35-65 Jahre alt","Saarland","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Berlin","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Brandenburg","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Sachsen","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Thueringen","","","",""
"(1a) inadequately completed","1984","66 und älter","Schleswig-Holstein","","","",""
"(1a) inadequately completed","1984","66 und älter","Hamburg","","","",""
"(1a) inadequately completed","1984","66 und älter","Niedersachsen","","","",""
"(1a) inadequately completed","1984","66 und älter","Bremen","","","",""
"(1a) inadequately completed","1984","66 und älter","Nordrhein-Westfalen","","","",""
"(1a) inadequately completed","1984","66 und älter","Hessen","","","",""
"(1a) inadequately completed","1984","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"(1a) inadequately completed","1984","66 und älter","Baden-Wuerttemberg","","","",""
"(1a) inadequately completed","1984","66 und älter","Bayern","","","",""
"(1a) inadequately completed","1984","66 und älter","Saarland","","","",""
"(1a) inadequately completed","1984","66 und älter","Berlin","","","",""
"(1a) inadequately completed","1984","66 und älter","Brandenburg","","","",""
"(1a) inadequately completed","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"(1a) inadequately completed","1984","66 und älter","Sachsen","","","",""
"(1a) inadequately completed","1984","66 und älter","Sachsen-Anhalt","","","",""
"(1a) inadequately completed","1984","66 und älter","Thueringen","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Hamburg","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Niedersachsen","78","0.147431589086012","0.114491256674599","0.180371921497425"
"(1b) general elementary school","1984","16-34 Jahre alt","Bremen","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Nordrhein-Westfalen","242","0.133166191453085","0.114546274953047","0.151786107953123"
"(1b) general elementary school","1984","16-34 Jahre alt","Hessen","111","0.115910357632018","0.0881549944082212","0.143665720855814"
"(1b) general elementary school","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","80","0.230666503839745","0.184366170423628","0.276966837255862"
"(1b) general elementary school","1984","16-34 Jahre alt","Baden-Wuerttemberg","221","0.19035221156708","0.163960615314982","0.216743807819177"
"(1b) general elementary school","1984","16-34 Jahre alt","Bayern","140","0.150879942451866","0.125581998511622","0.17617788639211"
"(1b) general elementary school","1984","16-34 Jahre alt","Saarland","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Berlin","33","0.184936269655504","0.120160082904137","0.249712456406872"
"(1b) general elementary school","1984","16-34 Jahre alt","Brandenburg","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Sachsen","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Thueringen","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Schleswig-Holstein","38","0.180471656747538","0.127567893793382","0.233375419701693"
"(1b) general elementary school","1984","35-65 Jahre alt","Hamburg","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Niedersachsen","160","0.263028539983679","0.228784263063902","0.297272816903455"
"(1b) general elementary school","1984","35-65 Jahre alt","Bremen","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Nordrhein-Westfalen","404","0.235389092371458","0.215078410882431","0.255699773860486"
"(1b) general elementary school","1984","35-65 Jahre alt","Hessen","170","0.269759909845325","0.234963885802087","0.304555933888563"
"(1b) general elementary school","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","136","0.333305288007396","0.288329739067456","0.378280836947336"
"(1b) general elementary school","1984","35-65 Jahre alt","Baden-Wuerttemberg","312","0.284399746691701","0.258725034027256","0.310074459356146"
"(1b) general elementary school","1984","35-65 Jahre alt","Bayern","278","0.243488546132237","0.218044566913207","0.268932525351267"
"(1b) general elementary school","1984","35-65 Jahre alt","Saarland","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Berlin","47","0.221696954124434","0.167420550902091","0.275973357346776"
"(1b) general elementary school","1984","35-65 Jahre alt","Brandenburg","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Sachsen","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Thueringen","","","",""
"(1b) general elementary school","1984","66 und älter","Schleswig-Holstein","","","",""
"(1b) general elementary school","1984","66 und älter","Hamburg","","","",""
"(1b) general elementary school","1984","66 und älter","Niedersachsen","69","0.455256240550579","0.376347254788105","0.534165226313053"
"(1b) general elementary school","1984","66 und älter","Bremen","","","",""
"(1b) general elementary school","1984","66 und älter","Nordrhein-Westfalen","100","0.358747538698545","0.303353780013443","0.414141297383648"
"(1b) general elementary school","1984","66 und älter","Hessen","36","0.340472690954071","0.249399835273539","0.431545546634602"
"(1b) general elementary school","1984","66 und älter","Rheinland-Pfalz,Saarland","54","0.515023618597466","0.422049842729762","0.607997394465169"
"(1b) general elementary school","1984","66 und älter","Baden-Wuerttemberg","90","0.436999658935441","0.370698100146709","0.503301217724173"
"(1b) general elementary school","1984","66 und älter","Bayern","83","0.35573214456981","0.294782846963862","0.416681442175758"
"(1b) general elementary school","1984","66 und älter","Saarland","","","",""
"(1b) general elementary school","1984","66 und älter","Berlin","","","",""
"(1b) general elementary school","1984","66 und älter","Brandenburg","","","",""
"(1b) general elementary school","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"(1b) general elementary school","1984","66 und älter","Sachsen","","","",""
"(1b) general elementary school","1984","66 und älter","Sachsen-Anhalt","","","",""
"(1b) general elementary school","1984","66 und älter","Thueringen","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Schleswig-Holstein","45","0.354250236995415","0.274160842564703","0.434339631426127"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Hamburg","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Niedersachsen","131","0.314301497030276","0.271168671273191","0.357434322787361"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Bremen","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Nordrhein-Westfalen","336","0.288235729756298","0.263412698286453","0.313058761226143"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Hessen","115","0.230437918071007","0.193925849124393","0.266949987017622"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","101","0.347077056686392","0.294755766002207","0.399398347370577"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Baden-Wuerttemberg","251","0.326689618418937","0.295160345894992","0.358218890942883"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Bayern","263","0.368767152741287","0.33466703871692","0.402867266765654"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Saarland","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Berlin","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Brandenburg","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Sachsen","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Thueringen","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Schleswig-Holstein","93","0.479796102996685","0.411071026673843","0.548521179319526"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Hamburg","61","0.500646437796436","0.420363251934143","0.580929623658728"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Niedersachsen","264","0.446931533968245","0.40826180073605","0.485601267200439"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Bremen","36","0.556598149241411","0.437643801661371","0.675552496821452"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Nordrhein-Westfalen","675","0.475097908482443","0.451189988436887","0.499005828527999"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Hessen","239","0.446721711076344","0.407745606969571","0.485697815183118"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","187","0.484596500319797","0.4369143663272","0.532278634312395"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Baden-Wuerttemberg","419","0.431513068728046","0.403325152913733","0.459700984542359"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Bayern","443","0.446491628193788","0.417019821015204","0.475963435372373"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Saarland","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Berlin","75","0.366450905371499","0.303492333398985","0.429409477344013"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Brandenburg","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Sachsen","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Thueringen","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Schleswig-Holstein","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Hamburg","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Niedersachsen","47","0.292431436736948","0.220354110257469","0.364508763216427"
"(1c) basic vocational qualification","1984","66 und älter","Bremen","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Nordrhein-Westfalen","128","0.447308300891954","0.389883857155022","0.504732744628886"
"(1c) basic vocational qualification","1984","66 und älter","Hessen","38","0.368935775650652","0.276200794743218","0.461670756558086"
"(1c) basic vocational qualification","1984","66 und älter","Rheinland-Pfalz,Saarland","37","0.317099909213069","0.230530740797859","0.403669077628279"
"(1c) basic vocational qualification","1984","66 und älter","Baden-Wuerttemberg","68","0.306375968580972","0.244756453629515","0.36799548353243"
"(1c) basic vocational qualification","1984","66 und älter","Bayern","89","0.378194468233093","0.316455581398079","0.439933355068107"
"(1c) basic vocational qualification","1984","66 und älter","Saarland","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Berlin","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Brandenburg","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Sachsen","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Sachsen-Anhalt","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Thueringen","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Hamburg","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Niedersachsen","51","0.128756241969775","0.097637497134755","0.159874986804795"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Bremen","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Nordrhein-Westfalen","102","0.0960278158941489","0.0798809262195984","0.112174705568699"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Hessen","36","0.0936394375569248","0.0683803569226233","0.118898518191226"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Baden-Wuerttemberg","51","0.0765812958884793","0.0587041033626843","0.0944584884142742"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Bayern","69","0.101573492461989","0.0802225823430656","0.122924402580913"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Saarland","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Berlin","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Brandenburg","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Sachsen","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Thueringen","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Schleswig-Holstein","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Hamburg","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Niedersachsen","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Bremen","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Nordrhein-Westfalen","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Hessen","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Baden-Wuerttemberg","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Bayern","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Saarland","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Berlin","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Brandenburg","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Sachsen","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Thueringen","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Schleswig-Holstein","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Hamburg","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Niedersachsen","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Bremen","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Nordrhein-Westfalen","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Hessen","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Baden-Wuerttemberg","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Bayern","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Saarland","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Berlin","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Brandenburg","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Sachsen","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Sachsen-Anhalt","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Thueringen","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Schleswig-Holstein","33","0.24149522232467","0.169827889939358","0.313162554709982"
"(2a) intermediate vocational","1984","16-34 Jahre alt","Hamburg","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Niedersachsen","68","0.173868140376924","0.138655160740017","0.209081120013832"
"(2a) intermediate vocational","1984","16-34 Jahre alt","Bremen","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Nordrhein-Westfalen","161","0.153490307445335","0.133735660865167","0.173244954025502"
"(2a) intermediate vocational","1984","16-34 Jahre alt","Hessen","74","0.207654110311618","0.172484681772257","0.242823538850978"
"(2a) intermediate vocational","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","42","0.155033683472775","0.115253455999174","0.194813910946377"
"(2a) intermediate vocational","1984","16-34 Jahre alt","Baden-Wuerttemberg","101","0.168497272784226","0.143334012775059","0.193660532793392"
"(2a) intermediate vocational","1984","16-34 Jahre alt","Bayern","120","0.175814038667234","0.148909577247093","0.202718500087375"
"(2a) intermediate vocational","1984","16-34 Jahre alt","Saarland","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Berlin","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Brandenburg","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Sachsen","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Thueringen","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Schleswig-Holstein","36","0.182239146128503","0.129134310792717","0.235343981464289"
"(2a) intermediate vocational","1984","35-65 Jahre alt","Hamburg","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Niedersachsen","79","0.141679669769258","0.114556546608068","0.168802792930449"
"(2a) intermediate vocational","1984","35-65 Jahre alt","Bremen","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Nordrhein-Westfalen","150","0.11286400884079","0.0977150104535776","0.128013007228002"
"(2a) intermediate vocational","1984","35-65 Jahre alt","Hessen","59","0.132779953607388","0.10617644038112","0.159383466833656"
"(2a) intermediate vocational","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Baden-Wuerttemberg","78","0.0978061189669225","0.0809002033023581","0.114712034631487"
"(2a) intermediate vocational","1984","35-65 Jahre alt","Bayern","128","0.139530611487339","0.118988718086313","0.160072504888364"
"(2a) intermediate vocational","1984","35-65 Jahre alt","Saarland","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Berlin","40","0.202353833343969","0.149858863430238","0.254848803257699"
"(2a) intermediate vocational","1984","35-65 Jahre alt","Brandenburg","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Sachsen","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Thueringen","","","",""
"(2a) intermediate vocational","1984","66 und älter","Schleswig-Holstein","","","",""
"(2a) intermediate vocational","1984","66 und älter","Hamburg","","","",""
"(2a) intermediate vocational","1984","66 und älter","Niedersachsen","","","",""
"(2a) intermediate vocational","1984","66 und älter","Bremen","","","",""
"(2a) intermediate vocational","1984","66 und älter","Nordrhein-Westfalen","","","",""
"(2a) intermediate vocational","1984","66 und älter","Hessen","","","",""
"(2a) intermediate vocational","1984","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"(2a) intermediate vocational","1984","66 und älter","Baden-Wuerttemberg","","","",""
"(2a) intermediate vocational","1984","66 und älter","Bayern","","","",""
"(2a) intermediate vocational","1984","66 und älter","Saarland","","","",""
"(2a) intermediate vocational","1984","66 und älter","Berlin","","","",""
"(2a) intermediate vocational","1984","66 und älter","Brandenburg","","","",""
"(2a) intermediate vocational","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"(2a) intermediate vocational","1984","66 und älter","Sachsen","","","",""
"(2a) intermediate vocational","1984","66 und älter","Sachsen-Anhalt","","","",""
"(2a) intermediate vocational","1984","66 und älter","Thueringen","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Hamburg","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Niedersachsen","34","0.064671575171998","0.0418204877696873","0.0875226625743086"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Bremen","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Nordrhein-Westfalen","116","0.0954884072558134","0.0793821284667906","0.111594686044836"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Hessen","54","0.121289837139314","0.0929842171354879","0.149595457143139"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Baden-Wuerttemberg","48","0.071491382090631","0.0541709610843885","0.0888118030968734"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Bayern","50","0.0686177836009442","0.0507501419092603","0.0864854252926281"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Saarland","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Berlin","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Brandenburg","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Sachsen","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Thueringen","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Schleswig-Holstein","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Hamburg","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Niedersachsen","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Bremen","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Nordrhein-Westfalen","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Hessen","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Baden-Wuerttemberg","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Bayern","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Saarland","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Berlin","","","",""
