"year","regtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2010","Staedtischer Raum","West","","","","",""
"2011","Laendlicher Raum","Ost","","","","",""
"2011","Laendlicher Raum","West","","","","",""
"2011","Staedtischer Raum","Ost","","","","",""
"2011","Staedtischer Raum","West","","","","",""
"2012","Laendlicher Raum","Ost","","","","",""
"2012","Laendlicher Raum","West","","","","",""
"2012","Staedtischer Raum","Ost","","","","",""
"2012","Staedtischer Raum","West","","","","",""
"2013","Laendlicher Raum","Ost","6.9","6.5","3133","6.84","6.96"
"2013","Laendlicher Raum","West","7.39","7.5","4711","7.34","7.44"
"2013","Staedtischer Raum","Ost","7.02","6.5","1651","6.93","7.11"
"2013","Staedtischer Raum","West","7.44","7.5","14012","7.41","7.47"
"2014","Laendlicher Raum","Ost","","","","",""
"2014","Laendlicher Raum","West","","","","",""
"2014","Staedtischer Raum","Ost","","","","",""
"2014","Staedtischer Raum","West","","","","",""
"2015","Laendlicher Raum","Ost","","","","",""
"2015","Laendlicher Raum","West","","","","",""
"2015","Staedtischer Raum","Ost","","","","",""
"2015","Staedtischer Raum","West","","","","",""
"2016","Laendlicher Raum","Ost","","","","",""
"2016","Laendlicher Raum","West","","","","",""
"2016","Staedtischer Raum","Ost","","","","",""
"2016","Staedtischer Raum","West","","","","",""
"2017","Laendlicher Raum","Ost","","","","",""
"2017","Laendlicher Raum","West","","","","",""
"2017","Staedtischer Raum","Ost","","","","",""
"2017","Staedtischer Raum","West","","","","",""
"2018","Laendlicher Raum","Ost","7.22","7.5","3534","7.16","7.28"
"2018","Laendlicher Raum","West","7.62","7.5","5365","7.58","7.66"
"2018","Staedtischer Raum","Ost","7.47","7.5","1912","7.4","7.54"
"2018","Staedtischer Raum","West","7.65","7.5","14515","7.62","7.68"
