"pli0165","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","2016","Ostdeutschland","weiblich","","","",""
"Nie","2016","Westdeutschland","maennlich","","","",""
"Nie","2016","Westdeutschland","weiblich","","","",""
"Nie","2016","Ostdeutschland","maennlich","","","",""
"Nie","2016","Ostdeutschland","weiblich","","","",""
"Taeglich","2017","Westdeutschland","maennlich","1286","","",""
"Taeglich","2017","Westdeutschland","weiblich","781","0.533383378453543","0.507749375161415","0.559017381745671"
"Taeglich","2017","Ostdeutschland","maennlich","216","","",""
"Taeglich","2017","Ostdeutschland","weiblich","135","","",""
"Min 1x pro Woche","2017","Westdeutschland","maennlich","315","0.155894496726766","0.139735694237477","0.172053299216054"
"Min 1x pro Woche","2017","Westdeutschland","weiblich","227","","",""
"Min 1x pro Woche","2017","Ostdeutschland","maennlich","55","0.133764576364938","0.0969822942430708","0.170546858486805"
"Min 1x pro Woche","2017","Ostdeutschland","weiblich","47","0.161205991288558","0.115714572754532","0.206697409822585"
"Min 1x pro Monat","2017","Westdeutschland","maennlich","45","0.0304229796676226","0.0227725214953202","0.038073437839925"
"Min 1x pro Monat","2017","Westdeutschland","weiblich","39","0.0308618026652002","0.0219755205888668","0.0397480847415337"
"Min 1x pro Monat","2017","Ostdeutschland","maennlich","11","","",""
"Min 1x pro Monat","2017","Ostdeutschland","weiblich","6","0.0402788135939251","0.0159555354353176","0.0646020917525325"
"Seltener","2017","Westdeutschland","maennlich","115","","",""
"Seltener","2017","Westdeutschland","weiblich","98","0.0710244633390339","0.0578260199619118","0.084222906716156"
"Seltener","2017","Ostdeutschland","maennlich","10","","",""
"Seltener","2017","Ostdeutschland","weiblich","10","","",""
"Nie","2017","Westdeutschland","maennlich","175","","",""
"Nie","2017","Westdeutschland","weiblich","310","0.214368819228649","0.193282209599068","0.235455428858231"
"Nie","2017","Ostdeutschland","maennlich","37","0.0866549256093845","0.0562555814317874","0.117054269786982"
"Nie","2017","Ostdeutschland","weiblich","53","0.189102008182376","0.140657738494294","0.237546277870457"
"Taeglich","2018","Westdeutschland","maennlich","1142","","",""
"Taeglich","2018","Westdeutschland","weiblich","666","0.606316457589949","0.577431445537213","0.635201469642686"
"Taeglich","2018","Ostdeutschland","maennlich","180","","",""
"Taeglich","2018","Ostdeutschland","weiblich","103","","",""
"Min 1x pro Woche","2018","Westdeutschland","maennlich","258","","",""
"Min 1x pro Woche","2018","Westdeutschland","weiblich","173","","",""
"Min 1x pro Woche","2018","Ostdeutschland","maennlich","44","0.133211116498689","0.0933386694478984","0.17308356354948"
"Min 1x pro Woche","2018","Ostdeutschland","weiblich","37","0.204904545018825","0.148252418467808","0.261556671569842"
"Min 1x pro Monat","2018","Westdeutschland","maennlich","49","0.0270323559224944","0.0191080503081016","0.0349566615368872"
"Min 1x pro Monat","2018","Westdeutschland","weiblich","37","0.031799855443863","0.0214258997396553","0.0421738111480707"
"Min 1x pro Monat","2018","Ostdeutschland","maennlich","9","0.0305727263633105","0.0103718276573021","0.0507736250693188"
"Min 1x pro Monat","2018","Ostdeutschland","weiblich","5","0.0198980262621969","0.000297333686564889","0.0394987188378288"
"Seltener","2018","Westdeutschland","maennlich","70","0.0345225788624327","0.0256020059963692","0.0434431517284962"
"Seltener","2018","Westdeutschland","weiblich","63","0.0615576154330496","0.0473476197473112","0.075767611118788"
"Seltener","2018","Ostdeutschland","maennlich","13","","",""
"Seltener","2018","Ostdeutschland","weiblich","6","0.0276690055381962","0.00464745210329276","0.0506905589730996"
"Nie","2018","Westdeutschland","maennlich","90","0.0584704114443012","0.0470059111370766","0.0699349117515258"
"Nie","2018","Westdeutschland","weiblich","160","","",""
"Nie","2018","Ostdeutschland","maennlich","33","0.100332131091645","0.0650782355832409","0.135586026600048"
"Nie","2018","Ostdeutschland","weiblich","44","0.203839871602659","0.147297298775794","0.260382444429524"
"Taeglich","2019","Westdeutschland","maennlich","1179","","",""
"Taeglich","2019","Westdeutschland","weiblich","694","0.619762094070641","0.590675262767405","0.648848925373877"
"Taeglich","2019","Ostdeutschland","maennlich","174","","",""
"Taeglich","2019","Ostdeutschland","weiblich","104","","",""
"Min 1x pro Woche","2019","Westdeutschland","maennlich","251","","",""
"Min 1x pro Woche","2019","Westdeutschland","weiblich","157","","",""
"Min 1x pro Woche","2019","Ostdeutschland","maennlich","35","0.130513014204502","0.088158138933645","0.17286788947536"
"Min 1x pro Woche","2019","Ostdeutschland","weiblich","31","0.103681721672269","0.059988958143337","0.147374485201201"
"Min 1x pro Monat","2019","Westdeutschland","maennlich","24","","",""
"Min 1x pro Monat","2019","Westdeutschland","weiblich","29","","",""
"Min 1x pro Monat","2019","Ostdeutschland","maennlich","4","0.0102784119490771","-0.00240290875525246","0.0229597326534067"
"Min 1x pro Monat","2019","Ostdeutschland","weiblich","2","","",""
"Seltener","2019","Westdeutschland","maennlich","63","0.0325581533224071","0.0238592165226699","0.0412570901221443"
"Seltener","2019","Westdeutschland","weiblich","71","0.0669791415023688","0.0520005261964851","0.0819577568082526"
"Seltener","2019","Ostdeutschland","maennlich","13","","",""
"Seltener","2019","Ostdeutschland","weiblich","15","","",""
"Nie","2019","Westdeutschland","maennlich","82","0.0499860677076471","0.039305032837122","0.0606671025781723"
"Nie","2019","Westdeutschland","weiblich","119","","",""
"Nie","2019","Ostdeutschland","maennlich","17","","",""
"Nie","2019","Ostdeutschland","weiblich","35","0.203885033573299","0.146140901839136","0.261629165307462"
