"pli0091_h","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Woche","1990","Ostdeutschland","weiblich","128","0.0494290003343176","0.0405393795495657","0.0583186211190696"
"Min 1x pro Monat","1990","Westdeutschland","maennlich","741","0.153926714773613","0.143552003415666","0.16430142613156"
"Min 1x pro Monat","1990","Westdeutschland","weiblich","606","0.121408834159433","0.11214910815201","0.130668560166856"
"Min 1x pro Monat","1990","Ostdeutschland","maennlich","322","0.158230878315967","0.142543045188373","0.173918711443561"
"Min 1x pro Monat","1990","Ostdeutschland","weiblich","262","0.105157122448023","0.0925767707985206","0.117737474097526"
"Seltener","1990","Westdeutschland","maennlich","1443","0.337381610350512","0.323788855726961","0.350974364974063"
"Seltener","1990","Westdeutschland","weiblich","1390","0.295375746275375","0.282441361221998","0.308310131328753"
"Seltener","1990","Ostdeutschland","maennlich","1017","0.451969658165792","0.430576357808697","0.473362958522886"
"Seltener","1990","Ostdeutschland","weiblich","1119","0.437652423206682","0.417306981453076","0.457997864960289"
"Nie","1990","Westdeutschland","maennlich","2118","0.441150865017423","0.426876529834872","0.455425200199973"
"Nie","1990","Westdeutschland","weiblich","2573","0.545384041628179","0.531266693411521","0.559501389844836"
"Nie","1990","Ostdeutschland","maennlich","499","0.269803301945609","0.250723915308055","0.288882688583163"
"Nie","1990","Ostdeutschland","weiblich","775","0.407761454010977","0.387607908477661","0.427914999544292"
"Taeglich","1991","Westdeutschland","maennlich","","","",""
"Taeglich","1991","Westdeutschland","weiblich","","","",""
"Taeglich","1991","Ostdeutschland","maennlich","","","",""
"Taeglich","1991","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1991","Westdeutschland","maennlich","","","",""
"Min 1x pro Woche","1991","Westdeutschland","weiblich","","","",""
"Min 1x pro Woche","1991","Ostdeutschland","maennlich","","","",""
"Min 1x pro Woche","1991","Ostdeutschland","weiblich","","","",""
"Min 1x pro Monat","1991","Westdeutschland","maennlich","","","",""
"Min 1x pro Monat","1991","Westdeutschland","weiblich","","","",""
"Min 1x pro Monat","1991","Ostdeutschland","maennlich","","","",""
"Min 1x pro Monat","1991","Ostdeutschland","weiblich","","","",""
"Seltener","1991","Westdeutschland","maennlich","","","",""
"Seltener","1991","Westdeutschland","weiblich","","","",""
"Seltener","1991","Ostdeutschland","maennlich","","","",""
"Seltener","1991","Ostdeutschland","weiblich","","","",""
"Nie","1991","Westdeutschland","maennlich","","","",""
"Nie","1991","Westdeutschland","weiblich","","","",""
"Nie","1991","Ostdeutschland","maennlich","","","",""
"Nie","1991","Ostdeutschland","weiblich","","","",""
"Taeglich","1992","Westdeutschland","maennlich","","","",""
"Taeglich","1992","Westdeutschland","weiblich","","","",""
"Taeglich","1992","Ostdeutschland","maennlich","","","",""
"Taeglich","1992","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1992","Westdeutschland","maennlich","528","0.107700601475741","0.0986711941193517","0.116730008832131"
"Min 1x pro Woche","1992","Westdeutschland","weiblich","269","0.0502826648811232","0.0440271852354053","0.0565381445268411"
"Min 1x pro Woche","1992","Ostdeutschland","maennlich","173","0.0956029535804018","0.0823111354918053","0.108894771668998"
"Min 1x pro Woche","1992","Ostdeutschland","weiblich","96","0.0381000171798551","0.0298351355231169","0.0463648988365934"
"Min 1x pro Monat","1992","Westdeutschland","maennlich","785","0.169697480108704","0.158764192905376","0.180630767312031"
"Min 1x pro Monat","1992","Westdeutschland","weiblich","650","0.129705343063113","0.120087750351888","0.139322935774337"
"Min 1x pro Monat","1992","Ostdeutschland","maennlich","230","0.123731059696857","0.108846799902091","0.138615319491624"
"Min 1x pro Monat","1992","Ostdeutschland","weiblich","181","0.0763886861763012","0.0649211996768428","0.0878561726757597"
"Seltener","1992","Westdeutschland","maennlich","1605","0.365672636714944","0.351644569547026","0.379700703882863"
"Seltener","1992","Westdeutschland","weiblich","1632","0.343795287203151","0.330198887555769","0.357391686850532"
"Seltener","1992","Ostdeutschland","maennlich","841","0.409617315941833","0.387388049790166","0.4318465820935"
"Seltener","1992","Ostdeutschland","weiblich","894","0.379244076808612","0.358296734269887","0.400191419347338"
"Nie","1992","Westdeutschland","maennlich","1610","0.356929281700611","0.342974747695675","0.370883815705546"
"Nie","1992","Westdeutschland","weiblich","2137","0.476216704852613","0.461920116120231","0.490513293584995"
"Nie","1992","Ostdeutschland","maennlich","636","0.371048670780908","0.349211663137807","0.392885678424009"
"Nie","1992","Ostdeutschland","weiblich","890","0.506267219835231","0.484682571353854","0.527851868316608"
"Taeglich","1993","Westdeutschland","maennlich","","","",""
"Taeglich","1993","Westdeutschland","weiblich","","","",""
"Taeglich","1993","Ostdeutschland","maennlich","","","",""
"Taeglich","1993","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1993","Westdeutschland","maennlich","","","",""
"Min 1x pro Woche","1993","Westdeutschland","weiblich","","","",""
"Min 1x pro Woche","1993","Ostdeutschland","maennlich","","","",""
"Min 1x pro Woche","1993","Ostdeutschland","weiblich","","","",""
"Min 1x pro Monat","1993","Westdeutschland","maennlich","","","",""
"Min 1x pro Monat","1993","Westdeutschland","weiblich","","","",""
"Min 1x pro Monat","1993","Ostdeutschland","maennlich","","","",""
"Min 1x pro Monat","1993","Ostdeutschland","weiblich","","","",""
"Seltener","1993","Westdeutschland","maennlich","","","",""
"Seltener","1993","Westdeutschland","weiblich","","","",""
"Seltener","1993","Ostdeutschland","maennlich","","","",""
"Seltener","1993","Ostdeutschland","weiblich","","","",""
"Nie","1993","Westdeutschland","maennlich","","","",""
"Nie","1993","Westdeutschland","weiblich","","","",""
"Nie","1993","Ostdeutschland","maennlich","","","",""
"Nie","1993","Ostdeutschland","weiblich","","","",""
"Taeglich","1994","Westdeutschland","maennlich","","","",""
"Taeglich","1994","Westdeutschland","weiblich","","","",""
"Taeglich","1994","Ostdeutschland","maennlich","","","",""
"Taeglich","1994","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1994","Westdeutschland","maennlich","513","0.104333904383851","0.0952746073587029","0.113393201409"
"Min 1x pro Woche","1994","Westdeutschland","weiblich","315","0.0632973383987325","0.056278265615807","0.0703164111816579"
"Min 1x pro Woche","1994","Ostdeutschland","maennlich","168","0.0958566092373448","0.0821995036200978","0.109513714854592"
"Min 1x pro Woche","1994","Ostdeutschland","weiblich","120","0.0444595161436377","0.0353439371035651","0.0535750951837103"
"Min 1x pro Monat","1994","Westdeutschland","maennlich","773","0.173627687740091","0.162402177992927","0.184853197487256"
"Min 1x pro Monat","1994","Westdeutschland","weiblich","658","0.128065799521253","0.118433176079276","0.137698422963231"
"Min 1x pro Monat","1994","Ostdeutschland","maennlich","224","0.115997567155854","0.101142310782731","0.130852823528977"
"Min 1x pro Monat","1994","Ostdeutschland","weiblich","193","0.0827093187277139","0.0705276141843882","0.0948910232710397"
"Seltener","1994","Westdeutschland","maennlich","1651","0.390462429065023","0.376004750413641","0.404920107716405"
"Seltener","1994","Westdeutschland","weiblich","1676","0.359772167686239","0.34593754876763","0.373606786604848"
"Seltener","1994","Ostdeutschland","maennlich","781","0.410224590790492","0.387406297585014","0.433042883995971"
"Seltener","1994","Ostdeutschland","weiblich","805","0.361365287756594","0.340119304946629","0.382611270566559"
"Nie","1994","Westdeutschland","maennlich","1437","0.331575978811034","0.317624306854218","0.34552765076785"
