year,sampreg,pli0091_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1997,East,At least once per month,0.027735536466570638,595,12729,0.027695915238879057,0.02777515769426222
1997,East,Seldom,0.07820547206074385,1593,12729,0.07814069025184937,0.07827025386963833
1997,East,Never,0.0709113992862768,1125,12729,0.07084946886556572,0.07097332970698787
1998,West,At least once per week,0.04016523182182201,574,14169,0.04011804451703727,0.040212419126606745
1998,West,At least once per month,0.13818653057787653,1832,14169,0.13810359492076582,0.13826946623498723
1998,West,Seldom,0.2965884513211709,3864,14169,0.2964786813222466,0.2966982213200952
1998,West,Never,0.332521047076875,4048,14169,0.33240782525150514,0.3326342689022449
1998,East,At least once per week,0.010171671226315283,248,14169,0.01014755674687013,0.010195785705760435
1998,East,At least once per month,0.027812207081977937,600,14169,0.027772689114121524,0.02785172504983435
1998,East,Seldom,0.07524572728417322,1624,14169,0.07518233215515327,0.07530912241319318
1998,East,Never,0.0793091336097891,1379,14169,0.07924419240897221,0.07937407481060599
1999,West,At least once per week,0.0592017931130114,782,13592,0.05914516350483592,0.059258422721186886
1999,West,At least once per month,0.1388575114649447,1804,13592,0.13877453592569391,0.1389404870041955
1999,West,Seldom,0.32851678817145946,4046,13592,0.3284040880849525,0.32862948825796645
1999,West,Never,0.28464266808917393,3205,13592,0.2845343902942114,0.28475094588413646
1999,East,At least once per week,0.013309359682680004,308,13592,0.013281861944594808,0.013336857420765201
1999,East,At least once per month,0.03246007369223357,690,13592,0.03241754940095419,0.032502597983512946
1999,East,Seldom,0.0818144882767629,1750,13592,0.08174872124934393,0.08188025530418186
1999,East,Never,0.06119731750973398,1007,13592,0.061139802494431995,0.06125483252503596
2001,West,At least once per week,0.05982885339598033,1282,21761,0.059772023687899904,0.05988568310406076
2001,West,At least once per month,0.13872030835370314,2921,21761,0.13863748386717253,0.13880313284023374
2001,West,Seldom,0.3084745292616221,6402,21761,0.3083638591440109,0.30858519937923334
2001,West,Never,0.30290359399556743,5748,21761,0.302793486911649,0.3030137010794859
2001,East,At least once per week,0.01266016121327601,391,21761,0.012633371406921471,0.012686951019630547
2001,East,At least once per month,0.03441555975626282,1027,21761,0.0343718790980424,0.03445924041448324
2001,East,Seldom,0.07595408351229865,2306,21761,0.07589060321297662,0.07601756381162068
2001,East,Never,0.0670429105112895,1684,21761,0.06698298332453495,0.06710283769804404
2003,West,At least once per week,0.03643970843381978,828,22074,0.03639506941515392,0.03648434745248564
2003,West,At least once per month,0.13226935468229842,2989,22074,0.13218864793770588,0.13235006142689096
2003,West,Seldom,0.30500273639418785,6699,22074,0.30489305545517725,0.30511241733319844
2003,West,Never,0.33709794076629035,6229,22074,0.3369853272605575,0.3372105542720232
2003,East,At least once per week,0.007997918709675375,261,22074,0.00797669933754421,0.008019138081806541
2003,East,At least once per month,0.032029099704854666,918,22074,0.03198715363640923,0.032071045773300104
2003,East,Seldom,0.07414047572420596,2299,22074,0.07407806086744603,0.07420289058096588
2003,East,Never,0.07502276558466757,1851,22074,0.07496001037259725,0.07508552079673789
2005,West,At least once per week,0.05159119938575756,1060,20593,0.05153870897844998,0.05164368979306514
2005,West,At least once per month,0.14570933575137177,2953,20593,0.14562561350696668,0.14579305799577685
2005,West,Seldom,0.3378996566637243,6718,20593,0.33778741602623014,0.33801189730121844
2005,West,Never,0.2777270145650941,4847,20593,0.2776207339420792,0.27783329518810895
2005,East,At least once per week,0.01030550486526673,290,20593,0.010281539748103547,0.010329469982429913
2005,East,At least once per month,0.032185352028812626,863,20593,0.03214347078509215,0.0322272332725331
2005,East,Seldom,0.08365562856258198,2376,20593,0.08358992766775694,0.08372132945740701
2005,East,Never,0.06092630817739108,1486,20593,0.06086954762526339,0.060983068729518766
2007,West,At least once per week,0.04783548039700122,934,20401,0.0477845674927079,0.047886393301294544
2007,West,At least once per month,0.14013359523419977,2850,20401,0.14005078511162436,0.14021640535677518
2007,West,Seldom,0.34850374784698906,6763,20401,0.348390075064188,0.3486174206297901
2007,West,Never,0.27359320930268266,4869,20401,0.2734868588337127,0.2736995597716526
2007,East,At least once per week,0.009911952151075763,265,20401,0.00988831945270332,0.009935584849448205
2007,East,At least once per month,0.03127372240668931,809,20401,0.031232199558702625,0.031315245254676
2007,East,Seldom,0.08645051951032814,2410,20401,0.0863834775590786,0.08651756146157769
2007,East,Never,0.06229777315103396,1501,20401,0.06224011435896014,0.062355431943107775
2008,West,At least once per week,0.02926691443966826,522,19254,0.029226869200307197,0.029306959679029326
2008,West,At least once per month,0.13061081276634473,2355,19254,0.13053075394495964,0.13069087158772982
2008,West,Seldom,0.3348415688007492,6125,19254,0.3347294457920321,0.3349536918094663
2008,West,Never,0.31869665570847616,5491,19254,0.3185859496158993,0.318807361801053
2008,East,At least once per week,0.005533227586298226,122,19254,0.005515603893492812,0.00555085127910364
2008,East,At least once per month,0.029483538648118097,722,19254,0.029443349965952593,0.029523727330283602
2008,East,Seldom,0.07690700031887585,2140,19254,0.07684369821067315,0.07697030242707854
2008,East,Never,0.07466028173146937,1777,19254,0.07459783525721214,0.07472272820572659
2009,West,At least once per week,0.04616185559119034,779,17932,0.04611195690956287,0.04621175427281781
2009,West,At least once per month,0.14904617752975044,2458,17932,0.1489614892098383,0.1491308658496626
2009,West,Seldom,0.3658425881137752,6165,17932,0.3657280484863842,0.3659571277411662
2009,West,Never,0.25067382571406244,4006,17932,0.2505707633630239,0.25077688806510096
2009,East,At least once per week,0.009887062771874127,196,17932,0.009863534712223825,0.00991059083152443
2009,East,At least once per month,0.030786361758665323,716,17932,0.03074528472804915,0.030827438789281496
2009,East,Seldom,0.09201047426274572,2318,17932,0.09194174065293044,0.092079207872561
2009,East,Never,0.05559165425793639,1294,17932,0.055537167018373385,0.0556461414974994
2011,West,At least once per week,0.045799854452750616,1135,28281,0.04574946002586871,0.04585024887963252
2011,West,At least once per month,0.15549073467851277,3940,28281,0.15540338019717756,0.15557808915984797
2011,West,Seldom,0.35448144781287216,10313,28281,0.35436613386470983,0.3545967617610345
2011,West,Never,0.2617267686504419,6605,28281,0.2616208034278146,0.26183273387306927
2011,East,At least once per week,0.008754252655871866,240,28281,0.008731796731903886,0.008776708579839846
2011,East,At least once per month,0.028545272090388756,922,28281,0.028505129157537723,0.028585415023239788
2011,East,Seldom,0.08723754661464285,3228,28281,0.08716952274598441,0.08730557048330129
2011,East,Never,0.05796412304451911,1898,28281,0.05790779248322905,0.05802045360580917
2013,West,At least once per week,0.023866980255086327,508,25420,0.023828546562989474,0.02390541394718318
2013,West,At least once per month,0.15524179973501556,3823,25420,0.15515061347359485,0.15533298599643627
2013,West,Seldom,0.3516908357724521,9362,25420,0.3515706008925561,0.35181107065234807
2013,West,Never,0.2766259251597796,6029,25420,0.27651328668079084,0.2767385636387683
2013,East,At least once per week,0.0035784008507207267,95,25420,0.003563365106525336,0.0035934365949161174
2013,East,At least once per month,0.029342415306811174,873,25420,0.029299920112073625,0.029384910501548723
2013,East,Seldom,0.08594745157941015,2697,25420,0.08587687494381707,0.08601802821500323
2013,East,Never,0.07370619134072454,2033,25420,0.07364039750086539,0.07377198518058369
2015,West,At least once per week,0.034137480384822685,856,26714,0.03409424858299697,0.0341807121866484
2015,West,At least once per month,0.1613482849443642,4126,26714,0.16126070534696943,0.16143586454175898
2015,West,Seldom,0.37773473399955176,10291,26714,0.3776193059947915,0.37785016200431204
2015,West,Never,0.2492779214737938,6053,26714,0.2491749275865934,0.2493809153609942
2015,East,At least once per week,0.005274415236763742,146,26714,0.005257170016299657,0.005291660457227826
2015,East,At least once per month,0.029867700766504243,869,26714,0.02982717359205583,0.029908227940952655
2015,East,Seldom,0.08498303947126899,2764,26714,0.08491664825116807,0.08504943069136991
2015,East,Never,0.05737642372293067,1609,26714,0.057321054830723084,0.057431792615138255
2017,West,At least once per week,0.036902200245714556,991,30467,0.036857521356971935,0.036946879134457176
2017,West,At least once per month,0.1854101568789268,5035,30467,0.1853180531331625,0.18550226062469113
2017,West,Seldom,0.37274904603397363,10638,30467,0.37263444989843664,0.3728636421695106
2017,West,Never,0.23170669873629265,7639,30467,0.23160670475623557,0.23180669271634974
2017,East,At least once per week,0.006670702623984155,208,30467,0.0066514107929527035,0.006689994455015606
2017,East,At least once per month,0.03330660504506269,1080,30467,0.03326407943074999,0.03334913065937539
2017,East,Seldom,0.08257401956909052,2912,30467,0.08250878943562773,0.08263924970255332
2017,East,Never,0.05068057086695497,1964,30467,0.05062858707324119,0.05073255466066875
2018,West,At least once per week,0.022929467857553114,64,3143,0.022490209553351917,0.02336872616175431
2018,West,At least once per month,0.11094244623735222,227,3143,0.11002077965342558,0.11186411282127887
2018,West,Seldom,0.18632453266919363,564,3143,0.18518186308787474,0.18746720225051253
2018,West,Never,0.5150644502531461,1820,3143,0.5135977788163486,0.5165311216899435
2018,East,At least once per month,0.0221106743873834,44,3143,0.02167914946587661,0.02254219930889019
2018,East,Seldom,0.03510604746334317,76,3143,0.034565926796659034,0.03564616813002731
2018,East,Never,0.10752238113202844,348,3143,0.1066132884984786,0.10843147376557828
2019,West,At least once per week,0.017263243904258974,472,28700,0.017232364449706408,0.01729412335881154
2019,West,At least once per month,0.17840142013108162,4670,28700,0.1783106550477178,0.17849218521444546
2019,West,Seldom,0.37064331726220473,10113,28700,0.37052881440378416,0.3707578201206253
2019,West,Never,0.2620391281111163,7481,28700,0.2619348748718593,0.2621433813503733
2019,East,At least once per week,0.003348753590159601,110,28700,0.003335057297714521,0.0033624498826046816
2019,East,At least once per month,0.030623006131054422,1037,28700,0.030582159138876474,0.03066385312323237
2019,East,Seldom,0.08151101329339379,2858,28700,0.0814461446314225,0.08157588195536508
2019,East,Never,0.05617011757673045,1959,28700,0.05611553056183244,0.056224704591628455
