year,bula_h,sex,pli0091_h,proportion,n,lower_confidence,upper_confidence
1995,Mecklenburg-Vorpommern,male,3.0,0.001815568499886527,13284,0.0010916271996903662,0.0025395098000826877
1995,Sachsen-Anhalt,female,2.0,0.001739919812391255,13284,0.0010311942344494837,0.0024486453903330265
1995,Berlin,female,2.0,0.001739919812391255,13284,0.0010311942344494837,0.0024486453903330265
1995,Niedersachsen,female,2.0,0.001664271124895983,13284,0.0009710975725881985,0.0023574446772037677
1995,Schleswig-Holstein,female,3.0,0.001664271124895983,13284,0.0009710975725881985,0.0023574446772037677
1995,Schleswig-Holstein,male,3.0,0.0015886224374007112,13284,0.0009113603813987582,0.0022658844934026643
1995,"Rheinland-Pfalz,Saarland",male,2.0,0.0015886224374007112,13284,0.0009113603813987582,0.0022658844934026643
1995,Sachsen-Anhalt,male,2.0,0.0013616763749148952,13284,0.0007345822913130641,0.0019887704585167263
1995,Brandenburg,female,2.0,0.0012860276874196233,13284,0.0006765786994534119,0.0018954766753858346
1995,"Rheinland-Pfalz,Saarland",female,2.0,0.0012860276874196233,13284,0.0006765786994534119,0.0018954766753858346
1995,Bremen,male,4.0,0.0012860276874196233,13284,0.0006765786994534119,0.0018954766753858346
1995,Bremen,male,5.0,0.0012860276874196233,13284,0.0006765786994534119,0.0018954766753858346
1995,Hamburg,male,5.0,0.0012103789999243512,13284,0.0006191042429216842,0.0018016537569270183
1995,Mecklenburg-Vorpommern,male,2.0,0.0011347303124290794,13284,0.0005622093104605999,0.001707251314397559
1995,Thueringen,female,2.0,0.0011347303124290794,13284,0.0005622093104605999,0.001707251314397559
1995,Hamburg,male,3.0,0.0010590816249338073,13284,0.0005059528449807795,0.0016122104048868352
1995,Hamburg,female,3.0,0.0009077842499432635,13284,0.0003956477285744916,0.0014199207713120354
1995,Schleswig-Holstein,female,2.0,0.0009077842499432635,13284,0.0003956477285744916,0.0014199207713120354
1995,Bremen,female,3.0,0.0009077842499432635,13284,0.0003956477285744916,0.0014199207713120354
1995,Bremen,female,4.0,0.0008321355624479915,13284,0.0003417836109786878,0.0013224875139172952
1995,Schleswig-Holstein,male,2.0,0.0008321355624479915,13284,0.0003417836109786878,0.0013224875139172952
1995,Mecklenburg-Vorpommern,female,2.0,0.0006051894999621756,13284,0.000186968462440954,0.0010234105374833972
1995,Hamburg,male,2.0,0.0005295408124669037,13284,0.00013831604794017498,0.0009207655769936324
1995,Bremen,male,3.0,0.00045389212497163174,13284,9.167466732558404e-05,0.0008161095826176794
1995,Bremen,male,2.0,0.00022694606248581587,13284,-2.920943306856702e-05,0.0004831015580401988
1995,Bremen,female,2.0,0.00022694606248581587,13284,-2.920943306856702e-05,0.0004831015580401988
1995,Hessen,male,1.0,0.0001512973749905439,13284,-5.786062392631035e-05,0.0003604553739073982
1995,Hamburg,female,2.0,0.0001512973749905439,13284,-5.786062392631035e-05,0.0003604553739073982
1995,Nordrhein-Westfalen,female,1.0,7.564868749527195e-05,13284,-7.225394672737803e-05,0.00022355132171792194
1995,Nordrhein-Westfalen,male,1.0,7.564868749527195e-05,13284,-7.225394672737803e-05,0.00022355132171792194
1995,Baden-Wuerttemberg,female,1.0,7.564868749527195e-05,13284,-7.225394672737803e-05,0.00022355132171792194
1995,Berlin,male,1.0,7.564868749527195e-05,13284,-7.225394672737803e-05,0.00022355132171792194
1995,Sachsen-Anhalt,male,1.0,7.564868749527195e-05,13284,-7.225394672737803e-05,0.00022355132171792194
1995,Thueringen,male,1.0,7.564868749527195e-05,13284,-7.225394672737803e-05,0.00022355132171792194
1996,Nordrhein-Westfalen,female,5.0,0.03859189647203821,13048,0.035286785490989174,0.04189700745308724
1996,Nordrhein-Westfalen,female,4.0,0.03851486673856108,13048,0.03521292364823588,0.04181680982888628
1996,Nordrhein-Westfalen,male,4.0,0.03674318286858728,13048,0.03351510851019224,0.03997125722698232
1996,Nordrhein-Westfalen,male,5.0,0.02765367431828686,13048,0.02484001826118363,0.030467330375390088
1996,Baden-Wuerttemberg,female,5.0,0.02703743645046988,13048,0.024254425479703932,0.02982044742123583
1996,Baden-Wuerttemberg,female,4.0,0.025188722847018948,13048,0.022499991294955644,0.027877454399082253
1996,Bayern,female,4.0,0.024341395778770605,13048,0.021697125913539547,0.026985665644001663
1996,Bayern,female,5.0,0.023262979510090896,13048,0.020676520555703626,0.025849438464478167
1996,Bayern,male,4.0,0.023185949776613774,13048,0.020603674771099218,0.02576822478212833
1996,Baden-Wuerttemberg,male,4.0,0.022723771375751038,13048,0.020166758172872765,0.02528078457862931
1996,Baden-Wuerttemberg,male,5.0,0.02056693883839162,13048,0.01813161732393612,0.02300226035284712
1996,Nordrhein-Westfalen,male,3.0,0.019719611770143277,13048,0.017333952397573245,0.02210527114271331
1996,Sachsen,female,4.0,0.018718225234940686,13048,0.016392741543559474,0.0210437089263219
1996,Nordrhein-Westfalen,female,3.0,0.018641195501463564,13048,0.016320410604491343,0.020961980398435786
1996,Sachsen,male,4.0,0.01733169003235249,13048,0.01509241194978937,0.019570968114915606
1996,Sachsen,female,5.0,0.017254660298875367,13048,0.015020276361560912,0.01948904423618982
1996,Bayern,male,5.0,0.016253273763672776,13048,0.014083591330968906,0.01842295619637665
1996,Niedersachsen,female,4.0,0.016099214296718532,13048,0.013939670124631714,0.01825875846880535
1996,Niedersachsen,male,4.0,0.0156370358958558,13048,0.01350821587200352,0.017765855919708078
1996,Niedersachsen,female,5.0,0.015020798028038823,13048,0.01293369383389735,0.017107902222180296
1996,Hessen,female,5.0,0.014943768294561701,13048,0.012861941128969965,0.017025595460153437
1996,Bayern,male,3.0,0.014096441226313356,13048,0.012073626731674338,0.016119255720952377
1996,"Rheinland-Pfalz,Saarland",female,5.0,0.013403173625019258,13048,0.011430034191367386,0.01537631305867113
1996,Hessen,male,4.0,0.012863965490679401,13048,0.010930394893394167,0.014797536087964636
1996,Hessen,female,4.0,0.012478816823293791,13048,0.010574040375726401,0.01438359327086118
1996,Sachsen,male,5.0,0.012247727622862425,13048,0.010360449629485475,0.014135005616239375
1996,Baden-Wuerttemberg,male,3.0,0.01209366815590818,13048,0.010218151153233497,0.013969185158582864
1996,Sachsen-Anhalt,female,4.0,0.012016638422431059,13048,0.01014703106046014,0.013886245784401978
1996,Sachsen-Anhalt,male,4.0,0.01170851948852257,13048,0.009862749353584544,0.013554289623460596
1996,Hessen,male,5.0,0.01170851948852257,13048,0.009862749353584544,0.013554289623460596
1996,Thueringen,male,4.0,0.011631489755045448,13048,0.00979172955818235,0.013471249951908546
1996,Thueringen,female,4.0,0.011323370821136958,13048,0.009507858935654145,0.01313888270661977
