"party","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grüne","1986","AkademikerIn","Laendlicher Raum","7","0.0456939568632169","0.00833190760490687","0.0830560061215269"
"Linke","1986","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Linke","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Linke","1986","Hauptschule","Staedtischer Raum","","","",""
"Linke","1986","Hauptschule","Laendlicher Raum","","","",""
"Linke","1986","Realschule","Staedtischer Raum","","","",""
"Linke","1986","Realschule","Laendlicher Raum","","","",""
"Linke","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"Linke","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Linke","1986","AkademikerIn","Staedtischer Raum","","","",""
"Linke","1986","AkademikerIn","Laendlicher Raum","","","",""
"Rechte","1986","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Rechte","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Rechte","1986","Hauptschule","Staedtischer Raum","","","",""
"Rechte","1986","Hauptschule","Laendlicher Raum","","","",""
"Rechte","1986","Realschule","Staedtischer Raum","","","",""
"Rechte","1986","Realschule","Laendlicher Raum","","","",""
"Rechte","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"Rechte","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Rechte","1986","AkademikerIn","Staedtischer Raum","","","",""
"Rechte","1986","AkademikerIn","Laendlicher Raum","","","",""
"AfD","1986","(noch) kein Abschluss","Staedtischer Raum","","","",""
"AfD","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"AfD","1986","Hauptschule","Staedtischer Raum","","","",""
"AfD","1986","Hauptschule","Laendlicher Raum","","","",""
"AfD","1986","Realschule","Staedtischer Raum","","","",""
"AfD","1986","Realschule","Laendlicher Raum","","","",""
"AfD","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"AfD","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"AfD","1986","AkademikerIn","Staedtischer Raum","","","",""
"AfD","1986","AkademikerIn","Laendlicher Raum","","","",""
"Andere","1986","(noch) kein Abschluss","Staedtischer Raum","3","","",""
"Andere","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Andere","1986","Hauptschule","Staedtischer Raum","14","","",""
"Andere","1986","Hauptschule","Laendlicher Raum","5","0.00380164870099813","0.000654653405272523","0.00694864399672373"
"Andere","1986","Realschule","Staedtischer Raum","4","0.00287041764953598","3.95511979806875e-05","0.00570128410109126"
"Andere","1986","Realschule","Laendlicher Raum","","","",""
"Andere","1986","(Fach-)Abitur","Staedtischer Raum","1","","",""
"Andere","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Andere","1986","AkademikerIn","Staedtischer Raum","1","","",""
"Andere","1986","AkademikerIn","Laendlicher Raum","","","",""
"keine Parteineigung","1987","(noch) kein Abschluss","Staedtischer Raum","622","0.623762555094787","0.59166405620329","0.655861053986284"
"keine Parteineigung","1987","(noch) kein Abschluss","Laendlicher Raum","95","0.699970032727956","0.619309833679196","0.780630231776715"
"keine Parteineigung","1987","Hauptschule","Staedtischer Raum","1997","","",""
"keine Parteineigung","1987","Hauptschule","Laendlicher Raum","610","0.374577830804586","0.349613371440531","0.39954229016864"
"keine Parteineigung","1987","Realschule","Staedtischer Raum","503","0.351553499024902","0.326056029513538","0.377050968536265"
"keine Parteineigung","1987","Realschule","Laendlicher Raum","143","","",""
"keine Parteineigung","1987","(Fach-)Abitur","Staedtischer Raum","266","","",""
"keine Parteineigung","1987","(Fach-)Abitur","Laendlicher Raum","46","0.422890128979168","0.329285090201812","0.516495167756523"
"keine Parteineigung","1987","AkademikerIn","Staedtischer Raum","176","","",""
"keine Parteineigung","1987","AkademikerIn","Laendlicher Raum","27","","",""
"SPD","1987","(noch) kein Abschluss","Staedtischer Raum","168","","",""
"SPD","1987","(noch) kein Abschluss","Laendlicher Raum","19","","",""
"SPD","1987","Hauptschule","Staedtischer Raum","1319","","",""
"SPD","1987","Hauptschule","Laendlicher Raum","344","0.250916560330267","0.228555404139749","0.273277716520785"
"SPD","1987","Realschule","Staedtischer Raum","323","0.233637269801456","0.211040178391378","0.256234361211535"
"SPD","1987","Realschule","Laendlicher Raum","78","0.187291224741568","0.14876768642307","0.225814763060066"
"SPD","1987","(Fach-)Abitur","Staedtischer Raum","138","","",""
"SPD","1987","(Fach-)Abitur","Laendlicher Raum","23","","",""
"SPD","1987","AkademikerIn","Staedtischer Raum","136","","",""
"SPD","1987","AkademikerIn","Laendlicher Raum","26","","",""
"CDU/CSU","1987","(noch) kein Abschluss","Staedtischer Raum","47","0.0967022563747718","0.0771193191809907","0.116285193568553"
"CDU/CSU","1987","(noch) kein Abschluss","Laendlicher Raum","8","0.0901065924919668","0.0397088839133832","0.14050430107055"
"CDU/CSU","1987","Hauptschule","Staedtischer Raum","1027","","",""
"CDU/CSU","1987","Hauptschule","Laendlicher Raum","413","0.322961203330875","0.298842916839128","0.347079489822622"
"CDU/CSU","1987","Realschule","Staedtischer Raum","390","0.32002288109032","0.295111261809152","0.344934500371489"
"CDU/CSU","1987","Realschule","Laendlicher Raum","144","","",""
"CDU/CSU","1987","(Fach-)Abitur","Staedtischer Raum","131","","",""
"CDU/CSU","1987","(Fach-)Abitur","Laendlicher Raum","27","","",""
"CDU/CSU","1987","AkademikerIn","Staedtischer Raum","159","","",""
"CDU/CSU","1987","AkademikerIn","Laendlicher Raum","48","0.442355869901296","0.35422406984436","0.530487669958232"
"FDP","1987","(noch) kein Abschluss","Staedtischer Raum","5","0.0120855071597304","0.00484554689221436","0.0193254674272464"
"FDP","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"FDP","1987","Hauptschule","Staedtischer Raum","76","0.0227078808068071","0.0183736069675661","0.0270421546460482"
"FDP","1987","Hauptschule","Laendlicher Raum","28","","",""
"FDP","1987","Realschule","Staedtischer Raum","58","0.0480941404170918","0.0366677942588223","0.0595204865753613"
"FDP","1987","Realschule","Laendlicher Raum","16","","",""
"FDP","1987","(Fach-)Abitur","Staedtischer Raum","23","","",""
"FDP","1987","(Fach-)Abitur","Laendlicher Raum","3","","",""
"FDP","1987","AkademikerIn","Staedtischer Raum","54","0.0972028887540363","0.0736754792835736","0.120730298224499"
"FDP","1987","AkademikerIn","Laendlicher Raum","13","","",""
"Grüne","1987","(noch) kein Abschluss","Staedtischer Raum","30","0.05498644782243","0.0398824847480763","0.0700904108967837"
"Grüne","1987","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Grüne","1987","Hauptschule","Staedtischer Raum","108","","",""
"Grüne","1987","Hauptschule","Laendlicher Raum","41","0.0230686464239744","0.0153256764573442","0.0308116163906047"
"Grüne","1987","Realschule","Staedtischer Raum","65","0.0401958728956715","0.0297065771187241","0.0506851686726189"
"Grüne","1987","Realschule","Laendlicher Raum","12","","",""
"Grüne","1987","(Fach-)Abitur","Staedtischer Raum","101","","",""
"Grüne","1987","(Fach-)Abitur","Laendlicher Raum","8","0.0677461857593978","0.020128782192799","0.115363589325997"
"Grüne","1987","AkademikerIn","Staedtischer Raum","83","0.128830779011237","0.102223496390251","0.155438061632223"
"Grüne","1987","AkademikerIn","Laendlicher Raum","7","0.0313820153650672","0.000444541081949929","0.0623194896481845"
"Linke","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Linke","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Linke","1987","Hauptschule","Staedtischer Raum","","","",""
"Linke","1987","Hauptschule","Laendlicher Raum","","","",""
"Linke","1987","Realschule","Staedtischer Raum","","","",""
"Linke","1987","Realschule","Laendlicher Raum","","","",""
"Linke","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Linke","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Linke","1987","AkademikerIn","Staedtischer Raum","","","",""
"Linke","1987","AkademikerIn","Laendlicher Raum","","","",""
"Rechte","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Rechte","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Rechte","1987","Hauptschule","Staedtischer Raum","","","",""
"Rechte","1987","Hauptschule","Laendlicher Raum","","","",""
"Rechte","1987","Realschule","Staedtischer Raum","","","",""
"Rechte","1987","Realschule","Laendlicher Raum","","","",""
"Rechte","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Rechte","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Rechte","1987","AkademikerIn","Staedtischer Raum","","","",""
"Rechte","1987","AkademikerIn","Laendlicher Raum","","","",""
"AfD","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"AfD","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"AfD","1987","Hauptschule","Staedtischer Raum","","","",""
"AfD","1987","Hauptschule","Laendlicher Raum","","","",""
"AfD","1987","Realschule","Staedtischer Raum","","","",""
"AfD","1987","Realschule","Laendlicher Raum","","","",""
"AfD","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"AfD","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"AfD","1987","AkademikerIn","Staedtischer Raum","","","",""
"AfD","1987","AkademikerIn","Laendlicher Raum","","","",""
"Andere","1987","(noch) kein Abschluss","Staedtischer Raum","3","","",""
"Andere","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Andere","1987","Hauptschule","Staedtischer Raum","11","","",""
"Andere","1987","Hauptschule","Laendlicher Raum","8","0.00663673011073296","0.00244883667921704","0.0108246235422489"
"Andere","1987","Realschule","Staedtischer Raum","8","0.00649633677055804","0.00220607990589052","0.0107865936352255"
"Andere","1987","Realschule","Laendlicher Raum","1","","",""
"Andere","1987","(Fach-)Abitur","Staedtischer Raum","4","0.0108220040386093","0.00294642678153899","0.0186975812956797"
"Andere","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Andere","1987","AkademikerIn","Staedtischer Raum","1","","",""
"Andere","1987","AkademikerIn","Laendlicher Raum","1","","",""
"keine Parteineigung","1988","(noch) kein Abschluss","Staedtischer Raum","598","0.717180617812103","0.685655340444544","0.748705895179661"
"keine Parteineigung","1988","(noch) kein Abschluss","Laendlicher Raum","103","","",""
"keine Parteineigung","1988","Hauptschule","Staedtischer Raum","2029","","",""
"keine Parteineigung","1988","Hauptschule","Laendlicher Raum","640","0.425488066263139","0.399104388429183","0.451871744097095"
"keine Parteineigung","1988","Realschule","Staedtischer Raum","560","0.39757715727887","0.371075448895886","0.424078865661854"
"keine Parteineigung","1988","Realschule","Laendlicher Raum","157","","",""
"keine Parteineigung","1988","(Fach-)Abitur","Staedtischer Raum","264","","",""
"keine Parteineigung","1988","(Fach-)Abitur","Laendlicher Raum","39","0.416341800209542","0.317732749488856","0.514950850930229"
"keine Parteineigung","1988","AkademikerIn","Staedtischer Raum","178","","",""
"keine Parteineigung","1988","AkademikerIn","Laendlicher Raum","28","","",""
"SPD","1988","(noch) kein Abschluss","Staedtischer Raum","132","","",""
"SPD","1988","(noch) kein Abschluss","Laendlicher Raum","13","","",""
"SPD","1988","Hauptschule","Staedtischer Raum","1330","","",""
"SPD","1988","Hauptschule","Laendlicher Raum","334","0.272140066834497","0.248390140530066","0.295889993138928"
"SPD","1988","Realschule","Staedtischer Raum","331","0.247187213691096","0.223827423505166","0.270547003877026"
"SPD","1988","Realschule","Laendlicher Raum","76","0.202269433981726","0.161504483309298","0.243034384654154"
"SPD","1988","(Fach-)Abitur","Staedtischer Raum","146","","",""
"SPD","1988","(Fach-)Abitur","Laendlicher Raum","26","","",""
"SPD","1988","AkademikerIn","Staedtischer Raum","145","","",""
"SPD","1988","AkademikerIn","Laendlicher Raum","32","0.267965080918487","0.18630423578983","0.349625926047143"
"CDU/CSU","1988","(noch) kein Abschluss","Staedtischer Raum","27","","",""
"CDU/CSU","1988","(noch) kein Abschluss","Laendlicher Raum","6","0.0925374465280036","0.0413258108242643","0.143749082231743"
"CDU/CSU","1988","Hauptschule","Staedtischer Raum","855","0.23692955560837","0.22431714324596","0.249541967970779"
"CDU/CSU","1988","Hauptschule","Laendlicher Raum","322","0.263620123616555","0.240108514566051","0.287131732667059"
"CDU/CSU","1988","Realschule","Staedtischer Raum","317","0.275854911713587","0.25165211247138","0.300057710955795"
"CDU/CSU","1988","Realschule","Laendlicher Raum","119","","",""
"CDU/CSU","1988","(Fach-)Abitur","Staedtischer Raum","119","","",""
"CDU/CSU","1988","(Fach-)Abitur","Laendlicher Raum","22","","",""
"CDU/CSU","1988","AkademikerIn","Staedtischer Raum","149","","",""
"CDU/CSU","1988","AkademikerIn","Laendlicher Raum","42","0.4317988944639","0.340471583707459","0.523126205220342"
"FDP","1988","(noch) kein Abschluss","Staedtischer Raum","4","0.00752702669393013","0.00147694648559507","0.0135771069022652"
"FDP","1988","(noch) kein Abschluss","Laendlicher Raum","","","",""
"FDP","1988","Hauptschule","Staedtischer Raum","59","0.0173925319763404","0.0135148011346588","0.0212702628180219"
"FDP","1988","Hauptschule","Laendlicher Raum","20","","",""
"FDP","1988","Realschule","Staedtischer Raum","43","0.0364894025044273","0.0263357085958488","0.0466430964130057"
"FDP","1988","Realschule","Laendlicher Raum","14","","",""
"FDP","1988","(Fach-)Abitur","Staedtischer Raum","26","","",""
"FDP","1988","(Fach-)Abitur","Laendlicher Raum","4","0.062503099141283","0.0140804917738714","0.110925706508695"
"FDP","1988","AkademikerIn","Staedtischer Raum","39","0.0714116659665325","0.0504365194469489","0.0923868124861161"
"FDP","1988","AkademikerIn","Laendlicher Raum","5","0.0496070725011234","0.00957277000070025","0.0896413750015465"
"Grüne","1988","(noch) kein Abschluss","Staedtischer Raum","19","","",""
"Grüne","1988","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Grüne","1988","Hauptschule","Staedtischer Raum","75","0.0154728222999311","0.0118117791392465","0.0191338654606157"
"Grüne","1988","Hauptschule","Laendlicher Raum","26","","",""
"Grüne","1988","Realschule","Staedtischer Raum","53","0.0364458791831177","0.0262980133821804","0.0465937449840551"
"Grüne","1988","Realschule","Laendlicher Raum","4","0.00650527195107596","-0.00165320680433911","0.014663750706491"
"Grüne","1988","(Fach-)Abitur","Staedtischer Raum","76","0.138090435290351","0.111214790938612","0.16496607964209"
"Grüne","1988","(Fach-)Abitur","Laendlicher Raum","5","0.0470778962460925","0.00470875139013312","0.0894470411020519"
"Grüne","1988","AkademikerIn","Staedtischer Raum","62","0.10507995425728","0.0801017700108084","0.130058138503751"
"Grüne","1988","AkademikerIn","Laendlicher Raum","5","0.0279566848495005","-0.00243778086679748","0.0583511505657985"
"Linke","1988","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Linke","1988","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Linke","1988","Hauptschule","Staedtischer Raum","","","",""
"Linke","1988","Hauptschule","Laendlicher Raum","","","",""
"Linke","1988","Realschule","Staedtischer Raum","","","",""
"Linke","1988","Realschule","Laendlicher Raum","","","",""
"Linke","1988","(Fach-)Abitur","Staedtischer Raum","","","",""
"Linke","1988","(Fach-)Abitur","Laendlicher Raum","","","",""
"Linke","1988","AkademikerIn","Staedtischer Raum","","","",""
"Linke","1988","AkademikerIn","Laendlicher Raum","","","",""
"Rechte","1988","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Rechte","1988","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Rechte","1988","Hauptschule","Staedtischer Raum","","","",""
"Rechte","1988","Hauptschule","Laendlicher Raum","","","",""
"Rechte","1988","Realschule","Staedtischer Raum","","","",""
"Rechte","1988","Realschule","Laendlicher Raum","","","",""
"Rechte","1988","(Fach-)Abitur","Staedtischer Raum","","","",""
"Rechte","1988","(Fach-)Abitur","Laendlicher Raum","","","",""
"Rechte","1988","AkademikerIn","Staedtischer Raum","","","",""
"Rechte","1988","AkademikerIn","Laendlicher Raum","","","",""
"AfD","1988","(noch) kein Abschluss","Staedtischer Raum","","","",""
"AfD","1988","(noch) kein Abschluss","Laendlicher Raum","","","",""
