"party","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"keine Parteineigung","1987","(Fach-)Abitur","312","0.365820478607316","0.3317998101846","0.399841147030031"
"keine Parteineigung","1987","AkademikerIn","203","","",""
"SPD","1987","(noch) kein Abschluss","187","","",""
"SPD","1987","Hauptschule","1663","","",""
"SPD","1987","Realschule","401","0.222688657531065","0.203145476430711","0.242231838631419"
"SPD","1987","(Fach-)Abitur","161","","",""
"SPD","1987","AkademikerIn","162","","",""
"CDU/CSU","1987","(noch) kein Abschluss","55","0.0956619777353697","0.0774230030741272","0.113900952396612"
"CDU/CSU","1987","Hauptschule","1440","","",""
"CDU/CSU","1987","Realschule","534","0.338045203548014","0.315824885992662","0.360265521103366"
"CDU/CSU","1987","(Fach-)Abitur","158","","",""
"CDU/CSU","1987","AkademikerIn","207","","",""
"FDP","1987","(noch) kein Abschluss","5","0.0101793616726348","0.00395487026321389","0.0164038530820556"
"FDP","1987","Hauptschule","104","","",""
"FDP","1987","Realschule","74","0.0475059169049369","0.0375138875535259","0.057497946256348"
"FDP","1987","(Fach-)Abitur","26","","",""
"FDP","1987","AkademikerIn","67","0.0981122943752715","0.0765483922558346","0.119676196494708"
"Grüne","1987","(noch) kein Abschluss","32","0.0508473259395589","0.0372244925893722","0.0644701592897456"
"Grüne","1987","Hauptschule","149","","",""
"Grüne","1987","Realschule","77","0.0367174576764909","0.0278833670200005","0.0455515483329812"
"Grüne","1987","(Fach-)Abitur","109","","",""
"Grüne","1987","AkademikerIn","90","0.111317457730657","0.0885169579566501","0.134117957504665"
"Linke","1987","(noch) kein Abschluss","","","",""
"Linke","1987","Hauptschule","","","",""
"Linke","1987","Realschule","","","",""
"Linke","1987","(Fach-)Abitur","","","",""
"Linke","1987","AkademikerIn","","","",""
"Rechte","1987","(noch) kein Abschluss","","","",""
"Rechte","1987","Hauptschule","","","",""
"Rechte","1987","Realschule","","","",""
"Rechte","1987","(Fach-)Abitur","","","",""
"Rechte","1987","AkademikerIn","","","",""
"AfD","1987","(noch) kein Abschluss","","","",""
"AfD","1987","Hauptschule","","","",""
"AfD","1987","Realschule","","","",""
"AfD","1987","(Fach-)Abitur","","","",""
"AfD","1987","AkademikerIn","","","",""
"Andere","1987","(noch) kein Abschluss","3","","",""
"Andere","1987","Hauptschule","19","","",""
"Andere","1987","Realschule","9","0.00547167114045677","0.00200655912566444","0.00893678315524911"
"Andere","1987","(Fach-)Abitur","4","0.00911024693620089","0.00239935150815605","0.0158211423642457"
"Andere","1987","AkademikerIn","2","","",""
"keine Parteineigung","1988","(noch) kein Abschluss","701","0.721244788785484","0.692063982392992","0.750425595177977"
"keine Parteineigung","1988","Hauptschule","2669","","",""
"keine Parteineigung","1988","Realschule","717","0.398627477982023","0.375235796631865","0.42201915933218"
"keine Parteineigung","1988","(Fach-)Abitur","303","0.376013311910547","0.340851309495612","0.411175314325482"
"keine Parteineigung","1988","AkademikerIn","206","","",""
"SPD","1988","(noch) kein Abschluss","145","","",""
"SPD","1988","Hauptschule","1664","","",""
"SPD","1988","Realschule","407","0.23686599079679","0.216553752081785","0.257178229511795"
"SPD","1988","(Fach-)Abitur","172","","",""
"SPD","1988","AkademikerIn","177","","",""
"CDU/CSU","1988","(noch) kein Abschluss","33","0.0634435786073438","0.0475798505509642","0.0793073066637233"
"CDU/CSU","1988","Hauptschule","1177","","",""
"CDU/CSU","1988","Realschule","436","0.289483955316095","0.267816633851383","0.311151276780808"
"CDU/CSU","1988","(Fach-)Abitur","141","","",""
"CDU/CSU","1988","AkademikerIn","191","","",""
"FDP","1988","(noch) kein Abschluss","4","0.00611742314027158","0.00104288820262443","0.0111919580779187"
"FDP","1988","Hauptschule","79","0.0170478674509476","0.0136917188009414","0.0204040161009537"
"FDP","1988","Realschule","57","0.0386434829179586","0.0294350357332515","0.0478519301026658"
"FDP","1988","(Fach-)Abitur","30","0.0510892432709671","0.0351061164025457","0.0670723701393885"
"FDP","1988","AkademikerIn","44","0.0677157979404445","0.0489954374942398","0.0864361583866492"
"Grüne","1988","(noch) kein Abschluss","19","","",""
"Grüne","1988","Hauptschule","101","","",""
"Grüne","1988","Realschule","57","0.0295661161397918","0.0214735520351579","0.0376586802444258"
"Grüne","1988","(Fach-)Abitur","81","0.124080990458953","0.100149545128406","0.1480124357895"
"Grüne","1988","AkademikerIn","67","0.0920075974658647","0.0704724427454724","0.113542752186257"
"Linke","1988","(noch) kein Abschluss","","","",""
"Linke","1988","Hauptschule","","","",""
"Linke","1988","Realschule","","","",""
"Linke","1988","(Fach-)Abitur","","","",""
"Linke","1988","AkademikerIn","","","",""
"Rechte","1988","(noch) kein Abschluss","","","",""
"Rechte","1988","Hauptschule","","","",""
"Rechte","1988","Realschule","","","",""
"Rechte","1988","(Fach-)Abitur","","","",""
"Rechte","1988","AkademikerIn","","","",""
"AfD","1988","(noch) kein Abschluss","","","",""
"AfD","1988","Hauptschule","","","",""
"AfD","1988","Realschule","","","",""
"AfD","1988","(Fach-)Abitur","","","",""
"AfD","1988","AkademikerIn","","","",""
"Andere","1988","(noch) kein Abschluss","5","0.00841686438391038","0.00247142195248602","0.0143623068153347"
"Andere","1988","Hauptschule","25","","",""
"Andere","1988","Realschule","9","0.0068129768473417","0.00288299985534314","0.0107429538393403"
"Andere","1988","(Fach-)Abitur","2","","",""
"Andere","1988","AkademikerIn","7","0.0132649992172838","0.00474089158417179","0.0217891068503957"
"keine Parteineigung","1989","(noch) kein Abschluss","616","0.662773160182418","0.631555262016861","0.693991058347975"
"keine Parteineigung","1989","Hauptschule","2617","","",""
"keine Parteineigung","1989","Realschule","744","0.427360805929573","0.403337906197208","0.451383705661939"
"keine Parteineigung","1989","(Fach-)Abitur","321","0.388508242744073","0.35348494424678","0.423531541241365"
"keine Parteineigung","1989","AkademikerIn","215","","",""
"SPD","1989","(noch) kein Abschluss","204","","",""
"SPD","1989","Hauptschule","1566","","",""
"SPD","1989","Realschule","392","0.240212902884654","0.219467031953673","0.260958773815635"
"SPD","1989","(Fach-)Abitur","192","","",""
"SPD","1989","AkademikerIn","181","","",""
"CDU/CSU","1989","(noch) kein Abschluss","28","","",""
"CDU/CSU","1989","Hauptschule","1008","","",""
"CDU/CSU","1989","Realschule","364","0.253088572962343","0.231975163547561","0.274201982377126"
"CDU/CSU","1989","(Fach-)Abitur","123","","",""
"CDU/CSU","1989","AkademikerIn","173","","",""
"FDP","1989","(noch) kein Abschluss","3","","",""
"FDP","1989","Hauptschule","44","0.00987816899411512","0.00725519160553891","0.0125011463826913"
"FDP","1989","Realschule","34","0.022939287769345","0.0156692228506549","0.0302093526880351"
"FDP","1989","(Fach-)Abitur","21","","",""
"FDP","1989","AkademikerIn","35","0.0520906737404154","0.0355465084985748","0.0686348389822559"
"Grüne","1989","(noch) kein Abschluss","20","","",""
"Grüne","1989","Hauptschule","108","","",""
"Grüne","1989","Realschule","64","0.0345161701974023","0.0256513210015007","0.0433810193933039"
"Grüne","1989","(Fach-)Abitur","80","0.123080023395198","0.0994733174610199","0.146686729329376"
"Grüne","1989","AkademikerIn","76","0.107674531132643","0.084596454411475","0.130752607853811"
"Linke","1989","(noch) kein Abschluss","","","",""
"Linke","1989","Hauptschule","","","",""
"Linke","1989","Realschule","","","",""
"Linke","1989","(Fach-)Abitur","","","",""
"Linke","1989","AkademikerIn","","","",""
"Rechte","1989","(noch) kein Abschluss","","","",""
"Rechte","1989","Hauptschule","","","",""
"Rechte","1989","Realschule","","","",""
"Rechte","1989","(Fach-)Abitur","","","",""
"Rechte","1989","AkademikerIn","","","",""
"AfD","1989","(noch) kein Abschluss","","","",""
"AfD","1989","Hauptschule","","","",""
"AfD","1989","Realschule","","","",""
"AfD","1989","(Fach-)Abitur","","","",""
"AfD","1989","AkademikerIn","","","",""
"Andere","1989","(noch) kein Abschluss","10","","",""
"Andere","1989","Hauptschule","118","","",""
"Andere","1989","Realschule","31","0.0218822602566816","0.0147778308019405","0.0289866897114227"
"Andere","1989","(Fach-)Abitur","7","0.0132219124874734","0.00501426848952711","0.0214295564854198"
"Andere","1989","AkademikerIn","13","","",""
"keine Parteineigung","1990","(noch) kein Abschluss","580","0.633355702004287","0.600748508508551","0.665962895500023"
"keine Parteineigung","1990","Hauptschule","2456","","",""
"keine Parteineigung","1990","Realschule","683","0.395321272544668","0.371453988051183","0.419188557038152"
"keine Parteineigung","1990","(Fach-)Abitur","314","0.386730223962186","0.351736395271733","0.421724052652639"
"keine Parteineigung","1990","AkademikerIn","200","","",""
"SPD","1990","(noch) kein Abschluss","186","","",""
"SPD","1990","Hauptschule","1600","","",""
"SPD","1990","Realschule","417","0.256040450442655","0.234734813363275","0.277346087522034"
"SPD","1990","(Fach-)Abitur","207","","",""
"SPD","1990","AkademikerIn","202","","",""
"CDU/CSU","1990","(noch) kein Abschluss","45","0.0924956246142624","0.0728912916910406","0.112099957537484"
"CDU/CSU","1990","Hauptschule","1051","","",""
"CDU/CSU","1990","Realschule","389","0.271234640368035","0.249531028715289","0.292938252020781"
"CDU/CSU","1990","(Fach-)Abitur","126","","",""
"CDU/CSU","1990","AkademikerIn","176","","",""
"FDP","1990","(noch) kein Abschluss","7","0.0232269018823047","0.0130348975816442","0.0334189061829652"
"FDP","1990","Hauptschule","65","0.0135772077568507","0.0104694760147122","0.0166849394989893"
"FDP","1990","Realschule","48","0.0345928539851339","0.0256718440355954","0.0435138639346723"
"FDP","1990","(Fach-)Abitur","28","","",""
"FDP","1990","AkademikerIn","45","0.0636277479596331","0.0454677456416608","0.0817877502776054"
"Grüne","1990","(noch) kein Abschluss","17","","",""
"Grüne","1990","Hauptschule","90","0.0148484441184065","0.0116005733473801","0.0180963148894328"
"Grüne","1990","Realschule","55","0.0302881869459063","0.0219220772639748","0.0386542966278377"
"Grüne","1990","(Fach-)Abitur","65","0.0974776536616919","0.0761647246403179","0.118790582683066"
"Grüne","1990","AkademikerIn","65","0.084214768675073","0.0635533897066793","0.104876147643467"
"Linke","1990","(noch) kein Abschluss","","","",""
"Linke","1990","Hauptschule","","","",""
"Linke","1990","Realschule","","","",""
"Linke","1990","(Fach-)Abitur","","","",""
"Linke","1990","AkademikerIn","","","",""
"Rechte","1990","(noch) kein Abschluss","2","","",""
"Rechte","1990","Hauptschule","47","0.00896939528959207","0.00643758093441736","0.0115012096447668"
"Rechte","1990","Realschule","16","","",""
"Rechte","1990","(Fach-)Abitur","1","","",""
"Rechte","1990","AkademikerIn","4","0.00518329823624821","-0.000159182793626661","0.0105257792661231"
"AfD","1990","(noch) kein Abschluss","","","",""
"AfD","1990","Hauptschule","","","",""
"AfD","1990","Realschule","","","",""
"AfD","1990","(Fach-)Abitur","","","",""
"AfD","1990","AkademikerIn","","","",""
"Andere","1990","(noch) kein Abschluss","2","","",""
"Andere","1990","Hauptschule","18","","",""
"Andere","1990","Realschule","4","0.00230975501635895","-3.36448170954562e-05","0.00465315484981336"
"Andere","1990","(Fach-)Abitur","3","","",""
"Andere","1990","AkademikerIn","2","","",""
"keine Parteineigung","1991","(noch) kein Abschluss","813","0.802397055015924","0.776058484385693","0.828735625646155"
"keine Parteineigung","1991","Hauptschule","4423","0.536241136827424","0.524327771201246","0.548154502453601"
"keine Parteineigung","1991","Realschule","2247","","",""
"keine Parteineigung","1991","(Fach-)Abitur","534","0.46891369152363","0.436054245336455","0.501773137710804"
"keine Parteineigung","1991","AkademikerIn","1192","","",""
"SPD","1991","(noch) kein Abschluss","31","0.0956878639800838","0.0762303010972763","0.115145426862891"
"SPD","1991","Hauptschule","1156","","",""
"SPD","1991","Realschule","378","0.168375421708","0.155280773422903","0.181470069993098"
"SPD","1991","(Fach-)Abitur","134","","",""
"SPD","1991","AkademikerIn","165","","",""
"CDU/CSU","1991","(noch) kein Abschluss","22","","",""
"CDU/CSU","1991","Hauptschule","1007","","",""
"CDU/CSU","1991","Realschule","406","0.198501432209232","0.18454340536312","0.212459459055344"
"CDU/CSU","1991","(Fach-)Abitur","122","","",""
"CDU/CSU","1991","AkademikerIn","187","","",""
"FDP","1991","(noch) kein Abschluss","2","","",""
"FDP","1991","Hauptschule","58","0.0116255445224573","0.00906474427047198","0.0141863447744425"
"FDP","1991","Realschule","45","0.0237188115243651","0.0183937484742156","0.0290438745745146"
"FDP","1991","(Fach-)Abitur","36","0.0664108387074166","0.0500151896779409","0.0828064877368924"
"FDP","1991","AkademikerIn","59","0.0585498209828835","0.0472793582302984","0.0698202837354687"
"Grüne","1991","(noch) kein Abschluss","7","0.0191048755854342","0.0100499637121667","0.0281597874587016"
"Grüne","1991","Hauptschule","43","0.00845838428726013","0.00627058500638642","0.0106461835681338"
"Grüne","1991","Realschule","50","0.0229768910027707","0.0177337820601819","0.0282199999453596"
"Grüne","1991","(Fach-)Abitur","55","0.0774182676783144","0.0598205891327418","0.095015946223887"
"Grüne","1991","AkademikerIn","60","0.0538158315899036","0.0429834697775367","0.0646481934022706"
"Linke","1991","(noch) kein Abschluss","","","",""
"Linke","1991","Hauptschule","2","","",""
"Linke","1991","Realschule","","","",""
"Linke","1991","(Fach-)Abitur","2","","",""
"Linke","1991","AkademikerIn","","","",""
"Rechte","1991","(noch) kein Abschluss","2","","",""
"Rechte","1991","Hauptschule","33","0.00619981017695539","0.00432461261471026","0.00807500773920052"
"Rechte","1991","Realschule","6","0.00206468742262035","0.000476253390900394","0.0036531214543403"
"Rechte","1991","(Fach-)Abitur","1","","",""
"Rechte","1991","AkademikerIn","2","","",""
"AfD","1991","(noch) kein Abschluss","","","",""
"AfD","1991","Hauptschule","","","",""
"AfD","1991","Realschule","","","",""
"AfD","1991","(Fach-)Abitur","","","",""
"AfD","1991","AkademikerIn","","","",""
"Andere","1991","(noch) kein Abschluss","1","","",""
"Andere","1991","Hauptschule","9","0.00188410857064056","0.000848127682871364","0.00292008945840976"
"Andere","1991","Realschule","5","0.00142289979487195","0.000103826915254003","0.00274197267448989"
"Andere","1991","(Fach-)Abitur","2","","",""
"Andere","1991","AkademikerIn","2","","",""
"keine Parteineigung","1992","(noch) kein Abschluss","694","0.750424980404974","0.721634929905894","0.779215030904055"
"keine Parteineigung","1992","Hauptschule","3758","0.521708836308154","0.509577243445167","0.53384042917114"
"keine Parteineigung","1992","Realschule","1850","","",""
"keine Parteineigung","1992","(Fach-)Abitur","443","0.440412645291338","0.407797679771811","0.473027610810866"
"keine Parteineigung","1992","AkademikerIn","809","0.430473596518561","0.40653164758417","0.454415545452952"
"SPD","1992","(noch) kein Abschluss","119","","",""
"SPD","1992","Hauptschule","1392","","",""
"SPD","1992","Realschule","510","0.18508666986565","0.171377706672826","0.198795633058475"
"SPD","1992","(Fach-)Abitur","200","","",""
"SPD","1992","AkademikerIn","284","","",""
"CDU/CSU","1992","(noch) kein Abschluss","31","0.060884876708195","0.0449773609880933","0.0767923924282966"
"CDU/CSU","1992","Hauptschule","1123","","",""
"CDU/CSU","1992","Realschule","525","0.207248779231021","0.192940883092348","0.221556675369693"
"CDU/CSU","1992","(Fach-)Abitur","125","","",""
"CDU/CSU","1992","AkademikerIn","257","","",""
"FDP","1992","(noch) kein Abschluss","4","0.00919866685306559","0.00284763976981821","0.015549693936313"
"FDP","1992","Hauptschule","72","0.0114311592359161","0.00884945701727586","0.0140128614545564"
"FDP","1992","Realschule","52","0.0187614331901695","0.0139720273551134","0.0235508390252256"
"FDP","1992","(Fach-)Abitur","32","0.0544940212369528","0.0395812053633924","0.0694068371105132"
"FDP","1992","AkademikerIn","82","0.0663236076226596","0.0542909497370242","0.078356265508295"
"Grüne","1992","(noch) kein Abschluss","16","","",""
"Grüne","1992","Hauptschule","75","0.00990890065510807","0.00750338677466508","0.0123144145355511"
"Grüne","1992","Realschule","96","0.0282634288711646","0.0224135344668287","0.0341133232755005"
"Grüne","1992","(Fach-)Abitur","69","0.0753023100875743","0.0579659817436505","0.0926386384314982"
"Grüne","1992","AkademikerIn","139","","",""
"Linke","1992","(noch) kein Abschluss","1","","",""
"Linke","1992","Hauptschule","35","0.00451867230801753","0.00288982814859122","0.00614751646744385"
"Linke","1992","Realschule","18","","",""
"Linke","1992","(Fach-)Abitur","9","0.0100325095816399","0.00348511754575444","0.0165799016175253"
"Linke","1992","AkademikerIn","62","0.0294713087914959","0.021293570458796","0.0376490471241957"
"Rechte","1992","(noch) kein Abschluss","","","",""
"Rechte","1992","Hauptschule","","","",""
"Rechte","1992","Realschule","","","",""
"Rechte","1992","(Fach-)Abitur","","","",""
"Rechte","1992","AkademikerIn","","","",""
"AfD","1992","(noch) kein Abschluss","","","",""
"AfD","1992","Hauptschule","","","",""
"AfD","1992","Realschule","","","",""
"AfD","1992","(Fach-)Abitur","","","",""
"AfD","1992","AkademikerIn","","","",""
"Andere","1992","(noch) kein Abschluss","3","","",""
"Andere","1992","Hauptschule","58","0.00964332345339102","0.00726994641829751","0.0120167004884845"
"Andere","1992","Realschule","32","0.0105020809145903","0.00690370566203314","0.0141004561671474"
"Andere","1992","(Fach-)Abitur","12","","",""
"Andere","1992","AkademikerIn","10","","",""
"keine Parteineigung","1993","(noch) kein Abschluss","694","0.793497840406881","0.766172254848624","0.820823425965137"
"keine Parteineigung","1993","Hauptschule","3917","0.571995677402303","0.559804790372821","0.584186564431784"
"keine Parteineigung","1993","Realschule","2032","","",""
"keine Parteineigung","1993","(Fach-)Abitur","485","0.482520482127205","0.449946688935095","0.515094275319316"
"keine Parteineigung","1993","AkademikerIn","843","0.461738139476508","0.43750651673932","0.485969762213696"
"SPD","1993","(noch) kein Abschluss","111","","",""
"SPD","1993","Hauptschule","1210","","",""
"SPD","1993","Realschule","414","0.152164428097038","0.139483700892957","0.16484515530112"
"SPD","1993","(Fach-)Abitur","171","","",""
"SPD","1993","AkademikerIn","270","","",""
"CDU/CSU","1993","(noch) kein Abschluss","15","","",""
"CDU/CSU","1993","Hauptschule","943","0.176386690699724","0.166995742609767","0.185777638789682"
"CDU/CSU","1993","Realschule","403","0.167616651520562","0.154429468127035","0.180803834914088"
"CDU/CSU","1993","(Fach-)Abitur","111","","",""
"CDU/CSU","1993","AkademikerIn","212","","",""
"FDP","1993","(noch) kein Abschluss","2","","",""
"FDP","1993","Hauptschule","54","0.0101884702885715","0.0077142087650977","0.0126627318120454"
"FDP","1993","Realschule","51","0.0238303687481063","0.0184456899604852","0.0292150475357274"
"FDP","1993","(Fach-)Abitur","29","","",""
"FDP","1993","AkademikerIn","64","0.0522207378468437","0.0414073215398974","0.0630341541537899"
"Grüne","1993","(noch) kein Abschluss","15","","",""
"Grüne","1993","Hauptschule","74","0.0103253786572172","0.00783472083550655","0.0128160364789279"
"Grüne","1993","Realschule","107","","",""
"Grüne","1993","(Fach-)Abitur","89","0.105942896571956","0.0858805177682595","0.126005275375652"
"Grüne","1993","AkademikerIn","145","","",""
"Linke","1993","(noch) kein Abschluss","2","","",""
"Linke","1993","Hauptschule","36","0.00470845139238022","0.00302178551218902","0.00639511727257143"
"Linke","1993","Realschule","23","","",""
"Linke","1993","(Fach-)Abitur","5","0.00432339048699618","4.64297885947205e-05","0.00860035118539764"
