,Unnamed: 0,year,bula_h,rentown,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
34,34,1985,Bavaria,Tenant,No,1.0,497,5059,0.94532,1.05548
35,35,1985,Berlin,Tenant,No,1.0,175,5059,0.9189,1.07666
36,36,1986,Schleswig-Holstein,Owner,No,1.0,80,4800,0.90747,1.09326
37,37,1986,Schleswig-Holstein,Tenant,No,1.0,76,4800,0.876,1.10434
38,38,1986,Hamburg,Tenant,No,1.0,119,4800,0.89373,1.09977
39,39,1986,Lower Saxony,Owner,No,1.0,223,4800,0.96095,1.05088
40,40,1986,Lower Saxony,Tenant,No,1.0,267,4800,0.92808,1.0606
41,41,1986,Bremen,Tenant,No,1.0,42,4800,0.83871,1.20309
42,42,1986,North Rhine-Westphalia,Owner,No,1.0,393,4800,0.96386,1.03239
43,43,1986,North Rhine-Westphalia,Tenant,No,1.0,924,4800,0.96135,1.0455
44,44,1986,Hesse,Owner,No,1.0,148,4800,0.94517,1.05682
45,45,1986,Hesse,Tenant,No,1.0,339,4800,0.90841,1.0984
46,46,1986,"Rhineland-Palatinate, Saarland",Owner,No,1.0,171,4800,0.95615,1.04837
47,47,1986,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,166,4800,0.90063,1.09848
48,48,1986,Baden-Wuerttemberg,Owner,No,1.0,326,4800,0.95708,1.04323
49,49,1986,Baden-Wuerttemberg,Tenant,No,1.0,544,4800,0.93401,1.08213
50,50,1986,Bavaria,Owner,No,1.0,356,4800,0.96782,1.03546
51,51,1986,Bavaria,Tenant,No,1.0,451,4800,0.93793,1.07182
52,52,1986,Berlin,Tenant,No,1.0,175,4800,0.92073,1.09676
53,53,1987,Schleswig-Holstein,Owner,No,1.0,80,4743,0.91877,1.07277
54,54,1987,Schleswig-Holstein,Tenant,No,1.0,75,4743,0.87516,1.1165
55,55,1987,Hamburg,Tenant,No,1.0,101,4743,0.87944,1.1202
56,56,1987,Lower Saxony,Owner,No,1.0,218,4743,0.94505,1.03957
57,57,1987,Lower Saxony,Tenant,No,1.0,272,4743,0.93412,1.07113
58,58,1987,Bremen,Tenant,No,1.0,41,4743,0.83839,1.13277
59,59,1987,North Rhine-Westphalia,Owner,No,1.0,396,4743,0.9653,1.04221
60,60,1987,North Rhine-Westphalia,Tenant,No,1.0,907,4743,0.95868,1.03983
61,61,1987,Hesse,Owner,No,1.0,151,4743,0.93868,1.04875
62,62,1987,Hesse,Tenant,No,1.0,330,4743,0.91861,1.09818
63,63,1987,"Rhineland-Palatinate, Saarland",Owner,No,1.0,179,4743,0.95707,1.05309
64,64,1987,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,157,4743,0.91122,1.10035
65,65,1987,Baden-Wuerttemberg,Owner,No,1.0,330,4743,0.95659,1.04692
66,66,1987,Baden-Wuerttemberg,Tenant,No,1.0,535,4743,0.91651,1.08455
67,67,1987,Bavaria,Owner,No,1.0,342,4743,0.96216,1.03324
68,68,1987,Bavaria,Tenant,No,1.0,453,4743,0.9486,1.05955
69,69,1987,Berlin,Tenant,No,1.0,176,4743,0.90698,1.0903
70,70,1988,Schleswig-Holstein,Owner,No,1.0,78,4579,0.90319,1.07743
71,71,1988,Schleswig-Holstein,Tenant,No,1.0,74,4579,0.89978,1.11995
72,72,1988,Hamburg,Tenant,No,1.0,89,4579,0.86751,1.12441
73,73,1988,Lower Saxony,Owner,No,1.0,203,4579,0.9506,1.04488
74,74,1988,Lower Saxony,Tenant,No,1.0,263,4579,0.92145,1.07344
75,75,1988,Bremen,Tenant,No,1.0,42,4579,0.87447,1.13272
76,76,1988,North Rhine-Westphalia,Owner,No,1.0,395,4579,0.96589,1.0425
77,77,1988,North Rhine-Westphalia,Tenant,Yes,0.03814,31,4579,0.03009,0.04764
78,78,1988,North Rhine-Westphalia,Tenant,No,0.96186,844,4579,0.92251,1.00479
79,79,1988,Hesse,Owner,No,1.0,147,4579,0.92035,1.05678
80,80,1988,Hesse,Tenant,No,1.0,309,4579,0.90819,1.10181
81,81,1988,"Rhineland-Palatinate, Saarland",Owner,No,1.0,158,4579,0.94356,1.05931
82,82,1988,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,165,4579,0.9081,1.09181
83,83,1988,Baden-Wuerttemberg,Owner,No,1.0,326,4579,0.94712,1.04665
84,84,1988,Baden-Wuerttemberg,Tenant,No,1.0,516,4579,0.91598,1.08967
85,85,1988,Bavaria,Owner,No,1.0,323,4579,0.96633,1.04085
86,86,1988,Bavaria,Tenant,No,1.0,445,4579,0.93434,1.06291
87,87,1988,Berlin,Tenant,No,1.0,171,4579,0.90768,1.08143
88,88,1989,Schleswig-Holstein,Owner,No,1.0,74,4462,0.89912,1.08685
89,89,1989,Schleswig-Holstein,Tenant,No,1.0,75,4462,0.88634,1.11533
90,90,1989,Hamburg,Tenant,No,1.0,93,4462,0.87129,1.12583
91,91,1989,Lower Saxony,Owner,No,1.0,198,4462,0.95171,1.05484
92,92,1989,Lower Saxony,Tenant,No,1.0,268,4462,0.92936,1.08251
93,93,1989,Bremen,Tenant,No,1.0,47,4462,0.88528,1.14437
94,94,1989,North Rhine-Westphalia,Owner,No,1.0,389,4462,0.95535,1.04171
95,95,1989,North Rhine-Westphalia,Tenant,No,1.0,820,4462,0.95656,1.04673
96,96,1989,Hesse,Owner,No,1.0,146,4462,0.93197,1.05908
97,97,1989,Hesse,Tenant,No,1.0,320,4462,0.90281,1.09814
98,98,1989,"Rhineland-Palatinate, Saarland",Owner,No,1.0,161,4462,0.94363,1.05731
99,99,1989,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,144,4462,0.8915,1.09479
100,100,1989,Baden-Wuerttemberg,Owner,No,1.0,317,4462,0.95569,1.06015
101,101,1989,Baden-Wuerttemberg,Tenant,No,1.0,481,4462,0.92261,1.08575
102,102,1989,Bavaria,Owner,No,1.0,315,4462,0.95393,1.03705
103,103,1989,Bavaria,Tenant,No,1.0,445,4462,0.93794,1.07992
104,104,1989,Berlin,Tenant,No,1.0,169,4462,0.90542,1.08919
105,105,1990,Schleswig-Holstein,Owner,No,1.0,69,4395,0.9106,1.08579
106,106,1990,Schleswig-Holstein,Tenant,No,1.0,74,4395,0.89131,1.1281
107,107,1990,Hamburg,Tenant,No,1.0,89,4395,0.87875,1.11614
108,108,1990,Lower Saxony,Owner,No,1.0,203,4395,0.95964,1.05855
109,109,1990,Lower Saxony,Tenant,No,1.0,257,4395,0.92124,1.06548
110,110,1990,Bremen,Tenant,No,1.0,45,4395,0.86762,1.13466
111,111,1990,North Rhine-Westphalia,Owner,No,1.0,395,4395,0.95352,1.04226
112,112,1990,North Rhine-Westphalia,Tenant,No,1.0,788,4395,0.95621,1.04883
113,113,1990,Hesse,Owner,No,1.0,151,4395,0.92442,1.07708
114,114,1990,Hesse,Tenant,No,1.0,307,4395,0.92383,1.09663
115,115,1990,"Rhineland-Palatinate, Saarland",Owner,No,1.0,154,4395,0.9426,1.0664
116,116,1990,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,148,4395,0.88879,1.09692
117,117,1990,Baden-Wuerttemberg,Owner,No,1.0,326,4395,0.94555,1.05233
118,118,1990,Baden-Wuerttemberg,Tenant,No,1.0,471,4395,0.92281,1.08571
119,119,1990,Bavaria,Owner,No,1.0,324,4395,0.95838,1.03895
120,120,1990,Bavaria,Tenant,No,1.0,437,4395,0.93761,1.06767
121,121,1990,Berlin,Tenant,No,1.0,157,4395,0.89862,1.09819
122,122,1991,Schleswig-Holstein,Owner,No,1.0,67,6303,0.88921,1.10207
123,123,1991,Schleswig-Holstein,Tenant,No,1.0,80,6303,0.88706,1.11529
124,124,1991,Hamburg,Tenant,No,1.0,82,6303,0.87752,1.1075
125,125,1991,Lower Saxony,Owner,No,1.0,200,6303,0.95095,1.05392
126,126,1991,Lower Saxony,Tenant,No,1.0,257,6303,0.92158,1.07761
127,127,1991,Bremen,Tenant,No,1.0,40,6303,0.83838,1.15806
128,128,1991,North Rhine-Westphalia,Owner,No,1.0,397,6303,0.95631,1.04814
129,129,1991,North Rhine-Westphalia,Tenant,No,1.0,804,6303,0.95835,1.04752
130,130,1991,Hesse,Owner,No,1.0,147,6303,0.92589,1.07568
131,131,1991,Hesse,Tenant,No,1.0,303,6303,0.90069,1.1031
132,132,1991,"Rhineland-Palatinate, Saarland",Owner,No,1.0,150,6303,0.93349,1.07373
133,133,1991,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,157,6303,0.89866,1.10461
134,134,1991,Baden-Wuerttemberg,Owner,No,1.0,335,6303,0.94488,1.0579
135,135,1991,Baden-Wuerttemberg,Tenant,No,1.0,470,6303,0.91497,1.09547
136,136,1991,Bavaria,Owner,No,1.0,327,6303,0.95639,1.04347
137,137,1991,Bavaria,Tenant,No,1.0,434,6303,0.92614,1.06075
138,138,1991,Berlin,Tenant,No,1.0,293,6303,0.91438,1.07733
139,139,1991,Brandenburg,Owner,No,1.0,111,6303,0.92916,1.0935
140,140,1991,Brandenburg,Tenant,No,1.0,199,6303,0.91982,1.08419
141,141,1991,Mecklenburg-Western Pomerania,Owner,No,1.0,58,6303,0.87725,1.13877
142,142,1991,Mecklenburg-Western Pomerania,Tenant,No,1.0,152,6303,0.91765,1.08337
143,143,1991,Saxony,Owner,No,1.0,132,6303,0.91371,1.10438
144,144,1991,Saxony,Tenant,No,1.0,436,6303,0.95091,1.04693
145,145,1991,Saxony-Anhalt,Owner,No,1.0,121,6303,0.9169,1.11818
146,146,1991,Saxony-Anhalt,Tenant,No,1.0,235,6303,0.91694,1.07867
147,147,1991,Thuringa,Owner,No,1.0,127,6303,0.92721,1.07321
148,148,1991,Thuringa,Tenant,No,1.0,189,6303,0.91912,1.08181
149,149,1992,Schleswig-Holstein,Owner,No,1.0,64,6259,0.88298,1.0798
150,150,1992,Schleswig-Holstein,Tenant,No,1.0,75,6259,0.89875,1.11448
151,151,1992,Hamburg,Tenant,No,1.0,73,6259,0.89113,1.1341
152,152,1992,Lower Saxony,Owner,No,1.0,203,6259,0.9466,1.05415
153,153,1992,Lower Saxony,Tenant,No,1.0,260,6259,0.91246,1.08191
154,154,1992,Bremen,Tenant,No,1.0,40,6259,0.83277,1.20157
155,155,1992,North Rhine-Westphalia,Owner,No,1.0,402,6259,0.94164,1.06146
156,156,1992,North Rhine-Westphalia,Tenant,No,1.0,799,6259,0.94997,1.04874
157,157,1992,Hesse,Owner,No,1.0,157,6259,0.92088,1.07834
158,158,1992,Hesse,Tenant,No,1.0,292,6259,0.90319,1.10563
159,159,1992,"Rhineland-Palatinate, Saarland",Owner,No,1.0,147,6259,0.93239,1.06911
160,160,1992,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,163,6259,0.89214,1.10942
161,161,1992,Baden-Wuerttemberg,Owner,No,1.0,325,6259,0.93715,1.05113
162,162,1992,Baden-Wuerttemberg,Tenant,No,1.0,472,6259,0.9254,1.08047
163,163,1992,Bavaria,Owner,No,1.0,334,6259,0.95379,1.04633
164,164,1992,Bavaria,Tenant,No,1.0,443,6259,0.93442,1.07823
165,165,1992,Berlin,Tenant,No,1.0,302,6259,0.93381,1.07086
166,166,1992,Brandenburg,Owner,No,1.0,103,6259,0.92493,1.10108
167,167,1992,Brandenburg,Tenant,No,1.0,205,6259,0.93296,1.07743
168,168,1992,Mecklenburg-Western Pomerania,Owner,No,1.0,55,6259,0.88697,1.11232
169,169,1992,Mecklenburg-Western Pomerania,Tenant,No,1.0,135,6259,0.91773,1.09379
170,170,1992,Saxony,Owner,No,1.0,130,6259,0.91344,1.10848
171,171,1992,Saxony,Tenant,No,1.0,413,6259,0.96282,1.06037
172,172,1992,Saxony-Anhalt,Owner,No,1.0,107,6259,0.89321,1.10381
173,173,1992,Saxony-Anhalt,Tenant,No,1.0,242,6259,0.92114,1.07423
174,174,1992,Thuringa,Owner,No,1.0,132,6259,0.9149,1.09888
175,175,1992,Thuringa,Tenant,No,1.0,186,6259,0.92652,1.08042
176,176,1993,Schleswig-Holstein,Owner,No,1.0,63,6226,0.8852,1.10553
177,177,1993,Schleswig-Holstein,Tenant,No,1.0,85,6226,0.87885,1.10211
178,178,1993,Hamburg,Tenant,No,1.0,77,6226,0.89509,1.14103
179,179,1993,Lower Saxony,Owner,No,1.0,200,6226,0.93564,1.0592
180,180,1993,Lower Saxony,Tenant,No,1.0,267,6226,0.92828,1.08461
181,181,1993,Bremen,Tenant,No,1.0,41,6226,0.84373,1.17041
182,182,1993,North Rhine-Westphalia,Owner,No,1.0,401,6226,0.94033,1.06078
183,183,1993,North Rhine-Westphalia,Tenant,No,1.0,802,6226,0.94474,1.0543
184,184,1993,Hesse,Owner,No,1.0,151,6226,0.91367,1.09014
185,185,1993,Hesse,Tenant,No,1.0,295,6226,0.90259,1.10472
186,186,1993,"Rhineland-Palatinate, Saarland",Owner,No,1.0,152,6226,0.92021,1.07768
187,187,1993,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,148,6226,0.88049,1.09977
188,188,1993,Baden-Wuerttemberg,Owner,No,1.0,328,6226,0.93512,1.07105
189,189,1993,Baden-Wuerttemberg,Tenant,No,1.0,485,6226,0.90723,1.08297
190,190,1993,Bavaria,Owner,No,1.0,333,6226,0.94496,1.04779
191,191,1993,Bavaria,Tenant,No,1.0,456,6226,0.92948,1.05454
192,192,1993,Berlin,Tenant,No,1.0,290,6226,0.93231,1.07292
193,193,1993,Brandenburg,Owner,No,1.0,102,6226,0.91241,1.10677
194,194,1993,Brandenburg,Tenant,No,1.0,194,6226,0.92438,1.07132
195,195,1993,Mecklenburg-Western Pomerania,Owner,No,1.0,62,6226,0.88524,1.14893
196,196,1993,Mecklenburg-Western Pomerania,Tenant,No,1.0,129,6226,0.90626,1.09266
197,197,1993,Saxony,Owner,No,1.0,125,6226,0.91779,1.11141
198,198,1993,Saxony,Tenant,No,1.0,399,6226,0.94816,1.05216
199,199,1993,Saxony-Anhalt,Owner,No,1.0,109,6226,0.90835,1.10335
200,200,1993,Saxony-Anhalt,Tenant,No,1.0,225,6226,0.91214,1.07863
201,201,1993,Thuringa,Owner,No,1.0,122,6226,0.91156,1.08019
202,202,1993,Thuringa,Tenant,No,1.0,185,6226,0.91745,1.10008
203,203,1994,Schleswig-Holstein,Owner,No,1.0,63,6204,0.89251,1.12342
204,204,1994,Schleswig-Holstein,Tenant,No,1.0,82,6204,0.88015,1.11583
205,205,1994,Hamburg,Tenant,No,1.0,74,6204,0.85517,1.15959
206,206,1994,Lower Saxony,Owner,No,1.0,200,6204,0.92958,1.08397
207,207,1994,Lower Saxony,Tenant,No,1.0,269,6204,0.92552,1.09461
208,208,1994,Bremen,Tenant,No,1.0,35,6204,0.8352,1.16834
209,209,1994,North Rhine-Westphalia,Owner,No,1.0,399,6204,0.94417,1.05088
210,210,1994,North Rhine-Westphalia,Tenant,Yes,0.04796,33,6204,0.03883,0.05922
211,211,1994,North Rhine-Westphalia,Tenant,No,0.95204,774,6204,0.90657,1.0002
212,212,1994,Hesse,Owner,No,1.0,151,6204,0.90136,1.07834
213,213,1994,Hesse,Tenant,No,1.0,295,6204,0.89025,1.10848
214,214,1994,"Rhineland-Palatinate, Saarland",Owner,No,1.0,153,6204,0.92434,1.08809
215,215,1994,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,152,6204,0.90732,1.11621
216,216,1994,Baden-Wuerttemberg,Owner,No,1.0,320,6204,0.93146,1.06358
217,217,1994,Baden-Wuerttemberg,Tenant,No,1.0,479,6204,0.90709,1.07628
218,218,1994,Bavaria,Owner,No,1.0,342,6204,0.93522,1.05241
219,219,1994,Bavaria,Tenant,No,1.0,459,6204,0.92554,1.08622
220,220,1994,Berlin,Tenant,No,1.0,285,6204,0.92016,1.07292
221,221,1994,Brandenburg,Owner,No,1.0,101,6204,0.91217,1.12397
222,222,1994,Brandenburg,Tenant,No,1.0,186,6204,0.92395,1.08127
223,223,1994,Mecklenburg-Western Pomerania,Owner,No,1.0,57,6204,0.88768,1.1134
224,224,1994,Mecklenburg-Western Pomerania,Tenant,No,1.0,134,6204,0.91495,1.06548
225,225,1994,Saxony,Owner,No,1.0,142,6204,0.89241,1.10942
226,226,1994,Saxony,Tenant,No,1.0,385,6204,0.94947,1.05521
227,227,1994,Saxony-Anhalt,Owner,No,1.0,100,6204,0.89971,1.09722
228,228,1994,Saxony-Anhalt,Tenant,No,1.0,219,6204,0.92678,1.09625
229,229,1994,Thuringa,Owner,No,1.0,128,6204,0.91881,1.08667
230,230,1994,Thuringa,Tenant,No,1.0,187,6204,0.90361,1.086
231,231,1995,Schleswig-Holstein,Owner,No,1.0,69,6383,0.87909,1.1142
232,232,1995,Schleswig-Holstein,Tenant,No,1.0,79,6383,0.88468,1.10972
233,233,1995,Hamburg,Tenant,No,1.0,65,6383,0.83948,1.1735
234,234,1995,Lower Saxony,Owner,No,1.0,218,6383,0.92506,1.09512
235,235,1995,Lower Saxony,Tenant,No,1.0,285,6383,0.91896,1.09397
236,236,1995,Bremen,Tenant,No,1.0,38,6383,0.82556,1.18996
237,237,1995,North Rhine-Westphalia,Owner,No,1.0,421,6383,0.94826,1.05621
238,238,1995,North Rhine-Westphalia,Tenant,Yes,0.0469,33,6383,0.03494,0.05745
239,239,1995,North Rhine-Westphalia,Tenant,No,0.9531,827,6383,0.90334,1.00983
240,240,1995,Hesse,Owner,No,1.0,150,6383,0.90391,1.07756
241,241,1995,Hesse,Tenant,No,1.0,317,6383,0.90572,1.09024
242,242,1995,"Rhineland-Palatinate, Saarland",Owner,No,1.0,153,6383,0.9193,1.09388
243,243,1995,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,181,6383,0.89024,1.09798
244,244,1995,Baden-Wuerttemberg,Owner,No,1.0,323,6383,0.92845,1.0683
245,245,1995,Baden-Wuerttemberg,Tenant,No,1.0,512,6383,0.9222,1.07855
246,246,1995,Bavaria,Owner,No,1.0,331,6383,0.91558,1.06614
247,247,1995,Bavaria,Tenant,No,1.0,490,6383,0.92929,1.07501
248,248,1995,Berlin,Tenant,No,1.0,286,6383,0.92639,1.08709
249,249,1995,Brandenburg,Owner,No,1.0,94,6383,0.89229,1.08829
250,250,1995,Brandenburg,Tenant,No,1.0,178,6383,0.91857,1.09534
251,251,1995,Mecklenburg-Western Pomerania,Owner,No,1.0,57,6383,0.86115,1.159
252,252,1995,Mecklenburg-Western Pomerania,Tenant,No,1.0,137,6383,0.9047,1.09317
253,253,1995,Saxony,Owner,No,1.0,134,6383,0.91098,1.11167
254,254,1995,Saxony,Tenant,No,1.0,379,6383,0.93696,1.04761
255,255,1995,Saxony-Anhalt,Owner,No,1.0,110,6383,0.91277,1.10595
256,256,1995,Saxony-Anhalt,Tenant,No,1.0,211,6383,0.89593,1.11093
257,257,1995,Thuringa,Owner,No,1.0,129,6383,0.9016,1.10486
258,258,1995,Thuringa,Tenant,No,1.0,176,6383,0.91651,1.10331
259,259,1996,Schleswig-Holstein,Owner,No,1.0,70,6340,0.86137,1.11369
260,260,1996,Schleswig-Holstein,Tenant,No,1.0,74,6340,0.88916,1.12899
261,261,1996,Hamburg,Tenant,No,1.0,65,6340,0.829,1.17105
262,262,1996,Lower Saxony,Owner,No,1.0,223,6340,0.91289,1.09059
263,263,1996,Lower Saxony,Tenant,No,1.0,286,6340,0.916,1.09318
264,264,1996,Bremen,Tenant,No,1.0,36,6340,0.798,1.19339
265,265,1996,North Rhine-Westphalia,Owner,No,1.0,405,6340,0.93427,1.04945
266,266,1996,North Rhine-Westphalia,Tenant,Yes,0.04353,37,6340,0.03443,0.05625
267,267,1996,North Rhine-Westphalia,Tenant,No,0.95647,819,6340,0.90281,1.00683
268,268,1996,Hesse,Owner,No,1.0,151,6340,0.90981,1.09135
269,269,1996,Hesse,Tenant,No,1.0,304,6340,0.885,1.11166
270,270,1996,"Rhineland-Palatinate, Saarland",Owner,No,1.0,161,6340,0.93208,1.09063
271,271,1996,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,172,6340,0.89328,1.11194
272,272,1996,Baden-Wuerttemberg,Owner,No,1.0,325,6340,0.9425,1.08559
273,273,1996,Baden-Wuerttemberg,Tenant,No,1.0,484,6340,0.89069,1.07864
274,274,1996,Bavaria,Owner,No,1.0,342,6340,0.93031,1.06184
275,275,1996,Bavaria,Tenant,No,1.0,484,6340,0.91984,1.07481
276,276,1996,Berlin,Tenant,No,1.0,276,6340,0.91307,1.07718
277,277,1996,Brandenburg,Owner,No,1.0,104,6340,0.91443,1.0917
278,278,1996,Brandenburg,Tenant,No,1.0,183,6340,0.93767,1.08498
279,279,1996,Mecklenburg-Western Pomerania,Owner,No,1.0,57,6340,0.85893,1.1639
280,280,1996,Mecklenburg-Western Pomerania,Tenant,No,1.0,132,6340,0.90864,1.0841
281,281,1996,Saxony,Owner,No,1.0,148,6340,0.90183,1.07498
282,282,1996,Saxony,Tenant,No,1.0,370,6340,0.94007,1.07774
283,283,1996,Saxony-Anhalt,Owner,No,1.0,111,6340,0.87948,1.11528
284,284,1996,Saxony-Anhalt,Tenant,No,1.0,206,6340,0.90983,1.09158
285,285,1996,Thuringa,Owner,No,1.0,136,6340,0.90947,1.10316
286,286,1996,Thuringa,Tenant,No,1.0,179,6340,0.9065,1.08221
287,287,1997,Schleswig-Holstein,Owner,No,1.0,69,6269,0.86832,1.11055
288,288,1997,Schleswig-Holstein,Tenant,No,1.0,66,6269,0.84715,1.15458
289,289,1997,Hamburg,Tenant,No,1.0,60,6269,0.83764,1.17359
290,290,1997,Lower Saxony,Owner,No,1.0,230,6269,0.90931,1.08498
291,291,1997,Lower Saxony,Tenant,No,1.0,277,6269,0.91713,1.07906
292,292,1997,Bremen,Tenant,No,1.0,37,6269,0.81254,1.19142
293,293,1997,North Rhine-Westphalia,Owner,No,1.0,430,6269,0.95183,1.05579
294,294,1997,North Rhine-Westphalia,Tenant,Yes,0.04735,32,6269,0.03698,0.05708
295,295,1997,North Rhine-Westphalia,Tenant,No,0.95265,798,6269,0.90132,1.00232
296,296,1997,Hesse,Owner,No,1.0,150,6269,0.90434,1.10292
297,297,1997,Hesse,Tenant,No,1.0,278,6269,0.89213,1.09411
298,298,1997,"Rhineland-Palatinate, Saarland",Owner,No,1.0,157,6269,0.91859,1.09564
299,299,1997,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,185,6269,0.89064,1.10941
300,300,1997,Baden-Wuerttemberg,Owner,No,1.0,319,6269,0.92025,1.07278
301,301,1997,Baden-Wuerttemberg,Tenant,No,1.0,490,6269,0.91565,1.09729
302,302,1997,Bavaria,Owner,No,1.0,361,6269,0.92633,1.06867
303,303,1997,Bavaria,Tenant,No,1.0,451,6269,0.92402,1.10267
304,304,1997,Berlin,Tenant,No,1.0,270,6269,0.92237,1.07224
305,305,1997,Brandenburg,Owner,No,1.0,105,6269,0.91242,1.11352
306,306,1997,Brandenburg,Tenant,No,1.0,187,6269,0.92312,1.0734
307,307,1997,Mecklenburg-Western Pomerania,Owner,No,1.0,59,6269,0.85274,1.17858
308,308,1997,Mecklenburg-Western Pomerania,Tenant,No,1.0,124,6269,0.90387,1.10894
309,309,1997,Saxony,Owner,No,1.0,148,6269,0.8923,1.11073
310,310,1997,Saxony,Tenant,No,1.0,362,6269,0.93877,1.06434
311,311,1997,Saxony-Anhalt,Owner,No,1.0,119,6269,0.89362,1.11972
312,312,1997,Saxony-Anhalt,Tenant,No,1.0,197,6269,0.91145,1.09628
313,313,1997,Thuringa,Owner,No,1.0,135,6269,0.89011,1.10577
314,314,1997,Thuringa,Tenant,No,1.0,173,6269,0.91078,1.10274
315,315,1998,Schleswig-Holstein,Owner,No,1.0,98,7127,0.88693,1.10298
316,316,1998,Schleswig-Holstein,Tenant,No,1.0,81,7127,0.87363,1.13375
317,317,1998,Hamburg,Tenant,No,1.0,81,7127,0.89343,1.12785
318,318,1998,Lower Saxony,Owner,No,1.0,283,7127,0.94312,1.06984
319,319,1998,Lower Saxony,Tenant,No,1.0,314,7127,0.9274,1.06709
320,320,1998,Bremen,Tenant,No,1.0,41,7127,0.81479,1.16117
321,321,1998,North Rhine-Westphalia,Owner,No,1.0,504,7127,0.94457,1.046
322,322,1998,North Rhine-Westphalia,Tenant,Yes,0.04278,38,7127,0.03337,0.05286
323,323,1998,North Rhine-Westphalia,Tenant,No,0.95722,926,7127,0.91236,1.00383
324,324,1998,Hesse,Owner,No,1.0,181,7127,0.91844,1.09529
325,325,1998,Hesse,Tenant,No,1.0,301,7127,0.91438,1.0732
326,326,1998,"Rhineland-Palatinate, Saarland",Owner,No,1.0,181,7127,0.92823,1.08823
327,327,1998,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,210,7127,0.91915,1.09989
328,328,1998,Baden-Wuerttemberg,Owner,No,1.0,376,7127,0.93808,1.07206
