,Unnamed: 0,year,rentown,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
137,137,2018,Owner,No,0.95267,6478,17875,0.92861,0.97637
138,138,2018,Tenant,Yes,0.04734,584,17875,0.04319,0.05291
139,139,2018,Tenant,No,0.95266,10534,17875,0.92531,0.9747
140,140,2019,Owner,Yes,0.04519,312,18426,0.04015,0.05082
141,141,2019,Owner,No,0.95481,7571,18426,0.92861,0.98428
142,142,2019,Tenant,Yes,0.0508,520,18426,0.04516,0.05628
143,143,2019,Tenant,No,0.9492,10023,18426,0.92464,0.97116
144,144,2020,Owner,Yes,0.05347,294,19290,0.04721,0.05957
145,145,2020,Owner,No,0.94653,6683,19290,0.91972,0.97392
146,146,2020,Tenant,Yes,0.04754,534,19290,0.0414,0.05259
147,147,2020,Tenant,No,0.95246,11779,19290,0.92562,0.97808
148,148,2021,Owner,Yes,0.06086,243,12547,0.05335,0.06994
149,149,2021,Owner,No,0.93914,4853,12547,0.90834,0.97251
150,150,2021,Tenant,Yes,0.05385,441,12547,0.04684,0.06164
151,151,2021,Tenant,No,0.94615,7010,12547,0.9169,0.97508
