year,quintil_oecd_hh,rentown,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,5th Quintile,Owner,No,0.95819,587,587,0.94198,0.97439
1994,5th Quintile,Tenant,No,0.98969,518,518,0.98098,0.99840
1995,1st Quintile,Owner,No,0.87436,219,219,0.83036,0.91836
1995,1st Quintile,Tenant,Yes,0.06582,60,1148,0.05147,0.08017
1995,1st Quintile,Tenant,No,0.93169,1088,1148,0.91709,0.94629
1995,2nd Quintile,Owner,No,0.92291,387,387,0.89630,0.94952
1995,2nd Quintile,Tenant,Yes,0.06371,48,1059,0.04900,0.07843
1995,2nd Quintile,Tenant,No,0.92831,1011,1059,0.91276,0.94385
1995,3rd Quintile,Owner,No,0.94430,508,508,0.92433,0.96426
1995,3rd Quintile,Tenant,No,0.95350,850,850,0.93934,0.96766
1995,4th Quintile,Owner,No,0.95007,521,521,0.93135,0.96879
1995,4th Quintile,Tenant,No,0.97154,712,712,0.95932,0.98376
1995,5th Quintile,Owner,No,0.95409,599,599,0.93731,0.97086
1995,5th Quintile,Tenant,No,0.98241,499,499,0.97087,0.99396
1996,1st Quintile,Owner,No,0.93273,221,221,0.89963,0.96583
1996,1st Quintile,Tenant,Yes,0.06560,59,1171,0.05141,0.07978
1996,1st Quintile,Tenant,No,0.92353,1112,1171,0.90830,0.93876
1996,2nd Quintile,Owner,No,0.91085,389,389,0.88250,0.93921
1996,2nd Quintile,Tenant,Yes,0.04487,39,978,0.03189,0.05785
1996,2nd Quintile,Tenant,No,0.94545,939,978,0.93121,0.95969
1996,3rd Quintile,Owner,No,0.95550,519,519,0.93774,0.97326
1996,3rd Quintile,Tenant,No,0.96859,832,832,0.95673,0.98045
1996,4th Quintile,Owner,No,0.95715,554,554,0.94027,0.97403
1996,4th Quintile,Tenant,No,0.96957,696,696,0.95680,0.98234
1996,5th Quintile,Owner,No,0.96412,600,600,0.94923,0.97902
1996,5th Quintile,Tenant,No,0.97498,488,488,0.96111,0.98885
1997,1st Quintile,Owner,No,0.90617,218,218,0.86738,0.94497
1997,1st Quintile,Tenant,Yes,0.05828,50,1096,0.04441,0.07216
1997,1st Quintile,Tenant,No,0.93769,1046,1096,0.92338,0.95201
1997,2nd Quintile,Owner,No,0.94315,413,413,0.92080,0.96551
1997,2nd Quintile,Tenant,Yes,0.05865,38,977,0.04391,0.07340
1997,2nd Quintile,Tenant,No,0.93661,939,977,0.92132,0.95190
1997,3rd Quintile,Owner,No,0.95389,522,522,0.93588,0.97189
1997,3rd Quintile,Tenant,No,0.96558,824,824,0.95313,0.97804
1997,4th Quintile,Owner,No,0.96962,558,558,0.95537,0.98387
1997,4th Quintile,Tenant,No,0.96946,695,695,0.95666,0.98226
1997,5th Quintile,Owner,No,0.97142,626,626,0.95835,0.98448
1997,5th Quintile,Tenant,No,0.97494,451,451,0.96050,0.98938
1998,1st Quintile,Owner,No,0.93283,218,218,0.89952,0.96613
