year,age_gr,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1991,66 and older,Direct migration background,96,0.3371838296901025,0.23621146762727485,0.4381561917529302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,66 and older,Indirect migration background,,,,,,,,,,,,
1992,under 18 y.,No migration background,,,,,,,,,,,,
1992,under 18 y.,Direct migration background,,,,,,,,,,,,
1992,under 18 y.,Indirect migration background,,,,,,,,,,,,
1992,18-29 y.,No migration background,2430,0.14565746490238987,0.13517221261830056,0.15614271718647918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,18-29 y.,Direct migration background,598,0.14629402116791784,0.12713039886299352,0.16545764347284217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,18-29 y.,Indirect migration background,294,0.08152164729648262,0.06534820985980008,0.09769508473316516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,30-45 y.,No migration background,3405,0.1416773320245764,0.1265221646346668,0.15683249941448602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,30-45 y.,Direct migration background,782,0.1309748160183924,0.11766361483481295,0.14428601720197182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,30-45 y.,Indirect migration background,,,,,,,,,,,,
1992,46-65 y.,No migration background,2988,0.15282401321762398,0.13818411368441164,0.16746391275083633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,46-65 y.,Direct migration background,981,0.11957399714738279,0.10665535273740226,0.13249264155736332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,46-65 y.,Indirect migration background,,,,,,,,,,,,
1992,66 and older,No migration background,1275,0.28519944211004544,0.2635826734013174,0.30681621081877347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,66 and older,Direct migration background,134,0.2618973057438997,0.1653081255585083,0.3584864859292911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,66 and older,Indirect migration background,,,,,,,,,,,,
1993,under 18 y.,No migration background,,,,,,,,,,,,
1993,under 18 y.,Direct migration background,,,,,,,,,,,,
1993,under 18 y.,Indirect migration background,,,,,,,,,,,,
1993,18-29 y.,No migration background,,,,,,,,,,,,
1993,18-29 y.,Direct migration background,,,,,,,,,,,,
1993,18-29 y.,Indirect migration background,,,,,,,,,,,,
1993,30-45 y.,No migration background,,,,,,,,,,,,
1993,30-45 y.,Direct migration background,,,,,,,,,,,,
1993,30-45 y.,Indirect migration background,,,,,,,,,,,,
1993,46-65 y.,No migration background,,,,,,,,,,,,
1993,46-65 y.,Direct migration background,,,,,,,,,,,,
1993,46-65 y.,Indirect migration background,,,,,,,,,,,,
1993,66 and older,No migration background,,,,,,,,,,,,
1993,66 and older,Direct migration background,,,,,,,,,,,,
1993,66 and older,Indirect migration background,,,,,,,,,,,,
1994,under 18 y.,No migration background,,,,,,,,,,,,
1994,under 18 y.,Direct migration background,,,,,,,,,,,,
1994,under 18 y.,Indirect migration background,,,,,,,,,,,,
