year,bula_h,hhtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,North Rhine-Westphalia,Couple with children,No,0.94493,677,714,0.92819,0.96168
2021,North Rhine-Westphalia,Other Combinations,No,0.99572,65,65,0.97973,1.01171
2021,Hesse,Couple without children,No,0.97392,213,213,0.95247,0.99538
2021,Hesse,Single parent,No,0.96943,59,59,0.92512,1.01373
2021,Hesse,Couple with children,No,0.93176,174,174,0.89419,0.96934
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98914,160,160,0.97303,1.00525
2021,"Rhineland-Palatinate, Saarland",Single parent,No,0.89215,36,36,0.78938,0.99491
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.95487,144,144,0.92084,0.98889
2021,Baden-Wuerttemberg,Single-person household,No,0.99880,310,310,0.99493,1.00266
2021,Baden-Wuerttemberg,Couple without children,No,0.98038,359,359,0.96601,0.99475
2021,Baden-Wuerttemberg,Single parent,No,0.90268,82,82,0.83813,0.96723
2021,Baden-Wuerttemberg,Couple with children,No,0.90775,386,386,0.87884,0.93665
2021,Bavaria,Single-person household,No,0.99884,517,517,0.99589,1.00178
2021,Bavaria,Couple without children,No,0.97932,496,496,0.96678,0.99185
2021,Bavaria,Single parent,No,0.93611,120,120,0.89217,0.98005
2021,Bavaria,Couple with children,Yes,0.06719,49,529,0.04583,0.08854
2021,Bavaria,Couple with children,No,0.93281,480,529,0.91146,0.95417
2021,Bavaria,Other Combinations,No,0.99516,44,44,0.97440,1.01591
2021,Berlin,Single-person household,No,0.99836,236,236,0.99318,1.00353
2021,Berlin,Couple without children,No,0.99647,150,150,0.98695,1.00599
2021,Berlin,Single parent,No,0.91943,36,36,0.82925,1.00960
2021,Berlin,Couple with children,No,0.93717,112,112,0.89202,0.98231
2021,Brandenburg,Single-person household,No,0.98768,117,117,0.96760,1.00775
2021,Brandenburg,Couple without children,No,0.99404,162,162,0.98214,1.00593
2021,Brandenburg,Single parent,No,0.94751,38,38,0.87565,1.01937
2021,Brandenburg,Couple with children,No,0.96374,106,106,0.92798,0.99950
2021,Mecklenburg-Western Pomerania,Single-person household,No,0.98254,81,81,0.95383,1.01124
2021,Mecklenburg-Western Pomerania,Couple without children,No,0.91518,82,82,0.85450,0.97585
2021,Mecklenburg-Western Pomerania,Couple with children,No,0.79132,47,47,0.67389,0.90875
2021,Saxony,Single-person household,No,0.98927,195,195,0.97477,1.00377
2021,Saxony,Couple without children,No,0.94284,257,257,0.91440,0.97128
2021,Saxony,Single parent,No,0.84350,67,67,0.75585,0.93116
2021,Saxony,Couple with children,No,0.88490,143,143,0.83241,0.93739
2021,Saxony-Anhalt,Single-person household,No,0.98586,115,115,0.96419,1.00753
2021,Saxony-Anhalt,Couple without children,No,0.96954,115,115,0.93800,1.00109
2021,Saxony-Anhalt,Single parent,No,0.93797,38,38,0.86025,1.01569
2021,Saxony-Anhalt,Couple with children,No,0.94680,62,62,0.89048,1.00312
2021,Thuringa,Single-person household,No,0.94685,116,116,0.90584,0.98785
2021,Thuringa,Couple without children,No,0.96646,122,122,0.93438,0.99854
2021,Thuringa,Single parent,No,0.93174,35,35,0.84696,1.01651
2021,Thuringa,Couple with children,No,0.92705,78,78,0.86896,0.98514
