year,rentown,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Tenant,East,Yes,0.42738,586,1223,0.39964,0.45512
1994,Tenant,East,No,0.48645,637,1223,0.45842,0.51447
1995,Owner,West,Yes,0.83998,1517,1777,0.82292,0.85703
1995,Owner,West,No,0.14156,260,1777,0.12534,0.15777
1995,Owner,East,Yes,0.38517,236,538,0.34401,0.42633
1995,Owner,East,No,0.57032,302,538,0.52845,0.61219
1995,Tenant,West,Yes,0.61096,1802,2948,0.59336,0.62856
1995,Tenant,West,No,0.33771,1146,2948,0.32064,0.35479
1995,Tenant,East,Yes,0.43826,584,1184,0.40999,0.46654
1995,Tenant,East,No,0.47078,600,1184,0.44234,0.49922
1996,Owner,West,Yes,0.84265,1523,1783,0.82575,0.85956
1996,Owner,West,No,0.14111,260,1783,0.12494,0.15727
1996,Owner,East,Yes,0.40202,257,560,0.36137,0.44266
1996,Owner,East,No,0.55569,303,560,0.51450,0.59688
1996,Tenant,West,Yes,0.62670,1797,2870,0.60900,0.64440
1996,Tenant,West,No,0.32685,1073,2870,0.30969,0.34402
1996,Tenant,East,Yes,0.46043,607,1171,0.43187,0.48899
1996,Tenant,East,No,0.45316,564,1171,0.42464,0.48169
1997,Owner,West,Yes,0.84422,1560,1811,0.82751,0.86092
1997,Owner,West,No,0.13482,251,1811,0.11909,0.15056
1997,Owner,East,Yes,0.41066,264,573,0.37034,0.45098
1997,Owner,East,No,0.54474,309,573,0.50392,0.58555
1997,Tenant,West,Yes,0.63707,1766,2769,0.61915,0.65498
1997,Tenant,West,No,0.31191,1003,2769,0.29465,0.32917
1997,Tenant,East,Yes,0.46872,611,1145,0.43980,0.49763
1997,Tenant,East,No,0.44673,534,1145,0.41792,0.47554
1998,Owner,West,Yes,0.87423,1949,2211,0.86040,0.88805
1998,Owner,West,No,0.12235,262,2211,0.10869,0.13601
1998,Owner,East,Yes,0.45728,338,675,0.41967,0.49489
1998,Owner,East,No,0.52793,337,675,0.49024,0.56562
1998,Tenant,West,Yes,0.66679,2105,3218,0.65050,0.68308
1998,Tenant,West,No,0.32488,1113,3218,0.30870,0.34107
1998,Tenant,East,Yes,0.52475,693,1258,0.49715,0.55236
1998,Tenant,East,No,0.45720,565,1258,0.42966,0.48474
1999,Owner,West,Yes,0.87722,1921,2161,0.86338,0.89106
1999,Owner,West,No,0.11359,240,2161,0.10021,0.12697
1999,Owner,East,Yes,0.48000,348,674,0.44226,0.51775
1999,Owner,East,No,0.50664,326,674,0.46887,0.54441
1999,Tenant,West,Yes,0.66718,1984,3003,0.65032,0.68403
1999,Tenant,West,No,0.31944,1019,3003,0.30276,0.33612
1999,Tenant,East,Yes,0.53529,688,1219,0.50728,0.56330
1999,Tenant,East,No,0.43628,531,1219,0.40843,0.46413
2000,Owner,West,Yes,0.88369,4142,4625,0.87445,0.89293
2000,Owner,West,No,0.10584,483,4625,0.09697,0.11470
2000,Owner,East,Yes,0.49340,599,1141,0.46438,0.52243
2000,Owner,East,No,0.49106,542,1141,0.46204,0.52008
2000,Tenant,West,Yes,0.66516,3460,5139,0.65226,0.67807
2000,Tenant,West,No,0.31904,1679,5139,0.30630,0.33179
2000,Tenant,East,Yes,0.50920,1018,1875,0.48656,0.53183
2000,Tenant,East,No,0.46196,857,1875,0.43939,0.48453
2001,Owner,West,Yes,0.88377,3711,4123,0.87399,0.89356
2001,Owner,West,No,0.10514,412,4123,0.09578,0.11450
2001,Owner,East,Yes,0.49254,571,1078,0.46269,0.52240
2001,Owner,East,No,0.47978,507,1078,0.44994,0.50962
2001,Tenant,West,Yes,0.67388,3172,4591,0.66032,0.68744
2001,Tenant,West,No,0.30455,1419,4591,0.29124,0.31787
2001,Tenant,East,Yes,0.52007,943,1701,0.49632,0.54382
2001,Tenant,East,No,0.45404,758,1701,0.43037,0.47770
2002,Owner,West,Yes,0.88350,4278,4684,0.87431,0.89269
2002,Owner,West,No,0.10465,406,4684,0.09588,0.11342
2002,Owner,East,Yes,0.49099,601,1080,0.46116,0.52082
2002,Owner,East,No,0.47665,479,1080,0.44684,0.50645
2002,Tenant,West,Yes,0.67301,3177,4517,0.65932,0.68669
2002,Tenant,West,No,0.29723,1340,4517,0.28390,0.31056
2002,Tenant,East,Yes,0.53048,963,1684,0.50664,0.55432
2002,Tenant,East,No,0.43675,721,1684,0.41306,0.46045
2003,Owner,West,Yes,0.88293,4110,4502,0.87354,0.89233
2003,Owner,West,No,0.10442,392,4502,0.09548,0.11335
2003,Owner,East,Yes,0.50612,607,1078,0.47626,0.53598
2003,Owner,East,No,0.46296,471,1078,0.43318,0.49274
2003,Tenant,West,Yes,0.67452,3069,4324,0.66055,0.68849
2003,Tenant,West,No,0.29373,1255,4324,0.28015,0.30731
2003,Tenant,East,Yes,0.54628,962,1644,0.52220,0.57035
2003,Tenant,East,No,0.42239,682,1644,0.39851,0.44627
2004,Owner,West,Yes,0.88655,4035,4403,0.87718,0.89592
2004,Owner,West,No,0.10126,368,4403,0.09234,0.11017
2004,Owner,East,Yes,0.52276,630,1075,0.49289,0.55264
2004,Owner,East,No,0.44571,445,1075,0.41598,0.47543
2004,Tenant,West,Yes,0.67908,3021,4190,0.66494,0.69322
2004,Tenant,West,No,0.28484,1169,4190,0.27118,0.29851
2004,Tenant,East,Yes,0.55442,952,1607,0.53011,0.57873
2004,Tenant,East,No,0.41154,655,1607,0.38747,0.43561
2005,Owner,West,Yes,0.91195,3974,4278,0.90346,0.92045
2005,Owner,West,No,0.08725,304,4278,0.07880,0.09571
2005,Owner,East,Yes,0.58256,677,1104,0.55345,0.61166
2005,Owner,East,No,0.41474,427,1104,0.38566,0.44381
2005,Tenant,West,Yes,0.71667,3057,4215,0.70306,0.73028
2005,Tenant,West,No,0.27883,1158,4215,0.26529,0.29236
2005,Tenant,East,Yes,0.57352,938,1578,0.54911,0.59793
2005,Tenant,East,No,0.41802,640,1578,0.39368,0.44237
2006,Owner,West,Yes,0.91375,4458,4793,0.90580,0.92170
2006,Owner,West,No,0.08607,335,4793,0.07813,0.09402
2006,Owner,East,Yes,0.62168,777,1208,0.59432,0.64904
2006,Owner,East,No,0.37737,431,1208,0.35003,0.40472
2006,Tenant,West,Yes,0.71496,3304,4531,0.70182,0.72811
2006,Tenant,West,No,0.28144,1227,4531,0.26835,0.29454
2006,Tenant,East,Yes,0.58038,1018,1715,0.55702,0.60375
2006,Tenant,East,No,0.41703,697,1715,0.39369,0.44038
2007,Owner,West,Yes,0.91476,4174,4478,0.90658,0.92294
2007,Owner,West,No,0.08418,304,4478,0.07605,0.09231
2007,Owner,East,Yes,0.63075,746,1139,0.60271,0.65879
2007,Owner,East,No,0.36823,393,1139,0.34020,0.39625
2007,Tenant,West,Yes,0.73889,3138,4199,0.72560,0.75218
2007,Tenant,West,No,0.25685,1061,4199,0.24364,0.27007
2007,Tenant,East,Yes,0.58670,975,1618,0.56270,0.61071
2007,Tenant,East,No,0.41252,643,1618,0.38852,0.43651
2008,Owner,West,Yes,0.92053,3992,4274,0.91242,0.92864
2008,Owner,West,No,0.07874,282,4274,0.07066,0.08681
2008,Owner,East,Yes,0.64722,748,1103,0.61901,0.67543
2008,Owner,East,No,0.35179,355,1103,0.32359,0.37998
2008,Tenant,West,Yes,0.73985,2921,3886,0.72605,0.75364
2008,Tenant,West,No,0.25726,965,3886,0.24352,0.27101
2008,Tenant,East,Yes,0.62336,964,1547,0.59920,0.64751
2008,Tenant,East,No,0.37664,583,1547,0.35249,0.40080
2009,Owner,West,Yes,0.91902,3718,3978,0.91054,0.92750
2009,Owner,West,No,0.07997,260,3978,0.07154,0.08840
2009,Owner,East,Yes,0.64363,740,1083,0.61509,0.67216
2009,Owner,East,No,0.35535,343,1083,0.32683,0.38387
2009,Tenant,West,Yes,0.75188,2758,3639,0.73785,0.76592
2009,Tenant,West,No,0.24563,881,3639,0.23164,0.25962
2009,Tenant,East,Yes,0.62101,916,1468,0.59618,0.64583
2009,Tenant,East,No,0.37745,552,1468,0.35264,0.40225
2010,Owner,West,Yes,0.91280,4755,5089,0.90505,0.92055
2010,Owner,West,No,0.08672,334,5089,0.07899,0.09446
2010,Owner,East,Yes,0.65995,862,1240,0.63357,0.68633
2010,Owner,East,No,0.34005,378,1240,0.31367,0.36643
2010,Tenant,West,Yes,0.74492,4230,5541,0.73344,0.75640
2010,Tenant,West,No,0.25244,1311,5541,0.24100,0.26388
2010,Tenant,East,Yes,0.63565,1238,1918,0.61411,0.65720
2010,Tenant,East,No,0.36378,680,1918,0.34224,0.38531
2011,Owner,West,Yes,0.93116,5929,6308,0.92491,0.93741
2011,Owner,West,No,0.06884,379,6308,0.06259,0.07509
2011,Owner,East,Yes,0.68161,983,1413,0.65731,0.70591
2011,Owner,East,No,0.31839,430,1413,0.29409,0.34269
2011,Tenant,West,Yes,0.74998,5062,6548,0.73949,0.76047
2011,Tenant,West,No,0.24919,1486,6548,0.23871,0.25967
2011,Tenant,East,Yes,0.62733,1490,2330,0.60769,0.64696
2011,Tenant,East,No,0.37207,840,2330,0.35244,0.39170
2012,Owner,West,Yes,0.92822,5829,6217,0.92180,0.93463
2012,Owner,West,No,0.07178,388,6217,0.06537,0.07820
2012,Owner,East,Yes,0.70398,975,1379,0.67988,0.72809
2012,Owner,East,No,0.29602,404,1379,0.27191,0.32012
2012,Tenant,West,Yes,0.75595,4934,6373,0.74541,0.76650
2012,Tenant,West,No,0.24367,1439,6373,0.23313,0.25421
2012,Tenant,East,Yes,0.64686,1545,2333,0.62746,0.66626
2012,Tenant,East,No,0.35314,788,2333,0.33374,0.37254
2013,Owner,West,Yes,0.93042,5985,6371,0.92418,0.93667
2013,Owner,West,No,0.06958,386,6371,0.06333,0.07582
2013,Owner,East,Yes,0.69867,957,1337,0.67407,0.72327
2013,Owner,East,No,0.30133,380,1337,0.27673,0.32593
2013,Tenant,West,Yes,0.74781,6032,7842,0.73820,0.75742
2013,Tenant,West,No,0.25219,1810,7842,0.24258,0.26180
2013,Tenant,East,Yes,0.65214,1567,2320,0.63276,0.67153
2013,Tenant,East,No,0.34786,753,2320,0.32847,0.36724
2014,Owner,West,Yes,0.93142,5474,5819,0.92493,0.93791
2014,Owner,West,No,0.06858,345,5819,0.06209,0.07507
2014,Owner,East,Yes,0.71298,881,1233,0.68771,0.73824
2014,Owner,East,No,0.28702,352,1233,0.26176,0.31229
2014,Tenant,West,Yes,0.74959,5162,6626,0.73916,0.76002
2014,Tenant,West,No,0.24922,1464,6626,0.23881,0.25964
2014,Tenant,East,Yes,0.65902,1447,2146,0.63896,0.67908
2014,Tenant,East,No,0.34009,699,2146,0.32004,0.36014
2015,Owner,West,Yes,0.92822,5198,5544,0.92142,0.93501
2015,Owner,West,No,0.07177,346,5544,0.06497,0.07856
2015,Owner,East,Yes,0.74005,879,1193,0.71515,0.76495
2015,Owner,East,No,0.25753,314,1193,0.23271,0.28236
2015,Tenant,West,Yes,0.75340,5273,6934,0.74325,0.76355
2015,Tenant,West,No,0.24554,1661,6934,0.23541,0.25567
2015,Tenant,East,Yes,0.64125,1384,2087,0.62067,0.66184
2015,Tenant,East,No,0.35851,703,2087,0.33793,0.37909
2016,Owner,West,Yes,0.93247,4846,5145,0.92562,0.93933
2016,Owner,West,No,0.06748,299,5145,0.06062,0.07433
2016,Owner,East,Yes,0.73171,846,1156,0.70616,0.75727
2016,Owner,East,No,0.26829,310,1156,0.24273,0.29384
2016,Tenant,West,Yes,0.75017,4669,6078,0.73929,0.76105
2016,Tenant,West,No,0.24940,1409,6078,0.23852,0.26028
2016,Tenant,East,Yes,0.65187,1283,1915,0.63052,0.67321
2016,Tenant,East,No,0.34717,632,1915,0.32584,0.36849
2017,Owner,West,Yes,0.93143,5422,5750,0.92490,0.93797
2017,Owner,West,No,0.06857,328,5750,0.06203,0.07510
2017,Owner,East,Yes,0.73288,967,1312,0.70893,0.75683
2017,Owner,East,No,0.26196,345,1312,0.23816,0.28576
2017,Tenant,West,Yes,0.74672,5823,8008,0.73719,0.75624
2017,Tenant,West,No,0.25306,2185,8008,0.24354,0.26259
2017,Tenant,East,Yes,0.63668,1569,2406,0.61746,0.65590
2017,Tenant,East,No,0.36223,837,2406,0.34302,0.38144
2018,Owner,West,Yes,0.93207,5186,5501,0.92542,0.93872
2018,Owner,West,No,0.06726,315,5501,0.06064,0.07388
2018,Owner,East,Yes,0.74192,930,1254,0.71770,0.76615
2018,Owner,East,No,0.25808,324,1254,0.23385,0.28230
2018,Tenant,West,Yes,0.75449,6058,8446,0.74531,0.76367
2018,Tenant,West,No,0.24350,2388,8446,0.23435,0.25265
2018,Tenant,East,Yes,0.65967,1689,2496,0.64108,0.67827
2018,Tenant,East,No,0.33703,807,2496,0.31849,0.35558
2019,Owner,West,Yes,0.88078,4558,4826,0.87164,0.88992
2019,Owner,West,No,0.06060,268,4826,0.05387,0.06733
2019,Owner,East,Yes,0.67839,834,1119,0.65101,0.70577
2019,Owner,East,No,0.24987,285,1119,0.22450,0.27525
2019,Tenant,West,Yes,0.65473,4968,6922,0.64353,0.66593
2019,Tenant,West,No,0.20536,1954,6922,0.19584,0.21487
2019,Tenant,East,Yes,0.60749,1419,2043,0.58631,0.62867
2019,Tenant,East,No,0.28647,624,2043,0.26686,0.30608
2020,Owner,West,Yes,0.93905,5340,5624,0.93280,0.94531
2020,Owner,West,No,0.06066,284,5624,0.05442,0.06690
2020,Owner,East,Yes,0.75973,1070,1359,0.73701,0.78245
2020,Owner,East,No,0.23434,289,1359,0.21181,0.25687
2020,Tenant,West,Yes,0.75422,6817,9844,0.74572,0.76273
2020,Tenant,West,No,0.24389,3027,9844,0.23541,0.25237
2020,Tenant,East,Yes,0.67202,1672,2474,0.65352,0.69052
2020,Tenant,East,No,0.32691,802,2474,0.30842,0.34539
2021,Owner,West,Yes,0.86416,3601,3792,0.85325,0.87506
2021,Owner,West,No,0.05466,191,3792,0.04742,0.06189
2021,Owner,East,Yes,0.71375,690,873,0.68375,0.74375
2021,Owner,East,No,0.20759,183,873,0.18067,0.23451
2021,Tenant,West,Yes,0.66396,3634,5033,0.65090,0.67701
2021,Tenant,West,No,0.21132,1399,5033,0.20004,0.22260
2021,Tenant,East,Yes,0.58955,992,1476,0.56444,0.61465
2021,Tenant,East,No,0.29998,484,1476,0.27659,0.32336
2022,Owner,West,Yes,0.93979,5972,6309,0.93392,0.94566
2022,Owner,West,No,0.05998,337,6309,0.05412,0.06584
2022,Owner,East,Yes,0.75629,1215,1549,0.73490,0.77768
2022,Owner,East,No,0.24322,334,1549,0.22185,0.26459
2022,Tenant,West,Yes,0.76646,6852,9397,0.75790,0.77501
2022,Tenant,West,No,0.22467,2545,9397,0.21623,0.23311
2022,Tenant,East,Yes,0.66662,1872,2792,0.64913,0.68411
2022,Tenant,East,No,0.32876,920,2792,0.31133,0.34618
