"plh0033","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1988","(Fach-)Abitur","Laendlicher Raum","45","0.472776077469848","0.372905450799752","0.572646704139944"
"Einige Sorgen","1988","(Fach-)Abitur","Staedtischer Raum","319","0.492683895481703","0.45364465820688","0.531723132756526"
"Einige Sorgen","1988","(noch) kein Abschluss","Laendlicher Raum","52","0.470060520202705","0.380761335467867","0.559359704937543"
"Einige Sorgen","1988","(noch) kein Abschluss","Staedtischer Raum","375","0.441024962300675","0.4059553858191","0.47609453878225"
"Einige Sorgen","1988","AkademikerIn","Laendlicher Raum","45","0.374232205432414","0.285399508170413","0.463064902694416"
"Einige Sorgen","1988","AkademikerIn","Staedtischer Raum","213","0.343712089438887","0.305257879845901","0.382166299031873"
"Einige Sorgen","1988","Hauptschule","Laendlicher Raum","633","0.458036739239082","0.431280131038729","0.484793347439435"
"Einige Sorgen","1988","Hauptschule","Staedtischer Raum","2004","0.442511970297323","0.427707750195804","0.457316190398841"
"Einige Sorgen","1988","Realschule","Laendlicher Raum","167","0.429076484341066","0.379048789617111","0.479104179065021"
"Einige Sorgen","1988","Realschule","Staedtischer Raum","627","0.464189319040195","0.43721385135999","0.4911647867204"
"Grosse Sorgen","1988","(Fach-)Abitur","Laendlicher Raum","18","","",""
"Grosse Sorgen","1988","(Fach-)Abitur","Staedtischer Raum","103","0.124561839161591","0.0987758937342028","0.150347784588979"
"Grosse Sorgen","1988","(noch) kein Abschluss","Laendlicher Raum","29","","",""
"Grosse Sorgen","1988","(noch) kein Abschluss","Staedtischer Raum","190","0.225914223293327","0.196377041260593","0.25545140532606"
"Grosse Sorgen","1988","AkademikerIn","Laendlicher Raum","7","","",""
"Grosse Sorgen","1988","AkademikerIn","Staedtischer Raum","64","0.0999026375630914","0.0756235419881936","0.124181733137989"
"Grosse Sorgen","1988","Hauptschule","Laendlicher Raum","267","0.185258466753142","0.164394593329294","0.20612234017699"
"Grosse Sorgen","1988","Hauptschule","Staedtischer Raum","859","0.172670599741278","0.161405016626839","0.183936182855717"
"Grosse Sorgen","1988","Realschule","Laendlicher Raum","53","0.146330565714857","0.110606032720854","0.18205509870886"
"Grosse Sorgen","1988","Realschule","Staedtischer Raum","136","0.0925184349314534","0.0768455562305411","0.108191313632366"
"Keine Sorgen","1988","(Fach-)Abitur","Laendlicher Raum","33","0.367480082866663","0.271038022494135","0.463922143239191"
"Keine Sorgen","1988","(Fach-)Abitur","Staedtischer Raum","208","0.382754265356706","0.344799449860262","0.42070908085315"
"Keine Sorgen","1988","(noch) kein Abschluss","Laendlicher Raum","39","0.318962836748771","0.235573039814665","0.402352633682877"
"Keine Sorgen","1988","(noch) kein Abschluss","Staedtischer Raum","205","0.333060814405998","0.299771288076978","0.366350340735018"
